,LRCX
2000-01-03,4594319160
2000-01-04,4394406180
2000-01-05,4330630260
2000-01-06,4299968760
2000-01-07,4363744680
2000-01-10,4589413320
2000-01-11,4532996160
2000-01-12,4660548000
2000-01-13,4650736320
2000-01-14,5304439500
2000-01-18,5301986580
2000-01-19,5575487160
2000-01-20,5848987740
2000-01-21,5679736260
2000-01-24,5498220180
2000-01-25,5636810160
2000-01-26,5273778000
2000-01-27,5294627820
2000-01-28,5064053340
2000-01-31,5104526520
2000-02-01,5370668340
2000-02-02,5611054500
2000-02-03,5731247580
2000-02-04,5603695740
2000-02-07,5682189180
2000-02-08,5677283340
2000-02-09,5592657600
2000-02-10,5884555080
2000-02-11,5731247580
2000-02-14,5901725520
2000-02-15,5846534820
2000-02-16,5809741020
2000-02-17,5969180820
2000-02-18,5660112900
2000-02-22,5679736260
2000-02-23,5993710020
2000-02-24,5846534820
2000-02-25,5620866180
2000-02-28,5644168920
2000-02-29,6382497840
2000-03-01,6162961500
2000-03-02,6144564600
2000-03-03,6205887600
2000-03-06,6188717160
2000-03-07,6214472820
2000-03-08,6004748160
2000-03-09,6505143840
2000-03-10,6641280900
2000-03-13,6316269000
2000-03-14,5856346500
2000-03-15,5441803020
2000-03-16,5483502660
2000-03-17,6009654000
2000-03-20,5986351260
2000-03-21,5948331000
2000-03-22,6231643260
2000-03-23,6400894740
2000-03-24,6653545500
2000-03-27,7753900000
2000-03-28,7297444000
2000-03-29,6628853000
2000-03-30,6665428000
2000-03-31,6592278000
2000-04-03,5705700000
2000-04-04,5989522000
2000-04-05,6766375000
2000-04-06,7278425000
2000-04-07,8128428000
2000-04-10,7205275000
2000-04-11,7241850000
2000-04-12,6949250000
2000-04-13,6282122000
2000-04-14,5339950000
2000-04-17,6273344000
2000-04-18,7151144000
2000-04-19,6226528000
2000-04-20,6263103000
2000-04-24,5852000000
2000-04-25,6071450000
2000-04-26,5714478000
2000-04-27,6546925000
2000-04-28,6712244000
2000-05-01,6456219000
2000-05-02,6189953000
2000-05-03,5705700000
2000-05-04,5614994000
2000-05-05,5852000000
2000-05-08,5294597000
2000-05-09,4892272000
2000-05-10,4745972000
2000-05-11,4791325000
2000-05-12,4883494000
2000-05-15,5001997000
2000-05-16,5120500000
2000-05-17,5019553000
2000-05-18,4920069000
2000-05-19,4444594000
2000-05-22,4307072000
2000-05-23,3868172000
2000-05-24,3969119000
2000-05-25,4042269000
2000-05-26,4078844000
2000-05-30,4690378000
2000-05-31,4700619000
2000-06-01,5275578000
2000-06-02,5933928000
2000-06-05,5696922000
2000-06-06,5440897000
2000-06-07,5677903000
2000-06-08,5843222000
2000-06-09,6099247000
2000-06-12,5806647000
2000-06-13,5916372000
2000-06-14,5651569000
2000-06-15,5587197000
2000-06-16,5787628000
2000-06-19,6437200000
2000-06-20,6282122000
2000-06-21,6361124000
2000-06-22,6144600000
2000-06-23,5944169000
2000-06-26,5010199250
2000-06-27,4823483750
2000-06-28,5002730630
2000-06-29,4684069510
2000-06-30,4667887500
2000-07-03,4878253630
2000-07-05,4030565260
2000-07-06,4372877010
2000-07-07,4559592510
2000-07-10,4590711760
2000-07-11,4435115510
2000-07-12,4481172000
2000-07-13,4512291250
2000-07-14,4722657380
2000-07-17,4933023510
2000-07-18,4403996260
