,BBWI
2000-01-03,9363465167
2000-01-04,9175053977
2000-01-05,9043737088
2000-01-06,8901001338
2000-01-07,8958095638
2000-01-10,8843907039
2000-01-11,8569854399
2000-01-12,8467084660
2000-01-13,8090262281
2000-01-14,8107390571
2000-01-18,7890432232
2000-01-19,7844756792
2000-01-20,7861885082
2000-01-21,7690602183
2000-01-24,7559285293
2000-01-25,7513609853
2000-01-26,7530738143
2000-01-27,7342326954
2000-01-28,7039727165
2000-01-31,5338001600
2000-02-01,5415488720
2000-02-02,5785704960
2000-02-03,6056909880
2000-02-04,6177445400
2000-02-07,6078434080
2000-02-08,6177445400
2000-02-09,6005251800
2000-02-10,5970813080
2000-02-11,5798619480
2000-02-14,5828753360
2000-02-15,5884716280
2000-02-16,5415488720
2000-02-17,5338001600
2000-02-18,5329391920
2000-02-22,5471451640
2000-02-23,5338001600
2000-02-24,5079711200
2000-02-25,5243295120
2000-02-28,5449927440
2000-02-29,5914850160
2000-03-01,5850277560
2000-03-02,5850277560
2000-03-03,5884716280
2000-03-06,5828753360
2000-03-07,5557548440
2000-03-08,5613511360
2000-03-09,5914850160
2000-03-10,5914850160
2000-03-13,5820143680
2000-03-14,5807229160
2000-03-15,6211884120
2000-03-16,6874829480
2000-03-17,6504613240
2000-03-20,6599319720
2000-03-21,6711245560
2000-03-22,6655282640
2000-03-23,6668197160
2000-03-24,6732769760
2000-03-27,6853305280
2000-03-28,6711245560
2000-03-29,6840390760
2000-03-30,7189082800
2000-03-31,7331142520
2000-04-03,7559299039
2000-04-04,7167558599
2000-04-05,7253655400
2000-04-06,8144757280
2000-04-07,8480534800
2000-04-10,8493449320
2000-04-11,8949762360
2000-04-12,8321255719
2000-04-13,8157671800
2000-04-14,7688444240
2000-04-17,7473202240
2000-04-18,7654005520
2000-04-19,7787455560
2000-04-20,7645395840
2000-04-24,8045745960
2000-04-25,8123233080
2000-04-26,8123233080
2000-04-27,7817589440
2000-04-28,7860637840
2000-05-01,8422304399
2000-05-02,8662329360
2000-05-03,7710801839
2000-05-04,7916537519
2000-05-05,8207996399
2000-05-08,8285147279
2000-05-09,8555175360
2000-05-10,8512313760
2000-05-11,8555175360
2000-05-12,8598036960
2000-05-15,8683760160
2000-05-16,8598036960
2000-05-17,8392301279
2000-05-18,8400873600
2000-05-19,8422304399
2000-05-22,8533744560
2000-05-23,8443735200
2000-05-24,8306578080
2000-05-25,8576606160
2000-05-26,8207996399
2000-05-30,8336581200
2000-05-31,8358012000
2000-06-01,8186565600
2000-06-02,8250858000
