,GLW
2000-01-03,98779800000
2000-01-04,89218110000
2000-01-05,87174390000
2000-01-06,85155000000
2000-01-07,94789680000
2000-01-10,95689890000
2000-01-11,87125730000
2000-01-12,84133140000
2000-01-13,94692360000
2000-01-14,90823890000
2000-01-18,101772390000
2000-01-19,108414480000
2000-01-20,126321360000
2000-01-21,131382000000
2000-01-24,125713110000
2000-01-25,122671860000
2000-01-26,126516000000
2000-01-27,131382000000
2000-01-28,119217000000
2000-01-31,125104860000
2000-02-01,119411640000
2000-02-02,120238860000
2000-02-03,125104860000
2000-02-04,133717680000
2000-02-07,134325930000
2000-02-08,137707800000
2000-02-09,133815000000
2000-02-10,139094610000
2000-02-11,134423250000
2000-02-14,145980000000
2000-02-15,142525140000
2000-02-16,144349890000
2000-02-17,154957770000
2000-02-18,156782520000
2000-02-22,154081890000
2000-02-23,152573430000
2000-02-24,155906640000
2000-02-25,152305800000
2000-02-28,145785360000
2000-02-29,152476110000
2000-03-01,164641110000
2000-03-02,166952460000
2000-03-03,166465860000
2000-03-06,169993710000
2000-03-07,159775110000
2000-03-08,153181680000
2000-03-09,158047680000
2000-03-10,155298390000
2000-03-13,149678160000
2000-03-14,144763500000
2000-03-15,138072750000
2000-03-16,141405960000
2000-03-17,153570960000
2000-03-20,159775110000
2000-03-21,155712000000
2000-03-22,165444000000
2000-03-23,178363230000
2000-03-24,173862180000
2000-03-27,169507110000
2000-03-28,166100910000
2000-03-29,160164390000
2000-03-30,152476110000
2000-03-31,163938450000
2000-04-03,152885850000
2000-04-04,141960000000
2000-04-05,140261550000
2000-04-06,148398900000
2000-04-07,165611550000
2000-04-10,159857100000
2000-04-11,143861250000
2000-04-12,130121550000
2000-04-13,129285000000
2000-04-14,121680000000
2000-04-17,125482500000
2000-04-18,132884700000
2000-04-19,135191550000
2000-04-20,128549850000
2000-04-24,125482500000
2000-04-25,151263450000
2000-04-26,152733750000
2000-04-27,160490850000
2000-04-28,166879050000
2000-05-01,168577500000
2000-05-02,162087900000
2000-05-03,152936550000
2000-05-04,153468900000
2000-05-05,159755700000
2000-05-08,154939200000
2000-05-09,150629700000
2000-05-10,145965300000
2000-05-11,153367500000
2000-05-12,158614950000
2000-05-15,151466250000
2000-05-16,163710300000
2000-05-17,165205950000
2000-05-18,161606250000
2000-05-19,154153350000
2000-05-22,147866550000
2000-05-23,138588450000
2000-05-24,143658450000
2000-05-25,146193450000
2000-05-26,141960000000
2000-05-30,156105300000
2000-05-31,163076550000
2000-06-01,164344050000
2000-06-02,176486700000
2000-06-05,178286550000
2000-06-06,183584700000
2000-06-07,178514700000
2000-06-08,179985000000
2000-06-09,179148450000
2000-06-12,194459849999
2000-06-13,205765950000
2000-06-14,201963450000
2000-06-15,209340300000
2000-06-16,207388350000
2000-06-19,213142800000
2000-06-20,205588500000
2000-06-21,204447750000
2000-06-22,202800000000
2000-06-23,202850700000
2000-06-26,219860550000
2000-06-27,213776550000
2000-06-28,223510950000
2000-06-29,225184050000
2000-06-30,236576807999
2000-07-03,240521507999
2000-07-05,223848576000
2000-07-06,217510757999
2000-07-07,225005688000
2000-07-10,215196534000
2000-07-11,219588300000
2000-07-12,223322616000
2000-07-13,228345534000
2000-07-14,234052200000
2000-07-17,244781784000
2000-07-18,241599726000
2000-07-19,236077146000
2000-07-20,241599726000
2000-07-21,248726484000
2000-07-24,218273400000
2000-07-25,226162800000
2000-07-26,226267992000
2000-07-27,218063016000
2000-07-28,204019884000
2000-07-31,205071804000
2000-08-01,204861420000
2000-08-02,210226212000
2000-08-03,217458162000
2000-08-04,231974657999
2000-08-07,240942276000
2000-08-08,249620616000
2000-08-09,242151984000
2000-08-10,238969926000
