,JAVA
2021-10-05,911555750
2021-10-06,910279571
2021-10-07,915566595
2021-10-08,917754329
2021-10-11,911555750
2021-10-12,907909527
2021-10-13,907727215
2021-10-14,920853618
2021-10-15,930880731
2021-10-18,928510686
2021-10-19,933797710
2021-10-20,941637089
2021-10-21,940907845
2021-10-22,945465623
2021-10-25,946377179
2021-10-26,946741801
2021-10-27,931974598
2021-10-28,938902422
2021-10-29,936896999
2021-11-01,943460201
2021-11-02,943460201
2021-11-03,953669625
2021-11-04,948929535
2021-11-05,958045093
2021-11-08,960050515
2021-11-09,957862782
2021-11-10,953305003
2021-11-11,954398870
2021-11-12,956221981
2021-11-15,955675048
2021-11-16,953487314
2021-11-17,949111846
2021-11-18,946559490
2021-11-19,934891577
2021-11-22,942001712
2021-11-23,950205713
2021-11-24,947835668
2021-11-26,917572017
2021-11-29,923041352
2021-11-30,899340902
2021-12-01,892048456
2021-12-02,911555750
2021-12-03,908274149
2021-12-06,925411397
2021-12-07,938173177
2021-12-08,939449355
2021-12-09,936350066
2021-12-10,939996289
2021-12-13,929604553
2021-12-14,929057620
2021-12-15,933615399
2021-12-16,937626244
2021-12-17,925046775
2021-12-20,913378861
2021-12-21,929786865
2021-12-22,936714688
2021-12-23,945830246
2021-12-27,953305003
2021-12-28,954398870
2021-12-29,957133537
2021-12-30,954216559
2021-12-31,954398870
2022-01-03,962785183
2022-01-04,977552386
2022-01-05,968436828
2022-01-06,971536118
2022-01-07,979375497
2022-01-10,975546963
2022-01-11,985938699
2022-01-12,988308744
2022-01-13,986850254
2022-01-14,989220299
2022-01-18,975911585
2022-01-19,966431406
2022-01-20,956586604
2022-01-21,942730956
2022-01-24,944918690
2022-01-25,946377179
2022-01-26,944554068
2022-01-27,942001712
2022-01-28,949841091
2022-01-31,959138960
2022-02-01,970989184
2022-02-02,977370075
2022-02-03,967160650
2022-02-04,969348384
2022-02-07,970624562
2022-02-08,984297898
2022-02-09,994689634
2022-02-10,985027143
2022-02-11,977005452
2022-02-14,968619139
2022-02-15,980651675
2022-02-16,985391765
2022-02-17,970077629
2022-02-18,966066783
2022-02-22,956586604
2022-02-23,945465623
2022-02-24,942913267
2022-02-25,969530695
2022-02-28,966431406
2022-03-01,948382602
2022-03-02,967889895
2022-03-03,962785183
2022-03-04,958409715
2022-03-07,933068465
2022-03-08,926140642
2022-03-09,942913267
2022-03-10,945283312
2022-03-11,936896999
2022-03-14,937808555
2022-03-15,948382602
2022-03-16,962967494
2022-03-17,975911585
2022-03-18,978281630
2022-03-21,981563231
2022-03-22,986667943
2022-03-23,976823141
2022-03-24,985574076
2022-03-25,996330434
2022-03-28,992319589
2022-03-29,1000523591
2022-03-30,996512745
2022-03-31,984115587
2022-04-01,986121010
2022-04-04,984115587
2022-04-05,976640830
2022-04-06,976276208
2022-04-07,981927853
2022-04-08,986850254
2022-04-11,977734697
2022-04-12,977005452
2022-04-13,985574076
2022-04-14,980833987
2022-04-18,978828564
2022-04-19,990314166
2022-04-20,999247413
2022-04-21,984480210
2022-04-22,958227404
2022-04-25,957133537
2022-04-26,941272467
2022-04-27,942730956
2022-04-28,953669625
2022-04-29,927052197
2022-05-02,928510686
2022-05-03,937808555
2022-05-04,962785183
2022-05-05,939813978
2022-05-06,939267044
2022-05-09,910826505
2022-05-10,908638771
2022-05-11,903898681
2022-05-12,901164014
2022-05-13,918118951
2022-05-16,922859041
2022-05-17,939267044
2022-05-18,909550327
2022-05-19,907180282
2022-05-20,904810237
2022-05-23,923223663
2022-05-24,922859041
2022-05-25,933068465
2022-05-26,947835668
2022-05-27,960779760
2022-05-31,952758069
2022-06-01,947653357
