,GNW
2004-05-25,9501818176
2004-05-26,9501818176
2004-05-27,9501818176
2004-05-28,9501818176
2004-06-01,9516436358
2004-06-02,9487199994
2004-06-03,9506690903
2004-06-04,9721090903
2004-06-07,9925745448
2004-06-08,9789309085
2004-06-09,9769818176
2004-06-10,9803927267
2004-06-14,9818545449
2004-06-15,9808799994
2004-06-16,9857527267
2004-06-17,10183999994
2004-06-18,10573818175
2004-06-21,10447127266
2004-06-22,10471490903
2004-06-23,10593309084
2004-06-24,10695636357
2004-06-25,10817454539
2004-06-28,10895418175
2004-06-29,10997745448
2004-06-30,11308090915
2004-07-01,11160272733
2004-07-02,10987818187
2004-07-06,10948400006
2004-07-07,10987818187
2004-07-08,10766090915
2004-07-09,10785800005
2004-07-12,10889272733
2004-07-13,11332727279
2004-07-14,11229254551
2004-07-15,11253890915
2004-07-16,11076509097
2004-07-19,11234181824
2004-07-20,11406636369
2004-07-21,11431272733
2004-07-22,11391854551
2004-07-23,11357363642
2004-07-26,11327800006
2004-07-27,11135636369
2004-07-28,11096218187
2004-07-29,11175054551
2004-07-30,11204618188
2004-08-02,11194763642
2004-08-03,11214472733
2004-08-04,11061727278
2004-08-05,10756236369
2004-08-06,10564072733
2004-08-09,10549290914
2004-08-10,10445818187
2004-08-11,10371909096
2004-08-12,10337418187
2004-08-13,10381763642
2004-08-16,10573927278
2004-08-17,10578854551
2004-08-18,10628127278
2004-08-19,10642909096
2004-08-20,10741454551
2004-08-23,10692181824
2004-08-24,10667545460
2004-08-25,10790727278
2004-08-26,11037090915
2004-08-27,10859709096
2004-08-30,10977963642
2004-08-31,11199690915
2004-09-01,11086363642
2004-09-02,11086363642
2004-09-03,11076509097
2004-09-07,11263745460
2004-09-08,11441127279
2004-09-09,11308090915
2004-09-10,11273600006
2004-09-13,11283454551
2004-09-14,11283454551
2004-09-15,11480545460
2004-09-16,11776181824
2004-09-17,11396781824
2004-09-20,11170127278
2004-09-21,11244036369
2004-09-22,11042018187
2004-09-23,11086363642
2004-09-24,11234181824
2004-09-27,11135636369
2004-09-28,11135636369
2004-09-29,11199690915
2004-09-30,11367575760
2004-10-01,11704212124
2004-10-04,11928636366
2004-10-05,11928636366
2004-10-06,11938393942
2004-10-07,11894484851
2004-10-08,12138424245
2004-10-11,12075000003
2004-10-12,11704212124
2004-10-13,11606636366
2004-10-14,11460272730
2004-10-15,11699333336
2004-10-18,11572484851
2004-10-19,11177303033
2004-10-20,11440757578
2004-10-21,11513939396
2004-10-22,11587121215
2004-10-25,11587121215
2004-10-26,11733484851
2004-10-27,11694454548
2004-10-28,11694454548
2004-10-29,11640787881
2004-11-01,11733484851
2004-11-02,12011575760
2004-11-03,12123787881
2004-11-04,12294545457
2004-11-05,12499454548
2004-11-08,12387242427
2004-11-09,12553121215
2004-11-10,12904393942
2004-11-11,12758030306
2004-11-12,12636060609
2004-11-15,12855606063
2004-11-16,12782424245
2004-11-17,12821454548
2004-11-18,12548242427
2004-11-19,12284787881
2004-11-22,12489696972
2004-11-23,12567757578
2004-11-24,12650696972
2004-11-26,12787303033
2004-11-29,12611666669
2004-11-30,12831212124
2004-12-01,12650696972
2004-12-02,12660454548
2004-12-03,12880000003
2004-12-06,12782424245
2004-12-07,12655575760
2004-12-08,12533606063
2004-12-09,12562878791
2004-12-10,12762909094
2004-12-13,13006848488
2004-12-14,13265424245
2004-12-15,12767787881
2004-12-16,12684848488
2004-12-17,12782424245
2004-12-20,12758030306
2004-12-21,12831212124
2004-12-22,12880000003
2004-12-23,13192242427
2004-12-27,13060515154
2004-12-28,13162969700
2004-12-29,13294696973
2004-12-30,13211757579
2004-12-31,13197600000
2005-01-03,13241592000
2005-01-04,13104728000
2005-01-05,12860328000
2005-01-06,12865216000
2005-01-07,12733240000
2005-01-10,12699024000
2005-01-11,12718576000
2005-01-12,12743016000
2005-01-13,12757680000
2005-01-14,12571936000
2005-01-18,12708800000
2005-01-19,12977640000
2005-01-20,12977640000
2005-01-21,12992304000
2005-01-24,13041184000
2005-01-25,13026520000
2005-01-26,13300248000
2005-01-27,13153608000
2005-01-28,12904320000
2005-01-31,12967864000
2005-02-01,13011856000
2005-02-02,13041184000
2005-02-03,13002080000
2005-02-04,13138944000
2005-02-07,13148720000
2005-02-08,13226928000
2005-02-09,13226928000
2005-02-10,13266032000
2005-02-11,13295360000
2005-02-14,13686400000
2005-02-15,13911248000
2005-02-16,13872144000
2005-02-17,13950352000
2005-02-18,13789048000
2005-02-22,13686400000
2005-02-23,13701064000
2005-02-24,13720616000
2005-02-25,13911248000
2005-02-28,13764608000
2005-03-01,13837928000
2005-03-02,14224080000
2005-03-03,14018784000
2005-03-04,14053000000
2005-03-07,14321840000
2005-03-08,14101880000
2005-03-09,14136096000
2005-03-10,14194752000
2005-03-11,14238744000
2005-03-14,13965016000
2005-03-15,14092104000
2005-03-16,14082328000
2005-03-17,14448928000
2005-03-18,14180088000
2005-03-21,13735280000
2005-03-22,13471328000
2005-03-23,13075400000
2005-03-24,13099840000
2005-03-28,13319800000
2005-03-29,13466440000
2005-03-30,13466440000
2005-03-31,12945408000
2005-04-01,12987744000
2005-04-04,12983040000
2005-04-05,13072416000
2005-04-06,12983040000
2005-04-07,12936000000
2005-04-08,12936000000
