,SNA
2000-01-03,1572480000
2000-01-04,1553760000
2000-01-05,1495260000
2000-01-06,1499355000
2000-01-07,1535625000
2000-01-10,1506375000
2000-01-11,1528605000
2000-01-12,1575990000
2000-01-13,1594125000
2000-01-14,1587105000
2000-01-18,1608750000
2000-01-19,1601730000
2000-01-20,1590615000
2000-01-21,1561365000
2000-01-24,1539135000
2000-01-25,1506375000
2000-01-26,1499355000
2000-01-27,1550250000
2000-01-28,1543230000
2000-01-31,1572480000
2000-02-01,1546740000
2000-02-02,1557855000
2000-02-03,1590615000
2000-02-04,1575990000
2000-02-07,1543230000
2000-02-08,1509885000
2000-02-09,1455480000
2000-02-10,1422135000
2000-02-11,1396980000
2000-02-14,1389375000
2000-02-15,1418625000
2000-02-16,1385865000
2000-02-17,1385865000
2000-02-18,1319760000
2000-02-22,1341990000
2000-02-23,1316250000
2000-02-24,1294605000
2000-02-25,1305135000
2000-02-28,1312740000
2000-02-29,1275885000
2000-03-01,1305135000
2000-03-02,1309230000
2000-03-03,1341990000
2000-03-06,1316250000
2000-03-07,1243125000
2000-03-08,1294605000
2000-03-09,1363635000
2000-03-10,1422135000
2000-03-13,1407510000
2000-03-14,1367730000
2000-03-15,1433250000
2000-03-16,1535625000
2000-03-17,1517490000
2000-03-20,1561365000
2000-03-21,1509885000
2000-03-22,1502865000
2000-03-23,1528605000
2000-03-24,1524510000
2000-03-27,1470105000
2000-03-28,1470105000
2000-03-29,1477125000
2000-03-30,1506375000
2000-03-31,1532115000
2000-04-03,1517603200
2000-04-04,1532263200
2000-04-05,1495320000
2000-04-06,1513498400
2000-04-07,1517603200
2000-04-10,1477141600
2000-04-11,1506461600
2000-04-12,1561583200
2000-04-13,1546923200
2000-04-14,1458963200
2000-04-17,1532263200
2000-04-18,1542818400
2000-04-19,1517603200
2000-04-20,1521121600
2000-04-24,1521121600
2000-04-25,1620223200
2000-04-26,1597940000
2000-04-27,1576243200
2000-04-28,1550441600
2000-05-01,1576243200
2000-05-02,1553960000
2000-05-03,1517603200
2000-05-04,1466000000
2000-05-05,1477141600
2000-05-08,1477141600
2000-05-09,1484178400
2000-05-10,1436680000
2000-05-11,1583280000
2000-05-12,1532263200
2000-05-15,1553960000
2000-05-16,1583280000
2000-05-17,1539300000
2000-05-18,1539300000
2000-05-19,1539300000
2000-05-22,1532263200
2000-05-23,1542818400
2000-05-24,1553960000
2000-05-25,1561583200
2000-05-26,1524640000
2000-05-30,1539300000
2000-05-31,1506461600
2000-06-01,1524640000
2000-06-02,1576243200
2000-06-05,1572138400
2000-06-06,1594421600
2000-06-07,1568620000
2000-06-08,1561583200
2000-06-09,1561583200
2000-06-12,1565101600
2000-06-13,1671240000
2000-06-14,1689418400
2000-06-15,1697041600
2000-06-16,1656580000
2000-06-19,1671240000
2000-06-20,1645438400
2000-06-21,1634883200
2000-06-22,1583280000
2000-06-23,1590903200
2000-06-26,1616118400
2000-06-27,1645438400
2000-06-28,1658339200
2000-06-29,1726361600
2000-06-30,1560410400
2000-07-03,1663398720
2000-07-05,1648776720
2000-07-06,1655795280
2000-07-07,1626551280
2000-07-10,1648776720
2000-07-11,1689133440
2000-07-12,1707264720
2000-07-13,1721886720
2000-07-14,1767507360
2000-07-17,1756394640
2000-07-18,1707264720
2000-07-19,1718377440
2000-07-20,1751130720
2000-07-21,1736508720
2000-07-24,1751130720
2000-07-25,1732999440
2000-07-26,1714283280
2000-07-27,1699661280
2000-07-28,1732999440
2000-07-31,1765752720
2000-08-01,1743527280
2000-08-02,1762243440
2000-08-03,1747621440
2000-08-04,1791487440
2000-08-07,1813128000
2000-08-08,1802015280
2000-08-09,1809618720
2000-08-10,1783884000
2000-08-11,1816637280
2000-08-14,1809618720
2000-08-15,1806109440
2000-08-16,1835353440
2000-08-17,1860503280
2000-08-18,1842372000
2000-08-21,1868106720
2000-08-22,1860503280
2000-08-23,1835353440
2000-08-24,1833013920
2000-08-25,1829504640
2000-08-28,1816637280
2000-08-29,1806109440
2000-08-30,1765752720
2000-08-31,1803185040
2000-09-01,1842372000
2000-09-05,1813128000
2000-09-06,1796751360
2000-09-07,1774525920
2000-09-08,1774525920
2000-09-11,1791487440
2000-09-12,1780374720
2000-09-13,1772771280
2000-09-14,1769262000
2000-09-15,1689133440
2000-09-18,1626551280
2000-09-19,1593798000
2000-09-20,1590288720
2000-09-21,1334111280
2000-09-22,1370958720
2000-09-25,1356336720
2000-09-26,1323583440
2000-09-27,1356336720
2000-09-28,1396693440
2000-09-29,1377977280
2000-10-02,1335496840
2000-10-03,1339550820
2000-10-04,1303065000
2000-10-05,1288586500
2000-10-06,1274108000
2000-10-09,1306539840
2000-10-10,1277582840
2000-10-11,1277582840
2000-10-12,1256154660
2000-10-13,1227197660
2000-10-16,1252679820
2000-10-17,1241676160
2000-10-18,1238201320
2000-10-19,1274108000
2000-10-20,1259629500
2000-10-23,1263104340
2000-10-24,1321018340
2000-10-25,1303065000
2000-10-26,1343025660
2000-10-27,1354029320
2000-10-30,1444375160
2000-10-31,1480281840
2000-11-01,1455378820
2000-11-02,1447850000
2000-11-03,1415418160
2000-11-06,1426421820
2000-11-07,1407889340
2000-11-08,1404414500
2000-11-09,1386461160
2000-11-10,1397464820
2000-11-13,1397464820
2000-11-14,1389936000
2000-11-15,1411943320
2000-11-16,1418893000
2000-11-17,1465803340
2000-11-20,1415418160
2000-11-21,1400939660
2000-11-22,1404414500
2000-11-24,1426421820
2000-11-27,1422367840
2000-11-28,1386461160
2000-11-29,1509238840
2000-11-30,1502289160
2000-12-01,1513292820
2000-12-04,1560203160
2000-12-05,1650549000
2000-12-06,1614642320
2000-12-07,1574681660
2000-12-08,1596109840
2000-12-11,1592635000
2000-12-12,1600163820
2000-12-13,1538195840
2000-12-14,1538195840
2000-12-15,1484335820
2000-12-18,1560203160
2000-12-19,1549199500
2000-12-20,1487810660
2000-12-21,1560203160
2000-12-22,1556728320
2000-12-26,1600163820
2000-12-27,1610588340
2000-12-28,1618117160
2000-12-29,1614642320
2001-01-02,1582564000
2001-01-03,1632850000
2001-01-04,1669264000
2001-01-05,1614932000
2001-01-08,1621868000
2001-01-09,1640364000
2001-01-10,1600482000
2001-01-11,1636318000
2001-01-12,1632850000
2001-01-16,1640364000
2001-01-17,1687182000
2001-01-18,1658282000
2001-01-19,1661750000
2001-01-22,1669264000
2001-01-23,1640364000
2001-01-24,1629382000
2001-01-25,1632850000
2001-01-26,1650768000
2001-01-29,1661172000
2001-01-30,1680246000
2001-01-31,1705100000
2001-02-01,1736890000
2001-02-02,1763478000
2001-02-05,1762900000
2001-02-06,1762900000
2001-02-07,1738624000
2001-02-08,1734000000
2001-02-09,1736890000
2001-02-12,1771570000
2001-02-13,1776194000
2001-02-14,1742670000
2001-02-15,1760010000
2001-02-16,1716082000
2001-02-20,1732266000
2001-02-21,1696430000
2001-02-22,1668686000
2001-02-23,1668686000
2001-02-26,1671576000
2001-02-27,1663484000
2001-02-28,1635740000
2001-03-01,1654814000
2001-03-02,1692384000
2001-03-05,1732844000
2001-03-06,1758854000
2001-03-07,1764056000
2001-03-08,1777350000
2001-03-09,1734000000
2001-03-12,1676200000
2001-03-13,1655970000
2001-03-14,1618400000
2001-03-15,1661172000
2001-03-16,1639208000
2001-03-19,1656548000
2001-03-20,1687760000
2001-03-21,1650768000
2001-03-22,1682558000
2001-03-23,1675622000
2001-03-26,1654236000
2001-03-27,1649034000
2001-03-28,1630538000
2001-03-29,1639208000
2001-03-30,1683136000
2001-04-02,1675047000
2001-04-03,1634517000
2001-04-04,1672152000
2001-04-05,1734105000
2001-04-06,1674468000
2001-04-09,1725999000
2001-04-10,1738737000
2001-04-11,1679100000
2001-04-12,1724841000
2001-04-16,1717314000
2001-04-17,1730052000
2001-04-18,1790847000
2001-04-19,1779267000
2001-04-20,1750896000
2001-04-23,1759002000
2001-04-24,1726578000
2001-04-25,1679100000
2001-04-26,1690680000
2001-04-27,1699944000
2001-04-30,1679100000
2001-05-01,1699944000
2001-05-02,1709787000
2001-05-03,1680258000
2001-05-04,1707471000
2001-05-07,1710945000
2001-05-08,1712103000
2001-05-09,1687785000
2001-05-10,1686627000
2001-05-11,1695312000
2001-05-14,1667520000
2001-05-15,1670994000
2001-05-16,1749738000
2001-05-17,1727157000
2001-05-18,1709208000
2001-05-21,1702260000
2001-05-22,1705734000
2001-05-23,1681995000
2001-05-24,1688943000
2001-05-25,1680258000
2001-05-29,1688364000
2001-05-30,1658835000
2001-05-31,1667520000
2001-06-01,1683153000
2001-06-04,1679679000
2001-06-05,1731210000
2001-06-06,1716735000
2001-06-07,1708050000
2001-06-08,1708050000
2001-06-11,1677363000
2001-06-12,1677363000
2001-06-13,1682574000
2001-06-14,1659414000
2001-06-15,1654203000
2001-06-18,1557510000
2001-06-19,1519296000
2001-06-20,1518138000
2001-06-21,1518717000
2001-06-22,1489767000
2001-06-25,1457343000
2001-06-26,1434183000
2001-06-27,1442868000
2001-06-28,1435920000
2001-06-29,1398864000
2001-07-02,1414040000
2001-07-03,1420420000
2001-07-05,1423320000
2001-07-06,1419260000
2001-07-09,1430280000
2001-07-10,1408240000
2001-07-11,1418100000
2001-07-12,1467400000
2001-07-13,1473780000
2001-07-16,1459280000
2001-07-17,1495820000
2001-07-18,1491760000
2001-07-19,1505680000
2001-07-20,1506260000
2001-07-23,1483640000
2001-07-24,1483060000
2001-07-25,1551500000
2001-07-26,1572960000
2001-07-27,1583980000
2001-07-30,1571220000
2001-07-31,1566000000
2001-08-01,1556720000
2001-08-02,1546860000
2001-08-03,1532940000
2001-08-06,1512640000
2001-08-07,1506260000
2001-08-08,1475520000
2001-08-09,1490600000
2001-08-10,1506260000
2001-08-13,1492920000
2001-08-14,1491180000
2001-08-15,1489440000
2001-08-16,1485960000
2001-08-17,1468560000
2001-08-20,1444200000
2001-08-21,1438980000
2001-08-22,1439560000
2001-08-23,1444200000
2001-08-24,1448260000
2001-08-27,1451740000
2001-08-28,1441300000
2001-08-29,1443040000
2001-08-30,1451160000
2001-08-31,1476680000
2001-09-04,1520760000
2001-09-05,1509160000
2001-09-06,1502780000
2001-09-07,1490600000
2001-09-10,1464500000
2001-09-17,1360100000
2001-09-18,1411720000
2001-09-19,1356620000
2001-09-20,1306160000
2001-09-21,1255700000
2001-09-24,1314860000
2001-09-25,1320660000
2001-09-26,1281220000
2001-09-27,1297460000
2001-09-28,1295140000
2001-10-01,1255272000
2001-10-02,1346175000
2001-10-03,1415076000
2001-10-04,1433604000
2001-10-05,1405812000
2001-10-08,1414497000
2001-10-09,1404075000
2001-10-10,1467765000
2001-10-11,1497873000
2001-10-12,1485135000
2001-10-15,1493820000
2001-10-16,1501347000
2001-10-17,1470081000
2001-10-18,1457343000
2001-10-19,1464291000
2001-10-22,1483977000
2001-10-23,1514664000
2001-10-24,1556931000
2001-10-25,1549983000
2001-10-26,1595145000
2001-10-29,1552299000
2001-10-30,1545930000
2001-10-31,1549404000
2001-11-01,1574880000
2001-11-02,1603830000
2001-11-05,1622937000
2001-11-06,1657677000
2001-11-07,1683732000
2001-11-08,1670415000
2001-11-09,1668099000
2001-11-12,1635096000
2001-11-13,1653045000
2001-11-14,1749738000
2001-11-15,1751475000
2001-11-16,1763055000
2001-11-19,1770003000
2001-11-20,1772898000
2001-11-21,1763634000
2001-11-23,1797216000
2001-11-26,1792584000
2001-11-27,1789110000
2001-11-28,1774635000
2001-11-29,1793742000
2001-11-30,1812270000
2001-12-03,1792005000
2001-12-04,1832535000
2001-12-05,1929228000
2001-12-06,1944282000
2001-12-07,1952966999
2001-12-10,1910700000
2001-12-11,1874802000
2001-12-12,1874222999
2001-12-13,1903172999
2001-12-14,1911858000
2001-12-17,1950650999
2001-12-18,1962231000
2001-12-19,1980759000
2001-12-20,1964547000
2001-12-21,1973232000
2001-12-24,1967441999
2001-12-26,1961072999
2001-12-27,1970916000
2001-12-28,1964547000
2001-12-31,1952279999
2002-01-02,1942420000
2002-01-03,1912839999
2002-01-04,1919800000
2002-01-07,1914000000
2002-01-08,1905300000
2002-01-09,1899500000
2002-01-10,1878620000
2002-01-11,1873399999
2002-01-14,1850200000
2002-01-15,1832800000
2002-01-16,1816560000
2002-01-17,1825840000
2002-01-18,1842660000
2002-01-22,1827580000
2002-01-23,1827580000
2002-01-24,1850780000
2002-01-25,1868760000
2002-01-28,1887320000
2002-01-29,1873399999
2002-01-30,1915740000
2002-01-31,1890220000
2002-02-01,1870500000
2002-02-04,1832800000
2002-02-05,1818300000
2002-02-06,1825260000
2002-02-07,1791040000
2002-02-08,1808440000
2002-02-11,1853100000
2002-02-12,1854840000
2002-02-13,1869339999
2002-02-14,1901820000
2002-02-15,1911100000
2002-02-19,1862959999
2002-02-20,1854840000
2002-02-21,1902399999
2002-02-22,1934880000
2002-02-25,1963300000
2002-02-26,1984760000
2002-02-27,1991140000
2002-02-28,1998100000
2002-03-01,1991720000
2002-03-04,2027100000
2002-03-05,1998100000
2002-03-06,2007380000
2002-03-07,1999260000
2002-03-08,2002740000
2002-03-11,1998100000
2002-03-12,2027680000
2002-03-13,2021300000
2002-03-14,2016660000
2002-03-15,2021300000
2002-03-18,2005060000
2002-03-19,1998680000
2002-03-20,1991720000
2002-03-21,1952279999
2002-03-22,1937200000
2002-03-25,1899500000
2002-03-26,1925600000
2002-03-27,1941839999
2002-03-28,1974899999
2002-04-01,1942716000
