,PNC
2000-01-03,12315261000
2000-01-04,11932872000
2000-01-05,11985414000
2000-01-06,12551700000
2000-01-07,12569214000
2000-01-10,12131364000
2000-01-11,12005847000
2000-01-12,12259800000
2000-01-13,13371939000
2000-01-14,13646325000
2000-01-18,13409886000
2000-01-19,13225989000
2000-01-20,12843600000
2000-01-21,12808572000
2000-01-24,12680136000
2000-01-25,12861114000
2000-01-26,13190961000
2000-01-27,13628811000
2000-01-28,13392372000
2000-01-31,14011200000
2000-02-01,14084175000
2000-02-02,13628811000
2000-02-03,13281450000
2000-02-04,13007064000
2000-02-07,12881547000
2000-02-08,13153014000
2000-02-09,12861114000
2000-02-10,12461211000
2000-02-11,12297747000
2000-02-14,12151797000
2000-02-15,12589647000
2000-02-16,12315261000
2000-02-17,12186825000
2000-02-18,11676000000
2000-02-22,11530050000
2000-02-23,11422047000
2000-02-24,11092200000
2000-02-25,10984197000
2000-02-28,11401614000
2000-02-29,11293611000
2000-03-01,11311125000
2000-03-02,11349072000
2000-03-03,11366586000
2000-03-06,11130147000
2000-03-07,10709811000
2000-03-08,10692297000
2000-03-09,10800300000
2000-03-10,10928736000
2000-03-13,10838247000
2000-03-14,10782786000
2000-03-15,11676000000
2000-03-16,13117986000
2000-03-17,12753111000
2000-03-20,12277314000
2000-03-21,12899061000
2000-03-22,13080039000
2000-03-23,13409886000
2000-03-24,13225989000
2000-03-27,12735597000
2000-03-28,12934089000
2000-03-29,12881547000
2000-03-30,12881547000
2000-03-31,13058388000
2000-04-03,13730724000
2000-04-04,13296024000
2000-04-05,13168512000
2000-04-06,13223574000
2000-04-07,12841038000
2000-04-10,13185900000
2000-04-11,13548150000
2000-04-12,13710438000
2000-04-13,13585824000
2000-04-14,12968550000
2000-04-17,12896100000
2000-04-18,13096062000
2000-04-19,12678750000
2000-04-20,12768588000
2000-04-24,13258350000
2000-04-25,13765500000
2000-04-26,13458312000
2000-04-27,13006224000
2000-04-28,12643974000
2000-05-01,12733812000
2000-05-02,12461400000
2000-05-03,12299112000
2000-05-04,12081762000
2000-05-05,12081762000
2000-05-08,12516462000
2000-05-09,12478788000
2000-05-10,12461400000
2000-05-11,12933774000
2000-05-12,13113450000
2000-05-15,13113450000
2000-05-16,13006224000
2000-05-17,12933774000
2000-05-18,13223574000
2000-05-19,12768588000
2000-05-22,13240962000
2000-05-23,13730724000
2000-05-24,14072688000
2000-05-25,13637988000
2000-05-26,14000238000
2000-05-30,14417550000
2000-05-31,14545062000
2000-06-01,15521688000
2000-06-02,16373700000
2000-06-05,15794100000
2000-06-06,15382584000
2000-06-07,16011450000
2000-06-08,15739038000
2000-06-09,15739038000
2000-06-12,15956388000
2000-06-13,15904224000
2000-06-14,16194024000
2000-06-15,15504300000
2000-06-16,14817474000
2000-06-19,14962374000
2000-06-20,15034824000
2000-06-21,15142050000
2000-06-22,14942088000
2000-06-23,14817474000
2000-06-26,14817474000
2000-06-27,14617512000
2000-06-28,14724738000
2000-06-29,14272650000
2000-06-30,13548320000
2000-07-03,14088750000
2000-07-05,14143660000
2000-07-06,14143660000
2000-07-07,14828590000
2000-07-10,14704320000
2000-07-11,14793910000
2000-07-12,14793910000
2000-07-13,14161000000
2000-07-14,14684090000
2000-07-17,14577160000
2000-07-18,14594500000
2000-07-19,14649410000
2000-07-20,15155160000
2000-07-21,15155160000
2000-07-24,15426820000
2000-07-25,15516410000
2000-07-26,14993320000
2000-07-27,15028000000
2000-07-28,14649410000
2000-07-31,14704320000
2000-08-01,15137820000
2000-08-02,15117590000
2000-08-03,15767840000
2000-08-04,16655070000
2000-08-07,16727320000
2000-08-08,16762000000
2000-08-09,16779340000
2000-08-10,16996090000
2000-08-11,16944070000
2000-08-14,17051000000
2000-08-15,17016320000
2000-08-16,16707090000
2000-08-17,16727320000
2000-08-18,16455660000
2000-08-21,16510570000
2000-08-22,17088570000
2000-08-23,16923840000
2000-08-24,16744660000
2000-08-25,16816910000
2000-08-28,16871820000
2000-08-29,16490340000
2000-08-30,16744660000
2000-08-31,17033660000
2000-09-01,17051000000
2000-09-05,17105910000
2000-09-06,17267750000
2000-09-07,17195500000
2000-09-08,17611660000
2000-09-11,17756160000
2000-09-12,17883320000
2000-09-13,18334160000
2000-09-14,18062500000
2000-09-15,17666570000
2000-09-18,16944070000
2000-09-19,17285090000
2000-09-20,16672410000
2000-09-21,16311160000
2000-09-22,16978750000
2000-09-25,17484500000
2000-09-26,17845750000
2000-09-27,18423750000
2000-09-28,18984410000
2000-09-29,18785000000
2000-10-02,18734610053
2000-10-03,18912604388
2000-10-04,18875875398
2000-10-05,19036917892
2000-10-06,18734610053
2000-10-09,18293862177
2000-10-10,17782481628
2000-10-11,17288052921
2000-10-12,16369828178
2000-10-13,17305004762
2000-10-16,17675119966
2000-10-17,16988570389
2000-10-18,16511093523
2000-10-19,17251323931
2000-10-20,17146787576
2000-10-23,17093106745
2000-10-24,17728800797
2000-10-25,17658168125
2000-10-26,17516902780
2000-10-27,18259958494
2000-10-30,18912604388
2000-10-31,18895652547
2000-11-01,18895652547
2000-11-02,19195135078
2000-11-03,19124502406
2000-11-06,18946508071
2000-11-07,18858923557
2000-11-08,18788290885
2000-11-09,19107550564
2000-11-10,19017140743
2000-11-13,18593344708
2000-11-14,18754387202
2000-11-15,18189325822
2000-11-16,18048060477
2000-11-17,17446270107
2000-11-20,17059203062
2000-11-21,17870066142
2000-11-22,17836162459
2000-11-24,17940698815
2000-11-27,17994379646
2000-11-28,18135644991
2000-11-29,18700706371
2000-11-30,18788290885
2000-12-01,18471856512
2000-12-04,18364494850
2000-12-05,18734610053
2000-12-06,18364494850
2000-12-07,18081964160
2000-12-08,18663977381
2000-12-11,19582202123
2000-12-12,19248815909
2000-12-13,19053869733
2000-12-14,19017140743
2000-12-15,18805242726
2000-12-18,20076630831
2000-12-19,20325257838
2000-12-20,20359161521
2000-12-21,20802734704
2000-12-22,20766005715
2000-12-26,21136120918
2000-12-27,20907271060
2000-12-28,21189801750
2000-12-29,20641692211
2001-01-02,20533200000
2001-01-03,21004596000
2001-01-04,21545400000
2001-01-05,21183900000
2001-01-08,20822400000
2001-01-09,20281596000
2001-01-10,20570796000
2001-01-11,20570796000
2001-01-12,20244000000
2001-01-16,20912052000
2001-01-17,21383448000
2001-01-18,20859996000
2001-01-19,20677800000
2001-01-22,20912052000
2001-01-23,21056652000
2001-01-24,21183900000
2001-01-25,21345852000
2001-01-26,21490452000
2001-01-29,21432612000
2001-01-30,21530940000
2001-01-31,21406584000
2001-02-01,21371880000
2001-02-02,21516480000
2001-02-05,21574320000
2001-02-06,21400800000
2001-02-07,21354528000
2001-02-08,21088464000
2001-02-09,21235956000
2001-02-12,21733380000
2001-02-13,21435504000
2001-02-14,21111600000
2001-02-15,20851320000
2001-02-16,21366096000
2001-02-20,20588148000
2001-02-21,20301840000
2001-02-22,19839120000
2001-02-23,19882500000
2001-02-26,20171700000
2001-02-27,20608392000
2001-02-28,20099400000
2001-03-01,20244000000
2001-03-02,20194836000
2001-03-05,19850688000
2001-03-06,19804416000
2001-03-07,20021316000
2001-03-08,19925880000
2001-03-09,19633788000
2001-03-12,18494340000
2001-03-13,19014900000
2001-03-14,18332388000
2001-03-15,18826920000
2001-03-16,18450960000
2001-03-19,18725700000
2001-03-20,18326604000
2001-03-21,17453220000
2001-03-22,16730220000
2001-03-23,17875452000
2001-03-26,18352632000
2001-03-27,18630264000
2001-03-28,18725700000
2001-03-29,18939708000
2001-03-30,19593300000
2001-04-02,19656000000
2001-04-03,19310400000
2001-04-04,18714240000
2001-04-05,19180800000
2001-04-06,19051200000
2001-04-09,19152000000
2001-04-10,19238400000
2001-04-11,19255680000
2001-04-12,19330560000
2001-04-16,19368000000
2001-04-17,18936000000
2001-04-18,19581120000
