,CTVA
2019-05-24,21732600000
2019-05-28,21560238000
2019-05-29,21357900000
2019-05-30,21582720000
2019-05-31,20211318000
2019-06-03,18592614000
2019-06-04,20795850000
2019-06-05,20990694000
2019-06-06,20158860000
2019-06-07,19716714000
2019-06-10,18967314000
2019-06-11,18697530000
2019-06-12,18787458000
2019-06-13,18712518000
2019-06-14,18877386000
2019-06-17,19446930000
2019-06-18,20458620000
2019-06-19,20346210000
2019-06-20,20353704000
2019-06-21,20391174000
2019-06-24,20990694000
2019-06-25,20735898000
2019-06-26,21927444000
2019-06-27,22159758000
2019-06-28,22159758000
2019-07-01,22195478232
2019-07-02,21679478233
2019-07-03,21537391276
2019-07-05,21417739103
2019-07-08,20767130408
2019-07-09,20183826061
2019-07-10,19817391279
2019-07-11,19765043452
2019-07-12,20639999973
2019-07-15,20998956494
2019-07-16,20834434755
2019-07-17,20101565191
2019-07-18,19929565191
2019-07-19,20482956495
2019-07-22,20759652147
2019-07-23,21028869538
2019-07-24,21178434755
2019-07-25,20954086929
2019-07-26,21298086929
2019-07-29,21522434755
2019-07-30,21784173885
2019-07-31,22060869537
2019-08-01,23369565187
2019-08-02,23526608665
2019-08-05,22359999971
2019-08-06,22472173884
2019-08-07,22913391275
2019-08-08,23638782578
2019-08-09,23653739100
2019-08-12,22158086928
2019-08-13,22135652145
2019-08-14,21193391277
2019-08-15,21253217364
2019-08-16,22614260840
2019-08-19,22861043449
2019-08-20,22629217362
2019-08-21,22868521709
2019-08-22,22651652144
2019-08-23,21724347798
2019-08-26,21701913015
2019-08-27,21485043450
2019-08-28,21814086928
2019-08-29,22217913015
2019-08-30,21926260841
2019-09-03,21111130407
2019-09-04,21260695624
2019-09-05,21283130407
2019-09-06,21230782581
2019-09-09,21499999972
2019-09-10,21357913016
2019-09-11,21888869537
2019-09-12,22359999971
2019-09-13,22524521710
2019-09-16,21986086928
2019-09-17,21671999972
2019-09-18,21799130406
2019-09-19,21791652146
2019-09-20,21627130407
2019-09-23,21597217363
2019-09-24,21118608668
2019-09-25,21088695625
2019-09-26,20669913017
2019-09-27,20789565190
2019-09-30,20988106720
2019-10-01,20650797862
2019-10-02,20193556965
2019-10-03,20148582451
2019-10-04,19406502963
2019-10-07,19488956240
2019-10-08,19653862792
2019-10-09,19616384030
2019-10-10,19286570925
2019-10-11,19983675898
2019-10-14,19736316069
2019-10-15,20013658908
2019-10-16,20141086698
2019-10-17,20066129174
2019-10-18,19518939249
2019-10-21,19114168620
2019-10-22,19473964735
2019-10-23,19196621896
2019-10-24,19766299078
2019-10-25,20036146165
2019-10-28,20066129174
2019-10-29,20073624927
2019-10-30,20598327595
2019-10-31,19773794831
2019-11-01,19623879783
2019-11-04,19294066677
2019-11-05,19234100658
2019-11-06,19586401021
2019-11-07,19601392526
2019-11-08,19638871288
2019-11-11,20043641917
2019-11-12,20028650412
2019-11-13,19279075172
2019-11-14,19773794831
2019-11-15,19099177115
2019-11-18,19099177115
2019-11-19,19264083668
2019-11-20,18724389495
2019-11-21,18821834276
2019-11-22,19144151629
2019-11-25,19436485973
2019-11-26,19399007211
2019-11-27,19526435002
2019-11-29,19503947744
2019-12-02,18874304543
2019-12-03,18477029666
2019-12-04,18619448961
2019-12-05,18604457456
2019-12-06,18934270562
2019-12-09,19316553934
2019-12-10,19391511458
2019-12-11,19638871288
2019-12-12,20223539975
2019-12-13,19856248107
2019-12-16,20650797862
2019-12-17,20066129174
2019-12-18,20853183176
2019-12-19,20770729900
2019-12-20,21123030263
2019-12-23,21482826378
2019-12-24,21595262664
2019-12-26,21880101255
2019-12-27,21842622493
2019-12-30,21632741426
2019-12-31,22167044000
2020-01-02,21552126000
2020-01-03,21297160000
2020-01-06,21267164000
2020-01-07,21349653000
2020-01-08,21522130000
2020-01-09,21544627000
2020-01-10,21259665000
2020-01-13,21432142000
2020-01-14,21477136000
2020-01-15,21507132000
2020-01-16,21912078000
2020-01-17,21222170000
2020-01-21,20862218000
2020-01-22,21117184000
2020-01-23,21334655000
2020-01-24,20959705000
2020-01-27,20367284000
2020-01-28,20667244000
2020-01-29,20847220000
2020-01-30,21927076000
2020-01-31,21687108000
2020-02-03,22586988000
2020-02-04,23209405000
2020-02-05,23779329000
2020-02-06,23689341000
2020-02-07,23276896000
2020-02-10,22946940000
2020-02-11,22879449000
2020-02-12,23201906000
2020-02-13,22946940000
2020-02-14,23029429000
2020-02-18,23546860000
2020-02-19,23636848000
2020-02-20,23674343000
2020-02-21,23411878000
2020-02-24,22991934000
2020-02-25,21282162000
2020-02-26,21372150000
2020-02-27,20464771000
2020-02-28,20397280000
2020-03-02,21177176000
2020-03-03,20937208000
2020-03-04,21672110000
2020-03-05,20479769000
2020-03-06,18972470000
2020-03-09,17300193000
2020-03-10,19429909000
2020-03-11,18747500000
2020-03-12,16752766000
2020-03-13,18612518000
2020-03-16,15552925999
2020-03-17,17000233000
2020-03-18,16175343000
2020-03-19,17442674000
2020-03-20,16895247000
2020-03-23,16437808000
2020-03-24,16745266999
2020-03-25,17547660000
2020-03-26,18102586000
2020-03-27,17405179000
2020-03-30,18065091000
2020-03-31,17606200000
2020-04-01,16864492000
2020-04-02,16662207999
2020-04-03,16946904000
2020-04-06,18175592000
2020-04-07,18377876000
2020-04-08,19516660000
2020-04-09,20925156000
2020-04-13,19898752000
2020-04-14,19808848000
2020-04-15,19112092000
2020-04-16,18849872000
2020-04-17,19112092000
2020-04-20,18452796000
2020-04-21,18183084000
2020-04-22,18685048000
2020-04-23,19029680000
2020-04-24,19681484000
2020-04-27,19149552000
2020-04-28,19621548000
2020-04-29,20265860000
2020-04-30,19621548000
2020-05-01,19097108000
2020-05-04,19044664000
2020-05-05,19614056000
2020-05-06,18737492000
2020-05-07,19816340000
2020-05-08,19464216000
2020-05-11,18265496000
2020-05-12,17418900000
2020-05-13,17433884000
2020-05-14,17471344000
2020-05-15,17059284000
2020-05-18,17988292000
2020-05-19,17973308000
2020-05-20,18797428000
2020-05-21,18392860000
2020-05-22,18385368000
2020-05-26,19209488000
2020-05-27,19329360000
2020-05-28,20220908000
2020-05-29,20460652000
2020-06-01,20093544000
2020-06-02,20985092000
2020-06-03,21352200000
2020-06-04,22603364000
2020-06-05,22962980000
2020-06-08,22483492000
2020-06-09,22168828000
2020-06-10,21831688000
2020-06-11,20303320000
2020-06-12,20632968000
2020-06-15,20056084000
2020-06-16,20842744000
2020-06-17,20490620000
2020-06-18,20588016000
2020-06-19,20325796000
2020-06-22,20662936000
2020-06-23,20543064000
2020-06-24,19531644000
2020-06-25,19629040000
2020-06-26,19419264000
2020-06-29,19584088000
2020-06-30,20079105000
2020-07-01,20266480000
2020-07-02,20663715000
2020-07-06,20633735000
2020-07-07,20341430000
2020-07-08,19382070000
2020-07-09,19299625000
2020-07-10,19951690000
2020-07-13,20116580000
2020-07-14,20296460000
2020-07-15,20941030000
2020-07-16,20926040000
2020-07-17,21248325000
2020-07-20,20776140000
2020-07-21,21248325000
2020-07-22,21480670000
2020-07-23,21488165000
2020-07-24,21375740000
2020-07-27,21593095000
2020-07-28,21128405000
2020-07-29,21593095000
2020-07-30,21345760000
2020-07-31,21405720000
2020-08-03,21375740000
2020-08-04,21518145000
2020-08-05,21398225000
2020-08-06,19052290000
2020-08-07,18977340000
2020-08-10,19052290000
2020-08-11,20071610000
2020-08-12,19756820000
2020-08-13,20176540000
2020-08-14,20888565000
2020-08-17,20813615000
2020-08-18,21285800000
2020-08-19,21405720000
2020-08-20,21585600000
2020-08-21,21315780000
2020-08-24,21390730000
2020-08-25,21473175000
2020-08-26,21907885000
2020-08-27,21952855000
2020-08-28,22125240000
2020-08-31,21398225000
2020-09-01,22065280000
2020-09-02,22582435000
2020-09-03,22042795000
2020-09-04,21975340000
2020-09-08,21210850000
2020-09-09,21540630000
2020-09-10,21840430000
2020-09-11,21750490000
2020-09-14,21713015000
2020-09-15,22072775000
2020-09-16,21907885000
2020-09-17,22170210000
2020-09-18,21728005000
2020-09-21,21150890000
2020-09-22,21053455000
2020-09-23,20581270000
2020-09-24,20708685000
2020-09-25,21270810000
2020-09-28,21713015000
2020-09-29,21428205000
2020-09-30,21500903000
2020-10-01,21403884000
2020-10-02,21918831000
2020-10-05,22471093000
2020-10-06,22456167000
2020-10-07,22784539000
2020-10-08,24127879000
2020-10-09,24948809000
2020-10-12,25068217000
2020-10-13,25150310000
2020-10-14,25239866000
2020-10-15,25366737000
2020-10-16,25433904000
2020-10-19,25015976000
2020-10-20,24680141000
2020-10-21,24553270000
2020-10-22,24724919000
2020-10-23,24754771000
2020-10-26,24411473000
2020-10-27,24135342000
2020-10-28,23777118000
2020-10-29,24254750000
2020-10-30,24612973999
2020-11-02,24986123999
2020-11-03,24575659000
2020-11-04,24463714000
2020-11-05,25329422000
2020-11-06,25150310000
2020-11-09,25851832000
2020-11-10,27038448999
2020-11-11,27336969000
2020-11-12,26165278000
2020-11-13,26874263000
2020-11-16,27934009000
2020-11-17,27628026000
2020-11-18,27381747000
2020-11-19,27583248000
2020-11-20,27732507999
2020-11-23,28202677000
2020-11-24,29031070000
2020-11-25,28792254000
2020-11-27,28665382999
2020-11-30,28598216000
2020-12-01,28590753000
2020-12-02,28560901000
2020-12-03,28516123000
2020-12-04,28844495000
2020-12-07,28314622000
2020-12-08,28672846000
2020-12-09,29113163000
2020-12-10,28911662000
2020-12-11,28650457000
2020-12-14,28926588000
2020-12-15,29269886000
2020-12-16,29165404000
2020-12-17,29613184000
2020-12-18,29411682999
2020-12-21,29516164999
2020-12-22,29090773999
2020-12-23,29240034000
2020-12-24,29478850000
2020-12-28,28620605000
2020-12-29,28314622000
2020-12-30,28687772000
2020-12-31,28784448000
2021-01-04,28509390000
2021-01-05,28858788000
2021-01-06,30531438000
2021-01-07,31074119999
2021-01-08,32152050000
2021-01-11,32427108000
2021-01-12,33140772000
2021-01-13,32806242000
2021-01-14,32865714000
2021-01-15,32523750000
2021-01-19,32360202000
2021-01-20,32456843999
2021-01-21,30962610000
2021-01-22,31267404000
2021-01-25,30702419999
2021-01-26,29349431999
2021-01-27,28762146000
2021-01-28,29951586000
2021-01-29,29631924000
2021-02-01,30263814000
2021-02-02,30843666000
2021-02-03,31118724000
2021-02-04,31713443999
2021-02-05,32635260000
2021-02-08,32419674000
2021-02-09,32285862000
2021-02-10,31995936000
2021-02-11,32367636000
2021-02-12,32984658000
2021-02-16,33661152000
2021-02-17,33438131999
2021-02-18,32858280000
2021-02-19,33802398000
2021-02-22,34701912000
2021-02-23,34516062000
2021-02-24,34501194000
2021-02-25,33720624000
2021-02-26,33564510000
2021-03-01,34397118000
2021-03-02,34032852000
2021-03-03,33705756000
2021-03-04,32598090000
2021-03-05,33334056000
2021-03-08,33378660000
2021-03-09,33237414000
2021-03-10,34939800000
2021-03-11,34835724000
2021-03-12,34865460000
2021-03-15,34813422000
2021-03-16,34322778000
2021-03-17,35133084000
2021-03-18,34910064000
2021-03-19,34991838000
2021-03-22,35162820000
2021-03-23,34084890000
2021-03-24,34337646000
2021-03-25,34776252000
2021-03-26,35616294000
2021-03-29,35512218000
2021-03-30,34895196000
2021-03-31,34372926000
2021-04-01,34461402000
2021-04-05,34682592000
2021-04-06,35198702000
2021-04-07,34468775000
2021-04-08,34601489000
2021-04-09,34748949000
2021-04-12,34726830000
2021-04-13,34557251000
2021-04-14,34815306000
2021-04-15,35036496000
2021-04-16,35021750000
2021-04-19,35036496000
2021-04-20,34623608000
2021-04-21,35596844000
2021-04-22,35449384000
2021-04-23,35854899000
2021-04-26,36031851000
2021-04-27,36245668000
2021-04-28,36267787000
2021-04-29,36540588000
2021-04-30,35950748000
2021-05-03,36665929000
2021-05-04,36710167000
2021-05-05,35154464000
2021-05-06,35692693000
2021-05-07,36024478000
2021-05-10,34645727000
2021-05-11,34719457000
2021-05-12,33311214000
2021-05-13,33856816000
2021-05-14,34151736000
2021-05-17,34078006000
2021-05-18,33753594000
2021-05-19,33045786000
2021-05-20,32537049000
2021-05-21,32957310000
2021-05-24,33289095000
2021-05-25,32883580000
2021-05-26,33016294000
2021-05-27,33311214000
2021-05-28,33547150000
2021-06-01,33893681000
2021-06-02,33665117999
2021-06-03,33901053999
2021-06-04,33886308000
2021-06-07,33864189000
2021-06-08,33842070000
2021-06-09,33539777000
2021-06-10,32854088000
2021-06-11,32839342000
2021-06-14,32411708000
2021-06-15,32669763000
2021-06-16,32220010000
2021-06-17,32079923000
2021-06-18,31490083000
2021-06-21,32006192999
2021-06-22,32065177000
2021-06-23,32124161000
2021-06-24,32699255000
2021-06-25,32559167999
2021-06-28,32691882000
2021-06-29,32647644000
2021-06-30,32544030000
2021-07-01,32742156000
2021-07-02,32654100000
2021-07-06,32353242000
2021-07-07,31832244000
2021-07-08,31480020000
2021-07-09,31883610000
2021-07-12,32140439999
2021-07-13,31590089999
2021-07-14,31311246000
2021-07-15,31127796000
2021-07-16,30680178000
2021-07-19,30034434000
2021-07-20,30621473999
2021-07-21,30973698000
2021-07-22,31017726000
2021-07-23,30914994000
2021-07-26,31076430000
2021-07-27,31208514000
2021-07-28,31421316000
2021-07-29,31714836000
2021-07-30,31391964000
2021-08-02,31171823999
2021-08-03,31604766000
2021-08-04,31017726000
2021-08-05,30408672000
2021-08-06,32844888000
2021-08-09,33153084000
2021-08-10,33483294000
2021-08-11,33564012000
2021-08-12,33798828000
2021-08-13,33747462000
2021-08-16,33145746000
2021-08-17,33072366000
2021-08-18,32243172000
2021-08-19,31223189999
2021-08-20,30775572000
2021-08-23,30782910000
2021-08-24,31223189999
2021-08-25,32125764000
2021-08-26,32279862000
2021-08-27,32419284000
2021-08-30,32111088000
2021-08-31,32265186000
2021-09-01,32566044000
2021-09-02,32962296000
2021-09-03,32962296000
2021-09-07,32529354000
2021-09-08,32389932000
2021-09-09,31979004000
2021-09-10,31861596000
2021-09-13,31656132000
2021-09-14,31010388000
2021-09-15,31531386000
2021-09-16,31245204000
2021-09-17,30724206000
2021-09-20,30445362000
2021-09-21,30379320000
2021-09-22,30775572000
2021-09-23,31120457999
2021-09-24,31047078000
2021-09-27,31890948000
2021-09-28,31582752000
2021-09-29,31450668000
2021-09-30,30684736000
2021-10-01,31720200000
2021-10-04,31027459999
2021-10-05,31691032000
2021-10-06,30626400000
2021-10-07,30983708000
2021-10-08,31195176000
2021-10-11,30961832000
2021-10-12,30589940000
2021-10-13,30801408000
2021-10-14,31625404000
2021-10-15,31727492000
2021-10-18,31559776000
2021-10-19,31814996000
2021-10-20,32179596000
2021-10-21,31144132000
2021-10-22,31173300000
2021-10-25,31005584000
2021-10-26,31144132000
2021-10-27,30706612000
2021-10-28,31384768000
2021-10-29,31464980000
2021-11-01,31362892000
2021-11-02,31238928000
2021-11-03,32675452000
2021-11-04,34564080000
2021-11-05,34709920000
2021-11-08,33936968000
2021-11-09,34892220000
2021-11-10,34768256000
2021-11-11,34775548000
2021-11-12,35512040000
2021-11-15,35271404000
2021-11-16,35315156000
2021-11-17,35256820000
2021-11-18,35490164000
2021-11-19,34863052000
2021-11-22,34673460000
2021-11-23,34928680000
2021-11-24,34688044000
2021-11-26,34148436000
2021-11-29,33973428000
2021-11-30,32814000000
2021-12-01,32566071999
2021-12-02,33681748000
2021-12-03,33572368000
2021-12-06,34345320000
2021-12-07,34819300000
2021-12-08,35081812000
2021-12-09,35023476000
2021-12-10,34972432000
2021-12-13,34002596000
2021-12-14,33769252000
2021-12-15,33608828000
2021-12-16,34257815999
2021-12-17,33601536000
2021-12-20,32638992000
2021-12-21,33411944000
2021-12-22,33492156000
2021-12-23,33864048000
2021-12-27,34279692000
2021-12-28,34549496000
2021-12-29,34527620000
2021-12-30,34359904000
2021-12-31,34372560000
2022-01-03,34096300000
2022-01-04,34728790000
2022-01-05,34343480000
2022-01-06,34823300000
2022-01-07,35201340000
2022-01-10,34452530000
2022-01-11,35194070000
2022-01-12,35521220000
2022-01-13,35550300000
2022-01-14,35332200000
2022-01-18,34997780000
2022-01-19,34328940000
2022-01-20,33834580000
2022-01-21,33034880000
2022-01-24,33492890000
2022-01-25,33478349999
2022-01-26,33449270000
2022-01-27,34052680000
2022-01-28,34503420000
2022-01-31,34954160000
2022-02-01,34845110000
2022-02-02,34990510000
2022-02-03,35281310000
2022-02-04,36531750000
