,META
2012-05-18,71834170573
2012-05-21,63942370510
2012-05-22,58249000465
2012-05-23,60128000480
2012-05-24,62063370495
2012-05-25,59958890478
2012-05-29,54190360432
2012-05-30,52969010422
2012-05-31,55618400444
2012-06-01,52085880415
2012-06-04,50545100403
2012-06-05,48609730388
2012-06-06,50375990402
2012-06-07,49436490394
2012-06-08,50920900406
2012-06-11,50751790405
2012-06-12,51484600411
2012-06-13,51240330409
2012-06-14,53156910424
2012-06-15,56388790450
2012-06-18,59019390471
2012-06-19,59958890478
2012-06-20,59376400474
2012-06-21,59827360477
2012-06-22,62100950495
2012-06-25,60240740480
2012-06-26,62194900496
2012-06-27,60560170483
2012-06-28,58925440470
2012-06-29,58436900466
2012-07-02,74463400584
2012-07-03,75504000592
2012-07-05,76157400597
2012-07-06,76786600602
2012-07-09,77851400611
2012-07-10,76157400597
2012-07-11,74947400588
2012-07-12,74560200585
2012-07-13,74342400583
2012-07-16,68365000536
2012-07-17,67977800533
2012-07-18,70446200553
2012-07-19,70180000551
2012-07-20,69599200546
2012-07-23,69575000546
2012-07-24,68849000540
2012-07-25,71002800557
2012-07-26,64977000510
2012-07-27,57378200450
2012-07-30,56023000439
2012-07-31,52538200412
2012-08-01,50529600396
2012-08-02,48496800380
2012-08-03,51037800400
2012-08-06,53046400416
2012-08-07,50142400393
2012-08-08,50142400393
2012-08-09,50844200399
2012-08-10,52780200414
2012-08-13,52272000410
2012-08-14,49319600387
2012-08-15,51304000402
2012-08-16,48085400377
2012-08-17,46101000361
2012-08-20,48424200380
2012-08-21,46367200364
2012-08-22,47044800369
2012-08-23,47044800369
2012-08-24,46972200368
2012-08-27,46343000363
2012-08-28,46802800367
2012-08-29,46222000362
2012-08-30,46197800362
2012-08-31,43705200343
2012-09-04,42906600336
2012-09-05,44963600353
2012-09-06,45883200360
2012-09-07,45931600360
2012-09-10,45520200357
2012-09-11,47020600369
2012-09-12,50650600397
2012-09-13,50118200393
2012-09-14,53240000418
2012-09-17,52078400408
2012-09-18,52925400415
2012-09-19,56361800442
2012-09-20,54667800429
2012-09-21,55321200434
2012-09-24,50311800395
2012-09-25,49077600385
2012-09-26,49900400391
2012-09-27,49174400386
2012-09-28,52417200411
2012-10-01,58509374415
2012-10-02,59254377818
2012-10-03,58083658185
2012-10-04,58402945358
2012-10-05,55635789860
2012-10-08,54278819376
2012-10-09,53826495881
2012-10-10,52256667281
2012-10-11,52549347190
2012-10-12,51937380108
2012-10-15,51937380108
2012-10-16,51830951051
2012-10-17,52895241627
2012-10-18,50500587831
2012-10-19,50553802360
2012-10-22,51405234820
2012-10-23,51884165580
2012-10-24,61808675201
2012-10-25,60025988486
2012-10-26,58376338093
2012-10-31,56167935148
2012-11-01,56434007792
2012-11-02,56354185999
2012-11-05,56540436850
2012-11-06,56327578734
2012-11-07,54465070226
2012-11-08,53187921535
2012-11-09,51112554912
2012-11-12,53400779650
2012-11-13,52842027098
2012-11-14,59493843198
2012-11-15,58988305174
2012-11-16,62686714926
2012-11-19,60983850004
2012-11-20,61462780764
2012-11-21,64708867020
2012-11-23,63857434560
2012-11-26,69019243853
2012-11-27,69577996406
2012-11-28,70136748958
2012-11-29,72691046340
2012-11-30,74500340320
2012-12-03,71946042937
2012-12-04,73063548042
2012-12-05,73728729652
2012-12-06,71759792086
2012-12-07,73143369835
2012-12-10,74074624089
2012-12-11,74447125791
2012-12-12,73382835215
2012-12-13,75138914665
2012-12-14,71334075856
2012-12-17,71174432270
2012-12-18,73728729652
2012-12-19,72930511720
2012-12-20,72797475398
2012-12-21,69870676314
2012-12-24,71653363029
2012-12-26,70535857924
2012-12-27,69311923762
2012-12-28,68939422060
2012-12-31,65915901164
2013-01-02,69333029024
2013-01-03,68763507714
2013-01-04,71214925526
2013-01-07,72849204067
2013-01-08,71957779408
2013-01-09,75746334208
2013-01-10,77504421730
2013-01-11,78544417165
2013-01-14,76637758867
2013-01-15,74533006200
2013-01-16,73913961298
2013-01-17,74632053385
2013-01-18,73443487173
2013-01-22,76092999353
2013-01-23,76315855518
2013-01-24,76959662216
2013-01-25,78098704836
2013-01-28,80401551871
2013-01-29,76241570130
2013-01-30,77355850953
2013-01-31,76712044255
2013-02-01,73616819745
2013-02-04,69605408780
2013-02-05,70917783973
2013-02-06,71933017612
2013-02-07,70942545769
2013-02-08,70694927808
2013-02-11,69976835722
2013-02-12,67773035870
2013-02-13,69110172859
2013-02-14,70571118828
2013-02-15,70125406498
2013-02-19,71635876059
2013-02-20,70472071643
2013-02-21,67550179706
2013-02-22,67178752765
2013-02-25,67525417910
2013-02-26,67822559463
2013-02-27,66534946066
2013-02-28,67475894318
2013-03-01,68788269510
2013-03-04,68639698733
2013-03-05,68144462812
2013-03-06,67971130239
2013-03-07,70769213196
2013-03-08,69233981839
2013-03-11,69679694169
2013-03-12,68912078490
2013-03-13,67054943784
2013-03-14,66955896600
2013-03-15,65990186553
2013-03-18,65593997815
2013-03-19,65742568592
2013-03-20,64034004662
2013-03-21,63736863109
2013-03-22,63712101313
2013-03-25,62226393549
2013-03-26,62424487917
2013-03-27,64603525972
2013-03-28,63340674372
2013-04-01,63492670526
2013-04-02,63219102420
2013-04-03,65283298132
2013-04-04,67322624017
2013-04-05,68118458508
2013-04-08,66775487804
2013-04-09,66128872279
2013-04-10,68566115410
2013-04-11,69685257663
2013-04-12,68143328336
2013-04-15,65954783484
2013-04-16,66949576599
2013-04-17,66228351591
2013-04-18,63890587772
2013-04-19,63990067083
2013-04-22,64586942952
2013-04-23,64611812780
2013-04-24,64935120542
2013-04-25,65009730026
2013-04-26,66775487804
2013-04-29,67098795566
2013-04-30,69063511967
2013-05-01,68217937819
2013-05-02,72047891310
2013-05-03,70406482671
2013-05-06,68566115410
2013-05-07,66874967115
2013-05-08,67446973156
2013-05-09,67248014533
2013-05-10,66352700730
2013-05-13,66700878320
2013-05-14,67322624017
2013-05-15,66153742107
2013-05-16,64984860198
2013-05-17,65283298132
2013-05-20,64064676567
2013-05-21,63815978288
2013-05-22,62572486895
2013-05-23,62323788617
2013-05-24,60458551527
2013-05-28,59936285142
2013-05-29,57996438569
2013-05-30,61055427396
2013-05-31,60558030839
2013-06-03,59314539446
2013-06-04,58493835126
2013-06-05,56951905799
2013-06-06,57125994594
2013-06-07,57921829085
2013-06-10,60508291183
2013-06-11,59762196347
2013-06-12,59115580823
2013-06-13,59016101511
2013-06-14,58767403233
2013-06-17,59737326519
2013-06-18,60209853249
2013-06-19,60458551527
2013-06-20,59438888585
2013-06-21,61005687740
2013-06-24,59538367896
2013-06-25,60309332560
2013-06-26,60085504109
2013-06-27,61328995502
2013-06-28,61876131715
2013-07-01,62276985667
2013-07-02,61272923020
2013-07-03,61549040248
2013-07-05,61172516756
2013-07-08,62025970006
2013-07-09,63958790601
2013-07-10,64762040718
2013-07-11,64787142284
2013-07-12,65038157946
2013-07-15,65966915894
2013-07-16,66067322159
2013-07-17,66895673843
2013-07-18,65715900233
2013-07-19,64962853247
2013-07-22,65389579872
2013-07-23,65590392402
2013-07-24,66544251916
2013-07-25,86248981360
2013-07-26,85370426544
2013-07-29,88934848940
2013-07-30,94457193497
2013-07-31,92373763505
2013-08-01,94105771571
2013-08-02,95511459276
2013-08-05,98373037820
2013-08-06,96766537585
2013-08-07,97569787702
2013-08-08,96741436019
2013-08-09,96641029754
2013-08-12,95938185901
2013-08-13,92925997961
2013-08-14,91997240013
2013-08-15,91771325917
2013-08-16,93076607358
2013-08-19,94909021688
2013-08-20,96415115658
2013-08-21,96189201563
2013-08-22,96766537585
2013-08-23,101786850819
2013-08-26,103769874546
2013-08-27,99502608297
2013-08-28,101786850819
2013-08-29,103619265149
2013-08-30,103644366715
2013-09-03,105100257553
2013-09-04,104874343458
2013-09-05,107083281281
2013-09-06,110321383317
2013-09-09,110547297412
2013-09-10,109442828501
2013-09-11,113057454029
2013-09-12,112329508610
2013-09-13,111225039699
2013-09-16,106706757788
2013-09-17,113132758728
2013-09-18,113534383786
2013-09-19,115417001249
2013-09-20,119207337741
2013-09-23,118454290756
2013-09-24,121617088093
2013-09-25,124152346276
2013-09-26,126486791930
2013-09-27,128620425055
2013-09-30,127751692286
2013-10-01,128234925842
2013-10-02,127878859011
2013-10-03,125081191054
2013-10-04,129811793237
2013-10-07,128489259293
2013-10-08,119892788659
2013-10-09,118951754892
2013-10-10,124750557568
2013-10-11,124903157638
2013-10-14,125920491441
2013-10-15,125895058096
2013-10-16,130066126687
2013-10-17,132787494610
2013-10-18,137899596969
2013-10-21,136958563201
2013-10-22,133982861828
2013-10-23,131999060913
2013-10-24,133397894892
2013-10-25,132126227638
2013-10-28,127751692286
2013-10-29,125640724645
2013-10-30,124648824188
2013-10-31,127700825596
2013-11-01,126530891723
2013-11-04,122639589927
2013-11-05,127446492145
2013-11-06,124928590983
2013-11-07,120960989152
2013-11-08,120884689117
2013-11-11,117502054223
2013-11-12,118544821371
2013-11-13,123885823835
2013-11-14,124597957497
2013-11-15,124648824188
2013-11-18,116561020455
2013-11-19,117908987744
2013-11-20,118087021160
2013-11-21,118773721476
2013-11-22,117578354258
2013-11-25,113992252603
2013-11-26,116713620526
2013-11-27,118239621230
2013-11-29,119562155174
2013-12-02,119689321899
2013-12-03,118850021512
2013-12-04,123656923730
2013-12-05,122944790068
2013-12-06,121927456265
2013-12-09,124216457321
2013-12-10,127802558976
2013-12-11,125589857955
2013-12-12,131821027497
2013-12-13,135610595913
2013-12-16,136856829821
2013-12-17,139527331054
2013-12-18,141333098553
2013-12-19,140010564610
2013-12-20,140188598025
2013-12-23,146928434469
2013-12-24,147411668025
2013-12-26,146826701089
2013-12-27,141002465068
2013-12-30,136602496370
2013-12-31,141915747873
2014-01-02,142071556563
2014-01-03,141682034839
2014-01-06,148537617170
2014-01-07,150407321442
2014-01-08,151212333004
2014-01-09,148589553400
2014-01-10,150459257672
2014-01-13,145187730349
2014-01-14,149939895374
2014-01-15,149576341766
2014-01-16,148511649055
2014-01-17,146200486830
2014-01-21,151939440221
2014-01-22,149342628732
2014-01-23,147057434622
2014-01-24,141396385576
2014-01-27,139059255235
2014-01-28,143188185503
2014-01-29,139007319006
2014-01-30,158613245748
2014-01-31,162482494866
2014-02-03,159651970343
2014-02-04,162949920934
2014-02-05,161495706500
2014-02-06,161417802156
2014-02-07,167026914972
2014-02-10,165027370125
2014-02-11,168403225061
2014-02-12,167364500466
2014-02-13,174843317554
2014-02-14,174220082797
2014-02-18,174765413209
2014-02-19,176738989941
2014-02-20,180815983979
2014-02-21,178115300030
2014-02-24,183802317191
2014-02-25,181387282506
2014-02-26,179855163728
2014-02-27,179024184051
2014-02-28,177777714536
2014-03-03,175051062473
2014-03-04,178660630443
2014-03-05,185853798267
2014-03-06,183958125880
2014-03-07,181257441932
2014-03-10,187048331552
2014-03-11,182036485378
2014-03-12,184061998340
2014-03-13,178738534787
2014-03-14,175856074035
2014-03-17,178504821753
2014-03-18,179673386923
2014-03-19,177206416009
2014-03-20,173908465418
2014-03-21,174609604520
2014-03-24,166455616444
2014-03-25,168507097521
2014-03-26,156821445820
2014-03-27,158327596484
2014-03-28,155834657454
2014-03-31,156930492385
2014-04-01,163130601480
2014-04-02,163391110265
2014-04-03,154976676493
2014-04-04,147838735771
2014-04-07,148359753342
2014-04-08,151590062282
2014-04-09,162583533030
2014-04-10,154116997501
2014-04-11,152475792153
2014-04-14,153413623780
2014-04-15,153934641351
2014-04-16,155575846700
2014-04-17,153543878173
2014-04-21,159535580240
2014-04-22,164198687500
2014-04-23,159848190782
2014-04-24,158571697733
2014-04-25,150339620112
2014-04-28,146249632179
2014-04-29,151485858768
2014-04-30,155732151971
2014-05-01,159301122333
2014-05-02,157503611713
2014-05-05,159483478483
2014-05-06,152475792153
2014-05-07,149505991998
2014-05-08,147864786649
2014-05-09,149115228820
2014-05-12,155862406364
2014-05-13,155862406364
2014-05-14,154299353651
2014-05-15,150886688561
2014-05-16,151147197347
2014-05-19,154247251894
2014-05-20,152553944788
2014-05-21,157581764348
2014-05-22,157659916984
2014-05-23,159822139904
2014-05-27,165370977035
2014-05-28,165449129671
2014-05-29,166282757784
2014-05-30,164902061221
2014-06-02,164328941893
2014-06-03,163781873443
2014-06-04,165006264735
2014-06-05,164615501557
2014-06-06,162817990937
2014-06-09,163807924322
2014-06-10,171336628223
2014-06-11,171362679101
2014-06-12,167481098197
2014-06-13,168028166647
2014-06-16,167220589412
2014-06-17,167767657862
2014-06-18,170893763288
2014-06-19,167611352590
2014-06-20,168028166647
2014-06-23,170294593081
