,AIG
2000-12-01,201253818000
2000-12-04,203706852000
2000-12-05,206675700000
2000-12-06,209128734000
2000-12-07,210289899000
2000-12-08,214163172000
2000-12-11,206675700000
2000-12-12,205513368000
2000-12-13,201899169000
2000-12-14,199446135000
2000-12-15,197767989000
2000-12-18,203189871000
2000-12-19,194153790000
2000-12-20,192733551000
2000-12-21,200091486000
2000-12-22,199963116000
2000-12-26,201511725000
2000-12-27,205513368000
2000-12-28,204610110000
2000-12-29,203577315000
2001-01-02,224867167000
2001-01-03,222691388500
2001-01-04,206588791500
2001-01-05,203976283500
2001-01-08,205282537500
2001-01-09,201946081500
2001-01-10,200785404000
2001-01-11,195707276000
2001-01-12,190774724500
2001-01-16,196867953500
2001-01-17,197303371500
2001-01-18,200785404000
2001-01-19,195271858000
2001-01-22,196432535500
2001-01-23,199624726500
2001-01-24,203976283500
2001-01-25,205717955500
2001-01-26,203686442000
2001-01-29,202827409500
2001-01-30,202642488000
2001-01-31,197349274000
2001-02-01,198557165500
2001-02-02,200529661500
2001-02-05,204708100500
2001-02-06,200900816000
2001-02-07,201713946000
2001-02-08,198928320000
2001-02-09,201202461000
2001-02-12,207749469000
2001-02-13,206541577500
2001-02-14,199670629000
2001-02-15,201063442000
2001-02-16,201063442000
2001-02-20,196374829500
2001-02-21,188714358000
2001-02-22,190456030000
2001-02-23,187670404000
2001-02-26,189178629000
2001-02-27,196420732000
2001-02-28,189875035500
2001-03-01,190688165500
2001-03-02,190920301000
2001-03-05,190456030000
2001-03-06,187972049000
2001-03-07,190525539500
2001-03-08,194471843000
2001-03-09,189690114000
2001-03-12,181287333500
2001-03-13,182888675000
2001-03-14,175716081500
2001-03-15,182795558500
2001-03-16,181055198000
2001-03-19,178733843000
2001-03-20,178849255000
2001-03-21,175228203500
2001-03-22,174369171000
2001-03-23,175136398500
2001-03-26,180289282000
2001-03-27,183886726500
2001-03-28,183771314500
2001-03-29,181309629000
2001-03-30,186857274000
2001-04-02,192398436500
2001-04-03,186042511500
2001-04-04,178226689500
2001-04-05,179618440500
2001-04-06,177553092500
2001-04-09,176696025500
2001-04-10,178782341500
2001-04-11,178573972000
2001-04-12,180453229000
2001-04-16,179872677500
2001-04-17,182076938500
2001-04-18,185578594500
2001-04-19,189382976000
2001-04-20,183236731000
2001-04-23,180893557000
2001-04-24,179061478000
2001-04-25,182447810000
2001-04-26,185207723000
2001-04-27,187178715000
2001-04-30,189730258500
2001-05-01,192281802000
2001-05-02,190658092500
2001-05-03,191817885000
2001-05-04,195645855500
2001-05-07,195273673500
2001-05-08,194833345500
2001-05-09,194508341500
2001-05-10,192513760500
2001-05-11,190426134000
2001-05-14,191006685500
2001-05-15,192398436500
2001-05-16,196480644000
2001-05-17,194508341500
2001-05-18,193952689500
2001-05-21,196411187500
2001-05-22,192977677500
2001-05-23,190194175500
2001-05-24,191609515500
2001-05-25,190913640000
2001-05-29,190727549000
2001-05-30,189406565000
2001-05-31,187874590500
2001-06-01,185764685500
2001-06-04,188037092500
2001-06-05,189498300000
2001-06-06,187874590500
2001-06-07,188106549000
2001-06-08,187318938500
