,FANG
2015-04-14,4941492910
2015-04-15,5065660290
2015-04-16,5121597080
2015-04-17,5075495330
2015-04-20,5167698830
2015-04-21,5090247890
2015-04-22,5039228620
2015-04-23,5037999240
2015-04-24,4907070270
2015-04-27,4900923370
2015-04-28,4931657870
2015-04-29,5099468240
2015-04-30,5075495330
2015-05-01,5033081720
2015-05-04,5098238860
2015-05-05,4902767440
2015-05-06,4835766230
2015-05-07,4631074460
2015-05-08,4733727690
2015-05-11,4814866770
2015-05-12,4892317710
2015-05-13,4881867980
2015-05-14,4745406800
2015-05-15,4851748170
2015-05-18,4870188870
2015-05-19,4762003430
2015-05-20,4827160570
2015-05-21,4955630780
2015-05-22,5002347220
2015-05-26,4870188870
2015-05-27,4867115420
2015-05-28,4765691570
2015-05-29,4782902890
2015-06-01,4853592240
2015-06-02,4857895070
2015-06-03,4773682540
2015-06-04,4699919740
2015-06-05,4810563940
2015-06-08,4845601270
2015-06-09,4916905310
2015-06-10,5005420670
2015-06-11,4981447760
2015-06-12,4957474850
2015-06-15,4910758410
2015-06-16,4963621750
2015-06-17,4880023910
2015-06-18,4829619330
2015-06-19,4709754780
2015-06-22,4844371890
2015-06-23,4910758410
2015-06-24,4792123240
2015-06-25,4695616910
2015-06-26,4625542250
2015-06-29,4620010040
2015-06-30,4918620380
2015-07-01,4751577820
2015-07-02,4771805630
2015-07-06,4581272710
2015-07-07,4636736060
2015-07-08,4521241790
2015-07-09,4623685860
2015-07-10,4625643390
2015-07-13,4653048810
2015-07-14,4785508340
2015-07-15,4612593190
2015-07-16,4514716690
2015-07-17,4324183770
2015-07-20,4230222330
2015-07-21,4304608470
2015-07-22,4322226240
2015-07-23,4325488790
2015-07-24,4169538900
2015-07-27,4130388300
2015-07-28,4240662489
2015-07-29,4414230150
2015-07-30,4416187680
2015-07-31,4391392300
2015-08-03,4360071820
2015-08-04,4436415490
2015-08-05,4461210870
2015-08-06,4598890480
2015-08-07,4491878840
2015-08-10,4579967690
2015-08-11,4624338370
2015-08-12,4729392480
2015-08-13,4676539170
2015-08-14,4822048900
2015-08-17,4711774710
2015-08-18,4788118380
2015-08-19,4687631840
2015-08-20,4582577730
2015-08-21,4342454050
2015-08-24,4029249250
2015-08-25,3968565820
2015-08-26,4051434590
2015-08-27,4286990700
2015-08-28,4343106560
2015-08-31,4455990790
2015-09-01,4209994519
2015-09-02,4401179950
2015-09-03,4370511980
2015-09-04,4306566000
2015-09-08,4392044810
2015-09-09,4244577550
2015-09-10,4363986880
2015-09-11,4326793810
2015-09-14,4288295720
2015-09-15,4352241700
2015-09-16,4560392390
2015-09-17,4555172310
2015-09-18,4502319000
2015-09-21,4529724420
2015-09-22,4514064180
2015-09-23,4338538990
2015-09-24,4350284170
2015-09-25,4307218510
2015-09-28,4086670130
2015-09-29,4110813000
2015-09-30,4308801782
2015-10-01,4372833512
2015-10-02,4626292440
2015-10-05,4816386636
2015-10-06,4841065532
2015-10-07,4912434230
2015-10-08,5083852505
2015-10-09,5132543300
2015-10-12,5129875311
2015-10-13,5080517520
2015-10-14,5097859446
2015-10-15,5047834658
2015-10-16,5147884235
2015-10-19,4889756326
2015-10-20,4893091312
2015-10-21,4753688901
2015-10-22,4825724597
2015-10-23,4797043718
2015-10-26,4861075447
2015-10-27,4839731538
2015-10-28,5035828709
2015-10-29,5029158737
2015-10-30,4925107177
2015-11-02,4896426298
2015-11-03,5153220212
2015-11-04,5074514545
2015-11-05,5141881260
2015-11-06,5188571063
2015-11-09,5310631547
2015-11-10,5309297552
2015-11-11,5324638487
2015-11-12,5208580978
2015-11-13,5117202364
2015-11-16,5313299535
2015-11-17,5309964549
2015-11-18,5430691039
2015-11-19,5139880269
2015-11-20,5167227153
2015-11-23,5318635513
2015-11-24,5331975456
2015-11-25,5249267806
2015-11-27,5170562139
2015-11-30,5203911998
2015-12-01,5215917947
2015-12-02,5121871345
2015-12-03,5119203356
2015-12-04,5089855480
2015-12-07,4925774174
2015-12-08,4998476866
2015-12-09,5137212280
2015-12-10,5275280696
2015-12-11,5106530410
2015-12-14,5043165677
2015-12-15,5103195424
2015-12-16,4826391594
2015-12-17,4585605612
2015-12-18,4412853342
2015-12-21,4148722459
2015-12-22,4225427135
2015-12-23,4499562976
2015-12-24,4530244846
2015-12-28,4364162548
2015-12-29,4431529263
2015-12-30,4403515382
2015-12-31,4751639400
2016-01-04,4695528860
2016-01-05,4630184940
2016-01-06,4417817200
2016-01-07,4289970400
2016-01-08,4315539760
