,WELL
2000-01-03,435484700
2000-01-04,433502650
2000-01-05,445961250
2000-01-06,468896399
2000-01-07,475975149
2000-01-10,485035950
2000-01-11,475975149
2000-01-12,468896399
2000-01-13,470878450
2000-01-14,468896399
2000-01-18,456720950
2000-01-19,472577350
2000-01-20,483053899
2000-01-21,492114700
2000-01-24,483053899
2000-01-25,481355000
2000-01-26,486734850
2000-01-27,481355000
2000-01-28,463799700
2000-01-31,456720950
2000-02-01,454738899
2000-02-02,447660150
2000-02-03,440581400
2000-02-04,438882500
2000-02-07,437183600
2000-02-08,437183600
2000-02-09,424725000
2000-02-10,421327200
2000-02-11,421327200
2000-02-14,426423900
2000-02-15,428405950
2000-02-16,433502650
2000-02-17,431803750
2000-02-18,433502650
2000-02-22,433502650
2000-02-23,435484700
2000-02-24,431803750
2000-02-25,426423900
2000-02-28,430104850
2000-02-29,440581400
2000-03-01,431803750
2000-03-02,435484700
2000-03-03,431803750
2000-03-06,430104850
2000-03-07,419345150
2000-03-08,428405950
2000-03-09,417646250
2000-03-10,433502650
2000-03-13,428405950
2000-03-14,424725000
2000-03-15,419345150
2000-03-16,423026100
2000-03-17,424725000
2000-03-20,435484700
2000-03-21,440581400
2000-03-22,445961250
2000-03-23,438882500
2000-03-24,421327200
2000-03-27,424725000
2000-03-28,421327200
2000-03-29,424725000
2000-03-30,414248450
2000-03-31,397376000
2000-04-03,399079040
2000-04-04,393969920
2000-04-05,408161920
2000-04-06,416960960
2000-04-07,413271040
2000-04-10,413271040
2000-04-11,420367040
2000-04-12,445344960
2000-04-13,448751040
2000-04-14,431152960
2000-04-17,438248960
2000-04-18,445344960
2000-04-19,461240000
2000-04-20,468336000
2000-04-24,472025920
2000-04-25,472025920
2000-04-26,473728960
2000-04-27,470039039
2000-04-28,452440960
2000-05-01,450737920
2000-05-02,454144000
2000-05-03,454144000
2000-05-04,441655040
2000-05-05,438248960
2000-05-08,452440960
2000-05-09,450737920
2000-05-10,448751040
2000-05-11,457833920
2000-05-12,466632960
2000-05-15,472025920
2000-05-16,468336000
2000-05-17,459536960
2000-05-18,455847039
2000-05-19,454144000
2000-05-22,461240000
2000-05-23,457833920
2000-05-24,454144000
2000-05-25,452440960
2000-05-26,450737920
2000-05-30,459536960
2000-05-31,455847039
2000-06-01,455847039
2000-06-02,457833920
2000-06-05,457833920
2000-06-06,461240000
2000-06-07,461240000
2000-06-08,464929920
2000-06-09,468336000
2000-06-12,470039039
2000-06-13,468336000
2000-06-14,468336000
2000-06-15,468336000
2000-06-16,468336000
2000-06-19,468336000
2000-06-20,466632960
2000-06-21,468336000
2000-06-22,461240000
2000-06-23,462943039
2000-06-26,464929920
2000-06-27,468336000
2000-06-28,468336000
2000-06-29,466632960
2000-06-30,463808890
2000-07-03,466944660
2000-07-05,472075919
2000-07-06,470365500
2000-07-07,470365500
2000-07-10,475781830
2000-07-11,481198160
2000-07-12,484619000
2000-07-13,490035330
2000-07-14,495451660
2000-07-17,497162080
2000-07-18,498872500
2000-07-19,507709669
2000-07-20,518542330
2000-07-21,523958660
2000-07-24,527379500
2000-07-25,521963169
2000-07-26,525669080
2000-07-27,520252750
2000-07-28,500582919
2000-07-31,513126000
2000-08-01,516831910
2000-08-02,518542330
2000-08-03,518542330
2000-08-04,518542330
2000-08-07,518542330
2000-08-08,525669080
2000-08-09,531085410
2000-08-10,532795830
2000-08-11,536216669
2000-08-14,539922580
2000-08-15,529089919
2000-08-16,529089919
2000-08-17,531085410
2000-08-18,527379500
2000-08-21,531085410
2000-08-22,532795830
2000-08-23,523958660
2000-08-24,529089919
2000-08-25,525669080
2000-08-28,514836419
2000-08-29,511415580
2000-08-30,513126000
2000-08-31,514836419
2000-09-01,511415580
2000-09-05,521963169
2000-09-06,516831910
2000-09-07,513126000
2000-09-08,520252750
2000-09-11,521963169
2000-09-12,518542330
2000-09-13,525669080
2000-09-14,536216669
2000-09-15,525669080
2000-09-18,513126000
2000-09-19,513126000
2000-09-20,507709669
2000-09-21,511415580
2000-09-22,513126000
2000-09-25,511415580
2000-09-26,511415580
2000-09-27,509705160
2000-09-28,507709669
2000-09-29,505999250
2000-10-02,502514519
2000-10-03,504517710
2000-10-04,522260250
2000-10-05,507951750
2000-10-06,504517710
2000-10-09,506234730
2000-10-10,513388980
2000-10-11,509668769
2000-10-12,504517710
2000-10-13,511671960
2000-10-16,509668769
2000-10-17,481051769
2000-10-18,493643250
2000-10-19,506234730
2000-10-20,504517710
2000-10-23,504517710
2000-10-24,507951750
2000-10-25,497363460
2000-10-26,504517710
2000-10-27,506234730
2000-10-30,506234730
2000-10-31,506234730
2000-11-01,500797500
2000-11-02,500797500
2000-11-03,493643250
2000-11-06,484771980
2000-11-07,488206019
2000-11-08,490209210
2000-11-09,484771980
2000-11-10,477617730
2000-11-13,481051769
2000-11-14,481051769
2000-11-15,481051769
2000-11-16,481051769
2000-11-17,481051769
2000-11-20,493643250
2000-11-21,488206019
2000-11-22,484771980
2000-11-24,491926230
2000-11-27,493643250
2000-11-28,488206019
2000-11-29,491926230
2000-11-30,483054960
2000-12-01,486489000
2000-12-04,479334750
2000-12-05,491926230
2000-12-06,481051769
2000-12-07,483054960
2000-12-08,486489000
2000-12-11,483054960
2000-12-12,484771980
2000-12-13,483054960
2000-12-14,483054960
2000-12-15,481051769
2000-12-18,484771980
2000-12-19,484771980
2000-12-20,481051769
2000-12-21,481051769
2000-12-22,472180500
2000-12-26,459589019
2000-12-27,465026250
2000-12-28,475900710
2000-12-29,465026250
2001-01-02,459589019
2001-01-03,477617730
2001-01-04,477617730
2001-01-05,465026250
2001-01-08,481051769
2001-01-09,499080480
2001-01-10,511671960
2001-01-11,504517710
2001-01-12,502514519
2001-01-16,506234730
2001-01-17,502514519
2001-01-18,506234730
2001-01-19,515106000
2001-01-22,534851730
2001-01-23,543723000
2001-01-24,550877250
2001-01-25,545440020
2001-01-26,552594270
2001-01-29,545440020
2001-01-30,543723000
2001-01-31,529414500
2001-02-01,536282579
2001-02-02,525980460
2001-02-05,523118760
2001-02-06,538571940
2001-02-07,539430450
2001-02-08,539144280
2001-02-09,533707049
2001-02-12,535137900
2001-02-13,540861300
2001-02-14,543436830
2001-02-15,544295340
2001-02-16,540288960
2001-02-20,546584700
2001-02-21,542864490
2001-02-22,543723000
2001-02-23,542292150
2001-02-26,550877250
2001-02-27,545153850
2001-02-28,546012360
2001-03-01,549446400
2001-03-02,552021930
2001-03-05,545153850
2001-03-06,548587890
2001-03-07,560034690
2001-03-08,561465540
2001-03-09,559462350
2001-03-12,559176180
2001-03-13,586648500
2001-03-14,596664450
2001-03-15,599526150
2001-03-16,582355950
2001-03-19,598953810
2001-03-20,589796370
2001-03-21,589510200
2001-03-22,586648500
2001-03-23,590082540
2001-03-26,589510200
2001-03-27,593802750
2001-03-28,588937860
2001-03-29,590941050
2001-03-30,595233600
2001-04-02,620279000
2001-04-03,622018100
2001-04-04,636510600
