,VMC
2000-01-03,3966904920
2000-01-04,3953809500
2000-01-05,4218739920
2000-01-06,4224783960
2000-01-07,4236872040
2000-01-10,4407112500
2000-01-11,4312422540
2000-01-12,4249967460
2000-01-13,4319473920
2000-01-14,4331562000
2000-01-18,4451435460
2000-01-19,4445391420
2000-01-20,4387973040
2000-01-21,4306378500
2000-01-24,4249967460
2000-01-25,4236872040
2000-01-26,4319473920
2000-01-27,4337606040
2000-01-28,4224783960
2000-01-31,4262055540
2000-02-01,4262055540
2000-02-02,4256011500
2000-02-03,4319473920
2000-02-04,4287239040
2000-02-07,4236872040
2000-02-08,4243923420
2000-02-09,4218739920
2000-02-10,4236872040
2000-02-11,4143189420
2000-02-14,4155277500
2000-02-15,4236872040
2000-02-16,4236872040
2000-02-17,4275150960
2000-02-18,4230828000
2000-02-22,4256011500
2000-02-23,4092822420
2000-02-24,3959853540
2000-02-25,4042455420
2000-02-28,4029360000
2000-02-29,4029360000
2000-03-01,4054543500
2000-03-02,3953809500
2000-03-03,4079727000
2000-03-06,3966904920
2000-03-07,3847031460
2000-03-08,3872214960
2000-03-09,3916537920
2000-03-10,3897398460
2000-03-13,3972948960
2000-03-14,3966904920
2000-03-15,4098866460
2000-03-16,4451435460
2000-03-17,4407112500
2000-03-20,4325517960
2000-03-21,4426251960
2000-03-22,4325517960
2000-03-23,4546125420
2000-03-24,4470574920
2000-03-27,4457479500
2000-03-28,4457479500
2000-03-29,4513890540
2000-03-30,4583397000
2000-03-31,4614624540
2000-04-03,4731692160
2000-04-04,4662049080
2000-04-05,4718571000
2000-04-06,4668105000
2000-04-07,4580294160
2000-04-10,4567173000
2000-04-11,4605527160
2000-04-12,4718571000
2000-04-13,4737748080
2000-04-14,4642872000
2000-04-17,4668105000
2000-04-18,4371364920
2000-04-19,4277498160
2000-04-20,4340076000
2000-04-24,4421830920
2000-04-25,4479362160
2000-04-26,4396597920
2000-04-27,4378430160
2000-04-28,4421830920
2000-05-01,4454129160
2000-05-02,4434952080
2000-05-03,4409719080
2000-05-04,4447063920
2000-05-05,4421830920
2000-05-08,4421830920
2000-05-09,4510651080
2000-05-10,4541940000
2000-05-11,4712515080
2000-05-12,4699393920
2000-05-15,4724626920
2000-05-16,4769037000
2000-05-17,4850791920
2000-05-18,4895202000
2000-05-19,4876024920
2000-05-22,4895202000
2000-05-23,4794270000
2000-05-24,4756925160
2000-05-25,4863913080
2000-05-26,4724626920
2000-05-30,4857857160
2000-05-31,4718571000
2000-06-01,4662049080
2000-06-02,4883090160
2000-06-05,4844736000
