,DG
2009-11-13,7668079195
2009-11-16,7792900546
2009-11-17,7772659246
2009-11-18,7607355295
2009-11-19,7715308895
2009-11-20,7830009596
2009-11-23,7894107046
2009-11-24,7927842547
2009-11-25,8008807747
2009-11-27,7809768296
2009-11-30,7759165046
2009-12-01,7863745096
2009-12-02,7961578047
2009-12-03,7863745096
2009-12-04,8045916797
2009-12-07,7971698697
2009-12-08,7971698697
2009-12-09,8096520048
2009-12-10,7995313547
2009-12-11,7873865746
2009-12-14,7691694045
2009-12-15,7654584995
2009-12-16,7668079195
2009-12-17,7570246244
2009-12-18,7614102395
2009-12-21,7624223045
2009-12-22,7556752044
2009-12-23,7560125594
2009-12-24,7472413294
2009-12-28,7630970145
2009-12-29,7627596595
2009-12-30,7627596595
2009-12-31,7566872694
2010-01-04,7786153446
2010-01-05,7846877346
2010-01-06,7954830947
2010-01-07,8008807747
2010-01-08,8052663897
2010-01-11,8096520048
2010-01-12,8079652297
2010-01-13,8197726548
2010-01-14,8163991048
2010-01-15,8217967848
2010-01-19,8282065299
2010-01-20,8268571099
2010-01-21,8089772947
2010-01-22,7873865746
2010-01-25,7877239296
2010-01-26,7937963197
2010-01-27,7944710297
2010-01-28,8042543247
2010-01-29,8005838356
2010-02-01,7964940076
2010-02-02,8053553017
2010-02-03,8125125007
2010-02-04,7658202974
2010-02-05,7399180533
2010-02-08,7630937454
2010-02-09,7688876685
2010-02-10,7515058994
2010-02-11,7518467184
2010-02-12,7685468495
2010-02-16,7849061616
2010-02-17,7757040485
2010-02-18,7934266366
2010-02-19,8036512067
2010-02-22,7920633606
2010-02-23,8056961207
2010-02-24,8234187088
2010-02-25,8111492247
2010-02-26,8142165957
2010-03-01,8210329758
2010-03-02,8193288808
2010-03-03,8176247857
2010-03-04,8247819848
2010-03-05,8356881929
2010-03-08,8408004779
2010-03-09,8561373330
2010-03-10,8540924190
2010-03-11,8557965140
2010-03-12,8564781520
2010-03-15,8530699620
2010-03-16,8561373330
2010-03-17,8799946631
2010-03-18,8602271610
2010-03-19,8724966451
2010-03-22,8523883240
2010-03-23,8581822470
2010-03-24,8605679800
2010-03-25,8326208218
2010-03-26,8517066859
2010-03-29,8639761700
2010-03-30,8789722061
2010-03-31,8605679800
2010-04-01,8697700931
2010-04-05,8793130251
2010-04-06,9205521244
2010-04-07,9048744503
2010-04-08,9035111743
2010-04-09,9021478982
2010-04-12,8943090612
2010-04-13,9212337624
2010-04-14,9379338935
2010-04-15,9202113054
2010-04-16,9747423457
2010-04-19,9887159248
2010-04-20,9628136806
2010-04-21,9607687666
2010-04-22,10064385129
2010-04-23,10013262278
2010-04-26,10081426079
2010-04-27,9880342867
2010-04-28,9887159248
2010-04-29,9928057528
2010-04-30,9742398627
2010-05-03,9895849078
2010-05-04,9766268697
2010-05-05,9725348577
2010-05-06,9517337965
2010-05-07,9271817244
2010-05-10,9452547775
2010-05-11,9541208035
2010-05-12,10011789418
2010-05-13,10039069498
2010-05-14,9981099328
2010-05-17,10042479508
2010-05-18,9987919348
2010-05-19,10127729759
2010-05-20,9899259088
2010-05-21,10076579609
2010-05-24,10233440070
2010-05-25,10438040671
2010-05-26,10380070500
2010-05-27,10448270701
2010-05-28,10308460290
2010-06-01,10414170601
2010-06-02,10693791422
2010-06-03,10468730761
2010-06-04,10243670100
2010-06-07,9967459288
2010-06-08,10172059889
2010-06-09,10230030060
2010-06-10,10223210039
2010-06-11,10219800029
2010-06-14,10305050280
2010-06-15,10230030060
2010-06-16,10332330360
2010-06-17,10195929959
2010-06-18,10281180210
2010-06-21,10103859689
2010-06-22,9851518947
2010-06-23,9933359188
2010-06-24,9933359188
2010-06-25,9916309138
2010-06-28,9858338967
2010-06-29,9681018446
2010-06-30,9394577605
2010-07-01,9592358186
2010-07-02,9551438066
2010-07-06,9548028056
2010-07-07,9530978005
2010-07-08,9421857685
2010-07-09,9595768196
2010-07-12,9367297524
2010-07-13,9445727755
2010-07-14,9626458286
2010-07-15,10161829859
2010-07-16,9919719148
2010-07-19,9981099328
2010-07-20,10066349579
2010-07-21,9861748977
2010-07-22,9882209037
2010-07-23,10015199428
2010-07-26,10124319749
2010-07-27,10011789418
2010-07-28,10059529559
2010-07-29,9793548777
2010-07-30,9952189218
2010-08-02,10064739679
2010-08-03,10003348518
2010-08-04,10265966260
2010-08-05,10092024639
2010-08-06,10040865338
2010-08-09,10115898979
2010-08-10,10010169758
2010-08-11,9699803336
2010-08-12,9890798058
2010-08-13,9808943177
2010-08-16,9918083018
2010-08-17,10013580378
2010-08-18,10023812238
2010-08-19,9890798058
2010-08-20,10040865338
2010-08-23,9600895356
2010-08-24,9556557296
2010-08-25,9703213956
2010-08-26,9720267057
2010-08-27,9580431636
2010-08-30,9338277614
2010-08-31,9314403274
2010-09-01,9556557296
2010-09-02,9788479457
2010-09-03,9559967916
2010-09-07,9549736056
2010-09-08,9440596215
2010-09-09,9321224514
2010-09-10,9362151954
2010-09-13,9351920094
2010-09-14,9345098854
2010-09-15,9368973194
2010-09-16,9440596215
2010-09-17,9351920094
2010-09-20,9481523655
2010-09-21,9457649315
2010-09-22,9437185595
2010-09-23,9362151954
2010-09-24,9628180316
2010-09-27,9976063558
2010-09-28,10150005179
2010-09-29,10071560919
2010-09-30,9976063558
2010-10-01,9941957358
2010-10-04,9870334337
2010-10-05,9972652938
2010-10-06,10150005179
2010-10-07,10173879519
2010-10-08,10231860060
2010-10-11,10006759138
2010-10-12,9825996277
2010-10-13,9972652938
2010-10-14,9890798058
2010-10-15,9866923717
2010-10-18,10006759138
2010-10-19,9587252876
2010-10-20,9583842256
2010-10-21,9515629855
2010-10-22,9617948456
2010-10-25,9750962637
2010-10-26,9658875896
2010-10-27,9529272335
2010-10-28,9529272335
2010-10-29,9621388006
2010-11-01,9536061755
2010-11-02,9774975257
2010-11-03,9744257807
2010-11-04,9675996806
2010-11-05,9556540056
2010-11-08,9686235956
2010-11-09,9754496957
2010-11-10,9918323358
2010-11-11,10129932459
2010-11-12,9904671158
2010-11-15,9856888457
2010-11-16,9952453858
2010-11-17,10140171609
2010-11-18,10266454460
2010-11-19,10566802861
2010-11-22,10914933963
2010-11-23,11358630466
2010-11-24,11266478116
2010-11-26,11174325765
2010-11-29,11187977965
2010-11-30,11208456265
2010-12-01,11027564614
2010-12-02,10897868713
2010-12-03,11409826216
2010-12-06,10577042011
2010-12-07,10785238063
2010-12-08,10525846261
2010-12-09,10522433211
2010-12-10,10604346412
2010-12-13,10580455062
2010-12-14,10409802561
2010-12-15,10413215611
2010-12-16,10478063561
2010-12-17,10464411361
2010-12-20,10577042011
2010-12-21,10682846562
2010-12-22,10611172512
2010-12-23,10515607111
2010-12-27,10454172211
2010-12-28,10450759161
2010-12-29,10508781011
2010-12-30,10437106961
2010-12-31,10467824411
2011-01-03,10467824411
2011-01-04,10423454761
2011-01-05,10273280560
2011-01-06,10170889059
2011-01-07,10181128209
2011-01-10,10239150060
2011-01-11,10099215009
2011-01-12,10054845358
2011-01-13,9795453557
2011-01-14,10054845358
2011-01-18,10239150060
2011-01-19,10010475708
2011-01-20,10061671458
2011-01-21,10037780108
2011-01-24,9897845058
2011-01-25,9795453557
2011-01-26,9812518807
2011-01-27,9785214407
2011-01-28,9699224856
2011-01-31,9497726875
2011-02-01,9852909757
2011-02-02,9436252915
2011-02-03,9374778954
2011-02-04,9381609394
2011-02-07,9528463855
2011-02-08,9562616056
2011-02-09,9531879075
