,EBAY
2000-12-01,3804848160
2000-12-04,3534558400
2000-12-05,4324636160
2000-12-06,3971180320
2000-12-07,3825639680
2000-12-08,4220678559
2000-12-11,4761258080
2000-12-12,4480572560
2000-12-13,4293448880
2000-12-14,4043950640
2000-12-15,4158304000
2000-12-18,4189491280
2000-12-19,3534558400
2000-12-20,3056353440
2000-12-21,3108332240
2000-12-22,3825639680
2000-12-26,3794452400
2000-12-27,3856826960
2000-12-28,4137512480
2000-12-29,3607328720
2001-01-02,3361628880
2001-01-03,4376460240
2001-01-04,3932471520
2001-01-05,3403913520
2001-01-08,3403913520
2001-01-09,3710477160
2001-01-10,4376460240
2001-01-11,4556169960
2001-01-12,4461029520
2001-01-16,4873304760
2001-01-17,4809877800
2001-01-18,5211581880
2001-01-19,5571001320
2001-01-22,5497003200
2001-01-23,5824709160
2001-01-24,6046703520
2001-01-25,5539287840
2001-01-26,5549859000
2001-01-29,5814138000
2001-01-30,5919849600
2001-01-31,5497003200
2001-02-01,5370149280
2001-02-02,5137583760
2001-02-05,5190439560
2001-02-06,5211581880
2001-02-07,5137583760
2001-02-08,5243295360
2001-02-09,4957874040
2001-02-12,5253866520
2001-02-13,5275008840
2001-02-14,5581572480
2001-02-15,5613285960
2001-02-16,5423005080
2001-02-20,4957874040
2001-02-21,5084727960
2001-02-22,4957874040
2001-02-23,4947302880
2001-02-26,5042443320
2001-02-27,4683023880
2001-02-28,4260177480
2001-03-01,4175608200
2001-03-02,4196750520
2001-03-05,4228464000
2001-03-06,4482171840
2001-03-07,4725308520
2001-03-08,4355317920
2001-03-09,3784475280
2001-03-12,3509625120
2001-03-13,3826759920
2001-03-14,3795046440
2001-03-15,3847902240
2001-03-16,3615336720
2001-03-19,4122752400
2001-03-20,3932471520
2001-03-21,3573052080
2001-03-22,4069896600
2001-03-23,4133323560
2001-03-26,4270748640
2001-03-27,4450458360
2001-03-28,4027611960
2001-03-29,3795046440
2001-03-30,4027611960
2001-04-02,3974076000
2001-04-03,3450609000
2001-04-04,3418560000
2001-04-05,3909978000
2001-04-06,3995442000
2001-04-09,4273200000
2001-04-10,4433445000
2001-04-11,4401396000
2001-04-12,4679154000
2001-04-16,4593690000
2001-04-17,4839399000
2001-04-18,5138523000
2001-04-19,5619258000
2001-04-20,5694039000
2001-04-23,5277402000
2001-04-24,5010327000
2001-04-25,5437647000
2001-04-26,5170572000
2001-04-27,5266719000
2001-04-30,5672673000
2001-05-01,6099993000
2001-05-02,6035895000
2001-05-03,5790186000
2001-05-04,5886333000
2001-05-07,5661990000
2001-05-08,5907699000
2001-05-09,5971797000
2001-05-10,6099993000
2001-05-11,5982480000
2001-05-14,6206823000
2001-05-15,6302970000
2001-05-16,6505947000
2001-05-17,7029414000
2001-05-18,7040097000
2001-05-21,7200342000
2001-05-22,7221708000
2001-05-23,6847803000
2001-05-24,7114878000
2001-05-25,6986682000
2001-05-29,6719607000
2001-05-30,6730290000
2001-05-31,6805071000
2001-06-01,6879852000
2001-06-04,7040097000
2001-06-05,7275123000
2001-06-06,7253757000
2001-06-07,7307172000
2001-06-08,7146927000
2001-06-11,7061463000
2001-06-12,7136244000
2001-06-13,6943950000
2001-06-14,7200342000
2001-06-15,7317855000
2001-06-18,7082829000
2001-06-19,7093512000
2001-06-20,7809273000
2001-06-21,7852005000
2001-06-22,7616979000
2001-06-25,7980201000
2001-06-26,7681077000
2001-06-27,7713126000
2001-06-28,7862688000
2001-06-29,7702443000
2001-07-02,7779048480
2001-07-03,7898392320
2001-07-05,7594608000
2001-07-06,7442715840
2001-07-09,7355920320
