,CMA
2000-12-01,8922452887
2000-12-04,8723550307
2000-12-05,8999901679
2000-12-06,9241049055
2000-12-07,9494517829
2000-12-08,9691660208
2000-12-11,9880001589
2000-12-12,9714542806
2000-12-13,9461074032
2000-12-14,9318497847
2000-12-15,9241049055
2000-12-18,9659976612
2000-12-19,9615971616
2000-12-20,9505079028
2000-12-21,10043700172
2000-12-22,10276046549
2000-12-26,10364056540
2000-12-27,10517193924
2000-12-28,10550637721
2000-12-29,10452066531
2001-01-02,10494747500
2001-01-03,10852015500
2001-01-04,11143188920
2001-01-05,10862733540
2001-01-08,10762698500
2001-01-09,10618004960
2001-01-10,10662663460
2001-01-11,10607286920
2001-01-12,10271455000
2001-01-16,10416148540
2001-01-17,10305395460
2001-01-18,10126761460
2001-01-19,10003504000
2001-01-22,10237514540
2001-01-23,10416148540
2001-01-24,10628723000
2001-01-25,10696603920
2001-01-26,10896674000
2001-01-29,10844870140
2001-01-30,10894887660
2001-01-31,10771630200
2001-02-01,10610859600
2001-02-02,10689458560
2001-02-05,10760912160
2001-02-06,10592996200
2001-02-07,10521542600
2001-02-08,10403644160
2001-02-09,10675167840
2001-02-12,10896674000
2001-02-13,10868092560
2001-02-14,11030649500
2001-02-15,11012786100
2001-02-16,11441507700
2001-02-20,11271805400
2001-02-21,11257514680
2001-02-22,11245010300
2001-02-23,11232505920
2001-02-26,11495097899
2001-02-27,11525465680
2001-02-28,11370054100
2001-03-01,11462943780
2001-03-02,11482593520
2001-03-05,11396849200
2001-03-06,11348618020
2001-03-07,11432576000
2001-03-08,11602278300
2001-03-09,11334327300
2001-03-12,10782348240
2001-03-13,11039581200
2001-03-14,10678740520
2001-03-15,10985991000
2001-03-16,10852015500
2001-03-19,10941332500
2001-03-20,10550124040
2001-03-21,10146411200
2001-03-22,9878460200
2001-03-23,10289318400
2001-03-26,10501892860
2001-03-27,10748407780
2001-03-28,10834152100
2001-03-29,10718040000
2001-03-30,10985991000
2001-04-02,10945462500
2001-04-03,10737231750
2001-04-04,10420436250
2001-04-05,10678500000
2001-04-06,10545018750
2001-04-09,10598411250
2001-04-10,10758588750
2001-04-11,10660702500
2001-04-12,10687398750
2001-04-16,10660702500
2001-04-17,9735232500
2001-04-18,9712095750
2001-04-19,9254700000
2001-04-20,9297414000
2001-04-23,9254700000
2001-04-24,9261819000
2001-04-25,9283176000
2001-04-26,9165712500
2001-04-27,9452252250
2001-04-30,9153254250
2001-05-01,9340128000
2001-05-02,9179950500
2001-05-03,9139016250
2001-05-04,9379282500
2001-05-07,9450472500
2001-05-08,9557257500
2001-05-09,9550138500
2001-05-10,9527001750
2001-05-11,9528781500
2001-05-14,9646245000
2001-05-15,9610650000
2001-05-16,9998635500
2001-05-17,10009314000
2001-05-18,9971939250
2001-05-21,9973719000
2001-05-22,10171271250
2001-05-23,10069825500
2001-05-24,10101861000
2001-05-25,9996855750
2001-05-29,9970159500
2001-05-30,9968379750
2001-05-31,10126777500
2001-06-01,10071605250
2001-06-04,10130337000
2001-06-05,10372383000
2001-06-06,10304752500
2001-06-07,10228223250
2001-06-08,10126777500
2001-06-11,10091182500
2001-06-12,10153473750
2001-06-13,10023552000
2001-06-14,9948802500
2001-06-15,9833118750
2001-06-18,9850916250
2001-06-19,9923886000
2001-06-20,10023552000
2001-06-21,10313651250
2001-06-22,10233562500
2001-06-25,10210425750
2001-06-26,10110759750
2001-06-27,10285175250
2001-06-28,10310091750
2001-06-29,10251360000
2001-07-02,10269157500
2001-07-03,10237122000
2001-07-05,10197967500
2001-07-06,9979058250
2001-07-09,9939903750
2001-07-10,9785065500
2001-07-11,9792184500
2001-07-12,10151694000
2001-07-13,10233562500
2001-07-16,10059147000
2001-07-17,10634006250
2001-07-18,10811981250
2001-07-19,10892070000
2001-07-20,10678500000
2001-07-23,10610869500
2001-07-24,10480947750
2001-07-25,10655363250
2001-07-26,10703416500
2001-07-27,10811981250
2001-07-30,10722993750
2001-07-31,10961480250
2001-08-01,10973938500
2001-08-02,11014872750
2001-08-03,10934784000
2001-08-06,10956141000
2001-08-07,11105640000
2001-08-08,11109199500
