,FOXA
2023-10-11,15002390000
2023-10-12,14790750000
2023-10-13,14886950000
2023-10-16,15209220000
2023-10-17,15348710000
2023-10-18,15180360000
2023-10-19,14838850000
2023-10-20,14728220000
2023-10-23,14670500000
2023-10-24,14646450000
2023-10-25,14550250000
2023-10-26,14333800000
2023-10-27,14160640000
2023-10-30,14232790000
2023-10-31,14617590000
2023-11-01,14651260000
2023-11-02,14886950000
2023-11-03,15305420000
2023-11-06,15055300000
2023-11-07,14882140000
2023-11-08,14684930000
2023-11-09,14276080000
2023-11-10,14492530000
2023-11-13,14232790000
2023-11-14,14473290000
2023-11-15,14656070000
2023-11-16,14468480000
2023-11-17,14603160000
2023-11-20,14737840000
2023-11-21,14579110000
2023-11-22,14603160000
2023-11-24,14656070000
2023-11-27,14535820000
2023-11-28,14362660000
2023-11-29,14227980000
2023-11-30,14208740000
2023-12-01,14526200000
2023-12-04,14550250000
2023-12-05,14179880000
2023-12-06,14050010000
2023-12-07,14107730000
2023-12-08,14401140000
2023-12-11,14280890000
2023-12-12,13997100000
2023-12-13,14213550000
2023-12-14,14463670000
2023-12-15,14324180000
2023-12-18,14261650000
2023-12-19,14405950000
2023-12-20,14160640000
2023-12-21,14415570000
2023-12-22,14338610000
2023-12-26,14372280000
2023-12-27,14285700000
2023-12-28,14304940000
2023-12-29,14271270000
2024-01-02,14545440000
2024-01-03,14430000000
2024-01-04,14458860000
2024-01-05,14497340000
2024-01-08,14694550000
2024-01-09,14555060000
2024-01-10,14752270000
2024-01-11,14862900000
2024-01-12,14978340000
2024-01-16,14790750000
2024-01-17,14737840000
2024-01-18,14848470000
2024-01-19,14925430000
2024-01-22,15040870000
2024-01-23,15161120000
2024-01-24,15108210000
2024-01-25,15454530000
2024-01-26,15497820000
2024-01-29,15560350000
2024-01-30,15536299999
2024-01-31,15536299999
2024-02-01,15589209999
2024-02-02,15295800000
2024-02-05,15108210000
2024-02-06,15209220000
2024-02-07,14175070000
2024-02-08,13843180000
2024-02-09,14319370000
2024-02-12,14641640000
2024-02-13,14280890000
2024-02-14,14550250000
2024-02-15,14699360000
2024-02-16,14641640000
2024-02-20,14473290000
2024-02-21,14405950000
2024-02-22,14357850000
2024-02-23,14540630000
2024-02-26,14252030000
2024-02-27,14223170000
2024-02-28,14160640000
2024-02-29,14328990000
2024-03-01,14151020000
2024-03-04,13968240000
2024-03-05,13862420000
2024-03-06,13670020000
2024-03-07,13785460000
2024-03-08,13881660000
2024-03-11,14396330000
2024-03-12,14170260000
2024-03-13,14324180000
2024-03-14,14102920000
2024-03-15,14213550000
2024-03-18,14290510000
2024-03-19,14338610000
2024-03-20,14535820000
2024-03-21,14675310000
2024-03-22,14449240000
2024-03-25,14535820000
2024-03-26,14708980000
2024-03-27,14992770000
2024-03-28,15040870000
2024-04-01,15079350000
2024-04-02,14925430000
2024-04-03,15108210000
2024-04-04,14978340000
2024-04-05,14920620000
2024-04-08,15012010000
2024-04-09,15079350000
2024-04-10,14848470000
2024-04-11,14785940000
2024-04-12,14473290000
2024-04-15,14598350000
2024-04-16,14622400000
2024-04-17,14651260000
2024-04-18,14800370000
2024-04-19,15098590000
2024-04-22,15103400000
2024-04-23,15252510000
2024-04-24,15252510000
2024-04-25,15238080000
2024-04-26,15012010000
2024-04-29,15185170000
2024-04-30,14915810000
2024-05-01,15069730000
2024-05-02,15228460000
2024-05-03,15444910000
2024-05-06,15433440000
2024-05-07,15319680000
2024-05-08,15717839999
2024-05-09,15793680000
2024-05-10,15836339999
2024-05-13,15727320000
2024-05-14,15788940000
2024-05-15,15623040000
2024-05-16,15490320000
2024-05-17,15570900000
2024-05-20,15637260000
2024-05-21,15580379999
2024-05-22,15646740000
2024-05-23,15627780000
2024-05-24,15931140000
2024-05-28,15879000000
2024-05-29,16025940000
2024-05-30,16243980000
2024-05-31,16319820000
2024-06-03,16499940000
2024-06-04,16362480000
2024-06-05,16414620000
2024-06-06,16281900000
2024-06-07,16168140000
2024-06-10,15969059999
2024-06-11,15803160000
2024-06-12,15841080000
2024-06-13,15798420000
2024-06-14,15727320000
2024-06-17,15850559999
2024-06-18,15907440000
2024-06-20,16281900000
2024-06-21,16334040000
2024-06-24,16334040000
2024-06-25,16409879999
2024-06-26,16315080000
2024-06-27,16153920000
2024-06-28,16291379999
2024-07-01,16172879999
2024-07-02,16343519999
2024-07-03,16485720000
2024-07-05,16371960000
2024-07-08,16362480000
2024-07-09,16680059999
2024-07-10,16741680000
2024-07-11,16893360000
2024-07-12,16936019999
2024-07-15,17059260000
2024-07-16,17410020000
2024-07-17,17751300000
2024-07-18,17585400000
2024-07-19,17485860000
2024-07-22,17556960000
2024-07-23,17571180000
2024-07-24,17580660000
2024-07-25,17571180000
2024-07-26,17779740000
2024-07-29,17912460000
2024-07-30,18211080000
2024-07-31,18030960000
2024-08-01,17902980000
2024-08-02,17684940000
2024-08-05,17016480000
2024-08-06,18163080000
2024-08-07,18359640000
2024-08-08,18392400000
2024-08-09,18406440000
