,FOXA
2020-03-17,15285120000
2020-03-18,13582720000
2020-03-19,13874560000
2020-03-20,12761920000
2020-03-23,12281600000
2020-03-24,13552320000
2020-03-25,14677120000
2020-03-26,15181760000
2020-03-27,13686080000
2020-03-30,14780480000
2020-03-31,14343410000
2020-04-01,13560380000
2020-04-02,13760690000
2020-04-03,13536100000
2020-04-06,15211420000
2020-04-07,15472430000
2020-04-08,15964100000
2020-04-09,15775930000
2020-04-13,15775930000
2020-04-14,16091570000
2020-04-15,15599900000
2020-04-16,15502780000
2020-04-17,16316160000
2020-04-20,15818420000
2020-04-21,15502780000
2020-04-22,15035390000
2020-04-23,15090020000
2020-04-24,15077880000
2020-04-27,16018730000
2020-04-28,16473980000
2020-04-29,17220590000
2020-04-30,15703090000
2020-05-01,15436010000
2020-05-04,15175000000
2020-05-05,14628700000
2020-05-06,15059670000
2020-05-07,15326750000
2020-05-08,15782000000
2020-05-11,15581690000
2020-05-12,15393520000
2020-05-13,14883640000
2020-05-14,15642390000
2020-05-15,15818420000
2020-05-18,16674290000
2020-05-19,16734990000
2020-05-20,16880670000
2020-05-21,16765340000
2020-05-22,16874600000
2020-05-26,17621210000
2020-05-27,17997550000
2020-05-28,17560510000
2020-05-29,17706190000
2020-06-01,17930780000
2020-06-02,17785100000
2020-06-03,18677390000
2020-06-04,18531710000
2020-06-05,18725950000
2020-06-08,19715360000
2020-06-09,18701670000
2020-06-10,18294980000
2020-06-11,17032420000
2020-06-12,17172030000
2020-06-15,17779030000
2020-06-16,17184170000
2020-06-17,17038490000
2020-06-18,17603000000
2020-06-19,17190240000
2020-06-22,17062770000
2020-06-23,17153820000
2020-06-24,16619660000
2020-06-25,16346510000
2020-06-26,15599900000
2020-06-29,16328300000
2020-06-30,16172460000
2020-07-01,16238790000
2020-07-02,16015680000
2020-07-06,15979500000
2020-07-07,15491070000
2020-07-08,15255900000
2020-07-09,14695110000
2020-07-10,15267960000
2020-07-13,15050880000
2020-07-14,15093090000
2020-07-15,15714180000
2020-07-16,15780510000
2020-07-17,15243840000
2020-07-20,14930280000
2020-07-21,15316200000
2020-07-22,15623730000
2020-07-23,15822720000
2020-07-24,16075980000
2020-07-27,15509160000
2020-07-28,15521220000
2020-07-29,15593580000
2020-07-30,15569460000
2020-07-31,15539310000
2020-08-03,15895080000
2020-08-04,16082010000
2020-08-05,14912190000
2020-08-06,15068970000
2020-08-07,14876010000
2020-08-10,14713200000
2020-08-11,14869980000
2020-08-12,15026760000
2020-08-13,15418710000
2020-08-14,15521220000
2020-08-17,15412680000
2020-08-18,15460920000
2020-08-19,15587550000
2020-08-20,15611670000
2020-08-21,15678000000
2020-08-24,16268940000
2020-08-25,16220700000
2020-08-26,16371450000
2020-08-27,16624710000
2020-08-28,16775460000
2020-08-31,16799580000
2020-09-01,16546320000
2020-09-02,16811640000
2020-09-03,16492050000
2020-09-04,16678980000
2020-09-08,16697070000
2020-09-09,17004600000
2020-09-10,16998570000
2020-09-11,16968420000
2020-09-14,17281980000
2020-09-15,17251830000
2020-09-16,17692020000
2020-09-17,17263890000
2020-09-18,16859880000
2020-09-21,16148340000
2020-09-22,16142310000
2020-09-23,15623730000
2020-09-24,15798600000
2020-09-25,16100100000
2020-09-28,16787520000
2020-09-29,16745310000
2020-09-30,16558849999
2020-10-01,16671900000
2020-10-02,16707599999
2020-10-05,17082450000
2020-10-06,16612400000
2020-10-07,17237150000
2020-10-08,17588200000
2020-10-09,17368050000
2020-10-12,17219300000
2020-10-13,16201850000
2020-10-14,16023350000
2020-10-15,16023350000
2020-10-16,15981700000
2020-10-19,15481900000
2020-10-20,15499750000
2020-10-21,15809150000
2020-10-22,16338700000
2020-10-23,16112599999
2020-10-26,15713950000
2020-10-27,15583050000
2020-10-28,15059450000
2020-10-29,15214150000
2020-10-30,15779400000
2020-11-02,16303000000
2020-11-03,16088800000
2020-11-04,15249850000
2020-11-05,15832950000
2020-11-06,15440250000
2020-11-09,15618750000
2020-11-10,15975750000
2020-11-11,16338700000
2020-11-12,15255800000
2020-11-13,15850800000
2020-11-16,16172100000
2020-11-17,16755200000
2020-11-18,16457700000
2020-11-19,16487450000
2020-11-20,16558849999
2020-11-23,16975350000
2020-11-24,17540600000
2020-11-25,17433500000
2020-11-27,17350200000
2020-11-30,17159800000
2020-12-01,17933300000
2020-12-02,18207000000
2020-12-03,18040400000
2020-12-04,17754800000
2020-12-07,17659600000
2020-12-08,17409700000
2020-12-09,17397800000
2020-12-10,17320450000
2020-12-11,17445400000
2020-12-14,17124100000
2020-12-15,17005099999
2020-12-16,16927750000
2020-12-17,16981300000
2020-12-18,16755200000
2020-12-21,16493400000
2020-12-22,16225650000
2020-12-23,16725450000
2020-12-24,16844450000
2020-12-28,17338300000
2020-12-29,17266900000
2020-12-30,17308550000
2020-12-31,17151680000
2021-01-04,16969090000
2021-01-05,17346050000
2021-01-06,18853890000
2021-01-07,18223660000
2021-01-08,17723010000
2021-01-11,17864370000
2021-01-12,17534530000
2021-01-13,17646440000
2021-01-14,18418030000
2021-01-15,18547610000
2021-01-19,17675890000
2021-01-20,18270780000
2021-01-21,18282560000
2021-01-22,17764240000
2021-01-25,18901010000
2021-01-26,20573770000
2021-01-27,20249820000
2021-01-28,18789100000
2021-01-29,18365020000
2021-02-01,18777320000
2021-02-02,17970390000
2021-02-03,17834920000
2021-02-04,17917380000
2021-02-05,18506380000
2021-02-08,19254410000
2021-02-09,18099970000
2021-02-10,18718420000
2021-02-11,18848000000
2021-02-12,19195510000
2021-02-16,18688970000
2021-02-17,18700750000
2021-02-18,18948130000
2021-02-19,19896420000
2021-02-22,20432410000
2021-02-23,20096680000
2021-02-24,20049560000
2021-02-25,19460560000
2021-02-26,19619590000
2021-03-01,20491310000
2021-03-02,22352550000
2021-03-03,23165370000
2021-03-04,23024010000
2021-03-05,24319810000
2021-03-08,24932370000
2021-03-09,23748480000
2021-03-10,24419940000
2021-03-11,24649650000
2021-03-12,25197420000
2021-03-15,25150300000
2021-03-16,26022020000
2021-03-17,25279880000
2021-03-18,25256320000
2021-03-19,25285770000
2021-03-22,25709850000
2021-03-23,24626090000
2021-03-24,23630680000
2021-03-25,23736700000
2021-03-26,22264200000
2021-03-29,21928470000
2021-03-30,21857790000
2021-03-31,20907690000
2021-04-01,21023490000
2021-04-05,21075600000
2021-04-06,21451950000
2021-04-07,21602490000
2021-04-08,21423000000
2021-04-09,21689340000
2021-04-12,21666180000
2021-04-13,21695130000
2021-04-14,21556170000
2021-04-15,21938310000
2021-04-16,21973050000
2021-04-19,21816720000
2021-04-20,21886200000
2021-04-21,22355190000
2021-04-22,22071480000
2021-04-23,22239389999
2021-04-26,22117800000
2021-04-27,22164120000
2021-04-28,21897780000
2021-04-29,21868830000
2021-04-30,21666180000
2021-05-03,21197190000
2021-05-04,21272460000
2021-05-05,21040860000
2021-05-06,21753030000
2021-05-07,22187280000
2021-05-10,22482570000
2021-05-11,22297290000
2021-05-12,21967260000
2021-05-13,22430460000
2021-05-14,21573540000
2021-05-17,21289830000
2021-05-18,21625650000
2021-05-19,21625650000
2021-05-20,21567750000
2021-05-21,21758820000
2021-05-24,21677760000
2021-05-25,21509850000
2021-05-26,21718290000
2021-05-27,21973050000
2021-05-28,21625650000
2021-06-01,21608280000
2021-06-02,21295620000
2021-06-03,21202980000
2021-06-04,21533010000
2021-06-07,21509850000
2021-06-08,21185610000
2021-06-09,21793560000
2021-06-10,21695130000
2021-06-11,21961470000
2021-06-14,21816720000
2021-06-15,21834090000
2021-06-16,21810930000
2021-06-17,21509850000
2021-06-18,21787770000
2021-06-21,21706710000
2021-06-22,21799350000
2021-06-23,21770400000
2021-06-24,22175700000
2021-06-25,22210440000
2021-06-28,22181490000
2021-06-29,21324570000
2021-06-30,21349750000
2021-07-01,21591250000
2021-07-02,21459000000
2021-07-06,21119750000
2021-07-07,20930000000
2021-07-08,20527500000
2021-07-09,20958750000
2021-07-12,21160000000
2021-07-13,20671250000
2021-07-14,20907000000
2021-07-15,20608000000
2021-07-16,20286000000
2021-07-19,19964000000
2021-07-20,20107750000
2021-07-21,20809250000
2021-07-22,20700000000
2021-07-23,20809250000
2021-07-26,21022000000
2021-07-27,20815000000
2021-07-28,20884000000
2021-07-29,20872500000
2021-07-30,20504499999
2021-08-02,20493000000
2021-08-03,20142250000
2021-08-04,20073249999
2021-08-05,21395750000
2021-08-06,20976000000
2021-08-09,20993250000
2021-08-10,21263500000
2021-08-11,21545250000
2021-08-12,21292250000
2021-08-13,21275000000
2021-08-16,21384250000
2021-08-17,21263500000
2021-08-18,21022000000
2021-08-19,20803500000
2021-08-20,21137000000
2021-08-23,21355500000
2021-08-24,21315250000
2021-08-25,21298000000
2021-08-26,21091000000
2021-08-27,21390000000
2021-08-30,21315250000
2021-08-31,21528000000
2021-09-01,21275000000
2021-09-02,21372750000
2021-09-03,21211750000
2021-09-07,21131250000
2021-09-08,20677000000
2021-09-09,20907000000
2021-09-10,20665500000
2021-09-13,20895500000
2021-09-14,20297500000
2021-09-15,21022000000
2021-09-16,21464750000
2021-09-17,21683250000
2021-09-20,21349750000
2021-09-21,21349750000
2021-09-22,21970750000
2021-09-23,22091500000
2021-09-24,22574500000
2021-09-27,23069000000
2021-09-28,22902250000
2021-09-29,23143750000
2021-09-30,22822590000
2021-10-01,23203820000
2021-10-04,23602120000
2021-10-05,23841100000
2021-10-06,23641950000
2021-10-07,23983350000
2021-10-08,24040250000
2021-10-11,23954900000
2021-10-12,23898000000
2021-10-13,24097150000
2021-10-14,24154050000
2021-10-15,23676090000
2021-10-18,23858170000
2021-10-19,24484070000
2021-10-20,24586490000
2021-10-21,24245090000
2021-10-22,24193880000
2021-10-25,23801270000
2021-10-26,23664710000
2021-10-27,22873800000
2021-10-28,23192440000
2021-10-29,22612060000
2021-11-01,23363140000
2021-11-02,23670400000
2021-11-03,23659020000
2021-11-04,23516770000
2021-11-05,23602120000
2021-11-08,23078640000
2021-11-09,23067260000
2021-11-10,23152610000
2021-11-11,23414350000
2021-11-12,23385900000
2021-11-15,23482630000
2021-11-16,22998980000
2021-11-17,22925010000
2021-11-18,22515330000
2021-11-19,22185310000
2021-11-22,22043060000
2021-11-23,22264970000
2021-11-24,21906500000
2021-11-26,21405780000
2021-11-29,21007480000
2021-11-30,20318990000
2021-12-01,19596360000
2021-12-02,20102770000
2021-12-03,20506760000
2021-12-06,20779880000
2021-12-07,20757120000
2021-12-08,20910750000
2021-12-09,20791260000
2021-12-10,20950580000
2021-12-13,20660390000
2021-12-14,20472620000
2021-12-15,20626250000
2021-12-16,21058690000
2021-12-17,21030240000
2021-12-20,20705910000
2021-12-21,20996100000
2021-12-22,20950580000
2021-12-23,21212320000
2021-12-27,21235080000
2021-12-28,21331810000
2021-12-29,21104210000
2021-12-30,21354570000
2021-12-31,20774700000
2022-01-03,21191320000
2022-01-04,21377110000
2022-01-05,21174430000
2022-01-06,21636090000
2022-01-07,21968260000
2022-01-10,21973890000
2022-01-11,21928850000
2022-01-12,22120270000
2022-01-13,22559410000
2022-01-14,23094260000
2022-01-18,22463700000
2022-01-19,22328579999
2022-01-20,21500970000
2022-01-21,21219470000
2022-01-24,22007670000
2022-01-25,22047079999
2022-01-26,21416520000
2022-01-27,21534750000
2022-01-28,22576300000
2022-01-31,22863430000
2022-02-01,22694530000
2022-02-02,22897210000
2022-02-03,23026700000
2022-02-04,22908470000
2022-02-07,22863430000
2022-02-08,22981660000
2022-02-09,24687550000
2022-02-10,24772000000
2022-02-11,24434200000
2022-02-14,24023210000
2022-02-15,24293450000
2022-02-16,24214630000
2022-02-17,24158329999
2022-02-18,23859940000
2022-02-22,23544660000
2022-02-23,23066110000
2022-02-24,23009810000
2022-02-25,23516510000
2022-02-28,23550290000
2022-03-01,23229380000
2022-03-02,24259670000
2022-03-03,24299079999
2022-03-04,24034470000
2022-03-07,23420800000
2022-03-08,23555920000
2022-03-09,23009810000
2022-03-10,22401770000
2022-03-11,22142790000
2022-03-14,21816250000
2022-03-15,22396140000
2022-03-16,22897210000
2022-03-17,22677640000
2022-03-18,23009810000
2022-03-21,22998550000
2022-03-22,23139300000
2022-03-23,22835280000
2022-03-24,23032329999
2022-03-25,23206860000
2022-03-28,22801500000
2022-03-29,22970400000
2022-03-30,22598820000
2022-03-31,21973650000
2022-04-01,21923520000
2022-04-04,22029350000
2022-04-05,21533620000
2022-04-06,21589320000
2022-04-07,21399940000
2022-04-08,21706290000
2022-04-11,21567040000
2022-04-12,21633880000
2022-04-13,21784270000
2022-04-14,21789840000
2022-04-18,21717430000
2022-04-19,21823260000
2022-04-20,22034920000
2022-04-21,21684010000
2022-04-22,21282970000
2022-04-25,21160430000
2022-04-26,20386200000
2022-04-27,20196820000
2022-04-28,20352780000
2022-04-29,19962880000
2022-05-02,20369490000
2022-05-03,20185680000
2022-05-04,20631280000
2022-05-05,20352780000
2022-05-06,19272200000
2022-05-09,18497970000
2022-05-10,18057940000
2022-05-11,18497970000
2022-05-12,18631650000
2022-05-13,18826600000
2022-05-16,18765330000
2022-05-17,19350180000
2022-05-18,18653930000
2022-05-19,18564810000
2022-05-20,18637220000
2022-05-23,19043830000
2022-05-24,18096930000
2022-05-25,18548100000
2022-05-26,19238780000
2022-05-27,19751220000
2022-05-31,19779070000
2022-06-01,19417020000
2022-06-02,19171940000
2022-06-03,19010410000
2022-06-06,18982560000
2022-06-07,19272200000
2022-06-08,18971420000
2022-06-09,18648360000
2022-06-10,18041230000
2022-06-13,17556640000
2022-06-14,17840710000
2022-06-15,18286310000
2022-06-16,17979960000
2022-06-17,17862990000
2022-06-21,18135920000
2022-06-22,17857420000
2022-06-23,17862990000
2022-06-24,18269600000
2022-06-27,18403280000
2022-06-28,18219470000
2022-06-29,18180480000
2022-06-30,17688000000
2022-07-01,18188500000
2022-07-05,18243500000
2022-07-06,18238000000
2022-07-07,18425000000
2022-07-08,18282000000
2022-07-11,18095000000
2022-07-12,18271000000
2022-07-13,18062000000
2022-07-14,17880500000
2022-07-15,18524000000
2022-07-18,18276500000
2022-07-19,18837500000
2022-07-20,19107000000
2022-07-21,19222500000
