,REG
2000-01-03,1134506399
2000-01-04,1137920160
2000-01-05,1131092639
2000-01-06,1137920160
2000-01-07,1177178405
2000-01-10,1180592166
2000-01-11,1180592166
2000-01-12,1166368164
2000-01-13,1155557922
2000-01-14,1148730401
2000-01-18,1152144162
2000-01-19,1166368164
2000-01-20,1166368164
2000-01-21,1155557922
2000-01-24,1131092639
2000-01-25,1131092639
2000-01-26,1141333920
2000-01-27,1134506399
2000-01-28,1088420633
2000-01-31,1112885916
2000-02-01,1116868637
2000-02-02,1120282397
2000-02-03,1131092639
2000-02-04,1131092639
2000-02-07,1127109918
2000-02-08,1137920160
2000-02-09,1112885916
2000-02-10,1095248154
2000-02-11,1084437912
2000-02-14,1049162387
2000-02-15,1066800150
2000-02-16,1088420633
2000-02-17,1077610391
2000-02-18,1074196631
2000-02-22,1074196631
2000-02-23,1074196631
2000-02-24,1081024152
2000-02-25,1074196631
2000-02-28,1091834393
2000-02-29,1075903511
2000-03-01,1074196631
2000-03-02,1088420633
2000-03-03,1095248154
2000-03-06,1091834393
2000-03-07,1088420633
2000-03-08,1098661914
2000-03-09,1123696158
2000-03-10,1120282397
2000-03-13,1098661914
2000-03-14,1084437912
2000-03-15,1081024152
2000-03-16,1120282397
2000-03-17,1109472156
2000-03-20,1106058395
2000-03-21,1134506399
2000-03-22,1145316641
2000-03-23,1123696158
2000-03-24,1109472156
2000-03-27,1116868637
2000-03-28,1112885916
2000-03-29,1102644635
2000-03-30,1102644635
2000-03-31,1127767798
2000-04-03,1102642844
2000-04-04,1142043340
2000-04-05,1138617209
2000-04-06,1152892751
2000-04-07,1159745011
2000-04-10,1163742163
2000-04-11,1178017705
2000-04-12,1181443835
2000-04-13,1181443835
2000-04-14,1202571637
2000-04-17,1192293246
2000-04-18,1192293246
2000-04-19,1202571637
2000-04-20,1167168293
2000-04-24,1163742163
2000-04-25,1184869965
2000-04-26,1224270460
2000-04-27,1249395413
2000-04-28,1256247674
2000-05-01,1327625382
2000-05-02,1309923710
2000-05-03,1259673804
2000-05-04,1256247674
2000-05-05,1270523215
2000-05-08,1231122720
2000-05-09,1238546002
2000-05-10,1224270460
2000-05-11,1227696590
2000-05-12,1241972132
2000-05-15,1227696590
2000-05-16,1235119872
2000-05-17,1224270460
2000-05-18,1206568788
2000-05-19,1206568788
2000-05-22,1220844330
2000-05-23,1206568788
2000-05-24,1184869965
2000-05-25,1174020553
2000-05-26,1184869965
2000-05-30,1213421048
2000-05-31,1202571637
2000-06-01,1199145507
2000-06-02,1213421048
2000-06-05,1199145507
2000-06-06,1199145507
2000-06-07,1220844330
2000-06-08,1220844330
2000-06-09,1227696590
2000-06-12,1227696590
2000-06-13,1241972132
2000-06-14,1270523215
2000-06-15,1273949345
2000-06-16,1270523215
2000-06-19,1281372627
2000-06-20,1273949345
2000-06-21,1263670955
2000-06-22,1256247674
2000-06-23,1249395413
2000-06-26,1256247674
2000-06-27,1249395413
2000-06-28,1256247674
2000-06-29,1284798757
2000-06-30,1350426686
2000-07-03,1290155010
2000-07-05,1286743406
2000-07-06,1315173442
2000-07-07,1315173442
2000-07-10,1290155010
2000-07-11,1296978219
2000-07-12,1272528388
2000-07-13,1275939993
2000-07-14,1268548184
2000-07-17,1258313371
2000-07-18,1254333166
2000-07-19,1247509957
2000-07-20,1293566615
2000-07-21,1321996650
2000-07-24,1329388459
2000-07-25,1318585046
2000-07-26,1325408255
2000-07-27,1325408255
2000-07-28,1332800064
2000-07-31,1364641704
2000-08-01,1325408255
2000-08-02,1361230099
2000-08-03,1343603477
2000-08-04,1339623272
2000-08-07,1339623272
2000-08-08,1350426686
2000-08-09,1332800064
2000-08-10,1318585046
2000-08-11,1307781633
2000-08-14,1321996650
2000-08-15,1315173442
2000-08-16,1318585046
2000-08-17,1321996650
2000-08-18,1325408255
2000-08-21,1318585046
2000-08-22,1307781633
2000-08-23,1282763201
2000-08-24,1279351597
2000-08-25,1293566615
2000-08-28,1286743406
2000-08-29,1268548184
2000-08-30,1286743406
2000-08-31,1286743406
2000-09-01,1286743406
2000-09-05,1258313371
2000-09-06,1258313371
2000-09-07,1254333166
2000-09-08,1272528388
2000-09-11,1254333166
2000-09-12,1293566615
2000-09-13,1296978219
2000-09-14,1275939993
2000-09-15,1258313371
2000-09-18,1229883335
2000-09-19,1247509957
2000-09-20,1233294939
2000-09-21,1225903130
2000-09-22,1229883335
2000-09-25,1215668317
2000-09-26,1208276508
2000-09-27,1229883335
2000-09-28,1272528388
2000-09-29,1304370028
2000-10-02,1263363751
2000-10-03,1263363751
2000-10-04,1270195822
2000-10-05,1266779786
2000-10-06,1281013267
2000-10-09,1281013267
2000-10-10,1274181196
2000-10-11,1306064193
2000-10-12,1277597232
2000-10-13,1298662783
2000-10-16,1288414677
2000-10-17,1284429302
2000-10-18,1288414677
2000-10-19,1288414677
2000-10-20,1288414677
2000-10-23,1288414677
2000-10-24,1277597232
2000-10-25,1281013267
2000-10-26,1288414677
2000-10-27,1277597232
2000-10-30,1277597232
2000-10-31,1281013267
2000-11-01,1270195822
2000-11-02,1274181196
2000-11-03,1259947715
2000-11-06,1263363751
2000-11-07,1238312825
2000-11-08,1249130270
2000-11-09,1234896789
2000-11-10,1224079344
2000-11-13,1220663309
2000-11-14,1184794937
2000-11-15,1231480754
2000-11-16,1224079344
2000-11-17,1220663309
2000-11-20,1213261899
2000-11-21,1213261899
2000-11-22,1227495379
2000-11-24,1231480754
2000-11-27,1234896789
2000-11-28,1217247273
2000-11-29,1231480754
2000-11-30,1238312825
2000-12-01,1255962341
2000-12-04,1252546306
2000-12-05,1306064193
2000-12-06,1306064193
2000-12-07,1284429302
2000-12-08,1309480229
2000-12-11,1320297674
2000-12-12,1345348600
2000-12-13,1334531155
2000-12-14,1337947190
2000-12-15,1331115119
2000-12-18,1341363225
2000-12-19,1312896264
2000-12-20,1312896264
2000-12-21,1312896264
2000-12-22,1327129745
2000-12-26,1337947190
2000-12-27,1345348600
2000-12-28,1352180671
2000-12-29,1348764635
2001-01-02,1361384535
2001-01-03,1364832533
2001-01-04,1361384535
2001-01-05,1339547215
2001-01-08,1332651219
2001-01-09,1318284561
2001-01-10,1321732559
2001-01-11,1332651219
2001-01-12,1325180556
2001-01-16,1343569879
2001-01-17,1343569879
2001-01-18,1339547215
2001-01-19,1343569879
2001-01-22,1353913873
2001-01-23,1379199192
2001-01-24,1364832533
2001-01-25,1353913873
2001-01-26,1353913873
2001-01-29,1358511204
2001-01-30,1376325860
2001-01-31,1393565850
2001-02-01,1384945855
2001-02-02,1397013848
2001-02-05,1418851168
2001-02-06,1390117852
2001-02-07,1391841851
2001-02-08,1380348524
2001-02-09,1374027195
2001-02-12,1406208509
2001-02-13,1382072523
2001-02-14,1387819186
2001-02-15,1383796522
2001-02-16,1379199192
2001-02-20,1370579197
2001-02-21,1368280531
2001-02-22,1361959202
2001-02-23,1333800551
2001-02-26,1367705865
2001-02-27,1370579197
2001-02-28,1376325860
2001-03-01,1383796522
2001-03-02,1399312513
2001-03-05,1398163180
2001-03-06,1407932508
2001-03-07,1415977837
2001-03-08,1405059176
2001-03-09,1405059176
2001-03-12,1395864515
2001-03-13,1379199192
2001-03-14,1380348524
2001-03-15,1367705865
2001-03-16,1354488539
2001-03-19,1371728529
2001-03-20,1379773858
2001-03-21,1357936537
2001-03-22,1345868544
2001-03-23,1359660536
2001-03-26,1402760511
2001-03-27,1407932508
2001-03-28,1380348524
2001-03-29,1387819186
2001-03-30,1436665825
2001-04-02,1417473600
