,RRC
2000-01-03,100603500
2000-01-04,97927875
2000-01-05,95787375
2000-01-06,97927875
2000-01-07,97927875
2000-01-10,95787375
2000-01-11,93646875
2000-01-12,91506375
2000-01-13,97927875
2000-01-14,104884500
2000-01-18,113981625
2000-01-19,116122125
2000-01-20,111306000
2000-01-21,104884500
2000-01-24,100603500
2000-01-25,104884500
2000-01-26,102744000
2000-01-27,97927875
2000-01-28,95787375
2000-01-31,95787375
2000-02-01,100603500
2000-02-02,97927875
2000-02-03,97927875
2000-02-04,97927875
2000-02-07,97927875
2000-02-08,95787375
2000-02-09,93646875
2000-02-10,91506375
2000-02-11,91506375
2000-02-14,82409250
2000-02-15,82409250
2000-02-16,87225375
2000-02-17,82409250
2000-02-18,73847250
2000-02-22,75987750
2000-02-23,71171625
2000-02-24,71171625
2000-02-25,69031125
2000-02-28,69031125
2000-02-29,71171625
2000-03-01,78128250
2000-03-02,89365875
2000-03-03,84549750
2000-03-06,89365875
2000-03-07,97927875
2000-03-08,95787375
2000-03-09,80268750
2000-03-10,75987750
2000-03-13,71171625
2000-03-14,71171625
2000-03-15,69031125
2000-03-16,69031125
2000-03-17,69031125
2000-03-20,69031125
2000-03-21,71171625
2000-03-22,71171625
2000-03-23,71171625
2000-03-24,71171625
2000-03-27,73847250
2000-03-28,84549750
2000-03-29,82409250
2000-03-30,80268750
2000-03-31,80893695
2000-04-03,78614999
2000-04-04,73487934
2000-04-05,75766630
2000-04-06,73487934
2000-04-07,73487934
2000-04-10,73487934
2000-04-11,73487934
2000-04-12,71209238
2000-04-13,75766630
2000-04-14,68930543
2000-04-17,66651847
2000-04-18,68930543
2000-04-19,66651847
2000-04-20,68930543
2000-04-24,68930543
2000-04-25,66651847
2000-04-26,56967391
2000-04-27,56967391
2000-04-28,54593559
2000-05-01,56967391
2000-05-02,56967391
2000-05-03,61524782
2000-05-04,66651847
2000-05-05,66651847
2000-05-08,66651847
2000-05-09,64373151
2000-05-10,64373151
2000-05-11,68930543
2000-05-12,75766630
2000-05-15,83172390
2000-05-16,83172390
2000-05-17,90008477
2000-05-18,104250325
2000-05-19,104250325
2000-05-22,109377390
2000-05-23,101971629
2000-05-24,99692934
2000-05-25,97414238
2000-05-26,99692934
2000-05-30,99692934
2000-05-31,107098695
2000-06-01,116213477
2000-06-02,111656086
2000-06-05,109377390
2000-06-06,111656086
2000-06-07,111656086
2000-06-08,111656086
2000-06-09,107098695
2000-06-12,109377390
2000-06-13,109377390
2000-06-14,109377390
2000-06-15,97414238
2000-06-16,99692934
2000-06-19,109377390
2000-06-20,113934782
2000-06-21,121340542
2000-06-22,116213477
2000-06-23,118492173
2000-06-26,118492173
2000-06-27,116213477
2000-06-28,118492173
2000-06-29,113934782
2000-06-30,145132370
2000-07-03,145132370
2000-07-05,136759348
2000-07-06,139550356
2000-07-07,139550356
2000-07-10,139550356
2000-07-11,139550356
2000-07-12,145132370
2000-07-13,151412136
2000-07-14,166064923
2000-07-17,159785157
2000-07-18,171646937
2000-07-19,166064923
2000-07-20,162576164
2000-07-21,159785157
2000-07-24,148621129
2000-07-25,145132370
2000-07-26,136759348
2000-07-27,139550356
2000-07-28,139550356
2000-07-31,139550356
2000-08-01,139550356
2000-08-02,142341363
2000-08-03,148621129
2000-08-04,154203143
2000-08-07,154203143
2000-08-08,168855930
2000-08-09,171646937
2000-08-10,174437945
2000-08-11,174437945
2000-08-14,174437945
2000-08-15,183508718
2000-08-16,189090732
2000-08-17,191881739
2000-08-18,186299725
2000-08-21,197463753
2000-08-22,209325534
2000-08-23,221187314
2000-08-24,214907548
2000-08-25,226769328
2000-08-28,221187314
2000-08-29,223978321
2000-08-30,226769328
2000-08-31,232351342
2000-09-01,241422115
2000-09-05,226769328
2000-09-06,229560335
2000-09-07,235840101
2000-09-08,223978321
2000-09-11,221187314
2000-09-12,218396307
2000-09-13,229560335
2000-09-14,229560335
2000-09-15,241422115
2000-09-18,244213123
2000-09-19,235840101
2000-09-20,229560335
2000-09-21,218396307
2000-09-22,218396307
2000-09-25,212116541
2000-09-26,223978321
2000-09-27,218396307
2000-09-28,206534526
2000-09-29,223978321
2000-10-02,231643578
2000-10-03,228720630
2000-10-04,216298104
2000-10-05,213375157
2000-10-06,210452209
2000-10-09,216298104
2000-10-10,222143999
2000-10-11,222143999
2000-10-12,243335367
2000-10-13,231643578
2000-10-16,222143999
2000-10-17,222143999
2000-10-18,216298104
2000-10-19,206798525
2000-10-20,216298104
2000-10-23,234566525
2000-10-24,225066946
2000-10-25,210452209
2000-10-26,203875578
2000-10-27,200952631
2000-10-30,206798525
2000-10-31,213375157
2000-11-01,216298104
2000-11-02,219221052
2000-11-03,213375157
2000-11-06,216298104
2000-11-07,216298104
2000-11-08,213375157
2000-11-09,219221052
2000-11-10,213375157
2000-11-13,216298104
2000-11-14,213375157
2000-11-15,231643578
2000-11-16,219221052
2000-11-17,219221052
2000-11-20,213375157
2000-11-21,219221052
2000-11-22,219221052
2000-11-24,219221052
2000-11-27,219221052
2000-11-28,213375157
2000-11-29,206798525
2000-11-30,200952631
2000-12-01,216298104
2000-12-04,222143999
2000-12-05,222143999
2000-12-06,234566525
2000-12-07,222143999
2000-12-08,228720630
2000-12-11,246989051
2000-12-12,246989051
2000-12-13,268180420
2000-12-14,261603788
2000-12-15,261603788
2000-12-18,286448841
2000-12-19,279872209
2000-12-20,286448841
2000-12-21,295217683
2000-12-22,301794314
2000-12-26,320062735
2000-12-27,322985683
2000-12-28,334677472
2000-12-29,334677472
2001-01-02,335576550
2001-01-03,310746895
2001-01-04,300965516
2001-01-05,332566895
2001-01-08,329557240
2001-01-09,332566895
2001-01-10,344605515
2001-01-11,341595860
2001-01-12,325795171
2001-01-16,341595860
2001-01-17,322785515
2001-01-18,319775860
2001-01-19,310746895
2001-01-22,319775860
2001-01-23,310746895
2001-01-24,313756550
2001-01-25,329557240
2001-01-26,325795171
2001-01-29,321280688
2001-01-30,306232412
2001-01-31,297203447
2001-02-01,300965516
2001-02-02,310746895
2001-02-05,301717929
2001-02-06,301717929
2001-02-07,313004136
2001-02-08,325795171
2001-02-09,339338619
2001-02-12,334824136
2001-02-13,338586205
2001-02-14,336328964
2001-02-15,338586205
2001-02-16,342348274
2001-02-20,336328964
2001-02-21,318271033
2001-02-22,308489653
2001-02-23,300965516
2001-02-26,300965516
2001-02-27,303222757
2001-02-28,300965516
2001-03-01,296451033
2001-03-02,294193791
2001-03-05,310746895
2001-03-06,305479998
2001-03-07,317518619
2001-03-08,324290343
2001-03-09,319775860
2001-03-12,303222757
2001-03-13,298708274
2001-03-14,288926895
2001-03-15,283659998
2001-03-16,281402757
2001-03-19,285164826
2001-03-20,292688964
2001-03-21,286669653
2001-03-22,264097240
2001-03-23,282155171
2001-03-26,287422067
2001-03-27,283659998
2001-03-28,282155171
2001-03-29,270116550
2001-03-30,276135860
2001-04-02,261847331
2001-04-03,261847331
2001-04-04,267191155
2001-04-05,278642204
2001-04-06,280932414
2001-04-09,292383463
2001-04-10,309941739
2001-04-11,306124723
2001-04-12,308414933
2001-04-16,296200480
2001-04-17,305361320
2001-04-18,303071110
2001-04-19,297727287
2001-04-20,292383463
2001-04-23,290856657
2001-04-24,287803044
2001-04-25,292383463
2001-04-26,305361320
2001-04-27,296963883
2001-04-30,303071110
2001-05-01,297727287
2001-05-02,284749430
2001-05-03,280932414
2001-05-04,290856657
2001-05-07,290093254
2001-05-08,295437077
2001-05-09,296963883
2001-05-10,305361320
2001-05-11,305361320
2001-05-14,324446402
2001-05-15,324446402
2001-05-16,316048966
2001-05-17,317575772
2001-05-18,321392789
2001-05-21,325973209
2001-05-22,320629386
2001-05-23,315285562
2001-05-24,306124723
2001-05-25,301544303
2001-05-29,297727287
2001-05-30,297727287
2001-05-31,305361320
2001-06-01,305361320
2001-06-04,319865982
2001-06-05,331317032
2001-06-06,318339176
2001-06-07,300017496
2001-06-08,307651529
2001-06-11,320629386
2001-06-12,312995353
2001-06-13,308414933
2001-06-14,298490690
2001-06-15,303071110
2001-06-18,295437077
2001-06-19,296963883
2001-06-20,295437077
2001-06-21,289329850
2001-06-22,290093254
2001-06-25,290093254
2001-06-26,284749430
2001-06-27,286276237
2001-06-28,280169011
2001-06-29,305361320
2001-07-02,283690031
2001-07-03,282177017
2001-07-05,281420511
2001-07-06,280664004
2001-07-09,271585923
2001-07-10,267803389
2001-07-11,254942774
2001-07-12,249647227
2001-07-13,254942774
2001-07-16,250403734
2001-07-17,243595173
2001-07-18,228465038
2001-07-19,220899971
2001-07-20,241325653
2001-07-23,249647227
2001-07-24,250403734
2001-07-25,265533869
2001-07-26,265533869
2001-07-27,259481815
2001-07-30,254942774
2001-07-31,302602700
2001-08-01,277637977
2001-08-02,264020855
2001-08-03,262507842
2001-08-06,264020855
2001-08-07,265533869
2001-08-08,254942774
2001-08-09,251916747
2001-08-10,254186268
2001-08-13,259481815
2001-08-14,257212295
2001-08-15,276881470
2001-08-16,262507842
2001-08-17,260238322
2001-08-20,256455788
2001-08-21,259481815
2001-08-22,257968801
2001-08-23,257968801
2001-08-24,257212295
2001-08-27,245864693
2001-08-28,238299626
2001-08-29,226952025
2001-08-30,256455788
2001-08-31,297307152
2001-09-04,264777362
2001-09-05,265533869
2001-09-06,264777362
2001-09-07,260994828
2001-09-10,260994828
2001-09-17,257212295
2001-09-18,257212295
2001-09-19,253429761
2001-09-20,252673254
2001-09-21,251916747
2001-09-24,239812639
2001-09-25,226952025
2001-09-26,221656477
2001-09-27,221656477
2001-09-28,239812639
2001-10-01,233600062
2001-10-02,234414000
2001-10-03,236041875
2001-10-04,238483687
2001-10-05,222204937
2001-10-08,222204937
2001-10-09,222204937
