,CHIR
2019-08-14,24307245.0
2019-08-15,24923377.0
2019-08-16,25103310.0
2019-08-19,26237430.0
2019-08-20,26024782.0
2019-08-21,26766322.0
2019-08-22,26231977.0
2019-08-23,25321410.0
2019-08-26,25632202.0
2019-08-27,25932090.0
2019-08-28,25893922.0
2019-08-29,25659465.0
2019-08-30,25321410.0
2019-09-03,25245075.0
2019-09-04,26155642.0
2019-09-05,26450077.0
2019-09-06,26401005.0
2019-09-09,26139285.0
2019-09-10,26248335.0
2019-09-11,26531865.0
2019-09-12,26809942.0
2019-09-13,27366097.0
2019-09-16,27088020.0
2019-09-17,26891730.0
2019-09-18,26940802.0
2019-09-19,26760870.0
2019-09-20,26624557.0
2019-09-23,26390100.0
2019-09-24,25828492.0
2019-09-25,26084760.0
2019-09-26,25937542.0
2019-09-27,25664917.0
2019-09-30,25904827.0
2019-10-01,25594035.0
2019-10-02,25833945.0
2019-10-03,26411910.0
2019-10-04,26826300.0
2019-10-07,26564580.0
2019-10-08,26253787.0
2019-10-09,26978970.0
2019-10-10,27191617.0
2019-10-11,27791392.0
2019-10-14,27753225.0
2019-10-15,27905895.0
2019-10-16,28511122.0
2019-10-17,28429335.0
2019-10-18,28200330.0
2019-10-21,28554742.0
2019-10-22,28053112.0
2019-10-23,27824107.0
2019-10-24,27922252.0
2019-10-25,28260307.0
2019-10-28,28320285.0
2019-10-29,28314832.0
2019-10-30,28298475.0
2019-10-31,28102185.0
2019-11-01,29034562.0
2019-11-04,29541645.0
2019-11-05,29727030.0
2019-11-06,30092347.0
2019-11-07,30141420.0
2019-11-08,29754292.0
2019-11-11,29328997.0
2019-11-12,28952775.0
2019-11-13,28511122.0
2019-11-14,28522027.0
2019-11-15,28309380.0
2019-11-18,28527480.0
2019-11-19,29078182.0
2019-11-20,29012752.0
2019-11-21,29040015.0
2019-11-22,28811010.0
2019-11-25,29623432.0
2019-11-26,29465310.0
2019-11-27,29421690.0
2019-11-29,28903702.0
2019-12-02,29525287.0
2019-12-03,29323545.0
2019-12-04,29536192.0
2019-12-05,29290830.0
2019-12-06,29601622.0
2019-12-09,30043275.0
2019-12-10,30234112.0
2019-12-11,30844792.0
2019-12-12,31275540.0
2019-12-13,30866602.0
2019-12-16,31760812.0
2019-12-17,31804432.0
2019-12-18,31689930.0
2019-12-19,31542712.0
2019-12-20,31940745.0
2019-12-23,32011627.0
2019-12-24,31706287.0
2019-12-26,32115225.0
2019-12-27,32578687.0
2019-12-30,32224275.0
2019-12-31,32311515.0
2020-01-02,33429277.0
2020-01-03,32436922.0
2020-01-06,31962555.0
2020-01-07,32071605.0
2020-01-08,32289705.0
2020-01-09,32387850.0
2020-01-10,31968007.0
2020-01-13,32349682.0
2020-01-14,31897125.0
2020-01-15,31657215.0
2020-01-16,32704095.0
2020-01-17,32436922.0
2020-01-21,30506737.0
2020-01-22,30703027.0
2020-01-23,29716125.0
2020-01-24,29868795.0
2020-01-27,28331190.0
2020-01-28,28380262.0
2020-01-29,28625625.0
2020-01-30,28004040.0
2020-01-31,27480600.0
2020-02-03,27824107.0
2020-02-04,28903702.0
2020-02-05,28789200.0
2020-02-06,28854630.0
2020-02-07,28282117.0
2020-02-10,29001847.0
2020-02-11,29934225.0
2020-02-12,30261375.0
2020-02-13,30310447.0
