,JBL
2000-01-03,6100824800
2000-01-04,5677351650
2000-01-05,5666808750
2000-01-06,5485822300
2000-01-07,5677351650
2000-01-10,5997152950
2000-01-11,5842523750
2000-01-12,5788052100
2000-01-13,5710737500
2000-01-14,5865366700
2000-01-18,5875909600
2000-01-19,5974310000
2000-01-20,6188682300
2000-01-21,6160567900
2000-01-24,6056896050
2000-01-25,5919838350
2000-01-26,6150025000
2000-01-27,5826709399
2000-01-28,5491093750
2000-01-31,5557865450
2000-02-01,5749394800
2000-02-02,5984852900
2000-02-03,6237882500
2000-02-04,6116639150
2000-02-07,6172867950
2000-02-08,6656084200
2000-02-09,6780841850
2000-02-10,6612155450
2000-02-11,6485640649
2000-02-14,6397783149
2000-02-15,6462797700
2000-02-16,6480369200
2000-02-17,6193953750
2000-02-18,5979581450
2000-02-22,5909295450
2000-02-23,6051624600
2000-02-24,6028781650
2000-02-25,6281811250
2000-02-28,6204496650
2000-02-29,6134121280
2000-03-01,6150021940
2000-03-02,6256026339
2000-03-03,6464501660
2000-03-06,7243634000
2000-03-07,7072260220
2000-03-08,6913253620
2000-03-09,7277202060
2000-03-10,7884960620
2000-03-13,7596982000
2000-03-14,7508645000
2000-03-15,6900886440
2000-03-16,7596982000
2000-03-17,7376139500
2000-03-20,7310770120
2000-03-21,7199465500
2000-03-22,7254234440
2000-03-23,7134096120
2000-03-24,7271901839
2000-03-27,7763055560
2000-03-28,7833725160
2000-03-29,7386739940
2000-03-30,7100528060
2000-03-31,7641150500
2000-04-03,7243634000
2000-04-04,6703011560
2000-04-05,6945054940
2000-04-06,7155297000
2000-04-07,7287802500
2000-04-10,6900886440
2000-04-11,6703011560
2000-04-12,5853209620
2000-04-13,6061684940
2000-04-14,5697736500
2000-04-17,5720704120
2000-04-18,6252492860
2000-04-19,6713612000
2000-04-20,6503369940
2000-04-24,6614674560
2000-04-25,7001590620
2000-04-26,6890286000
2000-04-27,7188865060
2000-04-28,7199465500
2000-05-01,7399107120
2000-05-02,6945054940
2000-05-03,6812549440
2000-05-04,6934454500
2000-05-05,6736579620
2000-05-08,6427400120
2000-05-09,6349663560
2000-05-10,5809041120
2000-05-11,5731304560
2000-05-12,6074052120
2000-05-15,6370864440
2000-05-16,6536938000
2000-05-17,6703011560
2000-05-18,6515737120
2000-05-19,6095253000
2000-05-22,5885010940
2000-05-23,5664168440
2000-05-24,5619999940
2000-05-25,5809041120
2000-05-26,5985715120
2000-05-30,6492769500
2000-05-31,6895580000
2000-06-01,7675819600
2000-06-02,8384269600
2000-06-05,7934640000
2000-06-06,7887410000
2000-06-07,8076330000
2000-06-08,8406940000
2000-06-09,8501400000
2000-06-12,8442834800
2000-06-13,8265250000
2000-06-14,8595860000
2000-06-15,8879240000
2000-06-16,8442834800
2000-06-19,8784780000
2000-06-20,8796115200
2000-06-21,8737550000
2000-06-22,8537294800
2000-06-23,8289809600
2000-06-26,8501400000
2000-06-27,8832010000
2000-06-28,9068160000
2000-06-29,8737550000
2000-06-30,9383656400
2000-07-03,9446000000
2000-07-05,9056824800
2000-07-06,9351540000
2000-07-07,10154450000
2000-07-10,10673980000
2000-07-11,10968695200
2000-07-12,11087714800
2000-07-13,10862900000
2000-07-14,10934689600
2000-07-17,11116052800
2000-07-18,10415159600
2000-07-19,10332034800
2000-07-20,10604079600
2000-07-21,10213015200
2000-07-24,10201680000
2000-07-25,10226239600
2000-07-26,9801169600
2000-07-27,9139949600
2000-07-28,8915134800
2000-07-31,9457335200
2000-08-01,9245744800
2000-08-02,8903799600
2000-08-03,9434664800
