,NOV
2001-01-23,2578099680
2001-01-24,2544240960
2001-01-25,2718371520
2001-01-26,2769965760
2001-01-29,2753842559
2001-01-30,2724820800
2001-01-31,2731270080
2001-02-01,2628081600
2001-02-02,2637755520
2001-02-05,2728045440
2001-02-06,2897339040
2001-02-07,2919911520
2001-02-08,2926360800
2001-02-09,2950545600
2001-02-12,2937647040
2001-02-13,2989241280
2001-02-14,3031161600
2001-02-15,2984404320
2001-02-16,2997302880
2001-02-20,2994078240
2001-02-21,2971505760
2001-02-22,2994078240
2001-02-23,2802212160
2001-02-26,2900563679
2001-02-27,2807049120
2001-02-28,2710309920
2001-03-01,2758679520
2001-03-02,2874766559
2001-03-05,2894114400
2001-03-06,2900563679
2001-03-07,2971505760
2001-03-08,2992465920
2001-03-09,2989241280
2001-03-12,2945708640
2001-03-13,2911849920
2001-03-14,2869929600
2001-03-15,2769965760
2001-03-16,2819947679
2001-03-19,2919911520
2001-03-20,2994078240
2001-03-21,2908625280
2001-03-22,2803824480
2001-03-23,2863480320
2001-03-26,2936034720
2001-03-27,2774802720
2001-03-28,2700636000
2001-03-29,2518443840
2001-03-30,2592610559
2001-04-02,2409598200
2001-04-03,2327122020
2001-04-04,2404746660
2001-04-05,2522800800
2001-04-06,2553527220
2001-04-09,2640854939
2001-04-10,2718479580
2001-04-11,2694221880
2001-04-12,2736268560
2001-04-16,2750823180
2001-04-17,2770229340
2001-04-18,2613362880
2001-04-19,2535738240
2001-04-20,2626300319
2001-04-23,2728182660
2001-04-24,2762143439
2001-04-25,2841385260
2001-04-26,2917392720
2001-04-27,2912541180
2001-04-30,2969142480
2001-05-01,2930330160
2001-05-02,2636003400
2001-05-03,2514714900
2001-05-04,2627917500
2001-05-07,2561613120
2001-05-08,2514714900
2001-05-09,2627917500
2001-05-10,2593956720
2001-05-11,2545441320
2001-05-14,2589105180
2001-05-15,2627917500
2001-05-16,2713628040
2001-05-17,2815510380
2001-05-18,2823596280
2001-05-21,2807424480
2001-05-22,2768612160
2001-05-23,2712010860
2001-05-24,2642472120
2001-05-25,2674815720
2001-05-29,2619831600
2001-05-30,2569699020
2001-05-31,2590722360
2001-06-01,2568081840
2001-06-04,2619831600
2001-06-05,2571316200
2001-06-06,2477519760
2001-06-07,2422535640
2001-06-08,2372403060
2001-06-11,2346528180
2001-06-12,2414449740
2001-06-13,2462965140
2001-06-14,2429004360
2001-06-15,2414449740
2001-06-18,2333590740
2001-06-19,2354614080
2001-06-20,2417684100
2001-06-21,2319036120
2001-06-22,2289926880
