,CAG
2000-01-03,8434050000
2000-01-04,8272040000
2000-01-05,8133855000
2000-01-06,8367339999
2000-01-07,8548410000
2000-01-10,8481700000
2000-01-11,8758070000
2000-01-12,8781895000
2000-01-13,8529349999
2000-01-14,8252980000
2000-01-18,8272040000
2000-01-19,8391165000
2000-01-20,8505525000
2000-01-21,8529349999
2000-01-24,8295865000
2000-01-25,8090970000
2000-01-26,7838425000
2000-01-27,7766950000
2000-01-28,7628765000
2000-01-31,7905135000
2000-02-01,7766950000
2000-02-02,7466755000
2000-02-03,7581115000
2000-02-04,7743125000
2000-02-07,7557290000
2000-02-08,7581115000
2000-02-09,7328570000
2000-02-10,7028375000
2000-02-11,6961665000
2000-02-14,6847305000
2000-02-15,6847305000
2000-02-16,6728180000
2000-02-17,6589995000
2000-02-18,6589995000
2000-02-22,6589995000
2000-02-23,6223090000
2000-02-24,6037255000
2000-02-25,5946720000
2000-02-28,6067440000
2000-02-29,6043590000
2000-03-01,6181920000
2000-03-02,5952960000
2000-03-03,6000660000
2000-03-06,5905260000
2000-03-07,5724000000
2000-03-08,5838480000
2000-03-09,5838480000
2000-03-10,5766930000
2000-03-13,5724000000
2000-03-14,5766930000
2000-03-15,5766930000
2000-03-16,6296400000
2000-03-17,6277320000
2000-03-20,6458580000
2000-03-21,6530130000
2000-03-22,6553980000
2000-03-23,6367950000
2000-03-24,6067440000
2000-03-27,5905260000
2000-03-28,5814630000
2000-03-29,6138990000
2000-03-30,6735240000
2000-03-31,6692310000
2000-04-03,6873570000
2000-04-04,6992820000
2000-04-05,7035750000
2000-04-06,6945120000
2000-04-07,6921270000
2000-04-10,6806790000
2000-04-11,7150230000
2000-04-12,7336260000
2000-04-13,7383960000
2000-04-14,7083450000
2000-04-17,7150230000
2000-04-18,7174080000
2000-04-19,7011900000
2000-04-20,6992820000
2000-04-24,7312410000
2000-04-25,7336260000
2000-04-26,7312410000
2000-04-27,7174080000
2000-04-28,6968970000
2000-05-01,7269480000
2000-05-02,7174080000
2000-05-03,7546140000
2000-05-04,7660619999
2000-05-05,7589070000
2000-05-08,7727400000
2000-05-09,8004060000
2000-05-10,7913430000
2000-05-11,7889580000
2000-05-12,8004060000
2000-05-15,7913430000
2000-05-16,8027909999
2000-05-17,7889580000
2000-05-18,7865729999
2000-05-19,7889580000
2000-05-22,8190090000
2000-05-23,8280720000
2000-05-24,8419049999
2000-05-25,8419049999
2000-05-26,8466750000
2000-05-30,8683618000
2000-05-31,8544795000
2000-06-01,8568729999
2000-06-02,8152261000
2000-06-05,8128326000
2000-06-06,7917698000
2000-06-07,8080456000
2000-06-08,8032586000
2000-06-09,7965568000
2000-06-12,8013437999
2000-06-13,7989503000
2000-06-14,8032586000
2000-06-15,7989503000
2000-06-16,7850679999
2000-06-19,7778875000
2000-06-20,7525164000
2000-06-21,7362406000
2000-06-22,7362406000
2000-06-23,6854984000
2000-06-26,7314536000
2000-06-27,7362406000
2000-06-28,7338471000
2000-06-29,7271453000
2000-06-30,7060825000
2000-07-03,7223583000
2000-07-05,7525164000
2000-07-06,7917698000
2000-07-07,7874615000
2000-07-10,7802810000
2000-07-11,7874615000
2000-07-12,7754940000
2000-07-13,7826745000
2000-07-14,7778875000
2000-07-17,7711857000
2000-07-18,7874615000
2000-07-19,7850679999
2000-07-20,7965568000
2000-07-21,7917698000
2000-07-24,7874615000
2000-07-25,7874615000
2000-07-26,7754940000
2000-07-27,7731004999
2000-07-28,7640052000
2000-07-31,7573034000
2000-08-01,7826745000
2000-08-02,7989503000
2000-08-03,8013437999
2000-08-04,7802810000
2000-08-07,7663987000
2000-08-08,7501229000
2000-08-09,7501229000
2000-08-10,7362406000
2000-08-11,7410276000
2000-08-14,7314536000
2000-08-15,7175713000
2000-08-16,7338471000
2000-08-17,7386341000
2000-08-18,7386341000
2000-08-21,7434211000
2000-08-22,7362406000
2000-08-23,7295388000
2000-08-24,7362406000
2000-08-25,7036890000
2000-08-28,7573710347
2000-08-29,7521693106
2000-08-30,7370843106
2000-08-31,7370843106
2000-09-01,7344834485
2000-09-05,7521693106
2000-09-06,7521693106
2000-09-07,7547701727
2000-09-08,7573710347
2000-09-11,7521693106
2000-09-12,7521693106
2000-09-13,7547701727
2000-09-14,7573710347
2000-09-15,7599718968
2000-09-18,7547701727
2000-09-19,7625727589
2000-09-20,7547701727
2000-09-21,7547701727
2000-09-22,7698551727
2000-09-25,7547701727
2000-09-26,7849401727
2000-09-27,7875410347
2000-09-28,7974243106
2000-09-29,8078277589
2000-10-02,8229127589
2000-10-03,8203118968
2000-10-04,8052268968
2000-10-05,8151101727
2000-10-06,8151101727
2000-10-09,8177110348
2000-10-10,8229127589
2000-10-11,8353968968
2000-10-12,8301951727
2000-10-13,8249934486
2000-10-16,8301951727
2000-10-17,8275943106
2000-10-18,8125093106
2000-10-19,7974243106
2000-10-20,7849401727
2000-10-23,8099084485
2000-10-24,8099084485
2000-10-25,8177110348
2000-10-26,8275943106
2000-10-27,8249934486
2000-10-30,8556836210
2000-10-31,8603651727
2000-11-01,8780510348
2000-11-02,8728493106
2000-11-03,8957368969
2000-11-06,9009386210
2000-11-07,9056201727
2000-11-08,9082210348
2000-11-09,9259068969
2000-11-10,9461936210
2000-11-13,9508751727
2000-11-14,9586777590
2000-11-15,9711618969
2000-11-16,9987310348
2000-11-17,10517886211
