,OKE
2000-01-03,635136240
2000-01-04,626948480
2000-01-05,633966560
2000-01-06,633966560
2000-01-07,657360160
2000-01-10,656190480
2000-01-11,648002720
2000-01-12,664378240
2000-01-13,678414400
2000-01-14,672566000
2000-01-18,660869200
2000-01-19,669056960
2000-01-20,673735680
2000-01-21,705317040
2000-01-24,705317040
2000-01-25,692450560
2000-01-26,691280880
2000-01-27,666717600
2000-01-28,666717600
2000-01-31,669056960
2000-02-01,672566000
2000-02-02,678414400
2000-02-03,678414400
2000-02-04,660869200
2000-02-07,646833040
2000-02-08,636305920
2000-02-09,625778800
2000-02-10,631627200
2000-02-11,608233600
2000-02-14,622269760
2000-02-15,636305920
2000-02-16,618760720
2000-02-17,622269760
2000-02-18,612912320
2000-02-22,601215520
2000-02-23,594197440
2000-02-24,574312880
2000-02-25,556767680
2000-02-28,573143200
2000-02-29,581330960
2000-03-01,588349040
2000-03-02,582500640
2000-03-03,583670320
2000-03-06,575482560
2000-03-07,586009680
2000-03-08,603554880
2000-03-09,608233600
2000-03-10,609403280
2000-03-13,612912320
2000-03-14,581330960
2000-03-15,591858080
2000-03-16,630457520
2000-03-17,622269760
2000-03-20,630457520
2000-03-21,639814960
2000-03-22,618760720
2000-03-23,617591040
2000-03-24,625778800
2000-03-27,625778800
2000-03-28,608233600
2000-03-29,624609120
2000-03-30,631627200
2000-03-31,638808480
2000-04-03,641144160
2000-04-04,637640640
2000-04-05,629465760
2000-04-06,641144160
2000-04-07,635304960
2000-04-10,630633600
2000-04-11,630633600
2000-04-12,632969280
2000-04-13,652822560
2000-04-14,646983360
2000-04-17,656326080
2000-04-18,650486880
2000-04-19,648151200
2000-04-20,663333120
2000-04-24,650486880
2000-04-25,665668800
2000-04-26,656326080
2000-04-27,641144160
2000-04-28,645815520
2000-05-01,650486880
2000-05-02,650486880
2000-05-03,646983360
2000-05-04,645815520
2000-05-05,655158240
2000-05-08,652822560
2000-05-09,642312000
2000-05-10,643479840
2000-05-11,659829600
2000-05-12,658661760
2000-05-15,686689920
2000-05-16,689025600
2000-05-17,676179360
2000-05-18,671508000
2000-05-19,668004480
2000-05-22,689025600
2000-05-23,678515040
2000-05-24,701871840
2000-05-25,691361280
2000-05-26,703039680
2000-05-30,717053760
2000-05-31,743914080
2000-06-01,768438720
2000-06-02,769606560
2000-06-05,741578400
2000-06-06,726396480
2000-06-07,721725120
2000-06-08,711214560
2000-06-09,726396480
2000-06-12,729900000
2000-06-13,736907040
2000-06-14,732235680
2000-06-15,726396480
2000-06-16,732235680
2000-06-19,729900000
2000-06-20,720557280
2000-06-21,719389440
