,AZO
2000-01-03,4267834817
2000-01-04,4250379459
2000-01-05,4232924102
2000-01-06,4058370531
2000-01-07,4250379459
2000-01-10,4285290174
2000-01-11,4198013388
2000-01-12,4163102674
2000-01-13,4189285710
2000-01-14,4154374995
2000-01-18,4136919638
2000-01-19,4206741067
2000-01-20,4058370531
2000-01-21,3944910710
2000-01-24,3875089281
2000-01-25,3892544638
2000-01-26,3857633924
2000-01-27,3770357139
2000-01-28,3656897317
2000-01-31,3665624996
2000-02-01,3674352674
2000-02-02,3604531246
2000-02-03,3709263389
2000-02-04,3717991067
2000-02-07,3543437496
2000-02-08,3517254460
2000-02-09,3351428568
2000-02-10,3360156246
2000-02-11,3246696425
2000-02-14,3142161000
2000-02-15,3142161000
2000-02-16,2999335500
2000-02-17,3041343000
2000-02-18,2974131000
2000-02-22,3007737000
2000-02-23,3125358000
2000-02-24,2965729500
2000-02-25,3133759500
2000-02-28,3100153500
2000-02-29,3226176000
2000-03-01,3041343000
2000-03-02,3066547500
2000-03-03,3016138500
2000-03-06,3007737000
2000-03-07,2839707000
2000-03-08,2957328000
2000-03-09,3058146000
2000-03-10,2932123500
2000-03-13,2864911500
2000-03-14,3032941500
2000-03-15,3242979000
2000-03-16,3553834500
2000-03-17,3268183500
2000-03-20,3360600000
2000-03-21,3453016500
2000-03-22,3326994000
2000-03-23,3242979000
2000-03-24,3436213500
2000-03-27,3444615000
2000-03-28,3528630000
2000-03-29,3604243500
2000-03-30,3654652500
2000-03-31,3730266000
2000-04-03,3747069000
2000-04-04,3637849500
2000-04-05,3721864500
2000-04-06,3847887000
2000-04-07,3889894500
2000-04-10,3923500500
2000-04-11,3999114000
2000-04-12,3923500500
2000-04-13,3738667500
2000-04-14,3495024000
2000-04-17,3486622500
2000-04-18,3537031500
2000-04-19,3419410500
2000-04-20,3352198500
2000-04-24,3352198500
2000-04-25,3369001500
2000-04-26,3217774500
2000-04-27,3100153500
2000-04-28,3083350500
2000-05-01,3100153500
2000-05-02,3024540000
2000-05-03,2940525000
2000-05-04,2974131000
2000-05-05,2948926500
2000-05-08,2618837687
2000-05-09,2699080625
