,NBR
2000-01-03,4091201604
2000-01-04,4012818197
2000-01-05,4126020104
2000-01-06,4326184697
2000-01-07,4378440302
2000-01-10,4456768000
2000-01-11,4456768000
2000-01-12,4430640197
2000-01-13,4517714302
2000-01-14,4578660604
2000-01-18,4909408500
2000-01-19,4804953000
2000-01-20,4683116104
2000-01-21,4865899302
2000-01-24,4648297604
2000-01-25,4509023604
2000-01-26,4448077302
2000-01-27,4213038500
2000-01-28,4152092197
2000-01-31,4126020104
2000-02-01,4317494000
2000-02-02,4317494000
2000-02-03,4273984802
2000-02-04,4317494000
2000-02-07,4474205104
2000-02-08,4334931104
2000-02-09,4152092197
2000-02-10,4439386604
2000-02-11,4578660604
2000-02-14,4683116104
2000-02-15,4909408500
2000-02-16,4935536302
2000-02-17,4813643697
2000-02-18,4674369697
2000-02-22,4395821697
2000-02-23,4456768000
2000-02-24,4683116104
2000-02-25,4596042000
2000-02-28,4787571604
2000-02-29,4996482604
2000-03-01,5257593500
2000-03-02,5457813802
2000-03-03,5214084302
2000-03-06,5344667604
2000-03-07,5570960000
2000-03-08,5109628802
2000-03-09,4979045500
2000-03-10,5083501000
2000-03-13,4979045500
2000-03-14,4996482604
2000-03-15,4961664104
2000-03-16,5335921197
2000-03-17,5292412000
2000-03-20,5118319500
2000-03-21,5431686000
2000-03-22,5510013697
2000-03-23,5527450802
2000-03-24,5240212104
2000-03-27,5048682500
2000-03-28,5083501000
2000-03-29,5309849104
2000-03-30,5362049000
2000-03-31,5405558197
2000-04-03,5761986623
2000-04-04,5443436253
2000-04-05,5143003873
2000-04-06,5261382503
2000-04-07,5361468373
2000-04-10,5015595376
2000-04-11,5234059876
2000-04-12,5407025503
2000-04-13,5352380250
2000-04-14,5279558750
2000-04-17,5206737250
2000-04-18,5589079253
2000-04-19,5443436253
2000-04-20,5643666250
2000-04-24,5507111373
2000-04-25,5416113626
2000-04-26,5452524376
2000-04-27,5625490003
2000-04-28,5743810376
2000-05-01,5843954503
2000-05-02,5925864126
2000-05-03,5543522123
2000-05-04,5807543753
2000-05-05,5825720000
2000-05-08,6016861873
2000-05-09,6198915623
2000-05-10,5998685626
2000-05-11,5962274876
2000-05-12,6153416750
2000-05-15,6253560876
2000-05-16,6198915623
2000-05-17,6326382376
2000-05-18,6144328626
2000-05-19,6162504873
2000-05-22,5898541500
2000-05-23,6189827500
2000-05-24,6007773750
2000-05-25,6044184500
2000-05-26,5880365253
2000-05-30,5871218873
2000-05-31,6262649000
2000-06-01,6153416750
2000-06-02,5734722253
2000-06-05,5306881376
2000-06-06,5734722253
2000-06-07,5680077000
2000-06-08,6026008253
2000-06-09,5862130750
2000-06-12,6135240503
2000-06-13,6189827500
2000-06-14,5771133003
2000-06-15,5834808123
2000-06-16,6035096376
2000-06-19,5853042626
2000-06-20,5780221126
2000-06-21,6117006000
2000-06-22,6026008253
2000-06-23,6117006000
2000-06-26,5971363000
2000-06-27,6053272623
2000-06-28,5798397373
2000-06-29,5989597503
2000-06-30,6053272623
2000-07-03,6079859962
2000-07-05,5760334731
2000-07-06,5952026500
2000-07-07,5888109768
2000-07-10,5860766962
2000-07-11,6454129231
2000-07-12,6326295768
2000-07-13,6362811268
2000-07-14,6545388768
2000-07-17,6344582731
2000-07-18,6572790000
2000-07-19,6508873268
2000-07-20,6426728000
2000-07-21,6171119500
2000-07-24,5869881231
2000-07-25,5678189462
2000-07-26,6034171768
2000-07-27,6134604000
2000-07-28,6079859962
2000-07-31,6079859962
2000-08-01,6426728000
2000-08-02,6518045962
2000-08-03,6381098231
2000-08-04,6572790000
2000-08-07,6691450768
2000-08-08,6718852000
2000-08-09,6791883000
2000-08-10,6764481768
2000-08-11,6773654462
2000-08-14,7001861731
2000-08-15,6983574768
2000-08-16,7184439231
2000-08-17,7193553500
2000-08-18,6965346231
2000-08-21,7001861731
2000-08-22,7001861731
2000-08-23,7065778462
2000-08-24,6910543768
2000-08-25,6855799731
2000-08-28,6956231962
2000-08-29,6901429500
2000-08-30,6928830731
2000-08-31,6947059268
2000-09-01,6992747462
2000-09-05,7084007000
2000-09-06,7540479962
2000-09-07,7503964462
2000-09-08,7357902462
2000-09-11,7668255000
2000-09-12,7759572962
2000-09-13,7650026462
2000-09-14,7650026462
2000-09-15,7704770500
2000-09-18,7485677500
2000-09-19,7339615500
2000-09-20,7157038000
2000-09-21,6791883000
2000-09-22,6874028268
2000-09-25,6916035700
2000-09-26,7306021240
2000-09-27,7590842140
2000-09-28,7647806320
2000-09-29,7653648800
2000-10-02,7644148600
2000-10-03,7509108200
2000-10-04,7305111000
2000-10-05,7385560600
2000-10-06,7455954000
2000-10-09,7467446800
2000-10-10,7714542000
2000-10-11,7685810000
2000-10-12,7960200600
2000-10-13,7750457000
2000-10-16,7621163000
2000-10-17,7649895000
2000-10-18,7710232200
2000-10-19,7849582400
2000-10-20,8059326000
2000-10-23,7858202000
2000-10-24,7685810000
2000-10-25,7405673000
2000-10-26,7427222000
2000-10-27,6996242000
2000-10-30,7237590800
2000-10-31,7312294000
2000-11-01,7647021800
2000-11-02,7470320000
2000-11-03,7595304200
2000-11-06,7626909400
2000-11-07,7708795600
2000-11-08,7937215000
2000-11-09,7690119800
2000-11-10,7496178800
2000-11-13,7111170000
2000-11-14,7305111000
2000-11-15,7714542000
2000-11-16,7843836000
2000-11-17,7636965600
2000-11-20,7399926600
2000-11-21,7743274000
2000-11-22,7407109600
2000-11-24,7615416600
2000-11-27,7684373400
2000-11-28,7651331600
2000-11-29,7035030200
2000-11-30,6312420400
2000-12-01,6410109200
2000-12-04,6543713000
2000-12-05,6733344200
2000-12-06,6764949400
2000-12-07,6762076200
2000-12-08,7170070600
2000-12-11,7586684600
2000-12-12,7507671600
2000-12-13,7361138400
2000-12-14,7109733400
2000-12-15,7399926600
2000-12-18,8066509000
2000-12-19,8231718000
2000-12-20,7793555000
2000-12-21,8066509000
2000-12-22,7889807200
2000-12-26,8376814600
2000-12-27,8188620000
2000-12-28,8559262800
2000-12-29,8497489000
2001-01-02,8339667600
2001-01-03,8087350480
2001-01-04,7943588400
2001-01-05,8053610400
2001-01-08,8169500240
2001-01-09,8300059680
2001-01-10,8567046400
2001-01-11,8608121280
2001-01-12,8662398800
2001-01-16,8880975840
2001-01-17,8471694000
2001-01-18,8068280000
2001-01-19,8038940800
2001-01-22,8236980400
2001-01-23,8448222640
2001-01-24,8728412000
2001-01-25,9007134400
2001-01-26,9169966960
2001-01-29,9065812800
2001-01-30,9042341440
2001-01-31,8656530960
2001-02-01,8581716000
2001-02-02,8671200560
2001-02-05,8770953840
2001-02-06,8964592560
2001-02-07,9140627760
2001-02-08,8904447200
2001-02-09,8977795200
2001-02-12,8682936240
2001-02-13,8773887760
2001-02-14,8794425200
2001-02-15,8656530960
2001-02-16,8628658720
2001-02-20,8647729200
2001-02-21,8493698400
2001-02-22,8090284400
2001-02-23,8081482640
2001-02-26,8320597120
2001-02-27,8333799760
2001-02-28,8317663200
2001-03-01,8300059680
2001-03-02,8616923040
2001-03-05,8816429600
2001-03-06,8889777600
2001-03-07,9137693840
2001-03-08,9095152000
2001-03-09,9021804000
2001-03-12,8691738000
2001-03-13,8546508960
2001-03-14,8391011200
2001-03-15,7965592800
2001-03-16,7920117040
2001-03-19,8112288800
2001-03-20,8302993600
2001-03-21,8052143440
2001-03-22,7896645680
2001-03-23,8129892320
2001-03-26,8292724880
2001-03-27,8046275600
2001-03-28,7804227200
2001-03-29,7481496000
2001-03-30,7604720640
2001-04-02,7282988300
2001-04-03,6963533280
2001-04-04,7139380080
2001-04-05,7649335800
2001-04-06,7671316650
2001-04-09,7784151680
2001-04-10,7921898340
2001-04-11,7751913100
2001-04-12,7873540470
2001-04-16,8024475640
2001-04-17,8169549250
2001-04-18,8096279750
2001-04-19,7869144300
2001-04-20,8068437340
2001-04-23,8308761300
2001-04-24,8179806980
2001-04-25,8273591940
2001-04-26,8852420990
2001-04-27,8666316460
2001-04-30,8736655180
2001-05-01,8540292920
2001-05-02,8125587550
2001-05-03,7957067700
2001-05-04,8080160460
2001-05-07,7952671530
2001-05-08,7979048550
2001-05-09,8131449110
2001-05-10,7876471250
2001-05-11,7707951400
2001-05-14,7949740750
2001-05-15,8103606700
2001-05-16,8103606700
2001-05-17,8279453500
2001-05-18,8355653780
2001-05-21,8292642010
2001-05-22,8040594930
2001-05-23,7605374100
2001-05-24,7473489000
2001-05-25,7533569990
2001-05-29,7356257800
2001-05-30,7244888160
2001-05-31,7451508150
2001-06-01,7416338790
2001-06-04,7407546450
2001-06-05,7422200350
2001-06-06,7142310860
2001-06-07,6814063500
2001-06-08,6693901520
2001-06-11,6715882370
2001-06-12,6828717400
2001-06-13,6938621650
2001-06-14,6765705630
2001-06-15,6793548040
2001-06-18,6641147480
2001-06-19,6550293300
2001-06-20,6447716000
2001-06-21,6183945800
2001-06-22,6192738140
2001-06-25,6194203530
2001-06-26,6352465650
2001-06-27,6003702830
2001-06-28,5509866400
2001-06-29,5451250800
2001-07-02,5197245900
2001-07-03,5237456700
2001-07-05,5263306500
2001-07-06,5165651700
2001-07-09,4875559500
2001-07-10,4680249900
2001-07-11,4652964000
2001-07-12,4444729500
2001-07-13,4437549000
2001-07-16,4143148500
2001-07-17,4273833600
2001-07-18,4064163000
2001-07-19,4179051000
2001-07-20,4417443600
2001-07-23,4342766400
2001-07-24,4078524000
2001-07-25,4394466000
2001-07-26,4384413300
2001-07-27,4466271000
2001-07-30,4480632000
2001-07-31,4207773000
2001-08-01,3963636000
2001-08-02,4042621500
2001-08-03,3977997000
2001-08-06,3966508200
2001-08-07,3863109000
2001-08-08,3726679500
2001-08-09,3748221000
2001-08-10,3782687400
2001-08-13,3742476600
2001-08-14,3789867900
2001-08-15,4157509500
2001-08-16,4128787500
2001-08-17,4056982500
2001-08-20,3957891600
2001-08-21,4036877100
2001-08-22,3989485800
2001-08-23,3847311900
2001-08-24,3809973300
2001-08-27,3844439700
2001-08-28,3676416000
2001-08-29,3735296100
2001-08-30,3554347500
2001-08-31,3521317200
2001-09-04,3575889000
2001-09-05,3537114300
2001-09-06,3629024700
2001-09-07,3532806000
2001-09-10,3554347500
2001-09-17,3389196000
2001-09-18,3166600500
2001-09-19,2916719100
2001-09-20,2843478000
2001-09-21,2918155200
2001-09-24,2843478000
2001-09-25,2728590000
2001-09-26,2679762600
2001-09-27,2801831100
2001-09-28,3011501700
2001-10-01,2966982600
2001-10-02,3011501700
2001-10-03,3165164400
2001-10-04,3458128800
2001-10-05,3475362000
2001-10-08,3475362000
2001-10-09,3555783600
