,EC
2009-10-08,59126422681
2009-10-09,59693000312
2009-10-12,60704746080
2009-10-13,60178638280
2009-10-14,60684511164
2009-10-15,59470416243
2009-10-16,59612060650
2009-10-19,59328771835
2009-10-20,57224340638
2009-10-21,57426689791
2009-10-22,56334004362
2009-10-23,55747191816
2009-10-26,54310512826
2009-10-27,53096417904
2009-10-28,50324234500
2009-10-29,53015478243
2009-10-30,52185846713
2009-11-02,52206081628
2009-11-03,51234805691
2009-11-04,53177357566
2009-11-05,54371217572
2009-11-06,53804639942
2009-11-09,55038969779
2009-11-10,55180614186
2009-11-11,54877090456
2009-11-12,54411687403
2009-11-13,53683230450
2009-11-16,55443668086
2009-11-17,54917560287
2009-11-18,54775915879
2009-11-19,54148633503
2009-11-20,52307256205
2009-11-23,53662995534
2009-11-24,53561820957
2009-11-25,54391452487
2009-11-27,52691719597
2009-11-30,50202825008
2009-12-01,51760913490
2009-12-02,51599034168
2009-12-03,52428665697
2009-12-04,52165611798
2009-12-07,51335980268
2009-12-08,50971751791
2009-12-09,51781148406
2009-12-10,50789637553
2009-12-11,51416919929
2009-12-14,50486113823
2009-12-15,50283764669
2009-12-16,50749167722
2009-12-17,49170844324
2009-12-18,49595777547
2009-12-21,49049434832
2009-12-22,48543561948
2009-12-23,49029199917
2009-12-24,48968495171
2009-12-28,49454133139
2009-12-29,48907790425
2009-12-30,48482857202
2009-12-31,49089904663
2010-01-04,50408514418
2010-01-05,50368041905
2010-01-06,50610876981
2010-01-07,50752530775
2010-01-08,51278673438
2010-01-11,52614266354
2010-01-12,51137019644
2010-01-13,50671585750
2010-01-14,51096547132
2010-01-15,51420327232
2010-01-19,51885761127
2010-01-20,50712058262
2010-01-21,47757564844
2010-01-22,48101581201
2010-01-25,49335992835
2010-01-26,48850322684
2010-01-27,50125206830
2010-01-28,49578827910
2010-01-29,49295520322
2010-02-01,50590640725
2010-02-02,51217964669
2010-02-03,50185915599
2010-02-04,48567015096
2010-02-05,49032448990
2010-02-08,48465833814
2010-02-09,50347805649
2010-02-10,51238200926
2010-02-11,52067887434
2010-02-12,51440563489
2010-02-16,52330958765
2010-02-17,52715447635
2010-02-18,52917810198
2010-02-19,52573793841
2010-02-22,52270249997
2010-02-23,53079700248
2010-02-24,54820018289
2010-02-25,54051040550
2010-02-26,54455765676
2010-03-01,54759309520
2010-03-02,55406869722
2010-03-03,55244979671
2010-03-04,54597419470
2010-03-05,56438918792
2010-03-08,56600808843
2010-03-09,56580572586
2010-03-10,57430495351
2010-03-11,58057819296
2010-03-12,56965061456
2010-03-15,57855456733
2010-03-16,57470967863
2010-03-17,58138764321
2010-03-18,57592385401
2010-03-19,56884116431
2010-03-22,56823407662
2010-03-23,57511440376
2010-03-24,56803171406
2010-03-25,56722226380
2010-03-26,56479391305
2010-03-29,57046006481
2010-03-30,57046006481
2010-03-31,57329314069
2010-04-01,57855456733
2010-04-05,57450731607
2010-04-06,58239945602
2010-04-07,57046006481
2010-04-08,57349550325
2010-04-09,56944825200
2010-04-12,56580572586
2010-04-13,56499627561
2010-04-14,56459155049
2010-04-15,56418682536
2010-04-16,55852067360
2010-04-19,55164034646
2010-04-20,55730649822
2010-04-21,56985297712
2010-04-22,56701990124
2010-04-23,57592385401
2010-04-26,57895929245
2010-04-27,56459155049
2010-04-28,56256792486
2010-04-29,57228132788
2010-04-30,57632857913
2010-05-03,57531676632
2010-05-04,56034193667
2010-05-05,55528287259
2010-05-06,53059463992
2010-05-07,52938046454
2010-05-10,55548523516
2010-05-11,56094902435
2010-05-12,57491204119
2010-05-13,57005533968
2010-05-14,55224743415
2010-05-17,55609232284
2010-05-18,55285452184
2010-05-19,54981908339
2010-05-20,52614266354
2010-05-21,53545134143
2010-05-24,54091513063
2010-05-25,54577183214
2010-05-26,53828441731
2010-05-27,56074666179
2010-05-28,55366397209
2010-06-01,55325924696
2010-06-02,56762698893
2010-06-03,56944825200
2010-06-04,55528287259
2010-06-07,54334348138
2010-06-08,56418682536
2010-06-09,55872303616
2010-06-10,57632857913
2010-06-11,57572149145
2010-06-14,57167424019
2010-06-15,57895929245
2010-06-16,58219709346
2010-06-17,58664906984
2010-06-18,58766088266
2010-06-21,59413648467
2010-06-22,58199473090
2010-06-23,59858846105
2010-06-24,58017346783
2010-06-25,58604198215
2010-06-28,58887505803
2010-06-29,58685143241
2010-06-30,58017346783
2010-07-01,58361363140
2010-07-02,58482780678
2010-07-06,58523253190
2010-07-07,60486170050
2010-07-08,60587351332
2010-07-09,62388378142
2010-07-12,62145543066
2010-07-13,62368141885
2010-07-14,63804916082
2010-07-15,65100036484
2010-07-16,65160745253
2010-07-19,65059563972
2010-07-20,66536810681
2010-07-21,65949959249
2010-07-22,68054529903
2010-07-23,68175947441
2010-07-26,68702090104
2010-07-27,68560436310
2010-07-28,68054529903
2010-07-29,68439018772
2010-07-30,69046106461
2010-08-02,69794847944
2010-08-03,72466033774
2010-08-04,73680209151
2010-08-05,75805016062
2010-08-06,75825252318
2010-08-09,76149032419
2010-08-10,74530131916
2010-08-11,72870758900
2010-08-12,71494693472
2010-08-13,74226588071
2010-08-16,75339582167
2010-08-17,74611076941
2010-08-18,74530131916
2010-08-19,74368241865
2010-08-20,74489659403
2010-08-23,74084934277
2010-08-24,75299109655
2010-08-25,74955093298
2010-08-26,76675175082
2010-08-27,77504861590
2010-08-30,76371631238
2010-08-31,78375020611
2010-09-01,81815184180
2010-09-02,78880927018
2010-09-03,81714002899
2010-09-07,81491404079
2010-09-08,84628023804
2010-09-09,85477946568
2010-09-10,83919754834
2010-09-13,83494793452
2010-09-14,82321090587
2010-09-15,79467778450
2010-09-16,79589195988
2010-09-17,79548723475
2010-09-20,81754475411
2010-09-21,82928178276
2010-09-22,80702190084
2010-09-23,79123762093
