,ULTA
2007-10-25,303537780
2007-10-26,325728000
2007-10-29,353211300
2007-10-30,360641970
2007-10-31,348121800
2007-11-01,333158669
2007-11-02,330003180
2007-11-05,1794114000
2007-11-06,1790127080
2007-11-07,1671658600
2007-11-08,1708680000
2007-11-09,1702984400
2007-11-12,1654571800
2007-11-13,1659128280
2007-11-14,1705832200
2007-11-15,1720071200
2007-11-16,1747979640
2007-11-19,1662545640
2007-11-20,1537812000
2007-11-21,1386878600
2007-11-23,1376626520
2007-11-26,1378335200
2007-11-27,1359539720
2007-11-28,1415356600
2007-11-29,1411939240
2007-11-30,1466047440
2007-12-03,1497942800
2007-12-04,1472312600
2007-12-05,1511612240
2007-12-06,1565720440
2007-12-07,1593628880
2007-12-10,1566290000
2007-12-11,1190949960
2007-12-12,1113489800
2007-12-13,1057103359
2007-12-14,1056533800
2007-12-17,1017234160
2007-12-18,1008121200
2007-12-19,1010969000
2007-12-20,954013000
2007-12-21,944330479
2007-12-24,956860800
2007-12-26,988186600
2007-12-27,983630120
2007-12-28,973947600
2007-12-31,976795399
2008-01-02,942621800
2008-01-03,882818000
2008-01-04,825292440
2008-01-07,713089120
2008-01-08,771753800
2008-01-09,825862000
2008-01-10,915282920
2008-01-11,899904800
2008-01-14,914143800
2008-01-15,889083160
2008-01-16,906169960
2008-01-17,840670560
2008-01-18,711950000
2008-01-22,716506480
2008-01-23,811623000
2008-01-24,814470800
2008-01-25,865161640
2008-01-28,882818000
2008-01-29,931230600
2008-01-30,885665800
2008-01-31,868009440
2008-02-01,840101000
2008-02-04,799092680
2008-02-05,797384000
2008-02-06,808775200
2008-02-07,906739520
2008-02-08,885665800
2008-02-11,859466040
2008-02-12,849213960
2008-02-13,850353080
2008-02-14,842379240
2008-02-15,842379240
2008-02-19,841809680
2008-02-20,849783520
2008-02-21,841809680
2008-02-22,797384000
2008-02-25,805927400
2008-02-26,864022520
2008-02-27,844087920
2008-02-28,832696720
2008-02-29,797953560
2008-03-03,840101000
2008-03-04,815609920
2008-03-05,822444640
2008-03-06,814470800
2008-03-07,767766880
2008-03-10,722771640
2008-03-11,730175920
2008-03-12,696002320
2008-03-13,597468440
2008-03-14,609429200
2008-03-17,642463680
2008-03-18,672080800
2008-03-19,654994000
2008-03-20,727897680
2008-03-24,796814440
2008-03-25,855479120
2008-03-26,834405400
2008-03-27,824153320
2008-03-28,798523120
2008-03-31,799662240
2008-04-01,815609920
2008-04-02,796244880
2008-04-03,801370920
2008-04-04,787131920
2008-04-07,770045120
2008-04-08,807636080
2008-04-09,782005880
2008-04-10,849213960
2008-04-11,814470800
2008-04-14,820735960
2008-04-15,809914320
2008-04-16,804218720
