,JBHT
2000-01-03,478517760
2000-01-04,454307040
2000-01-05,458579520
2000-01-06,471396960
2000-01-07,471396960
2000-01-10,458579520
2000-01-11,465700320
2000-01-12,460003680
2000-01-13,462852000
2000-01-14,462852000
2000-01-18,458579520
2000-01-19,442913760
2000-01-20,458579520
2000-01-21,438641280
2000-01-24,431520480
2000-01-25,427248000
2000-01-26,458579520
2000-01-27,441489600
2000-01-28,451458720
2000-01-31,450034560
2000-02-01,442913760
2000-02-02,451458720
2000-02-03,447186240
2000-02-04,445762080
2000-02-07,438641280
2000-02-08,438641280
2000-02-09,435792960
2000-02-10,430096320
2000-02-11,434368800
2000-02-14,438641280
2000-02-15,414430560
2000-02-16,408733920
2000-02-17,387371520
2000-02-18,387371520
2000-02-22,388795680
2000-02-23,398764800
2000-02-24,394492320
2000-02-25,401613120
2000-02-28,387371520
2000-02-29,410158080
2000-03-01,418703040
2000-03-02,403037280
2000-03-03,410158080
2000-03-06,407309760
2000-03-07,403037280
2000-03-08,410158080
2000-03-09,435792960
2000-03-10,458579520
2000-03-13,484214400
2000-03-14,511273440
2000-03-15,534060000
2000-03-16,552574080
2000-03-17,542604960
2000-03-20,545453280
2000-03-21,552574080
2000-03-22,552574080
2000-03-23,565391520
2000-03-24,542604960
2000-03-27,542604960
2000-03-28,509849280
2000-03-29,549725760
2000-03-30,546877440
2000-03-31,483109200
2000-04-03,512773800
2000-04-04,490172200
2000-04-05,517011600
2000-04-06,507123400
2000-04-07,501473000
2000-04-10,477458800
2000-04-11,498647800
2000-04-12,497235200
2000-04-13,502885600
2000-04-14,501473000
2000-04-17,538200600
2000-04-18,560802200
2000-04-19,569277800
2000-04-20,587641600
2000-04-24,565040000
2000-04-25,597529800
2000-04-26,600355000
2000-04-27,569277800
2000-04-28,583403800
2000-05-01,584816400
2000-05-02,573515600
2000-05-03,573515600
2000-05-04,603180199
2000-05-05,587641600
2000-05-08,573515600
2000-05-09,596117200
2000-05-10,589054200
2000-05-11,567865199
2000-05-12,569277800
2000-05-15,557977000
2000-05-16,573515600
2000-05-17,573515600
2000-05-18,569277800
2000-05-19,553739200
2000-05-22,542438400
2000-05-23,541025800
2000-05-24,538200600
2000-05-25,553739200
2000-05-26,572103000
2000-05-30,567865199
2000-05-31,565040000
2000-06-01,577753400
2000-06-02,565040000
2000-06-05,573515600
2000-06-06,565040000
2000-06-07,565040000
2000-06-08,557977000
2000-06-09,560802200
2000-06-12,565040000
2000-06-13,565040000
2000-06-14,567865199
2000-06-15,567865199
2000-06-16,545263600
2000-06-19,553739200
2000-06-20,562214800
2000-06-21,560802200
2000-06-22,538200600
2000-06-23,525487200
2000-06-26,529725000
2000-06-27,512773800
2000-06-28,502885600
2000-06-29,491584800
2000-06-30,542885840
2000-07-03,503505520
2000-07-05,538666520
2000-07-06,545698720
2000-07-07,527415000
2000-07-10,534447200
2000-07-11,535853640
2000-07-12,540072960
2000-07-13,549918040
2000-07-14,542885840
2000-07-17,540072960
2000-07-18,558356680
2000-07-19,530227880
2000-07-20,549918040
2000-07-21,535853640
2000-07-24,527415000
2000-07-25,514757040
2000-07-26,542885840
2000-07-27,510537720
2000-07-28,518976360
2000-07-31,520382800
2000-08-01,527415000
2000-08-02,538666520
2000-08-03,535853640
2000-08-04,540072960
2000-08-07,504911960
2000-08-08,520382800
2000-08-09,518976360
2000-08-10,516163480
2000-08-11,520382800
2000-08-14,514757040
2000-08-15,504911960
2000-08-16,511944160
2000-08-17,516163480
2000-08-18,516163480
2000-08-21,504911960
2000-08-22,496473320
2000-08-23,503505520
2000-08-24,492254000
2000-08-25,500692640
2000-08-28,485221800
2000-08-29,496473320
2000-08-30,479596040
2000-08-31,475376720
2000-09-01,475376720
2000-09-05,457093000
2000-09-06,450060800
2000-09-07,457093000
2000-09-08,459905880
2000-09-11,461312320
2000-09-12,457093000
2000-09-13,455686560
2000-09-14,457093000
2000-09-15,444435040
2000-09-18,441622160
2000-09-19,440215720
2000-09-20,450060800
2000-09-21,450060800
2000-09-22,450060800
2000-09-25,433183520
2000-09-26,426151320
2000-09-27,409274040
2000-09-28,452873680
2000-09-29,448654360
2000-10-02,431741520
2000-10-03,438796120
2000-10-04,454316240
2000-10-05,447261640
2000-10-06,430330600
2000-10-09,406344960
2000-10-10,403523120
2000-10-11,383770240
2000-10-12,375304720
2000-10-13,423276000
2000-10-16,427508760
2000-10-17,435974280
2000-10-18,469836360
2000-10-19,482534640
2000-10-20,467014520
2000-10-23,458549000
2000-10-24,451494400
2000-10-25,447261640
2000-10-26,467014520
2000-10-27,458549000
2000-10-30,465603600
2000-10-31,461370840
2000-11-01,469836360
2000-11-02,467014520
2000-11-03,455727160
2000-11-06,447261640
2000-11-07,450083480
2000-11-08,454316240
2000-11-09,445850720
2000-11-10,427508760
2000-11-13,454316240
2000-11-14,458549000
2000-11-15,461370840
2000-11-16,451494400
2000-11-17,454316240
2000-11-20,447261640
2000-11-21,465603600
2000-11-22,471247280
2000-11-24,471247280
2000-11-27,471247280
2000-11-28,467014520
2000-11-29,462781760
2000-11-30,462781760
2000-12-01,471247280
2000-12-04,461370840
2000-12-05,467014520
2000-12-06,482534640
2000-12-07,509342120
2000-12-08,567189839
2000-12-11,606695600
2000-12-12,561546160
2000-12-13,560135240
2000-12-14,555902480
2000-12-15,512163960
2000-12-18,533327760
2000-12-19,551669720
2000-12-20,560135240
2000-12-21,555902480
2000-12-22,572833520
2000-12-26,571422600
2000-12-27,561546160
2000-12-28,591175480
2000-12-29,592586400
2001-01-02,547436960
2001-01-03,610928360
2001-01-04,627859400
2001-01-05,623626640
2001-01-08,634914000
2001-01-09,619393880
2001-01-10,643379520
2001-01-11,637735839
2001-01-12,689939880
2001-01-16,694172640
2001-01-17,712514600
2001-01-18,713925520
2001-01-19,716747360
2001-01-22,674419760
2001-01-23,698405400
2001-01-24,670187000
2001-01-25,688528960
2001-01-26,688528960
2001-01-29,639146760
2001-01-30,667365160
2001-01-31,673008839
2001-02-01,681474360
2001-02-02,677241600
2001-02-05,670187000
2001-02-06,674419760
2001-02-07,674419760
2001-02-08,657488720
2001-02-09,673008839
2001-02-12,673008839
2001-02-13,674419760
2001-02-14,658899640
2001-02-15,630681240
2001-02-16,632092160
2001-02-20,641968600
2001-02-21,603873760
2001-02-22,568600760
2001-02-23,588353640
2001-02-26,610928360
2001-02-27,592586400
2001-02-28,557313400
2001-03-01,561546160
2001-03-02,555902480
2001-03-05,561546160
2001-03-06,575655360
2001-03-07,599641000
2001-03-08,592586400
2001-03-09,560135240
2001-03-12,547436960
2001-03-13,526273160
2001-03-14,485356480
2001-03-15,505109360
2001-03-16,478301880
2001-03-19,514985800
2001-03-20,499465680
2001-03-21,502287520
2001-03-22,516396720
2001-03-23,512163960
2001-03-26,505109360
2001-03-27,537560520
2001-03-28,524862240
2001-03-29,547436960
2001-03-30,551669720
2001-04-02,529680000
2001-04-03,521205120
2001-04-04,526855040
2001-04-05,591829120
2001-04-06,542392320
2001-04-09,556517120
2001-04-10,566404480
2001-04-11,549454720
2001-04-12,563579520
2001-04-16,552279680
2001-04-17,560754560
2001-04-18,600304000
2001-04-19,617253760
2001-04-20,598891520
2001-04-23,593241600
2001-04-24,593241600
2001-04-25,608778880
2001-04-26,604541440
2001-04-27,634203520
2001-04-30,635616000
2001-05-01,627141120
2001-05-02,638440959
2001-05-03,629966080
2001-05-04,662453120
2001-05-07,652565760
2001-05-08,638440959
2001-05-09,621491200
2001-05-10,641265920
2001-05-11,635616000
2001-05-14,663865600
2001-05-15,668103040
2001-05-16,697765120
2001-05-17,710477440
2001-05-18,711889920
2001-05-21,733077120
2001-05-22,704827520
2001-05-23,693527680
2001-05-24,697765120
2001-05-25,687877760
2001-05-29,702002560
2001-05-30,690702720
2001-05-31,709064959
2001-06-01,670928000
2001-06-04,641265920
2001-06-05,670928000
2001-06-06,665278080
2001-06-07,676577920
2001-06-08,689290240
2001-06-11,686465280
2001-06-12,661040640
2001-06-13,635616000
2001-06-14,618666240
2001-06-15,618666240
2001-06-18,618666240
2001-06-19,611603840
2001-06-20,614428800
2001-06-21,629966080
2001-06-22,620078720
2001-06-25,611603840
2001-06-26,646915840
2001-06-27,655390720
2001-06-28,665278080
2001-06-29,670928000
2001-07-02,680941000
2001-07-03,676640320
2001-07-05,670906080
2001-07-06,659437600
2001-07-09,672339640
2001-07-10,692409480
2001-07-11,703877960
2001-07-12,764087480
2001-07-13,788458000
2001-07-16,788458000
2001-07-17,887373640
2001-07-18,867303800
2001-07-19,860136000
2001-07-20,844366840
2001-07-23,860136000
2001-07-24,860136000
2001-07-25,852968200
2001-07-26,881639400
2001-07-27,901709240
2001-07-30,900275680
2001-07-31,877338720
2001-08-01,880205840
2001-08-02,897408560
2001-08-03,878772280
2001-08-06,885940080
2001-08-07,898842119
2001-08-08,875905160
2001-08-09,852968200
2001-08-10,835765480
2001-08-13,830031240
2001-08-14,832898360
2001-08-15,832898360
2001-08-16,868737360
2001-08-17,847233960
2001-08-20,852968200
2001-08-21,837199040
2001-08-22,854401760
2001-08-23,868737360
2001-08-24,894541440
2001-08-27,881639400
2001-08-28,851534640
2001-08-29,884506520
2001-08-30,838632600
2001-08-31,831464800
2001-09-04,817129200
2001-09-05,798492920
2001-09-06,774122400
2001-09-07,738283400
2001-09-10,725381360
2001-09-17,699577280
2001-09-18,527550080
2001-09-19,544752800
2001-09-20,506046680
2001-09-21,491711080
2001-09-24,475941920
2001-09-25,463039880
2001-09-26,458739200
2001-09-27,442970040
2001-09-28,467340559
2001-10-01,474333120
2001-10-02,467080320
2001-10-03,498992640
2001-10-04,506245440
2001-10-05,522201600
2001-10-08,501893760
2001-10-09,493190400
2001-10-10,520751040
2001-10-11,557015040
2001-10-12,552663360
2001-10-15,567168960
2001-10-16,575872320
2001-10-17,552663360
2001-10-18,554113920
2001-10-19,542509440
2001-10-22,552663360
2001-10-23,559916160
2001-10-24,543960000
2001-10-25,546861120
2001-10-26,536707200
2001-10-29,541058880
2001-10-30,519300480
2001-10-31,498992640
2001-11-01,509146559
2001-11-02,504794880
2001-11-05,507696000
2001-11-06,510597120
2001-11-07,507696000
2001-11-08,512047680
2001-11-09,510597120
2001-11-12,509146559
2001-11-13,539608320
2001-11-14,580224000
2001-11-15,597630720
2001-11-16,639696960
2001-11-19,642598080
2001-11-20,615037440
2001-11-21,626641920
2001-11-23,635345280
2001-11-26,615037440
2001-11-27,617938560
2001-11-28,612136320
2001-11-29,635345280
2001-11-30,648400320
2001-12-03,633894720
2001-12-04,671609280
2001-12-05,715126080
2001-12-06,732532800
2001-12-07,702071040
2001-12-10,696268800
2001-12-11,684664320
2001-12-12,696268800
2001-12-13,675960960
2001-12-14,703521600
2001-12-17,807961920
2001-12-18,871786560
2001-12-19,877588800
2001-12-20,880489920
2001-12-21,848577600
2001-12-24,835522560
2001-12-26,848577600
2001-12-27,842775360
2001-12-28,834072000
2001-12-31,841324800
2002-01-02,816665280
2002-01-03,889193280
2002-01-04,974776320
2002-01-07,938512320
2002-01-08,941413440
2002-01-09,938512320
2002-01-10,918204480
2002-01-11,928358400
2002-01-14,916753920
2002-01-15,910951680
2002-01-16,879039360
2002-01-17,899347200
2002-01-18,871786560
2002-01-22,873237119
2002-01-23,1018293119
2002-01-24,996534720
2002-01-25,1019743680
2002-01-28,1051656000
2002-01-29,1040051520
2002-01-30,1011040320
2002-01-31,1008139200
2002-02-01,968974080
2002-02-04,932710080
2002-02-05,902248320
2002-02-06,828269760
2002-02-07,810863040
2002-02-08,821016960
2002-02-11,874687680
2002-02-12,868885440
2002-02-13,870336000
2002-02-14,841324800
2002-02-15,844225920
2002-02-19,819566400
2002-02-20,822467520
2002-02-21,832621440
2002-02-22,879039360
2002-02-25,899347200
2002-02-26,912402240
2002-02-27,912402240
2002-02-28,851478720
2002-03-01,877588800
2002-03-04,982029119
2002-03-05,960270720
2002-03-06,968974080
2002-03-07,997985280
2002-03-08,1002336960
2002-03-11,997985280
2002-03-12,996534720
2002-03-13,987831360
2002-03-14,1019743680
2002-03-15,1024095360
2002-03-18,1028447040
2002-03-19,997985280
2002-03-20,995084160
2002-03-21,979128000
2002-03-22,1003787520
2002-03-25,1013941440
2002-03-26,1008139200
2002-03-27,1016842560
2002-03-28,1031348160
2002-04-01,1040480280
2002-04-02,994467600
2002-04-03,973687680
2002-04-04,932127840
2002-04-05,964782000
2002-04-08,945486360
2002-04-09,961813440
2002-04-10,976656240
2002-04-11,966266280
2002-04-12,1019700360
2002-04-15,978140520
2002-04-16,1013763240
2002-04-17,995951880
2002-04-18,969234840
2002-04-19,978140520
2002-04-22,955876320
2002-04-23,923222160
2002-04-24,945486360
2002-04-25,984077640
2002-04-26,969234840
2002-04-29,963297720
2002-04-30,972203400
2002-05-01,991499040
2002-05-02,994467600
2002-05-03,1010794680
2002-05-06,987046200
2002-05-07,972203400
2002-05-08,1006341840
2002-05-09,987046200
2002-05-10,966266280
2002-05-13,992983320
2002-05-14,1013763240
2002-05-15,1034543160
2002-05-16,1000404720
2002-05-17,1024153200
2002-05-20,1010794680
2002-05-21,1001889000
2002-05-22,1007826120
2002-05-23,994467600
2002-05-24,981109080
2002-05-28,976656240
2002-05-29,964782000
2002-05-30,967750559
2002-05-31,1013763240
2002-06-03,1016731800
2002-06-04,987046200
2002-06-05,1006341840
2002-06-06,969234840
2002-06-07,1000404720
2002-06-10,1010794680
2002-06-11,1019700360
2002-06-12,1070165880
2002-06-13,1079071560
2002-06-14,1067197320
2002-06-17,1092430080
2002-06-18,1102820040
2002-06-19,1194845400
2002-06-20,1145864160
2002-06-21,1151801280
2002-06-24,1135474200
2002-06-25,1104304320
2002-06-26,1133989920
2002-06-27,1136958480
2002-06-28,1095398640
2002-07-01,1151704720
2002-07-02,1112477720
2002-07-03,1077957960
2002-07-05,1128168520
2002-07-08,1066974400
2002-07-09,1029316479
2002-07-10,1046576360
2002-07-11,1074819800
2002-07-12,1103063240
2002-07-15,985382240
2002-07-16,1037161880
2002-07-17,974398680
2002-07-18,969691440
2002-07-19,936740760
2002-07-22,946155240
2002-07-23,936740760
2002-07-24,954000640
2002-07-25,994796720
2002-07-26,1005780280
2002-07-29,1049714520
2002-07-30,1045007280
2002-07-31,1032454640
2002-08-01,997934880
2002-08-02,935171680
2002-08-05,880253880
2002-08-06,932033520
2002-08-07,986951320
2002-08-08,994796720
2002-08-09,1035592800
2002-08-12,1037161880
2002-08-13,1026178320
2002-08-14,1040300040
2002-08-15,1035592800
2002-08-16,1049714520
2002-08-19,1065405320
2002-08-20,1041869120
2002-08-21,1066974400
2002-08-22,1040300040
2002-08-23,1005780280
2002-08-26,1023040159
2002-08-27,969691440
2002-08-28,919480880
2002-08-29,899082840
2002-08-30,930464440
2002-09-03,889668360
2002-09-04,930464440
2002-09-05,881822960
2002-09-06,916342720
2002-09-09,930464440
2002-09-10,943017080
2002-09-11,941448000
2002-09-12,902221000
2002-09-13,921049960
2002-09-16,906928240
2002-09-17,892806520
2002-09-18,894375600
2002-09-19,881822960
2002-09-20,902221000
2002-09-23,867701240
2002-09-24,873977560
2002-09-25,891237440
2002-09-26,938309840
2002-09-27,932033520
2002-09-30,926873960
2002-10-01,919005760
2002-10-02,876517480
2002-10-03,906416640
2002-10-04,889106600
2002-10-07,849765600
2002-10-08,903269360
2002-10-09,865502000
2002-10-10,914284839
2002-10-11,925300320
2002-10-14,936315800
2002-10-15,1087385240
2002-10-16,1027586920
2002-10-17,1109416200
2002-10-18,1088958880
2002-10-21,1144036280
2002-10-22,1128299880
2002-10-23,1172361800
2002-10-24,1114137120
2002-10-25,1095253440
2002-10-28,1066927920
2002-10-29,1065354279
2002-10-30,1082664320
2002-10-31,1088958880
2002-11-01,1117284400
2002-11-04,1107842560
2002-11-05,1098400720
2002-11-06,1117284400
2002-11-07,1060633360
2002-11-08,1082664320
2002-11-11,1043323320
2002-11-12,1055912440
2002-11-13,1103121640
2002-11-14,1147183560
2002-11-15,1169214520
2002-11-18,1131447160
2002-11-19,1095253440
2002-11-20,1104695280
2002-11-21,1109416200
2002-11-22,1107842560
2002-11-25,1087385240
2002-11-26,1032307839
2002-11-27,1101548000
2002-11-29,1082664320
2002-12-02,1136168080
2002-12-03,1107842560
2002-12-04,1128299880
2002-12-05,1142462640
2002-12-06,1169214520
2002-12-09,1140889000
2002-12-10,1158199040
2002-12-11,1158199040
2002-12-12,1159772680
2002-12-13,1148757200
2002-12-16,1167640880
2002-12-17,1158199040
2002-12-18,1140889000
2002-12-19,1159772680
2002-12-20,1145609920
2002-12-23,1148757200
2002-12-24,1151904480
2002-12-26,1164493600
2002-12-27,1144036280
2002-12-30,1150330840
2002-12-31,1153463460
2003-01-02,1159757940
2003-01-03,1161331560
2003-01-06,1186509480
2003-01-07,1139300880
2003-01-08,1120417440
2003-01-09,1137727260
2003-01-10,1140874500
2003-01-13,1139300880
2003-01-14,1155037080
2003-01-15,1153463460
2003-01-16,1211687400
2003-01-17,1181788620
2003-01-21,1169199660
2003-01-22,1172346900
2003-01-23,1177067760
2003-01-24,1136153640
2003-01-27,1101534000
2003-01-28,1093665900
2003-01-29,1092092280
2003-01-30,1055899020
2003-01-31,1087371420
2003-02-03,1074782460
2003-02-04,1073208840
2003-02-05,1077929700
2003-02-06,1101534000
2003-02-07,1060619880
2003-02-10,1060619880
2003-02-11,1048030920
2003-02-12,1022853000
2003-02-13,1003969560
2003-02-14,1035441960
2003-02-18,1048030920
2003-02-19,1029147480
2003-02-20,1021279380
2003-02-21,1029147480
2003-02-24,945745620
2003-02-25,959908200
2003-02-26,942598380
2003-02-27,967776300
2003-02-28,964629060
2003-03-03,974070780
2003-03-04,970923540
2003-03-05,967776300
2003-03-06,959908200
2003-03-07,964629060
2003-03-10,934730280
2003-03-11,926862180
2003-03-12,952040100
2003-03-13,1018132140
2003-03-14,1014984900
2003-03-17,1051178160
2003-03-18,1081076940
2003-03-19,1082650560
2003-03-20,1095239520
