,DFS
2008-07-03,6529290365
2008-07-07,6358713839
2008-07-08,6714081602
2008-07-09,6586149207
2008-07-10,6609840391
2008-07-11,6643008049
2008-07-14,6126540234
2008-07-15,6363452076
2008-07-16,6998375812
2008-07-17,7656990733
2008-07-18,7737540759
2008-07-21,7197381759
2008-07-22,6927302260
2008-07-23,7258978838
2008-07-24,6548243312
2008-07-25,6657222760
2008-07-28,6325546181
2008-07-29,6922564023
2008-07-30,7069449365
2008-07-31,6941516970
2008-08-01,7102617023
2008-08-04,6875181654
2008-08-05,7268455312
2008-08-06,7135784681
2008-08-07,6770940444
2008-08-08,7093140549
2008-08-11,7292146496
2008-08-12,6794631628
2008-08-13,6728296312
2008-08-14,6932040496
2008-08-15,7396387707
2008-08-18,7140522917
2008-08-19,6813584575
2008-08-20,6913087549
2008-08-21,7206858233
2008-08-22,7391649470
2008-08-25,7178428812
2008-08-26,7344267102
2008-08-27,7377434759
2008-08-28,7704373101
2008-08-29,7794399601
2008-09-02,8116704918
2008-09-03,8064522713
2008-09-04,7651808903
2008-09-05,7789380173
2008-09-08,8225813167
2008-09-09,7784636336
2008-09-10,7974389812
2008-09-11,8102473408
2008-09-12,8363384437
2008-09-15,7500006123
2008-09-16,7333971831
2008-09-17,6712529199
2008-09-18,6959208717
2008-09-19,7590139024
2008-09-22,7253326604
2008-09-23,7352947179
2008-09-24,7220119746
2008-09-25,7030366270
2008-09-26,6603420950
2008-09-29,6404179801
2008-09-30,6555982581
2008-10-01,6537007234
2008-10-02,6148012609
2008-10-03,5251427437
2008-10-06,5075905472
2008-10-07,4620497130
2008-10-08,4739093053
2008-10-09,4568314925
2008-10-10,4539851903
2008-10-13,5028467103
2008-10-14,5578752182
2008-10-15,4753324563
2008-10-16,4890895833
2008-10-17,5094880819
2008-10-20,5597727530
2008-10-21,5203989068
2008-10-22,4881408159
2008-10-23,4990516408
2008-10-24,4810250606
2008-10-27,4592034109
2008-10-28,5526569976
2008-10-29,5284634295
2008-10-30,5351048011
2008-10-31,5811200190
2008-11-03,5687860431
2008-11-04,5929796112
2008-11-05,5725811126
2008-11-06,5583496019
2008-11-07,5611959040
2008-11-10,5218220579
2008-11-11,4767556074
2008-11-12,4302660059
2008-11-13,4544595740
2008-11-14,4492413534
2008-11-17,4255221690
2008-11-18,3823532533
2008-11-19,3515183135
2008-11-20,3164139205
2008-11-21,3629035220
2008-11-24,4620497130
2008-11-25,4587290272
2008-11-26,4843457464
2008-11-28,4852945138
2008-12-01,4516671800
2008-12-02,4790555090
2008-12-03,4997168800
2008-12-04,4814579940
2008-12-05,5227807360
2008-12-08,5343126640
2008-12-09,4973143950
2008-12-10,4891459460
2008-12-11,4377327670
2008-12-12,4310058090
2008-12-15,4194738810
2008-12-16,4353302820
2008-12-17,4122664260
2008-12-18,4449402220
2008-12-19,4483037010
2008-12-22,4204348750
2008-12-23,4165908990
2008-12-24,4117859290
2008-12-26,4021759889
2008-12-29,4117859290
2008-12-30,4314863060
2008-12-31,4579136410
2009-01-02,4569526470
2009-01-05,4684845750
2009-01-06,4665625870
2009-01-07,4290838210
2009-01-08,4276423300
2009-01-09,4185128870
2009-01-12,4161104020
2009-01-13,4137079169
2009-01-14,3815146180
2009-01-15,3656582170
2009-01-16,3651777200
2009-01-20,3570092710
2009-01-21,3815146180
2009-01-22,3550872830
2009-01-23,3603727500
2009-01-26,3560482770
2009-01-27,3574897680
2009-01-28,3800731270
2009-01-29,3584507620
2009-01-30,3435553550
2009-02-02,3536457920
2009-02-03,3469188340
2009-02-04,3449968460
2009-02-05,3430748580
2009-02-06,3690216960
2009-02-09,3824756120
2009-02-10,3368283970
2009-02-11,3464383370
2009-02-12,3430748580
2009-02-13,3368283970
2009-02-17,2931031700
2009-02-18,3027131100
2009-02-19,2671563320
2009-02-20,2758052780
2009-02-23,2676368290
2009-02-24,2974276430
2009-02-25,2882982000
2009-02-26,2969471460
2009-02-27,2753247810
2009-03-02,2475609040
2009-03-03,2543038080
2009-03-04,2658630720
2009-03-05,2355200040
2009-03-06,2384098200
2009-03-09,2509323560
2009-03-10,2918714160
2009-03-11,2860917840
2009-03-12,3188430320
2009-03-13,3000592280
2009-03-16,3010225000
2009-03-17,3164348520
2009-03-18,3487044640
2009-03-19,3024674080
2009-03-20,2653814360
2009-03-23,3149899440
2009-03-24,2904265080
2009-03-25,3116184920
2009-03-26,3438881040
2009-03-27,3275124800
2009-03-30,2783856080
2009-03-31,3039123160
2009-04-01,3116184920
2009-04-02,3173981240
2009-04-03,3251043000
2009-04-06,3159532160
2009-04-07,3082470400
2009-04-08,3289573880
2009-04-09,3944598839
2009-04-13,4069824199
2009-04-14,3645984520
2009-04-15,3925333400
2009-04-16,4026476959
2009-04-17,4117987800
2009-04-20,3607453640
2009-04-21,3963864280
2009-04-22,3867537079
2009-04-23,4098722360
2009-04-24,4378071240
2009-04-27,3891618880
2009-04-28,4012027880
2009-04-29,4084273280
2009-04-30,3915700680
2009-05-01,3910884319
2009-05-04,4325091280
2009-05-05,4387703960
2009-05-06,4975299880
2009-05-07,4989748960
2009-05-08,5134239760
2009-05-11,4662236480
2009-05-12,4406969400
2009-05-13,4113171439
2009-05-14,4214315000
2009-05-15,4137253240
2009-05-18,4440683920
2009-05-19,4252845880
2009-05-20,4180600480
2009-05-21,4137253240
2009-05-22,4026476959
2009-05-26,4281744040
2009-05-27,4151702319
2009-05-28,4382887600
2009-05-29,4604440160
2009-06-01,5177158820
2009-06-02,4946264720
2009-06-03,4828252180
2009-06-04,4843645120
2009-06-05,4828252180
2009-06-08,4710239640
2009-06-09,4961657660
2009-06-10,4997574520
2009-06-11,4951395700
2009-06-12,4771811400
2009-06-15,4864169040
2009-06-16,4669191800
2009-06-17,4571703180
2009-06-18,4756418460
2009-06-19,4782073360
2009-06-22,4776942380
2009-06-23,4710239640
2009-06-24,4941133740
2009-06-25,5243861560
2009-06-26,5079670200
2009-06-29,5485017620
2009-06-30,5269516460
2009-07-01,5269516460
2009-07-02,5202813720
2009-07-06,5387529000
2009-07-07,4807728260
2009-07-08,4679453760
2009-07-09,4910347860
2009-07-10,4930871780
2009-07-13,5202813720
2009-07-14,5243861560
2009-07-15,5567113300
2009-07-16,5685125840
2009-07-17,5603030160
2009-07-20,5823662300
2009-07-21,5762090540
2009-07-22,5844186220
2009-07-23,5982722680
2009-07-24,6187961880
2009-07-27,6172568940
2009-07-28,6121259140
2009-07-29,5987853660
2009-07-30,6152045020
2009-07-31,6095604240
2009-08-03,6275188540
2009-08-04,6362415200
2009-08-05,6429117940
2009-08-06,6454772840
2009-08-07,6547130480
2009-08-10,6362415200
2009-08-11,6300843440
2009-08-12,6413725000
2009-08-13,6465034800
2009-08-14,6403463040
2009-08-17,6223878740
2009-08-18,6393201080
2009-08-19,6423986960
2009-08-20,6731845760
2009-08-21,6931953980
2009-08-24,7039704560
2009-08-25,6988394760
2009-08-26,7188502980
2009-08-27,7173110040
2009-08-28,7301384540
2009-08-31,7461891250
2009-09-01,7087439980
2009-09-02,7044025340
2009-09-03,7402196120
2009-09-04,7353354650
2009-09-08,7461891250
2009-09-09,7760366900
2009-09-10,7852623010
2009-09-11,7982866930
2009-09-14,8156525490
2009-09-15,8216220620
2009-09-16,8313903560
2009-09-17,8422440160
2009-09-18,8715488980
2009-09-21,8699208490
2009-09-22,8796891430
2009-09-23,8650367020
2009-09-24,8628659700
2009-09-25,8335610880
2009-09-28,8905428030
2009-09-29,8666647510
2009-09-30,8807745090
2009-10-01,8682928000
2009-10-02,8319330390
2009-10-05,8748049960
2009-10-06,9041098780
2009-10-07,9165915870
2009-10-08,9269025640
2009-10-09,8791464600
2009-10-12,8862013390
2009-10-13,8802318260
2009-10-14,8824025580
2009-10-15,8737196300
2009-10-16,8183659640
2009-10-19,8476708460
2009-10-20,8189086470
2009-10-21,8069696210
2009-10-22,8368171860
2009-10-23,8156525490
2009-10-26,8172805980
2009-10-27,8069696210
2009-10-28,7744086410
2009-10-29,8113110850
2009-10-30,7673537620
2009-11-02,7727805920
2009-11-03,7700671770
2009-11-04,7570427850
2009-11-05,7885183990
2009-11-06,7885183990
2009-11-09,8346464540
2009-11-10,8357318200
2009-11-11,8357318200
2009-11-12,8357318200
2009-11-13,8357318200
2009-11-16,8742623130
2009-11-17,8639513360
2009-11-18,8677501170
2009-11-19,8368171860
2009-11-20,8330184050
2009-11-23,8400732840
2009-11-24,8324757220
2009-11-25,8520123100
2009-11-27,8210793790
