,MU
2000-01-03,20534176000
2000-01-04,19874400000
2000-01-05,19674304000
2000-01-06,20009600000
2000-01-07,19063200000
2000-01-10,20112352000
2000-01-11,19571552000
2000-01-12,20009600000
2000-01-13,20599072000
2000-01-14,19809504000
2000-01-18,19890624000
2000-01-19,19501248000
2000-01-20,18863104000
2000-01-21,18149248000
2000-01-24,18792800000
2000-01-25,17813952000
2000-01-26,17186624000
2000-01-27,17511104000
2000-01-28,16224000000
2000-01-31,16813472000
2000-02-01,17170400000
2000-02-02,17813952000
2000-02-03,18387200000
2000-02-04,18219552000
2000-02-07,20009600000
2000-02-08,20566624000
2000-02-09,19809504000
2000-02-10,19571552000
2000-02-11,19230848000
2000-02-14,18322304000
2000-02-15,18657600000
2000-02-16,17895072000
2000-02-17,17646304000
2000-02-18,17067648000
2000-02-22,17440800000
2000-02-23,18116800000
2000-02-24,18960448000
2000-02-25,19906848000
2000-02-28,21107424000
2000-02-29,26228800000
2000-03-01,27580800000
2000-03-02,26861250000
2000-03-03,25759250000
2000-03-06,26448000000
2000-03-07,28271810000
2000-03-08,27825500000
2000-03-09,30305000000
2000-03-10,29307690000
2000-03-13,32509000000
2000-03-14,30718250000
2000-03-15,31131500000
2000-03-16,31236190000
2000-03-17,35506440000
2000-03-20,35815000000
2000-03-21,33335500000
2000-03-22,38019000000
2000-03-23,37087810000
2000-03-24,37126380000
2000-03-27,38432250000
2000-03-28,37605750000
2000-03-29,35379710000
2000-03-30,33335500000
2000-03-31,34713000000
2000-04-03,33043470000
2000-04-04,31616380000
2000-04-05,36090500000
2000-04-06,36057440000
2000-04-07,35368690000
2000-04-10,33506310000
2000-04-11,32128810000
2000-04-12,30547440000
2000-04-13,29203000000
2000-04-14,26464530000
2000-04-17,31269250000
2000-04-18,34850750000
2000-04-19,33335500000
2000-04-20,34470560000
2000-04-24,33991190000
2000-04-25,35781940000
2000-04-26,35434810000
2000-04-27,36332940000
2000-04-28,38382660000
2000-05-01,36366000000
2000-05-02,34575250000
2000-05-03,34332810000
2000-05-04,34024250000
2000-05-05,33335500000
2000-05-08,32167380000
2000-05-09,30547440000
2000-05-10,29203000000
2000-05-11,32167380000
2000-05-12,33473250000
2000-05-15,34784630000
2000-05-16,35611130000
2000-05-17,36090500000
2000-05-18,35677250000
2000-05-19,33368560000
2000-05-22,33407130000
2000-05-23,32167380000
2000-05-24,33230810000
2000-05-25,35611130000
2000-05-26,35611130000
2000-05-30,37710440000
2000-05-31,38536940000
2000-06-01,40774000000
2000-06-02,43666750000
2000-06-05,44978130000
2000-06-06,42460060000
2000-06-07,41876000000
2000-06-08,44493250000
2000-06-09,44080000000
2000-06-12,43495940000
2000-06-13,45595250000
2000-06-14,44151630000
2000-06-15,42978000000
2000-06-16,42636380000
2000-06-19,44427130000
2000-06-20,49386130000
2000-06-21,50174060000
2000-06-22,46730310000
2000-06-23,48488000000
2000-06-26,49314500000
2000-06-27,49590000000
2000-06-28,48521060000
2000-06-29,50036310000
2000-06-30,48521060000
2000-07-03,49760810000
2000-07-05,45733000000
2000-07-06,47386000000
2000-07-07,49314500000
2000-07-10,50416500000
2000-07-11,50658940000
2000-07-12,51794000000
2000-07-13,50692000000
2000-07-14,53204560000
2000-07-17,52620500000
2000-07-18,51485440000
2000-07-19,48212500000
2000-07-20,46146250000
2000-07-21,45595250000
2000-07-24,46284000000
2000-07-25,47766190000
2000-07-26,45595250000
2000-07-27,42774130000
2000-07-28,43495940000
2000-07-31,48125750000
2000-08-01,46761695000
2000-08-02,47387625000
2000-08-03,45875945000
2000-08-04,43330890000
2000-08-07,44694945000
2000-08-08,45799180000
2000-08-09,47499820000
2000-08-10,45173250000
2000-08-11,44694945000
2000-08-14,47535250000
2000-08-15,51113680000
2000-08-16,51521125000
2000-08-17,53109570000
2000-08-18,52666695000
2000-08-21,52076195000
2000-08-22,52442305000
2000-08-23,53587875000
2000-08-24,54585820000
2000-08-25,52554500000
2000-08-28,52737555000
2000-08-29,51999430000
2000-08-30,49011500000
2000-08-31,48273375000
2000-09-01,45568589000
2000-09-05,45609322000
2000-09-06,40040539000
2000-09-07,42769650000
2000-09-08,40186014000
2000-09-11,38114450000
2000-09-12,36735347000
2000-09-13,38481047000
2000-09-14,36479311000
2000-09-15,34407747000
2000-09-18,33715286000
2000-09-19,37934061000
2000-09-20,38405400000
2000-09-21,36368750000
2000-09-22,30043497000
2000-09-25,27384214000
2000-09-26,28838964000
2000-09-27,30043497000
2000-09-28,29531425000
2000-09-29,26767400000
2000-10-02,24660922000
2000-10-03,25056614000
2000-10-04,27314386000
2000-10-05,23857900000
2000-10-06,23747339000
2000-10-09,23130525000
2000-10-10,21460472000
2000-10-11,21966725000
2000-10-12,20692364000
2000-10-13,21169522000
2000-10-16,19604211000
2000-10-17,16875100000
2000-10-18,16619064000
2000-10-19,20186111000
2000-10-20,20296672000
2000-10-23,21128789000
2000-10-24,19493650000
2000-10-25,17567561000
2000-10-26,18405497000
2000-10-27,17602475000
2000-10-30,19022311000
2000-10-31,20221025000
2000-11-01,20733097000
2000-11-02,20546889000
2000-11-03,20802925000
2000-11-06,19860247000
2000-11-07,20913486000
2000-11-08,20151197000
2000-11-09,18946664000
2000-11-10,17532647000
2000-11-13,18841922000
2000-11-14,19423822000
2000-11-15,20366500000
2000-11-16,19278347000
2000-11-17,19639125000
2000-11-20,20657450000
2000-11-21,20075550000
2000-11-22,20913486000
2000-11-24,23788072000
2000-11-27,21605947000
2000-11-28,19493650000
2000-11-29,19964989000
2000-11-30,18704700000
2000-12-01,18372172000
2000-12-04,18520622000
2000-12-05,19672594000
2000-12-06,19001600000
2000-12-07,18188094000
2000-12-08,20598922000
2000-12-11,22267500000
2000-12-12,21525250000
2000-12-13,20414844000
2000-12-14,20747372000
2000-12-15,21305544000
2000-12-18,21376800000
2000-12-19,20634550000
2000-12-20,17701178000
2000-12-21,18372172000
2000-12-22,20747372000
2000-12-26,21376800000
2000-12-27,22154678000
2000-12-28,21341172000
2000-12-29,21079900000
2001-01-02,21008644000
2001-01-03,24939600000
2001-01-04,23383844000
2001-01-05,21673700000
2001-01-08,21934972000
2001-01-09,21822150000
2001-01-10,22564400000
2001-01-11,24345800000
2001-01-12,24607072000
2001-01-16,23122572000
2001-01-17,23306650000
2001-01-18,26388472000
2001-01-19,27576072000
2001-01-22,26424100000
2001-01-23,25681850000
2001-01-24,26649744000
2001-01-25,25978750000
2001-01-26,26091572000
2001-01-29,26899140000
2001-01-30,27819530000
2001-01-31,27178226000
2001-02-01,25046484000
2001-02-02,24464560000
2001-02-05,22730664000
2001-02-06,23585736000
2001-02-07,23051316000
2001-02-08,23734186000
2001-02-09,23015688000
2001-02-12,23407596000
2001-02-13,24642700000
2001-02-14,27611700000
2001-02-15,26483480000
2001-02-16,25266190000
2001-02-20,22920680000
2001-02-21,22801920000
2001-02-22,22564400000
2001-02-23,22119050000
2001-02-26,20783000000
2001-02-27,20812690000
2001-02-28,20319836000
2001-03-01,21407170000
2001-03-02,21520467000
2001-03-05,23255700000
2001-03-06,26153718000
2001-03-07,24448300000
2001-03-08,25551455000
2001-03-09,24299225000
2001-03-12,24305188000
2001-03-13,26267015000
2001-03-14,25950976000
2001-03-15,24627190000
2001-03-16,23881815000
2001-03-19,25676678000
2001-03-20,24209780000
2001-03-21,25050563000
2001-03-22,27847210000
2001-03-23,29117329000
2001-03-26,27948581000
2001-03-27,28622400000
2001-03-28,26386275000
2001-03-29,26982575000
2001-03-30,24764339000
2001-04-02,21615875000
2001-04-03,21621838000
2001-04-04,20631980000
