,KHC
2015-10-30,94655580000
2015-11-02,95019780000
2015-11-03,92786020000
2015-11-04,92045479999
2015-11-05,91559880000
2015-11-06,87420140000
2015-11-09,86485360000
2015-11-10,87505120000
2015-11-11,87541540000
2015-11-12,86072600000
2015-11-13,85914780000
2015-11-16,86995240000
2015-11-17,86740300000
2015-11-18,88112120000
2015-11-19,89034760000
2015-11-20,89411100000
2015-11-23,89920979999
2015-11-24,90406580000
2015-11-25,90612960000
2015-11-27,90576540000
2015-11-30,89459660000
2015-12-01,90406580000
2015-12-02,88670560000
2015-12-03,86752440000
2015-12-04,87675080000
2015-12-07,86716020000
2015-12-08,86837420000
2015-12-09,86072600000
2015-12-10,85999760000
2015-12-11,84603660000
2015-12-14,86157580000
2015-12-15,87420140000
2015-12-16,88634140000
2015-12-17,87310880000
2015-12-18,85793380000
2015-12-21,86655320000
2015-12-22,88537020000
2015-12-23,90455140000
2015-12-24,89787440000
2015-12-28,89131880000
2015-12-29,90673660000
2015-12-30,89532500000
2015-12-31,88330640000
2016-01-04,88330500000
2016-01-05,89168850000
2016-01-06,89338950000
2016-01-07,87358500000
2016-01-08,86483700000
2016-01-11,87808050000
2016-01-12,88974450000
2016-01-13,86034150000
2016-01-14,85949100000
2016-01-15,84078000000
2016-01-19,85256550000
2016-01-20,86471550000
2016-01-21,88755750000
2016-01-22,90383850000
2016-01-25,89946450000
2016-01-26,92315700000
2016-01-27,92303550000
2016-01-28,92534400000
2016-01-29,94842900000
2016-02-01,93567150000
2016-02-02,92303550000
2016-02-03,90991350000
2016-02-04,90092250000
2016-02-05,88427700000
2016-02-08,86532300000
2016-02-09,86884650000
2016-02-10,87613650000
2016-02-11,86799600000
2016-02-12,87382800000
2016-02-16,87856650000
2016-02-17,90201600000
2016-02-18,89241750000
2016-02-19,89326800000
2016-02-22,89095950000
2016-02-23,88476299999
2016-02-24,88682850000
2016-02-25,91076400000
2016-02-26,94575600000
2016-02-29,93579300000
2016-03-01,94356900000
2016-03-02,94150350000
2016-03-03,94004550000
2016-03-04,93798000000
2016-03-07,92947500000
2016-03-08,92692350000
2016-03-09,93105450000
2016-03-10,92607300000
2016-03-11,93494250000
2016-03-14,94247549999
2016-03-15,94502700000
2016-03-16,94806450000
2016-03-17,94782150000
2016-03-18,93931650000
2016-03-21,93056850000
2016-03-22,92874600000
2016-03-23,93324150000
2016-03-24,92898900000
2016-03-28,94478400000
2016-03-29,95742000000
2016-03-30,95863500000
2016-03-31,95450400000
2016-04-01,96082200000
2016-04-04,95960450000
