,ALL
2000-01-03,17992544000
2000-01-04,17462900000
2000-01-05,18230500000
2000-01-06,18138388000
2000-01-07,18806200000
2000-01-10,18376344000
2000-01-11,18330288000
2000-01-12,18422400000
2000-01-13,19044156000
2000-01-14,18568244000
2000-01-18,18468456000
2000-01-19,18084656000
2000-01-20,18230500000
2000-01-21,18038600000
2000-01-24,17508956000
2000-01-25,17562688000
2000-01-26,17800644000
2000-01-27,17800644000
2000-01-28,17508956000
2000-01-31,17800644000
2000-02-01,17700856000
2000-02-02,17892756000
2000-02-03,17700856000
2000-02-04,17846700000
2000-02-07,18038600000
2000-02-08,16887200000
2000-02-09,15305944000
2000-02-10,15735800000
2000-02-11,16649244000
2000-02-14,16311500000
2000-02-15,16695300000
2000-02-16,16503400000
2000-02-17,16311500000
2000-02-18,16119600000
2000-02-22,16411288000
2000-02-23,16027488000
2000-02-24,15735800000
2000-02-25,15643688000
2000-02-28,15206155999
2000-02-29,15114044000
2000-03-01,15451788000
2000-03-02,14876088000
2000-03-03,14876088000
2000-03-06,14730244000
2000-03-07,14246655999
2000-03-08,13862855999
2000-03-09,13962644000
2000-03-10,13770744000
2000-03-13,13532788000
2000-03-14,13816800000
2000-03-15,14968200000
2000-03-16,16311500000
2000-03-17,16027488000
2000-03-20,15643688000
2000-03-21,16933255999
2000-03-22,16503400000
2000-03-23,17079100000
2000-03-24,17654800000
2000-03-27,16695300000
2000-03-28,17370788000
2000-03-29,17370788000
2000-03-30,17846700000
2000-03-31,17674163000
2000-04-03,18186350000
2000-04-04,17911699000
2000-04-05,17444050000
2000-04-06,16931863000
2000-04-07,16798249000
2000-04-10,17169399000
2000-04-11,16887325000
2000-04-12,17258475000
2000-04-13,17399512000
2000-04-14,15499224000
2000-04-17,15588300000
2000-04-18,15588300000
2000-04-19,15128074000
2000-04-20,16701750000
2000-04-24,17117438000
2000-04-25,17674163000
2000-04-26,17117438000
2000-04-27,16798249000
2000-04-28,17629625000
2000-05-01,17815200000
2000-05-02,17674163000
2000-05-03,17117438000
2000-05-04,16842787000
2000-05-05,16983824000
2000-05-08,17117438000
2000-05-09,17072900000
2000-05-10,17169399000
2000-05-11,17674163000
2000-05-12,18973188000
2000-05-15,19953024000
2000-05-16,19299800000
2000-05-17,19440837000
2000-05-18,19581874000
2000-05-19,19856525000
2000-05-22,20598825000
2000-05-23,21296587000
2000-05-24,22269000000
2000-05-25,19901063000
2000-05-26,19901063000
2000-05-30,20183137000
2000-05-31,19670950000
2000-06-01,20042100000
2000-06-02,20739862000
2000-06-05,20183137000
2000-06-06,20138599000
2000-06-07,21066474000
2000-06-08,20227675000
2000-06-09,19811987000
2000-06-12,19901063000
2000-06-13,19767449000
2000-06-14,18928650000
2000-06-15,17585087000
2000-06-16,16612674000
2000-06-19,17770662000
2000-06-20,17859738000
2000-06-21,17770662000
2000-06-22,17629625000
2000-06-23,17488588000
2000-06-26,17303013000
2000-06-27,17629625000
2000-06-28,17444050000
2000-06-29,17213937000
2000-06-30,16371550000
2000-07-03,17291300000
2000-07-05,17703348000
2000-07-06,17475250000
2000-07-07,17431102000
2000-07-10,17107350000
2000-07-11,17151498000
2000-07-12,17659200000
2000-07-13,17799002000
2000-07-14,18166902000
2000-07-17,18027100000
2000-07-18,17887298000
2000-07-19,17799002000
2000-07-20,18395000000
2000-07-21,18071248000
2000-07-24,18166902000
2000-07-25,18718752000
2000-07-26,19682650000
2000-07-27,20418450000
2000-07-28,20278648000
2000-07-31,20278648000
2000-08-01,20234500000
2000-08-02,19866600000
2000-08-03,21014448000
2000-08-04,21706100000
2000-08-07,21065954000
2000-08-08,22074000000
2000-08-09,21382348000
2000-08-10,21198398000
2000-08-11,21294052000
2000-08-14,21706100000
2000-08-15,21249904000
2000-08-16,21198398000
2000-08-17,21706100000
2000-08-18,21154250000
2000-08-21,21801754000
2000-08-22,21706100000
2000-08-23,21382348000
2000-08-24,21249904000
2000-08-25,21110102000
2000-08-28,21294052000
2000-08-29,21110102000
2000-08-30,21110102000
2000-08-31,21382348000
2000-09-01,21706100000
2000-09-05,21890050000
2000-09-06,22029852000
2000-09-07,22029852000
2000-09-08,22257950000
2000-09-11,23177700000
2000-09-12,23405798000
2000-09-13,22721504000
2000-09-14,22765652000
2000-09-15,23869352000
2000-09-18,23221848000
2000-09-19,24009154000
2000-09-20,23273354000
2000-09-21,24561004000
2000-09-22,24561004000
2000-09-25,24281400000
2000-09-26,24325548000
2000-09-27,24193104000
2000-09-28,25524902000
2000-09-29,25569050000
2000-10-02,25612650000
2000-10-03,24479154000
2000-10-04,25067700000
2000-10-05,25067700000
2000-10-06,24798858000
2000-10-09,24253908000
2000-10-10,24522750000
2000-10-11,24479154000
2000-10-12,23164008000
2000-10-13,23476446000
2000-10-16,23890608000
2000-10-17,22844304000
2000-10-18,23752554000
2000-10-19,25387404000
2000-10-20,25067700000
2000-10-23,24704400000
2000-10-24,26382846000
2000-10-25,26746146000
2000-10-26,26702550000
2000-10-27,27065850000
2000-10-30,29064000000
2000-10-31,29245650000
2000-11-01,28337400000
2000-11-02,27836046000
2000-11-03,26564496000
2000-11-06,26884200000
2000-11-07,27022254000
2000-11-08,27792450000
2000-11-09,28017696000
2000-11-10,27705258000
2000-11-13,27836046000
2000-11-14,28380996000
2000-11-15,28017696000
2000-11-16,28337400000
2000-11-17,28337400000
2000-11-20,27886908000
2000-11-21,27610800000
2000-11-22,27748854000
2000-11-24,27610800000
2000-11-27,27065850000
2000-11-28,27385554000
2000-11-29,27792450000
2000-11-30,27792450000
2000-12-01,28519050000
2000-12-04,28475454000
2000-12-05,30248358000
2000-12-06,30793308000
2000-12-07,30836904000
2000-12-08,31970400000
2000-12-11,31926804000
2000-12-12,31105746000
2000-12-13,31018554000
2000-12-14,29565354000
2000-12-15,29020404000
2000-12-18,30153900000
2000-12-19,30742446000
2000-12-20,29747004000
2000-12-21,30015846000
2000-12-22,30066708000
2000-12-26,30473604000
2000-12-27,31701558000
2000-12-28,31563504000
2000-12-29,31650696000
2001-01-02,29790600000
2001-01-03,29608950000
2001-01-04,27567204000
2001-01-05,27654396000
2001-01-08,28838754000
2001-01-09,27974100000
2001-01-10,27523608000
2001-01-11,26520900000
2001-01-12,25387404000
2001-01-16,26339250000
2001-01-17,26252058000
2001-01-18,25707108000
2001-01-19,25249350000
2001-01-22,26927796000
2001-01-23,27385554000
2001-01-24,27836046000
2001-01-25,27472746000
2001-01-26,27523608000
2001-01-29,27341958000
2001-01-30,28141217999
2001-01-31,28250208000
2001-02-01,28351932000
2001-02-02,29245650000
2001-02-05,29209320000
2001-02-06,29093064000
2001-02-07,29659812000
2001-02-08,29994048000
2001-02-09,30081240000
2001-02-12,30517200000
2001-02-13,30059442000
2001-02-14,29979516000
2001-02-15,29863260000
2001-02-16,30270155999
2001-02-20,29972250000
2001-02-21,28729764000
2001-02-22,28795158000
2001-02-23,28882350000
2001-02-26,29238384000
2001-02-27,30190229999
2001-02-28,28962276000
2001-03-01,29790600000
2001-03-02,30110304000
2001-03-05,30299220000
2001-03-06,30175698000
2001-03-07,30299220000
2001-03-08,30502667999
2001-03-09,30023112000
2001-03-12,29136660000
2001-03-13,28693434000
2001-03-14,28707966000
2001-03-15,29114862000
2001-03-16,28918679999
2001-03-19,28548114000
2001-03-20,28112154000
2001-03-21,27806982000
2001-03-22,27785184000
2001-03-23,28489986000
2001-03-26,28831488000
2001-03-27,28882350000
2001-03-28,28664370000
2001-03-29,29158458000
2001-03-30,30473604000
2001-04-02,30411462000
2001-04-03,30070900000
2001-04-04,30295526000
2001-04-05,30795500000
2001-04-06,29817290000
2001-04-09,29708600000
2001-04-10,29636140000
2001-04-11,29679616000
2001-04-12,29527450000
2001-04-16,29817290000
2001-04-17,29694107999
2001-04-18,30795500000
2001-04-19,32063550000
2001-04-20,30853468000
2001-04-23,31078094000
2001-04-24,29875257999
2001-04-25,29925979999
2001-04-26,29708600000
2001-04-27,30621596000
2001-04-30,30252050000
2001-05-01,30520152000
2001-05-02,29983948000
2001-05-03,29831782000
2001-05-04,29962210000
2001-05-07,29868012000
2001-05-08,30360740000
2001-05-09,30498414000
2001-05-10,30440446000
2001-05-11,30310018000
2001-05-14,30433200000
2001-05-15,30650579999
2001-05-16,31353442000
2001-05-17,31186784000
2001-05-18,31788202000
2001-05-21,32527294000
2001-05-22,32491064000
2001-05-23,32063550000
2001-05-24,32056304000
2001-05-25,32222962000
2001-05-29,32505556000
2001-05-30,32759166000
2001-05-31,32621492000
2001-06-01,31230260000
2001-06-04,31157800000
2001-06-05,31817185999
2001-06-06,31954860000
2001-06-07,31621544000
2001-06-08,31780956000
2001-06-11,31991090000
2001-06-12,32099779999
2001-06-13,32367882000
2001-06-14,32259192000
2001-06-15,31730234000
2001-06-18,31520100000
2001-06-19,31302720000
2001-06-20,31628790000
2001-06-21,32570770000
2001-06-22,31650528000
2001-06-25,31737479999
2001-06-26,31882400000
2001-06-27,31831678000
2001-06-28,32107026000
2001-06-29,31875154000
2001-07-02,31912677000
2001-07-03,31726178999
2001-07-05,31073436000
2001-07-06,30650228999
2001-07-09,31202550000
2001-07-10,30987360000
2001-07-11,30851073000
2001-07-12,30786516000
2001-07-13,30485250000
2001-07-16,30399174000
2001-07-17,29653182000
2001-07-18,29552760000
2001-07-19,25822800000
2001-07-20,23778495000
2001-07-23,23699592000
2001-07-24,23957820000
2001-07-25,24603389999
2001-07-26,25571745000
2001-07-27,25471323000
2001-07-30,24804234000
2001-07-31,25076808000
2001-08-01,25284825000
2001-08-02,24352335000
2001-08-03,24029550000
2001-08-06,23663727000
2001-08-07,23950647000
2001-08-08,23957820000
2001-08-09,23857398000
2001-08-10,23957820000
2001-08-13,24424064999
