,EFU
2007-10-25,8476548.0
2007-10-26,8067047.16
2007-10-29,7952434.68
2007-10-30,8080179.84
2007-10-31,7818720.12
2007-11-01,8222251.56
2007-11-02,8118384.0
2007-11-05,8336864.04
2007-11-06,8112414.6
2007-11-07,8432374.44
2007-11-08,8351190.6
2007-11-09,8702191.32
2007-11-12,8986334.76
2007-11-13,8474757.18
2007-11-14,8574446.16
2007-11-15,8846650.8
2007-11-16,8745171.0
2007-11-19,9244212.84
2007-11-20,8882467.2
2007-11-21,9192876.0
2007-11-23,8816803.8
2007-11-26,9071100.24
2007-11-27,8789344.56
2007-11-28,8336864.04
2007-11-29,8433568.32
2007-11-30,8397751.92
2007-12-03,8437149.96
2007-12-04,8546986.92
2007-12-05,8344027.32
2007-12-06,8190016.8
2007-12-07,8277170.04
2007-12-10,8096894.16
2007-12-11,8527884.84
2007-12-12,8227027.08
2007-12-13,8512364.4
2007-12-14,8977977.6
2007-12-17,9358825.32
2007-12-18,9185712.72
2007-12-19,9288386.4
2007-12-20,9185712.72
2007-12-21,8874110.04
2007-12-24,8751140.4
2007-12-26,8747558.76
2007-12-27,8880079.44
2007-12-28,8681895.36
2007-12-31,8822773.2
2008-01-02,8896793.76
2008-01-03,8889630.48
2008-01-04,9317039.52
2008-01-07,9262121.04
2008-01-08,9410162.16
2008-01-09,9229886.28
2008-01-10,9269284.32
2008-01-11,9641774.88
2008-01-14,9339723.24
2008-01-15,9971285.76
2008-01-16,10355715.0
2008-01-17,10686419.0
2008-01-18,10535991.0
2008-01-22,11401554.0
2008-01-23,11252319.0
2008-01-24,10639858.0
2008-01-25,10965787.0
2008-01-28,10615980.0
2008-01-29,10416603.0
2008-01-30,10577776.0
2008-01-31,10329748.0
2008-02-01,10016653.0
2008-02-04,10177827.0
2008-02-05,11134124.0
2008-02-06,11126961.0
2008-02-07,11291717.0
2008-02-08,11475574.0
2008-02-11,11381258.0
2008-02-12,10908481.0
2008-02-13,10735368.0
2008-02-14,10841624.0
2008-02-15,10777154.0
2008-02-19,10574195.0
2008-02-20,10625532.0
2008-02-21,10715073.0
2008-02-22,10441674.0
2008-02-25,10119326.0
2008-02-26,9793397.64
2008-02-27,9758775.12
2008-02-28,9915173.4
2008-02-29,10417796.0
2008-03-03,10416603.0
2008-03-04,10675674.0
2008-03-05,10441674.0
2008-03-06,10730593.0
2008-03-07,10983696.0
2008-03-10,11091145.0
2008-03-11,10440480.0
2008-03-12,10440480.0
2008-03-13,10376011.0
2008-03-14,10883410.0
2008-03-17,11228441.0
2008-03-18,10553899.0
2008-03-19,11294104.0
2008-03-20,11037420.0
2008-03-24,10537184.0
2008-03-25,10227969.0
2008-03-26,10218418.0
2008-03-27,10260204.0
2008-03-28,10279306.0
2008-03-31,10206480.0
2008-04-01,9562978.8
2008-04-02,9555815.52
2008-04-03,9480601.08
2008-04-04,9420907.08
2008-04-07,9322113.51
2008-04-08,9493733.76
2008-04-09,9679979.04
2008-04-10,9718183.2
2008-04-11,9988000.08
2008-04-14,9955765.32
2008-04-15,9850703.88
2008-04-16,9192876.0
2008-04-17,9430458.12
2008-04-18,9234661.8
2008-04-21,9111692.16
2008-04-22,9302712.96
2008-04-23,9204814.8
2008-04-24,9307488.48
2008-04-25,9160641.24
2008-04-28,9073488.0
2008-04-29,9240631.2
2008-04-30,9160641.24
2008-05-01,9019763.4
2008-05-02,8979171.48
2008-05-05,8946936.72
2008-05-06,8819191.56
2008-05-07,9145120.8
2008-05-08,8992304.16
2008-05-09,9121243.2
2008-05-12,8921865.24
2008-05-13,9009913.89
2008-05-14,8980365.36
2008-05-15,8724875.04
2008-05-16,8524303.2
2008-05-19,8572058.4
2008-05-20,8733232.2
2008-05-21,8925446.88
2008-05-22,8745171.0
2008-05-23,8927834.64
2008-05-27,8980365.36
2008-05-28,8983947.0
2008-05-29,9030508.32
2008-05-30,8919477.48
2008-06-02,9108110.52
2008-06-03,9166610.64
2008-06-04,9257345.52
2008-06-05,8948130.6
2008-06-06,9468065.34
2008-06-09,9499703.16
2008-06-10,9818469.12
2008-06-11,10100224.0
2008-06-12,10153949.0
2008-06-13,9961734.72
2008-06-16,9875775.36
2008-06-17,9813693.6
2008-06-18,9964122.48
2008-06-19,9996357.24
2008-06-20,10429735.0
2008-06-23,10454807.0
2008-06-24,10524052.0
2008-06-25,10339000.0
2008-06-26,10804614.0
2008-06-27,10774767.0
2008-06-30,10643440.0
2008-07-01,10888185.0
2008-07-02,11247543.0
2008-07-03,11120992.0
2008-07-07,11294104.0
2008-07-08,11168747.0
2008-07-09,11449010.0
2008-07-10,11294104.0
2008-07-11,11628391.0
2008-07-14,11683309.0
2008-07-15,12021177.0
2008-07-16,11616452.0
2008-07-17,11276196.0
2008-07-18,11103084.0
2008-07-21,10982502.0
2008-07-22,10900124.0
2008-07-23,10819537.0
2008-07-24,11075624.0
2008-07-25,11178298.0
2008-07-28,11553176.0
2008-07-29,11333502.0
2008-07-30,11118604.0
2008-07-31,11359768.0
2008-08-01,11676146.0
2008-08-04,11926861.0
2008-08-05,11307237.0
2008-08-06,11292910.0
2008-08-07,11747779.0
2008-08-08,11663013.0
2008-08-11,11677340.0
2008-08-12,11879106.0
2008-08-13,12231300.0
2008-08-14,12329198.0
2008-08-15,12487984.0
2008-08-18,12620505.0
2008-08-19,12941659.0
2008-08-20,12766158.0
2008-08-21,12653934.0
2008-08-22,12550663.0
2008-08-25,12905842.0
2008-08-26,12813914.0
2008-08-27,12589464.0
2008-08-28,12263535.0
2008-08-29,12343525.0
2008-09-02,12702883.0
2008-09-03,12797199.0
2008-09-04,13506364.0
2008-09-05,14085396.0
2008-09-08,13400109.0
2008-09-09,14242988.0
2008-09-10,14016151.0
2008-09-11,14040028.0
2008-09-12,13558895.0
2008-09-15,14687111.0
2008-09-16,14899622.0
2008-09-17,15941879.0
