,FCPT
2015-11-10,1219290727
2015-11-11,1266554695
2015-11-12,1228264898
2015-11-13,1240828737
2015-11-16,1211513112
2015-11-17,1187581988
2015-11-18,1145702523
2015-11-19,1182197486
2015-11-20,1180402651
2015-11-23,1172625036
2015-11-24,1178009539
2015-11-25,1172625036
2015-11-27,1167240534
2015-11-30,1184590598
2015-12-01,1238435625
2015-12-02,1240230459
2015-12-03,1250401187
2015-12-04,1298861711
2015-12-07,1322792834
2015-12-08,1293477208
2015-12-09,1284503037
2015-12-10,1300656545
2015-12-11,1279716813
2015-12-14,1265956417
2015-12-15,1274332310
2015-12-16,1293477208
2015-12-17,1311425551
2015-12-18,1357492963
2015-12-21,1396979316
2015-12-22,1382620642
2015-12-23,1399970707
2015-12-24,1401765541
2015-12-28,1425098386
2015-12-29,1447832953
2015-12-30,1435269113
2015-12-31,1168736279
2016-01-04,1139711371
2016-01-05,1131487647
2016-01-06,1128101408
2016-01-07,1120845181
2016-01-08,1119877684
2016-01-11,1128101408
2016-01-12,1102946488
2016-01-13,1109235218
2016-01-14,702402763
2016-01-15,709658990
2016-01-19,729008929
2016-01-20,729976426
2016-01-21,757066339
2016-01-22,775932529
2016-01-25,788509989
2016-01-26,801571198
2016-01-27,786574995
2016-01-28,796249965
2016-01-29,817534897
2016-02-01,831563602
2016-02-02,815116155
2016-02-03,815116155
2016-02-04,801571198
2016-02-05,784156253
2016-02-08,732395168
2016-02-09,725622690
2016-02-10,717882714
2016-02-11,737716401
2016-02-12,759968830
2016-02-16,777383775
2016-02-17,780770014
2016-02-18,782705008
2016-02-19,797217462
2016-02-22,789961235
2016-02-23,773513787
2016-02-24,766257560
2016-02-25,793347474
2016-02-26,788993738
2016-02-29,793831222
2016-03-01,821888633
2016-03-02,853816031
2016-03-03,834949841
2016-03-04,830112357
2016-03-07,855267277
2016-03-08,840754823
2016-03-09,847527301
2016-03-10,831563602
2016-03-11,878970951
2016-03-14,868812234
2016-03-15,859621013
2016-03-16,860104761
2016-03-17,864942246
2016-03-18,861556007
2016-03-21,874617215
2016-03-22,873165970
2016-03-23,863974749
2016-03-24,874133467
2016-03-28,883324687
2016-03-29,879938448
2016-03-30,882840939
2016-03-31,1073953597
2016-04-01,1061389238
2016-04-04,1039850335
2016-04-05,1043440152
2016-04-06,1047628272
2016-04-07,1059594329
2016-04-08,1071560386
2016-04-11,1070962083
2016-04-12,1071560386
2016-04-13,1073953597
2016-04-14,1088312865
2016-04-15,1076346809
2016-04-18,1087116260
2016-04-19,1093697591
2016-04-20,1081731534
2016-04-21,1052414695
2016-04-22,1061389238
2016-04-25,1075150203
2016-04-26,1062585843
2016-04-27,1066773963
2016-04-28,1073355294
2016-04-29,1061987541
2016-05-02,1075150203
2016-05-03,1095492500
2016-05-04,1135578790
2016-05-05,1130792367
2016-05-06,1137972001
2016-05-09,1138570304
2016-05-10,1119424613
2016-05-11,1112843282
2016-05-12,1122416127
2016-05-13,1139168607
2016-05-16,1151134664
2016-05-17,1140963515
2016-05-18,1131390670
2016-05-19,1131390670
2016-05-20,1134382184
2016-05-23,1147544847
2016-05-24,1160707509
2016-05-25,1164297326
2016-05-26,1155322784
2016-05-27,1169083749
2016-05-31,1163100720
2016-06-01,1148143149
2016-06-02,1154126178
2016-06-03,1176263383
2016-06-06,1184639623
2016-06-07,1190024348
2016-06-08,1199597194
2016-06-09,1208571736
2016-06-10,1204981919
2016-06-13,1197802285
2016-06-14,1181049806
2016-06-15,1201990405
2016-06-16,1201392102
2016-06-17,1200195497
2016-06-20,1195409074
2016-06-21,1198400588
2016-06-22,1189426045
2016-06-23,1173870172
2016-06-24,1172673566
2016-06-27,1169083749
2016-06-28,1196605680
2016-06-29,1209170039
2016-06-30,1231957846
2016-07-01,1238539456
2016-07-05,1252301006
2016-07-06,1252899334
2016-07-07,1241531098
2016-07-08,1254095991
2016-07-11,1275037479
2016-07-12,1275635807
2016-07-13,1275635807
2016-07-14,1249309365
2016-07-15,1249907693
2016-07-18,1264267571
2016-07-19,1266660884
2016-07-20,1269054197
2016-07-21,1277430792
2016-07-22,1283414074
2016-07-25,1288200700
2016-07-26,1280422433
2016-07-27,1279225777
2016-07-28,1282217418
2016-07-29,1298970609
2016-08-01,1302560578
2016-08-02,1276234135
2016-08-03,1281619090
2016-08-04,1260079273
2016-08-05,1280422433
2016-08-08,1289995685
2016-08-09,1289397357
2016-08-10,1294782311
2016-08-11,1289397357
2016-08-12,1303757234
2016-08-15,1295380639
2016-08-16,1272644166
2016-08-17,1266660884
2016-08-18,1257087632
2016-08-19,1242129426
2016-08-22,1232556174
2016-08-23,1232556174
2016-08-24,1233752830
2016-08-25,1249907693
2016-08-26,1224179579
2016-08-29,1234949487
2016-08-30,1222384594
2016-08-31,1239137785
2016-09-01,1231957846
2016-09-02,1247514380
2016-09-06,1274439151
2016-09-07,1278627448
2016-09-08,1273840822
2016-09-09,1224179579
2016-09-12,1234351159
2016-09-13,1175714991
2016-09-14,1193664838
2016-09-15,1194263167
2016-09-16,1197254808
2016-09-19,1218794624
