,KBH
2000-01-03,981226000
2000-01-04,952215840
2000-01-05,962454720
2000-01-06,976106560
2000-01-07,999997280
2000-01-10,997437560
2000-01-11,973546840
2000-01-12,978666280
2000-01-13,1029007440
2000-01-14,1029007440
2000-01-18,1026447720
2000-01-19,1002557000
2000-01-20,946243160
2000-01-21,936004280
2000-01-24,924912160
2000-01-25,872011280
2000-01-26,877130720
2000-01-27,938564000
2000-01-28,919792720
2000-01-31,924912160
2000-02-01,917233000
2000-02-02,901021440
2000-02-03,922352440
2000-02-04,922352440
2000-02-07,917233000
2000-02-08,914673280
2000-02-09,882250160
2000-02-10,869451560
2000-02-11,864332120
2000-02-14,866891840
2000-02-15,890782560
2000-02-16,890782560
2000-02-17,885663120
2000-02-18,855799720
2000-02-22,860919160
2000-02-23,858359440
2000-02-24,837028440
2000-02-25,808018280
2000-02-28,808018280
2000-02-29,761301040
2000-03-01,766875420
2000-03-02,769264440
2000-03-03,769264440
2000-03-06,743781560
2000-03-07,716706000
2000-03-08,727058420
2000-03-09,731836460
2000-03-10,714316980
2000-03-13,711927960
2000-03-14,721484040
2000-03-15,754133980
2000-03-16,823415560
2000-03-17,816248500
2000-03-20,831378960
2000-03-21,823415560
2000-03-22,828989940
2000-03-23,851287460
2000-03-24,866417920
2000-03-27,875974000
2000-03-28,868806940
2000-03-29,853676480
2000-03-30,853676480
2000-03-31,853676480
2000-04-03,840935040
2000-04-04,840935040
2000-04-05,875974000
2000-04-06,846509420
2000-04-07,838546020
2000-04-10,823415560
2000-04-11,848898440
2000-04-12,858454520
2000-04-13,846509420
2000-04-14,778820520
2000-04-17,774042480
2000-04-18,783598560
2000-04-19,786783920
2000-04-20,791561960
2000-04-24,791561960
2000-04-25,789172940
2000-04-26,789172940
2000-04-27,769264440
2000-04-28,766875420
2000-05-01,781209540
2000-05-02,763690060
2000-05-03,754133980
2000-05-04,754133980
2000-05-05,756523000
2000-05-08,751744960
2000-05-09,746966920
2000-05-10,731836460
2000-05-11,751744960
2000-05-12,756523000
2000-05-15,746966920
2000-05-16,766875420
2000-05-17,741392540
2000-05-18,729447440
2000-05-19,711927960
2000-05-22,696797500
2000-05-23,694408480
2000-05-24,687241420
2000-05-25,687241420
2000-05-26,672110960
2000-05-30,694408480
2000-05-31,664315120
2000-06-01,657427060
2000-06-02,741614460
2000-06-05,717888920
2000-06-06,731665040
2000-06-07,705643480
2000-06-08,717888920
2000-06-09,748502520
2000-06-12,741614460
2000-06-13,767636020
2000-06-14,733961060
2000-06-15,763043980
2000-06-16,753094560
2000-06-19,750798540
2000-06-20,733961060
2000-06-21,731665040
2000-06-22,731665040
2000-06-23,722480960
2000-06-26,722480960
2000-06-27,729369020
2000-06-28,727073000
2000-06-29,750798540
2000-06-30,758451940
2000-07-03,758451940
2000-07-05,782177480
2000-07-06,775289420
2000-07-07,779881460
2000-07-10,765340000
2000-07-11,782177480
2000-07-12,791361560
2000-07-13,777585440
2000-07-14,775289420
2000-07-17,777585440
2000-07-18,763043980
2000-07-19,746206500
2000-07-20,760747960
2000-07-21,750798540
2000-07-24,746206500
2000-07-25,760747960
2000-07-26,760747960
2000-07-27,760747960
2000-07-28,724776980
2000-07-31,748502520
2000-08-01,760747960
2000-08-02,758451940
2000-08-03,756155920
2000-08-04,769932040
2000-08-07,870956920
2000-08-08,932949460
2000-08-09,903866540
2000-08-10,884733040
2000-08-11,939837520
2000-08-14,923000040
2000-08-15,892386440
2000-08-16,873252940
2000-08-17,877844980
2000-08-18,863303520
2000-08-21,892386440
2000-08-22,867895560
2000-08-23,834985940
2000-08-24,844170020
2000-08-25,848762060
2000-08-28,848762060
2000-08-29,882437020
2000-08-30,899274500
2000-08-31,867806480
2000-09-01,858715840
2000-09-05,860813680
2000-09-06,869904320
2000-09-07,869904320
2000-09-08,867806480
2000-09-11,895777680
2000-09-12,915357520
2000-09-13,922350320
2000-09-14,948223680
2000-09-15,930741680
2000-09-18,862911520
2000-09-19,880393520
2000-09-20,891582000
2000-09-21,887386320
2000-09-22,893679840
2000-09-25,928643840
2000-09-26,930741680
2000-09-27,955216480
2000-09-28,939832320
2000-09-29,941930160
2000-10-02,961510000
2000-10-03,1005564640
2000-10-04,1033535840
2000-10-05,974796320
2000-10-06,963607840
2000-10-09,998571840
