,FTV
2016-11-04,14806974000
2016-11-07,15004308000
2016-11-08,15253572000
2016-11-09,15488988000
2016-11-10,15703632000
2016-11-11,15471678000
2016-11-14,15592848000
2016-11-15,15679398000
2016-11-16,15772872000
2016-11-17,15790182000
2016-11-18,15828264000
2016-11-21,15883656000
2016-11-22,16039446000
2016-11-23,16164078000
2016-11-25,16216008000
2016-11-28,16105224000
2016-11-29,16015212000
2016-11-30,15932124000
2016-12-01,15700170000
2016-12-02,15783258000
2016-12-05,15617082000
2016-12-06,15644778000
2016-12-07,15714018000
2016-12-08,15551304000
2016-12-09,15644778000
2016-12-12,15641316000
2016-12-13,15599772000
2016-12-14,15717480000
2016-12-15,15880194000
2016-12-16,15883656000
2016-12-19,15921738000
2016-12-20,15949434000
2016-12-21,15679398000
2016-12-22,15669012000
2016-12-23,15793644000
2016-12-27,15776334000
2016-12-28,15572075999
2016-12-29,15648240000
2016-12-30,15537456000
2017-01-03,15601120000
2017-01-04,15753800000
2017-01-05,15663580000
2017-01-06,15642760000
2017-01-09,15601120000
2017-01-10,15621940000
2017-01-11,15580300000
2017-01-12,15583769999
2017-01-13,15899540000
2017-01-17,15719099999
2017-01-18,15722570000
2017-01-19,15757269999
2017-01-20,15830140000
2017-01-23,15712160000
2017-01-24,15882190000
2017-01-25,16020990000
2017-01-26,16170200000
2017-01-27,16239599999
2017-01-30,16097330000
2017-01-31,16059160000
2017-02-01,16007110000
2017-02-02,16031400000
2017-02-03,16267360000
2017-02-06,16204900000
2017-02-07,16156320000
2017-02-08,16312470000
2017-02-09,16558840000
2017-02-10,16593540000
2017-02-13,16704580000
2017-02-14,16635180000
2017-02-15,16718460000
2017-02-16,16666410000
2017-02-17,16753160000
2017-02-21,16878080000
2017-02-22,16753160000
2017-02-23,16628240000
2017-02-24,16780920000
2017-02-27,16739280000
2017-02-28,16739280000
2017-03-01,17107099999
2017-03-02,17023820000
2017-03-03,17055050000
2017-03-06,16937070000
2017-03-07,16898900000
2017-03-08,16891960000
2017-03-09,16846849999
2017-03-10,16930130000
2017-03-13,17065460000
2017-03-14,17003000000
2017-03-15,17336120000
2017-03-16,17280600000
2017-03-17,17301420000
2017-03-20,17131390000
2017-03-21,16989120000
2017-03-22,16985650000
2017-03-23,16996059999
2017-03-24,17221610000
2017-03-27,17155680000
2017-03-28,17304890000
2017-03-29,17322240000
2017-03-30,17311830000
2017-03-31,17495408000
2017-04-03,17471104000
2017-04-04,17439856000
2017-04-05,17505824000
2017-04-06,17599568000
2017-04-07,17568320000
2017-04-10,17724560000
2017-04-11,17655120000
2017-04-12,17578736000
2017-04-13,17530128000
2017-04-17,17571792000
2017-04-18,17512768000
2017-04-19,17436384000
2017-04-20,17609984000
2017-04-21,17436384000
2017-04-24,17849552000
2017-04-25,18109952000
2017-04-26,18085648000
2017-04-27,18106480000
2017-04-28,18380768000
2017-05-01,18113424000
2017-05-02,18064816000
2017-05-03,18207168000
2017-05-04,18252304000
2017-05-05,18346048000
2017-05-08,18273136000
2017-05-09,18217584000
2017-05-10,18179392000
2017-05-11,18193280000
2017-05-12,18064816000
2017-05-15,18078704000
2017-05-16,18109952000
2017-05-17,17780112000
2017-05-18,17769696000
2017-05-19,17967600000
2017-05-22,18130784000
2017-05-23,18189808000
2017-05-24,18328688000
2017-05-25,18491872000
2017-05-26,18453680000
2017-05-30,18405072000
2017-05-31,18144672000
2017-06-01,18300912000
2017-06-02,18422432000
2017-06-05,18398128000
2017-06-06,18363408000
2017-06-07,18408544000
2017-06-08,18509232000
2017-06-09,18328688000
2017-06-12,18148144000
2017-06-13,18384240000
2017-06-14,18290496000
2017-06-15,18314800000
2017-06-16,18609920000
2017-06-19,18825184000
2017-06-20,18731440000
2017-06-21,18703664000
2017-06-22,18623808000
2017-06-23,18623808000
2017-06-26,18627280000
2017-06-27,18412016000
2017-06-28,18714080000
2017-06-29,18262720000
2017-06-30,18431577000
2017-07-03,18428100000
2017-07-05,18508071000
2017-07-06,18428100000
2017-07-07,18577611000
2017-07-10,18796662000
2017-07-11,18612381000
2017-07-12,18824478000
2017-07-13,18734076000
2017-07-14,18786231000
2017-07-17,18661059000
2017-07-18,18549795000
2017-07-19,18612381000
2017-07-20,18476778000
2017-07-21,18403761000
2017-07-24,18414192000
2017-07-25,18351606000
2017-07-26,18090831000
2017-07-27,18209049000
2017-07-28,18758415000
2017-07-31,18838386000
2017-08-01,18970512000
2017-08-02,19283442000
2017-08-03,19356459000
2017-08-04,19544217000
2017-08-07,19558125000
2017-08-08,19471200000
2017-08-09,19443384000
2017-08-10,19067868000
2017-08-11,19088730000
2017-08-14,19276488000
2017-08-15,19238241000
2017-08-16,19248672000
2017-08-17,18960081000
2017-08-18,18921834000
2017-08-21,19033098000
2017-08-22,19161747000
2017-08-23,18921834000
2017-08-24,18876633000
2017-08-25,18821001000
2017-08-28,18765369000
2017-08-29,18754938000
2017-08-30,18855771000
2017-08-31,18904449000
2017-09-01,18942696000
2017-09-05,18939219000
2017-09-06,18834909000
2017-09-07,19078299000
2017-09-08,19342551000
2017-09-11,19645050000
2017-09-12,19745883000
2017-09-13,19985796000
2017-09-14,20131830000
2017-09-15,20180508000
2017-09-18,20458668000
2017-09-19,20389128000
2017-09-20,20416944000
2017-09-21,20347404000
2017-09-22,20375220000
2017-09-25,20375220000
2017-09-26,20323065000
2017-09-27,20427375000
2017-09-28,20343927000
2017-09-29,20621444000
2017-10-02,20840747000
2017-10-03,20823342000
2017-10-04,20948658000
2017-10-05,20847709000
2017-10-06,20840747000
2017-10-09,20945177000
2017-10-10,20948658000
2017-10-11,21073974000
2017-10-12,21234100000
2017-10-13,21073974000
2017-10-16,20979987000
2017-10-17,20823342000
2017-10-18,20861633000
2017-10-19,20711950000
2017-10-20,20976506000
2017-10-23,21000873000
2017-10-24,21355935000
2017-10-25,21108784000
2017-10-26,21401188000
2017-10-27,21585681000
2017-10-30,21108784000
2017-10-31,21049607000
2017-11-01,21223657000
2017-11-02,21355935000
2017-11-03,21449922000
2017-11-06,21223657000
2017-11-07,21401188000
2017-11-08,21199290000
2017-11-09,21157518000
2017-11-10,21160999000
2017-11-13,21147075000
2017-11-14,21167961000
2017-11-15,20931253000
2017-11-16,21101822000
2017-11-17,21046126000
2017-11-20,21209733000
2017-11-21,21105303000
2017-11-22,20973025000
2017-11-24,21011316000
