,SO
2000-01-03,9078562600
2000-01-04,9176532700
2000-01-05,9653320520
2000-01-06,9672914540
2000-01-07,9849260720
2000-01-10,9777415980
2000-01-11,9699039900
2000-01-12,9875386080
2000-01-13,9751290620
2000-01-14,9627195160
2000-01-18,9326753520
2000-01-19,9548819080
2000-01-20,9503099700
2000-01-21,9777415980
2000-01-24,10025606900
2000-01-25,10123577000
2000-01-26,10175827720
2000-01-27,10201953080
2000-01-28,10097451640
2000-01-31,10247672460
2000-02-01,10123577000
2000-02-02,10051732260
2000-02-03,9927636800
2000-02-04,9699039900
2000-02-07,9699039900
2000-02-08,9751290620
2000-02-09,9672914540
2000-02-10,9777415980
2000-02-11,9725165260
2000-02-14,9725165260
2000-02-15,9699039900
2000-02-16,9529225060
2000-02-17,9379004240
2000-02-18,9202658060
2000-02-22,9202658060
2000-02-23,9078562600
2000-02-24,8804246320
2000-02-25,8680150860
2000-02-28,9052437240
2000-02-29,8849965700
2000-03-01,8751995600
2000-03-02,8804246320
2000-03-03,8804246320
2000-03-06,8451553960
2000-03-07,8503804680
2000-03-08,8431959940
2000-03-09,8405834579
2000-03-10,8431959940
2000-03-13,8503804680
2000-03-14,8203363040
2000-03-15,8706276220
2000-03-16,9078562600
2000-03-17,8751995600
2000-03-20,8680150860
2000-03-21,8503804680
2000-03-22,8353583859
2000-03-23,8556055400
2000-03-24,8725870240
2000-03-27,8804246320
2000-03-28,8706276220
2000-03-29,8680150860
2000-03-30,8654025500
2000-03-31,8621169680
2000-04-03,8964978554
2000-04-04,9166074310
2000-04-05,9166074310
2000-04-06,8893621995
2000-04-07,8815778476
2000-04-10,9237430869
2000-04-11,9315274387
2000-04-12,9561778863
2000-04-13,9834231178
2000-04-14,9710978940
2000-04-17,9710978940
2000-04-18,10093709573
2000-04-19,9860179017
2000-04-20,10132631332
2000-04-24,10281831409
2000-04-25,10573744604
2000-04-26,10898092598
2000-04-27,10301292289
2000-04-28,9879639897
2000-05-01,9607187582
2000-05-02,9685031100
2000-05-03,9736926779
2000-05-04,9860179017
2000-05-05,9710978940
2000-05-08,9879639897
2000-05-09,9905587736
2000-05-10,10028839974
2000-05-11,10255883570
2000-05-12,9931535576
2000-05-15,10132631332
2000-05-16,10009379094
2000-05-17,9710978940
2000-05-18,9983431255
2000-05-19,10132631332
2000-05-22,10281831409
2000-05-23,10178040051
2000-05-24,10476440206
2000-05-25,10379135808
2000-05-26,10450492366
2000-05-30,10203987891
2000-05-31,10281831409
2000-06-01,10229935730
2000-06-02,9931535576
2000-06-05,9607187582
2000-06-06,9860179017
2000-06-07,9905587736
2000-06-08,9879639897
2000-06-09,9905587736
2000-06-12,9970457335
2000-06-13,10178040051
2000-06-14,10132631332
2000-06-15,10132631332
2000-06-16,9931535576
2000-06-19,9808283338
2000-06-20,9905587736
2000-06-21,9860179017
2000-06-22,9860179017
2000-06-23,9860179017
2000-06-26,9905587736
2000-06-27,9587726702
2000-06-28,9736926779
2000-06-29,9509883184
2000-06-30,9246701280
2000-07-03,9447998850
2000-07-05,9447998850
2000-07-06,9493453140
