,TT
2000-01-03,6661440000
2000-01-04,6528600000
2000-01-05,6518880000
2000-01-06,6872040000
2000-01-07,7196040000
2000-01-10,7047000000
2000-01-11,6966000000
2000-01-12,6855840000
2000-01-13,6700320000
2000-01-14,6700320000
2000-01-18,6661440000
2000-01-19,6535080000
2000-01-20,6198120000
2000-01-21,6055560000
2000-01-24,5929200000
2000-01-25,5773680000
2000-01-26,6188400000
2000-01-27,6016680000
2000-01-28,5906520000
2000-01-31,5916240000
2000-02-01,5789880000
2000-02-02,5835240000
2000-02-03,5757480000
2000-02-04,5844960000
2000-02-07,5663520000
2000-02-08,5576040000
2000-02-09,5371919999
2000-02-10,5051160000
2000-02-11,4892400000
2000-02-14,5167800000
2000-02-15,5420520000
2000-02-16,5342759999
2000-02-17,5255280000
2000-02-18,5106240000
2000-02-22,5122440000
2000-02-23,4688280000
2000-02-24,4493880000
2000-02-25,4445280000
2000-02-28,4665600000
2000-02-29,4814640000
2000-03-01,4753080000
2000-03-02,4516560000
2000-03-03,4633200000
2000-03-06,4688280000
2000-03-07,4383720000
2000-03-08,4399920000
2000-03-09,4510080000
2000-03-10,4523040000
2000-03-13,4461480000
2000-03-14,4445280000
2000-03-15,4808160000
2000-03-16,5394600000
2000-03-17,5090040000
2000-03-20,5200200000
2000-03-21,5365440000
2000-03-22,5277960000
2000-03-23,5326560000
2000-03-24,5316840000
2000-03-27,5096520000
2000-03-28,5222880000
2000-03-29,5394600000
2000-03-30,5708880000
2000-03-31,5559840000
2000-04-03,5542680000
2000-04-04,5888290000
2000-04-05,5707410000
2000-04-06,5668650000
2000-04-07,5529760000
2000-04-10,5700950000
2000-04-11,5646040000
2000-04-12,5865680000
2000-04-13,6046560000
2000-04-14,5255210000
2000-04-17,5458700000
2000-04-18,5426400000
2000-04-19,5168000000
2000-04-20,5520070000
2000-04-24,5739710000
2000-04-25,5794620000
2000-04-26,5684800000
2000-04-27,5888290000
2000-04-28,5881830000
2000-05-01,5833380000
2000-05-02,5943200000
2000-05-03,5817230000
2000-05-04,5707410000
2000-05-05,5810769999
2000-05-08,5843070000
2000-05-09,5739710000
2000-05-10,5668650000
2000-05-11,5746170000
2000-05-12,5794620000
2000-05-15,6053019999
2000-05-16,6366330000
2000-05-17,6208060000
2000-05-18,6146690000
2000-05-19,5981960000
2000-05-22,5991650000
2000-05-23,5826920000
2000-05-24,5949660000
2000-05-25,5746170000
2000-05-26,5700950000
2000-05-30,5865680000
2000-05-31,5707410000
2000-06-01,6114390000
2000-06-02,6130540000
2000-06-05,6020720000
2000-06-06,5943200000
2000-06-07,5568519999
2000-06-08,5503920000
2000-06-09,5520070000
2000-06-12,5568519999
2000-06-13,5419940000
2000-06-14,5568519999
2000-06-15,5520070000
2000-06-16,5426400000
2000-06-19,5222910000
2000-06-20,5113090000
2000-06-21,4987120000
2000-06-22,4970970000
2000-06-23,5067870000
2000-06-26,5074330000
2000-06-27,5377950000
2000-06-28,5200300000
2000-06-29,5119550000
2000-06-30,5042030000
2000-07-03,5219596000
2000-07-05,5258212000
2000-07-06,5142364000
2000-07-07,5148800000
2000-07-10,5296828000
2000-07-11,5467381999
2000-07-12,5444856000
2000-07-13,5641154000
2000-07-14,5608974000
2000-07-17,5493126000
2000-07-18,5679770000
2000-07-19,5235686000
2000-07-20,5187416000
2000-07-21,5094094000
2000-07-24,4968592000
2000-07-25,4891360000
2000-07-26,4775512000
2000-07-27,4852744000
2000-07-28,4749768000
2000-07-31,4897796000
2000-08-01,4836654000
2000-08-02,4820564000
2000-08-03,4759422000
2000-08-04,4836654000
2000-08-07,4929976000
2000-08-08,5016862000
2000-08-09,4978246000
2000-08-10,4875270000
2000-08-11,5142364000
2000-08-14,5142364000
2000-08-15,5306481999
2000-08-16,5522088000
2000-08-17,5290392000
2000-08-18,5148800000
2000-08-21,5180980000
2000-08-22,5258212000
2000-08-23,5100530000
2000-08-24,5000772000
2000-08-25,5023298000
2000-08-28,5142364000
2000-08-29,5718386000
2000-08-30,5563922000
2000-08-31,5686206000
2000-09-01,5859978000
2000-09-05,5959736000
2000-09-06,5927556000
2000-09-07,5757002000
2000-09-08,5522088000
2000-09-11,5499562000
2000-09-12,5602538000
2000-09-13,5608974000
2000-09-14,5631500000
2000-09-15,5296828000
2000-09-18,4984682000
2000-09-19,4453712000
2000-09-20,4485892000
2000-09-21,4469802000
2000-09-22,4276721999
2000-09-25,4321774000
2000-09-26,4260632000
2000-09-27,4080424000
2000-09-28,4260632000
2000-09-29,4228452000
2000-10-02,4163743920
2000-10-03,4397195000
2000-10-04,4425976640
2000-10-05,4403590920
2000-10-06,4234099040
2000-10-09,4397195000
2000-10-10,4310850080
2000-10-11,4333235800
2000-10-12,4208515360
2000-10-13,4115774519
2000-10-16,4086992880
2000-10-17,3978262240
2000-10-18,3783186680
2000-10-19,3837552000
2000-10-20,4016637760
2000-10-23,4125368400
2000-10-24,4208515360
2000-10-25,4077399000
2000-10-26,4109378600
2000-10-27,4109378600
2000-10-30,4480341960
2000-10-31,4681813440
2000-11-01,4681813440
2000-11-02,4573082800
2000-11-03,4557093000
2000-11-06,4665823640
2000-11-07,4653031800
2000-11-08,4752168560
2000-11-09,4720188960
2000-11-10,4573082800
2000-11-13,4582676680
2000-11-14,4643437920
2000-11-15,4713793040
2000-11-16,4637042000
2000-11-17,4675417520
2000-11-20,4653031800
2000-11-21,4784148160
2000-11-22,4768158360
2000-11-24,4892878800
2000-11-27,4867295120
2000-11-28,4812929800
2000-11-29,5039984960
2000-11-30,4992015560
2000-12-01,5193487039
2000-12-04,5433334039
2000-12-05,5497293240
2000-12-06,5203080920
2000-12-07,5171101320
2000-12-08,5187091120
2000-12-11,5177497240
2000-12-12,5225466640
2000-12-13,4937650240
2000-12-14,4806533880
2000-12-15,4720188960
2000-12-18,4828919600
2000-12-19,4838513480
2000-12-20,4736178760
2000-12-21,4854503280
2000-12-22,5030391080
2000-12-26,5068766600
2000-12-27,5123131920
2000-12-28,5164705400
2000-12-29,5193487039
2001-01-02,5039984960
2001-01-03,5123131920
2001-01-04,5465313640
2001-01-05,5263842160
2001-01-08,5177497240
2001-01-09,5209476840
2001-01-10,5155111520
2001-01-11,5084756400
2001-01-12,4806533880
2001-01-16,4963233920
2001-01-17,4947244120
2001-01-18,4867295120
2001-01-19,4822523680
2001-01-22,4822523680
2001-01-23,4844909400
2001-01-24,4969629840
2001-01-25,5295821760
2001-01-26,5247852360
2001-01-29,5260644200
2001-01-30,5394958520
2001-01-31,5497293240
2001-02-01,5481303440
2001-02-02,5510085080
2001-02-05,5430136080
2001-02-06,5401354440
2001-02-07,5526074880
2001-02-08,5538866720
2001-02-09,5465313640
2001-02-12,5561252440
2001-02-13,5535668760
2001-02-14,5455719760
2001-02-15,5647597360
2001-02-16,5538866720
2001-02-20,5465313640
2001-02-21,5471709560
2001-02-22,5481303440
2001-02-23,5391760560
2001-02-26,5538866720
2001-02-27,5481303440
2001-02-28,5375770760
2001-03-01,5372572800
2001-03-02,5471709560
2001-03-05,5756328000
2001-03-06,5705160640
2001-03-07,5945007640
2001-03-08,6012164800
2001-03-09,5919423960
2001-03-12,5701962679
2001-03-13,5663587160
2001-03-14,5625211640
2001-03-15,5641201440
2001-03-16,5452521800
2001-03-19,5458917720
2001-03-20,5375770760
2001-03-21,5171101320
2001-03-22,4963233920
2001-03-23,4979223720
2001-03-26,5075162520
2001-03-27,5203080920
2001-03-28,5171101320
2001-03-29,4985619640
2001-03-30,4924858400
2001-04-02,5169419500
2001-04-03,5011137600
2001-04-04,5176154900
2001-04-05,5415261599
2001-04-06,5283921300
2001-04-09,5496086400
2001-04-10,5640897500
2001-04-11,5415261599
2001-04-12,5563440400
2001-04-16,5573543500
2001-04-17,5519660300
2001-04-18,5991138300
2001-04-19,5927152000
2001-04-20,5913681200
2001-04-23,5970932100
2001-04-24,5873268800
2001-04-25,5846327200
2001-04-26,6028182999
2001-04-27,6105640100
2001-04-30,6139317100
2001-05-01,6139317100
2001-05-02,6082066200
2001-05-03,6129214000
2001-05-04,6112375499
2001-05-07,6102272400
2001-05-08,6088801599
2001-05-09,6048389200
2001-05-10,6078698500
2001-05-11,6135949400
2001-05-14,6169626400
2001-05-15,6112375499
2001-05-16,6408733100
2001-05-17,6425571599
2001-05-18,6455880900
2001-05-21,6506396400
2001-05-22,6526602600
2001-05-23,6442410100
2001-05-24,6398630000
2001-05-25,6371688400
2001-05-29,6465984000
2001-05-30,6277392800
2001-05-31,6445777800
2001-06-01,6445777800
2001-06-04,6455880900
2001-06-05,6503028700
2001-06-06,6338011400
2001-06-07,6455880900
2001-06-08,6408733100
2001-06-11,6314437500
2001-06-12,6270657400
2001-06-13,6257186599
2001-06-14,6125846300
2001-06-15,6028182999
2001-06-18,5967564400
2001-06-19,5849694900
2001-06-20,5863165700
2001-06-21,6007976800
2001-06-22,5873268800
2001-06-25,5748663900
2001-06-26,5745296200
2001-06-27,5661103700
2001-06-28,5684677600
2001-06-29,5381584600
2001-07-02,5547168000
2001-07-03,5641416000
2001-07-05,5745762000
2001-07-06,5516874000
2001-07-09,5621220000
2001-07-10,5567364000
2001-07-11,5560632000
2001-07-12,5782788000
2001-07-13,5799618000
2001-07-16,5627952000
2001-07-17,5802983999
2001-07-18,5802983999
2001-07-19,5776056000
2001-07-20,5755860000
2001-07-23,5621220000
2001-07-24,5489946000
2001-07-25,5543802000
2001-07-26,5587560000
2001-07-27,5526972000
2001-07-30,5584194000
2001-07-31,5702004000
2001-08-01,5611122000
2001-08-02,5607756000
2001-08-03,5651514000
2001-08-06,5415894000
2001-08-07,5510142000
2001-08-08,5368770000
2001-08-09,5415894000
2001-08-10,5523606000
2001-08-13,5489946000
2001-08-14,5358672000
2001-08-15,5405796000
2001-08-16,5385600000
2001-08-17,5217300000
2001-08-20,5136516000
2001-08-21,5244228000
2001-08-22,5392332000
2001-08-23,5325012000
2001-08-24,5432724000
2001-08-27,5442822000
2001-08-28,5399064000
2001-08-29,5372136000
2001-08-30,5166810000
2001-08-31,5298084000
2001-09-04,5341842000
2001-09-05,5311548000
2001-09-06,5180274000
2001-09-07,4937922000
2001-09-10,4897530000
2001-09-17,4476780000
2001-09-18,4608054000
2001-09-19,4513806000
2001-09-20,4194036000
2001-09-21,4049298000
2001-09-24,4385898000
2001-09-25,4412826000
2001-09-26,4257990000
2001-09-27,4116618000
2001-09-28,4412826000
2001-10-01,4162832004
2001-10-02,4339556004
2001-10-03,4539188671
2001-10-04,4571915337
2001-10-05,4624278004
2001-10-08,4558824671
2001-10-09,4601369338
2001-10-10,4748639338
2001-10-11,4964635338
2001-10-12,4958090005
2001-10-15,5056270005
2001-10-16,5141359338
2001-10-17,4971180671
2001-10-18,4859910004
2001-10-19,4823910671
2001-10-22,4918818005
2001-10-23,4909000005
2001-10-24,4958090005
2001-10-25,4987544005
2001-10-26,5115178005
2001-10-29,4918818005
2001-10-30,4742094004
2001-10-31,4735548671
2001-11-01,4889364004
2001-11-02,4977726005
2001-11-05,5052997338
2001-11-06,5154450005
2001-11-07,5164268005
2001-11-08,5118450671
2001-11-09,5102087338
2001-11-12,5066088005
2001-11-13,5232994005
2001-11-14,5367173338
2001-11-15,5458808005
2001-11-16,5331174005
2001-11-19,5334446672
2001-11-20,5288629338
2001-11-21,5229721338
2001-11-23,5272266005
2001-11-26,5275538672
2001-11-27,5304992672
2001-11-28,5282084005
2001-11-29,5275538672
2001-11-30,5318083338
2001-12-03,5278811338
2001-12-04,5452262672
2001-12-05,5648622672
2001-12-06,5707530672
2001-12-07,5743530005
2001-12-10,5638804672
2001-12-11,5704258005
2001-12-12,5583169339
2001-12-13,5534079338
2001-12-14,5445717338
2001-12-17,5520988672
2001-12-18,5586442005
2001-12-19,5586442005
2001-12-20,5331174005
2001-12-21,5462080672
2001-12-24,5484989338
2001-12-26,5501352672
2001-12-27,5484989338
2001-12-28,5527534005
2001-12-31,5308265338
2002-01-02,5493312000
2002-01-03,5520239999
2002-01-04,5624586000
2002-01-07,5601024000
2002-01-08,5530338000
2002-01-09,5570730000
2002-01-10,5537070000
2002-01-11,5533704000
2002-01-14,5429358000
2002-01-15,5395698000
2002-01-16,5170176000
2002-01-17,5234130000
2002-01-18,5227398000
2002-01-22,5234130000
2002-01-23,5287986000
2002-01-24,5328378000
2002-01-25,5402430000
2002-01-28,5489946000
2002-01-29,5405796000
2002-01-30,5530338000
2002-01-31,5776056000
2002-02-01,5705370000
2002-02-04,5550533999
2002-02-05,5483214000
2002-02-06,5601024000
2002-02-07,5627952000
2002-02-08,5617854000
2002-02-11,5856839999
2002-02-12,5836644000
2002-02-13,5910696000
2002-02-14,5903964000
2002-02-15,5873670000
2002-02-19,5762592000
2002-02-20,5745762000
2002-02-21,5984748000
2002-02-22,6132852000
2002-02-25,6284322000
2002-02-26,6469452000
2002-02-27,6398766000
2002-02-28,6526674000
2002-03-01,6587262000
2002-03-04,6960888000
2002-03-05,6725268000
2002-03-06,6917130000
2002-03-07,6795954000
2002-03-08,6843077999
2002-03-11,6910398000
2002-03-12,6997914000
2002-03-13,6880104000
2002-03-14,6890202000
2002-03-15,6940692000
2002-03-18,6910398000
2002-03-19,7018110000
2002-03-20,6970986000
2002-03-21,6688242000
2002-03-22,6560333999
2002-03-25,6395400000
2002-03-26,6479550000
2002-03-27,6530039999
2002-03-28,6530039999
2002-04-01,6370162500
2002-04-02,6373518749
2002-04-03,6105018750
2002-04-04,6282900000
2002-04-05,6433931250
2002-04-08,6457424999
2002-04-09,6581606250
2002-04-10,6652087500
2002-04-11,6638662500
2002-04-12,6554756250
2002-04-15,6480918750
2002-04-16,6662156250
2002-04-17,6501056250
2002-04-18,6507768750
2002-04-19,6608456250
2002-04-22,6497700000
2002-04-23,6470850000
2002-04-24,6467493750
2002-04-25,6454068750
2002-04-26,6464137500
2002-04-29,6339956250
2002-04-30,6504412500
2002-05-01,6353381250
2002-05-02,6504412500
2002-05-03,6524550000
2002-05-06,6393656250
2002-05-07,6484275000
2002-05-08,6719212500
2002-05-09,6672225000
2002-05-10,6749418750
2002-05-13,6789693750
2002-05-14,7034700000
2002-05-15,7024631250
2002-05-16,6927300000
2002-05-17,6900450000
2002-05-20,6829968750
2002-05-21,6719212500
2002-05-22,6907162499
2002-05-23,7051481250
2002-05-24,6900450000
2002-05-28,6809831250
2002-05-29,6611812500
2002-05-30,6497700000
2002-05-31,6554756250
2002-06-03,6490987500
2002-06-04,6400368750
2002-06-05,6618525000
2002-06-06,6450712500
2002-06-07,6397012500
2002-06-10,6420506250
2002-06-11,6356737500
2002-06-12,6339956250
2002-06-13,6235912499
2002-06-14,6108375000
2002-06-17,6276187500
2002-06-18,6249337500
2002-06-19,6121799999
2002-06-20,6074812500
2002-06-21,5987550000
2002-06-24,5980837500
2002-06-25,5886862500
2002-06-26,5870081249
2002-06-27,5900287499
2002-06-28,5943918750
2002-07-01,5840784000
2002-07-02,5806944000
2002-07-03,5722344000
2002-07-05,5928768000
2002-07-08,5901696000
2002-07-09,5898312000
2002-07-10,5624208000
2002-07-11,5529456000
2002-07-12,5529456000
2002-07-15,5468544000
2002-07-16,5018472000
2002-07-17,5096304000
2002-07-18,4788360000
2002-07-19,4595472000
2002-07-22,4456728000
2002-07-23,4456728000
2002-07-24,4713912000
2002-07-25,4832352000
2002-07-26,4859424000
2002-07-29,5119992000
2002-07-30,5011704000
2002-07-31,5038776000
2002-08-01,4893264000
2002-08-02,4609008000
2002-08-05,4463496000
2002-08-06,4625928000
2002-08-07,4653000000
2002-08-08,4737600000
2002-08-09,4771440000
2002-08-12,4754520000
2002-08-13,4740984000
2002-08-14,4869576000
2002-08-15,4869576000
2002-08-16,4889880000
2002-08-19,5116608000
2002-08-20,5035392000
2002-08-21,5079384000
2002-08-22,5119992000
2002-08-23,4967712000
2002-08-26,4974480000
2002-08-27,5028624000
2002-08-28,4906800000
2002-08-29,4944024000
2002-08-30,4930488000
2002-09-03,4818816000
2002-09-04,4906800000
2002-09-05,4900032000
2002-09-06,5025240000
2002-09-09,5079384000
2002-09-10,5103072000
2002-09-11,5099688000
2002-09-12,5025240000
2002-09-13,4923720000
2002-09-16,4835736000
2002-09-17,4717296000
2002-09-18,4700376000
2002-09-19,4510872000
2002-09-20,4588704000
2002-09-23,4673304000
2002-09-24,4426272000
2002-09-25,4514256000
2002-09-26,4744368000
2002-09-27,4551480000
2002-09-30,4521024000
2002-10-01,4653239564
2002-10-02,4575797806
2002-10-03,4478153850
2002-10-04,4299701102
2002-10-07,4195323080
2002-10-08,4185221981
2002-10-09,3895657146
2002-10-10,4121248355
2002-10-11,4404079124
2002-10-14,4255929674
2002-10-15,4639771432
2002-10-16,4431015388
2002-10-17,4855261542
2002-10-18,5023613191
2002-10-21,5350215389
2002-10-22,5047182422
2002-10-23,5262672532
2002-10-24,5077485718
2002-10-25,5165028575
2002-10-28,5121257147
2002-10-29,5070751652
2002-10-30,5097687916
2002-10-31,5094320883
2002-11-01,5144826378
2002-11-04,5242470334
2002-11-05,5259305499
2002-11-06,5353582422
2002-11-07,5185230773
2002-11-08,5242470334
2002-11-11,5016879125
2002-11-12,5154927477
2002-11-13,5208800004
2002-11-14,5353582422
2002-11-15,5427657147
2002-11-18,5444492312
2002-11-19,5397353850
2002-11-20,5511832971
2002-11-21,5781195609
2002-11-22,5744158246
2002-11-25,5811498906
2002-11-26,5811498906
2002-11-27,5946180225
2002-11-29,6033723082
2002-12-02,6040457148
2002-12-03,5811498906
2002-12-04,5649881323
2002-12-05,5542136268
2002-12-06,5558971433
2002-12-09,5380518686
2002-12-10,5360316488
2002-12-11,5447859345
2002-12-12,5545503301
2002-12-13,5424290114
2002-12-16,5569072532
2002-12-17,5525301103
2002-12-18,5518567037
2002-12-19,5494997807
2002-12-20,5649881323
2002-12-23,5616210993
2002-12-24,5599375829
2002-12-26,5596008796
2002-12-27,5491630774
2002-12-30,5558971433
