,CTRA
2000-01-03,1097506692
2000-01-04,1070738236
2000-01-05,1088583874
2000-01-06,1106429511
2000-01-07,1159966423
2000-01-10,1115352330
2000-01-11,1070738236
2000-01-12,1052892599
2000-01-13,1061815418
2000-01-14,1079661055
2000-01-18,1133197967
2000-01-19,1133197967
2000-01-20,1133197967
2000-01-21,1142120785
2000-01-24,1097506692
2000-01-25,1097506692
2000-01-26,1168889241
2000-01-27,1124275148
2000-01-28,1115352330
2000-01-31,1097506692
2000-02-01,1142120785
2000-02-02,1142120785
2000-02-03,1168889241
2000-02-04,1168889241
2000-02-07,1168889241
2000-02-08,1142120785
2000-02-09,1133197967
2000-02-10,1159966423
2000-02-11,1133197967
2000-02-14,1124275148
2000-02-15,1133197967
2000-02-16,1133197967
2000-02-17,1106429511
2000-02-18,1079661055
2000-02-22,1061815418
2000-02-23,1052892599
2000-02-24,1070738236
2000-02-25,1097506692
2000-02-28,1124275148
2000-02-29,1177812060
2000-03-01,1204580516
2000-03-02,1249194609
2000-03-03,1258117428
2000-03-06,1275963065
2000-03-07,1329499977
2000-03-08,1302731521
2000-03-09,1284885884
2000-03-10,1284885884
2000-03-13,1293808702
2000-03-14,1302731521
2000-03-15,1267040246
2000-03-16,1275963065
2000-03-17,1284885884
2000-03-20,1249194609
2000-03-21,1293808702
2000-03-22,1311654340
2000-03-23,1284885884
2000-03-24,1284885884
2000-03-27,1258117428
2000-03-28,1240271790
2000-03-29,1302731521
2000-03-30,1338422796
2000-03-31,1450360677
2000-04-03,1450360677
2000-04-04,1344705264
2000-04-05,1383125414
2000-04-06,1402335489
2000-04-07,1373520376
2000-04-10,1354310301
2000-04-11,1373520376
2000-04-12,1431150602
2000-04-13,1440755640
2000-04-14,1402335489
2000-04-17,1402335489
2000-04-18,1431150602
2000-04-19,1402335489
2000-04-20,1431150602
2000-04-24,1440755640
2000-04-25,1498385865
2000-04-26,1469570752
2000-04-27,1507990903
2000-04-28,1488780828
2000-05-01,1536806016
2000-05-02,1507990903
2000-05-03,1479175790
2000-05-04,1450360677
2000-05-05,1469570752
2000-05-08,1507990903
2000-05-09,1594436241
2000-05-10,1575226166
2000-05-11,1680881580
2000-05-12,1661671504
2000-05-15,1728906768
2000-05-16,1738511805
2000-05-17,1757721880
2000-05-18,1815352106
2000-05-19,1776931956
2000-05-22,1757721880
2000-05-23,1767326918
2000-05-24,1776931956
2000-05-25,1776931956
2000-05-26,1844167219
2000-05-30,1921007520
2000-05-31,1997847820
2000-06-01,1949822632
2000-06-02,1700091655
2000-06-05,1767326918
2000-06-06,1815352106
2000-06-07,1776931956
2000-06-08,1815352106
2000-06-09,1815352106
2000-06-12,1853772256
2000-06-13,1863377294
2000-06-14,1872982332
2000-06-15,1853772256
2000-06-16,1892192407
2000-06-19,1844167219
2000-06-20,1796142031
2000-06-21,1776931956
2000-06-22,1719301730
2000-06-23,1738511805
2000-06-26,1690486617
2000-06-27,1652066467
2000-06-28,1671276542
2000-06-29,1709696692
2000-06-30,1845428011
2000-07-03,1845428011
2000-07-05,1814149571
2000-07-06,1730740395
2000-07-07,1741166542
2000-07-10,1730740395
2000-07-11,1730740395
2000-07-12,1730740395
2000-07-13,1668183513
2000-07-14,1772444983
2000-07-17,1720314248
2000-07-18,1720314248
2000-07-19,1730740395
2000-07-20,1678609660
2000-07-21,1595200484
2000-07-24,1574348190
2000-07-25,1543069750
2000-07-26,1511791309
2000-07-27,1553495897
2000-07-28,1616052778
2000-07-31,1605626631
2000-08-01,1595200484
2000-08-02,1563922044
2000-08-03,1532643603
2000-08-04,1532643603
2000-08-07,1543069750
2000-08-08,1522217456
2000-08-09,1522217456
2000-08-10,1532643603
2000-08-11,1532643603
2000-08-14,1616052778
2000-08-15,1626478925
2000-08-16,1668183513
2000-08-17,1720314248
2000-08-18,1647331219
2000-08-21,1678609660
2000-08-22,1709888101
2000-08-23,1782871130
2000-08-24,1709888101
2000-08-25,1741166542
2000-08-28,1699461954
2000-08-29,1730740395
2000-08-30,1709888101
2000-08-31,1741166542
2000-09-01,1803723424
2000-09-05,1741166542
2000-09-06,1793297277
2000-09-07,1782871130
2000-09-08,1782871130
2000-09-11,1793297277
2000-09-12,1782871130
2000-09-13,1709888101
2000-09-14,1730740395
2000-09-15,1824575718
2000-09-18,1772444983
2000-09-19,1751592689
2000-09-20,1803723424
2000-09-21,1720314248
2000-09-22,1626478925
2000-09-25,1668183513
2000-09-26,1709888101
2000-09-27,1741166542
