,CPT
2000-01-03,1031970520
2000-01-04,1005795960
2000-01-05,1008105480
2000-01-06,1027351480
2000-01-07,1046597480
2000-01-10,1034664960
2000-01-11,1029661000
2000-01-12,1025041960
2000-01-13,1034664960
2000-01-14,1034664960
2000-01-18,1034664960
2000-01-19,1048907000
2000-01-20,1048907000
2000-01-21,1034664960
2000-01-24,1027351480
2000-01-25,1022347520
2000-01-26,1034664960
2000-01-27,1025041960
2000-01-28,1015418960
2000-01-31,996172960
2000-02-01,1020038000
2000-02-02,1003101520
2000-02-03,1008105480
2000-02-04,1012724520
2000-02-07,1000792000
2000-02-08,1020038000
2000-02-09,1010415000
2000-02-10,1012724520
2000-02-11,1010415000
2000-02-14,1010415000
2000-02-15,1015418960
2000-02-16,1020038000
2000-02-17,1025041960
2000-02-18,1020038000
2000-02-22,1022347520
2000-02-23,1022347520
2000-02-24,1017728480
2000-02-25,1015418960
2000-02-28,1010415000
2000-02-29,1031970520
2000-03-01,1015418960
2000-03-02,1017728480
2000-03-03,1022347520
2000-03-06,1029661000
2000-03-07,1010415000
2000-03-08,1022347520
2000-03-09,1025041960
2000-03-10,1022347520
2000-03-13,1020038000
2000-03-14,1020038000
2000-03-15,1025041960
2000-03-16,1046597480
2000-03-17,1046597480
2000-03-20,1053910960
2000-03-21,1044287960
2000-03-22,1053910960
2000-03-23,1053910960
2000-03-24,1048907000
2000-03-27,1044287960
2000-03-28,1034664960
2000-03-29,1027351480
2000-03-30,1027351480
2000-03-31,1026304620
2000-04-03,1026304620
2000-04-04,1031235130
2000-04-05,1045268120
2000-04-06,1050198630
2000-04-07,1059680380
2000-04-10,1059680380
2000-04-11,1064231620
2000-04-12,1078643880
2000-04-13,1092676870
2000-04-14,1090401250
2000-04-17,1090401250
2000-04-18,1092676870
2000-04-19,1090401250
2000-04-20,1090401250
2000-04-24,1083195120
2000-04-25,1095331760
2000-04-26,1095331760
2000-04-27,1097607380
2000-04-28,1076368260
2000-05-01,1080919500
2000-05-02,1085850010
2000-05-03,1097607380
2000-05-04,1092676870
2000-05-05,1097607380
2000-05-08,1095331760
2000-05-09,1088125630
2000-05-10,1085850010
2000-05-11,1095331760
2000-05-12,1097607380
2000-05-15,1099883000
2000-05-16,1092676870
2000-05-17,1076368260
2000-05-18,1073713370
2000-05-19,1073713370
2000-05-22,1078643880
2000-05-23,1080919500
2000-05-24,1092676870
2000-05-25,1076368260
2000-05-26,1083195120
2000-05-30,1083195120
2000-05-31,1064231620
2000-06-01,1061956000
2000-06-02,1071437750
2000-06-05,1066886510
2000-06-06,1085850010
2000-06-07,1090401250
2000-06-08,1097607380
2000-06-09,1099883000
2000-06-12,1097607380
2000-06-13,1123777010
2000-06-14,1140085620
2000-06-15,1152222260
2000-06-16,1126052630
2000-06-19,1166255250
2000-06-20,1156773500
2000-06-21,1161704010
2000-06-22,1145016130
2000-06-23,1147291750
2000-06-26,1147291750
2000-06-27,1147291750
2000-06-28,1147291750
2000-06-29,1135534380
2000-06-30,1117909000
2000-07-03,1124758000
2000-07-05,1143783000
2000-07-06,1155959000
2000-07-07,1146446500
2000-07-10,1153295500
2000-07-11,1146446500
2000-07-12,1139217000
2000-07-13,1139217000
2000-07-14,1136934000
2000-07-17,1134270500
2000-07-18,1131987500
2000-07-19,1131987500
2000-07-20,1136934000
2000-07-21,1134270500
2000-07-24,1143783000
2000-07-25,1148729500
2000-07-26,1148729500
2000-07-27,1172320500
2000-07-28,1177267000
2000-07-31,1189062500
2000-08-01,1217600000
2000-08-02,1203521500
2000-08-03,1194009000
2000-08-04,1184496500
2000-08-07,1184496500
2000-08-08,1186779500
2000-08-09,1191345500
2000-08-10,1181833000
2000-08-11,1174984000
2000-08-14,1184496500
2000-08-15,1177267000
2000-08-16,1186779500
2000-08-17,1186779500
2000-08-18,1174984000
2000-08-21,1172320500
2000-08-22,1167754500
2000-08-23,1160525000
2000-08-24,1143783000
2000-08-25,1136934000
2000-08-28,1127421500
2000-08-29,1120192000
2000-08-30,1134270500
2000-08-31,1139217000
2000-09-01,1139217000
2000-09-05,1139217000
2000-09-06,1136934000
2000-09-07,1148729500
2000-09-08,1160525000
2000-09-11,1165471500
2000-09-12,1167754500
2000-09-13,1167754500
2000-09-14,1172320500
2000-09-15,1160525000
2000-09-18,1134270500
2000-09-19,1141500000
2000-09-20,1153295500
2000-09-21,1146446500
2000-09-22,1155959000
2000-09-25,1151012500
2000-09-26,1153295500
2000-09-27,1151012500
2000-09-28,1165471500
2000-09-29,1179550000
2000-10-02,1148743750
2000-10-03,1120262500
2000-10-04,1120262500
2000-10-05,1132034750
2000-10-06,1139250000
2000-10-09,1134693000
2000-10-10,1139250000
2000-10-11,1117984000
2000-10-12,1098996500
2000-10-13,1115705500
2000-10-16,1122541000
2000-10-17,1117984000
2000-10-18,1117984000
2000-10-19,1134693000
2000-10-20,1134693000
2000-10-23,1120262500
2000-10-24,1098996500
2000-10-25,1070515250
2000-10-26,1087224250
2000-10-27,1091781250
2000-10-30,1072793750
2000-10-31,1087224250
2000-11-01,1082287500
2000-11-02,1089502750
2000-11-03,1089502750
2000-11-06,1110768750
2000-11-07,1098996500
2000-11-08,1103553500
2000-11-09,1110768750
2000-11-10,1106211750
2000-11-13,1108490250
2000-11-14,1108490250
2000-11-15,1125199250
2000-11-16,1115705500
2000-11-17,1141528500
2000-11-20,1148743750
2000-11-21,1136971500
2000-11-22,1134693000
2000-11-24,1141528500
2000-11-27,1136971500
2000-11-28,1139250000
2000-11-29,1160516000
2000-11-30,1179503500
2000-12-01,1179503500
2000-12-04,1182161750
2000-12-05,1205706250
2000-12-06,1201149250
2000-12-07,1203427750
2000-12-08,1220136750
2000-12-11,1229630500
2000-12-12,1222415250
2000-12-13,1224693750
2000-12-14,1205706250
2000-12-15,1207984750
2000-12-18,1215200000
2000-12-19,1231909000
2000-12-20,1248618000
2000-12-21,1239124250
2000-12-22,1243681250
2000-12-26,1248618000
2000-12-27,1262668750
2000-12-28,1283934750
2000-12-29,1272162500
2001-01-02,1248618000
2001-01-03,1260390250
2001-01-04,1255453500
2001-01-05,1231909000
2001-01-08,1224693750
2001-01-09,1239124250
2001-01-10,1245959750
2001-01-11,1234187500
2001-01-12,1239124250
2001-01-16,1234187500
2001-01-17,1229630500
2001-01-18,1236466000
2001-01-19,1234187500
2001-01-22,1236466000
2001-01-23,1253175000
2001-01-24,1248618000
2001-01-25,1248618000
2001-01-26,1248618000
2001-01-29,1252795250
2001-01-30,1260390250
2001-01-31,1262668750
2001-02-01,1264187750
2001-02-02,1262668750
2001-02-05,1254694000
2001-02-06,1245200250
2001-02-07,1247478750
2001-02-08,1219757000
2001-02-09,1201908750
2001-02-12,1209503750
2001-02-13,1205706250
2001-02-14,1209503750
2001-02-15,1223174750
2001-02-16,1213301250
2001-02-20,1209503750
2001-02-21,1192415000
2001-02-22,1179883250
2001-02-23,1190516250
2001-02-26,1211402500
2001-02-27,1204187250
2001-02-28,1215959500
2001-03-01,1239883750
2001-03-02,1237985000
2001-03-05,1226592500
2001-03-06,1230390000
2001-03-07,1236466000
2001-03-08,1228491250
2001-03-09,1228491250
2001-03-12,1220896250
2001-03-13,1225453250
2001-03-14,1225833000
2001-03-15,1220896250
2001-03-16,1222795000
2001-03-19,1243681250
2001-03-20,1247478750
2001-03-21,1239883750
2001-03-22,1249377500
2001-03-23,1244440750
2001-03-26,1244061000
2001-03-27,1241023000
2001-03-28,1222795000
2001-03-29,1237985000
2001-03-30,1262668750
2001-04-02,1313301000
2001-04-03,1302157840
2001-04-04,1302157840
2001-04-05,1315290850
2001-04-06,1304147690
2001-04-09,1305341600
