,AMAT
2000-01-03,50487552960
2000-01-04,47981531520
2000-01-05,46193796480
2000-01-06,46257644160
2000-01-07,46656692160
2000-01-10,50423705280
2000-01-11,48204998400
2000-01-12,50711019840
2000-01-13,49689456960
2000-01-14,54126870719
2000-01-18,53919365760
2000-01-19,56808473280
2000-01-20,55866720000
2000-01-21,56361539520
2000-01-24,56074224960
2000-01-25,57638493120
2000-01-26,53600127360
2000-01-27,54078984960
2000-01-28,51780468480
2000-01-31,55248844040
2000-02-01,56569276920
2000-02-02,57889709800
2000-02-03,59789844920
2000-02-04,58517720560
2000-02-07,61851008439
2000-02-08,64862239520
2000-02-09,65908924120
2000-02-10,70353307960
2000-02-11,66424215000
2000-02-14,64846136680
2000-02-15,67036122920
2000-02-16,69789708560
2000-02-17,75828273560
2000-02-18,71561020960
2000-02-22,71979694800
2000-02-23,72865351000
2000-02-24,73879829920
2000-02-25,69371034720
2000-02-28,71206758480
2000-02-29,73638287320
2000-03-01,74330709440
2000-03-02,72672116920
2000-03-03,76794443960
2000-03-06,74073064000
2000-03-07,74121372520
2000-03-08,72205134560
2000-03-09,76617312720
2000-03-10,77728408680
2000-03-13,75651142320
2000-03-14,71963591960
2000-03-15,68920155200
2000-03-16,70804187480
2000-03-17,77180912120
2000-03-20,75683348000
2000-03-21,78903916000
2000-03-22,84346675920
2000-03-23,82478746480
2000-03-24,86005268440
2000-03-27,87406215520
2000-03-28,82172792520
2000-03-29,77953848440
2000-03-30,74878206000
2000-03-31,75892684920
2000-04-03,71866974920
2000-04-04,79000533040
2000-04-05,83879693560
2000-04-06,85892548560
2000-04-07,92494712960
2000-04-10,83235579960
2000-04-11,84233956040
2000-04-12,78549653520
2000-04-13,71657638000
2000-04-14,64669005439
2000-04-17,77792820040
2000-04-18,81319342000
2000-04-19,73670493000
2000-04-20,74974823040
2000-04-24,73477258920
2000-04-25,76746135440
2000-04-26,72817042480
2000-04-27,80771845440
2000-04-28,81979558440
2000-05-01,80885939300
2000-05-02,77794241400
2000-05-03,76483102500
2000-05-04,79121567200
2000-05-05,82456068600
2000-05-08,77438129600
2000-05-09,73342843900
2000-05-10,68486773900
2000-05-11,69004754700
2000-05-12,68341091800
2000-05-15,72031705000
2000-05-16,75220524300
2000-05-17,72533498900
2000-05-18,68794325000
2000-05-19,64893282100
2000-05-22,64197245399
2000-05-23,58175718600
2000-05-24,63485021800
2000-05-25,62060574600
2000-05-26,60150520399
2000-05-30,68745764300
2000-05-31,67580307500
2000-06-01,71028117200
2000-06-02,75722318200
2000-06-05,75770878900
2000-06-06,72290695400
2000-06-07,75722318200
2000-06-08,75010094600
2000-06-09,76790653600
2000-06-12,73698955700
2000-06-13,74556861400
2000-06-14,69652230700
2000-06-15,71578471800
2000-06-16,75317645700
2000-06-19,78101792500
2000-06-20,77842802100
2000-06-21,79267249300
2000-06-22,75981308600
2000-06-23,73456152200
2000-06-26,72436377500
2000-06-27,71319481400
2000-06-28,73294283200
2000-06-29,72080265700
2000-06-30,73342843900
2000-07-03,74912973200
2000-07-05,67531746800
2000-07-06,70154024600
2000-07-07,72484938200
2000-07-10,71724153900
2000-07-11,70413015000
2000-07-12,72031705000
2000-07-13,71028117200
2000-07-14,71772714600
2000-07-17,76078430000
2000-07-18,71934583600
2000-07-19,70154024600
2000-07-20,67321317100
2000-07-21,63226031400
2000-07-24,65152272500
2000-07-25,68389652500
2000-07-26,66269168600
2000-07-27,60150520399
2000-07-28,59891530000
2000-07-31,61203290400
2000-08-01,60138604800
2000-08-02,58525444800
2000-08-03,55654020000
2000-08-04,54653860800
2000-08-07,56412205200
2000-08-08,56912284800
2000-08-09,58170549600
2000-08-10,55863730800
2000-08-11,55799204400
2000-08-14,60348315599
2000-08-15,62768055599
2000-08-16,65284585200
2000-08-17,67752720000
2000-08-18,67704325200
2000-08-21,65687875200
2000-08-22,66139560000
2000-08-23,68914195200
2000-08-24,69010984800
2000-08-25,68301194400
2000-08-28,67091324400
2000-08-29,68607694800
2000-08-30,68059220400
2000-08-31,69623985600
2000-09-01,68414115599
2000-09-05,68107615200
2000-09-06,64219899600
2000-09-07,64832900400
2000-09-08,60896790000
2000-09-11,60638684400
2000-09-12,57815654400
2000-09-13,59686920000
2000-09-14,60445105200
2000-09-15,58977129600
2000-09-18,58283470800
2000-09-19,62058265200
2000-09-20,62913240000
2000-09-21,59283630000
2000-09-22,56460600000
2000-09-25,54395755200
2000-09-26,52782595200
2000-09-27,51524330400
2000-09-28,51524330400
2000-09-29,47846325600
2000-10-02,45716954400
2000-10-03,41635659600
2000-10-04,43700504400
2000-10-05,42845529600
2000-10-06,43700504400
2000-10-09,44974900800
2000-10-10,39570814800
2000-10-11,41587264800
2000-10-12,38764234800
2000-10-13,43152030000
2000-10-16,39328840800
2000-10-17,35892810000
2000-10-18,33924754800
2000-10-19,40732290000
2000-10-20,40732290000
2000-10-23,43103635200
2000-10-24,39877315200
2000-10-25,39328840800
2000-10-26,42797134800
2000-10-27,38812629600
2000-10-30,40213883940
2000-10-31,43050413440
