,BIIB
2000-01-03,14021069398
2000-01-04,13071923101
2000-01-05,13983480000
2000-01-06,14603715000
2000-01-07,16285868101
2000-01-10,17968019398
2000-01-11,16558394398
2000-01-12,15881774398
2000-01-13,17460554398
2000-01-14,17366580000
2000-01-18,16097917500
2000-01-19,18193559398
2000-01-20,18447291898
2000-01-21,22215690000
2000-01-24,20646306898
2000-01-25,20430165601
2000-01-26,21557865601
2000-01-27,19584390601
2000-01-28,19283670000
2000-01-31,18973552500
2000-02-01,19988482500
2000-02-02,15938159398
2000-02-03,15505875000
2000-02-04,16464420000
2000-02-07,17263206898
2000-02-08,19528005601
2000-02-09,18494280000
2000-02-10,17620312500
2000-02-11,17864648101
2000-02-14,17864648101
2000-02-15,17498145601
2000-02-16,18325125000
2000-02-17,19791135000
2000-02-18,19828724398
2000-02-22,18776205000
2000-02-23,20890642500
2000-02-24,20862450000
2000-02-25,20665102500
2000-02-28,20073060000
2000-02-29,21181964398
2000-03-01,22074727500
2000-03-02,20909438101
2000-03-03,22554000000
2000-03-06,25758548101
2000-03-07,23841458101
2000-03-08,22948695000
2000-03-09,21482685000
2000-03-10,19443428101
2000-03-13,17404169398
2000-03-14,15787800000
2000-03-15,16323457500
2000-03-16,18024404398
2000-03-17,17883441898
2000-03-20,16013340000
2000-03-21,17380676250
2000-03-22,19734750000
2000-03-23,18964155601
2000-03-24,17892840601
2000-03-27,17657901898
2000-03-28,17065859398
2000-03-29,14528534398
2000-03-30,13043730601
2000-03-31,14604174750
2000-04-03,13991022375
2000-04-04,14344050094
2000-04-05,16350730594
2000-04-06,15914091187
2000-04-07,15059393342
2000-04-10,14399791219
2000-04-11,13145615907
2000-04-12,11956471312
2000-04-13,11519831905
2000-04-14,10702296000
2000-04-17,9615344062
2000-04-18,10739456155
2000-04-19,11501252719
2000-04-20,9383089969
2000-04-24,8528392125
2000-04-25,8881419844
2000-04-26,8946450562
2000-04-27,8621293405
2000-04-28,9513151405
2000-05-01,10720876969
2000-05-02,9949790812
2000-05-03,9652504217
2000-05-04,10646554875
2000-05-05,11176095562
2000-05-08,11101773467
2000-05-09,10860229782
2000-05-10,10748747532
2000-05-11,10943841469
2000-05-12,11668476094
2000-05-15,11166805969
2000-05-16,11138935407
2000-05-17,10646554875
2000-05-18,10665135844
2000-05-19,10386430219
2000-05-22,9206575217
2000-05-23,9383089969
2000-05-24,9503861812
2000-05-25,8918580000
2000-05-26,9383089969
2000-05-30,9717536719
2000-05-31,9485280842
2000-06-01,11166805969
2000-06-02,12848329312
2000-06-05,13192065655
2000-06-06,14297598562
2000-06-07,14139664780
2000-06-08,13879540125
2000-06-09,14901461344
2000-06-12,14111794217
2000-06-13,15375260907
2000-06-14,14501982092
2000-06-15,14548433625
2000-06-16,15542484282
2000-06-19,17874320155
2000-06-20,17381941407
2000-06-21,18227347875
2000-06-22,16127766094
2000-06-23,16870979905
2000-06-26,17530583812
2000-06-27,17140395937
2000-06-28,18821919280
2000-06-29,18441022782
2000-06-30,17370931717
2000-07-03,17620806592
2000-07-05,19286639092
2000-07-06,19712351250
2000-07-07,19268129250
2000-07-10,19175583592
2000-07-11,19406948625
2000-07-12,18509250592
2000-07-13,16935963750
2000-07-14,17472731407
2000-07-17,18777633532
2000-07-18,18398195092
2000-07-19,17694842407
2000-07-20,17787389842
2000-07-21,17667078532
2000-07-24,17491241250
2000-07-25,17093292967
2000-07-26,18592542217
2000-07-27,18888689032
2000-07-28,17176584592
2000-07-31,18185338125
2000-08-01,19064528092
2000-08-02,19906698375
2000-08-03,20119555342
2000-08-04,20286138592
2000-08-07,21137562907
2000-08-08,20156573250
2000-08-09,19989990000
2000-08-10,20785888342
2000-08-11,20138063407
2000-08-14,19666077532
2000-08-15,19126996811
2000-08-16,18620306092
2000-08-17,19480986217
2000-08-18,19536513967
2000-08-21,19286639092
2000-08-22,18860925157
2000-08-23,18888689032
2000-08-24,20193591157
2000-08-25,20637813157
2000-08-28,20693340907
2000-08-29,20415702157
2000-08-30,20128809375
2000-08-31,20674832842
2000-09-01,22349919375
2000-09-05,20665577032
2000-09-06,19804896907
2000-09-07,20878434000
2000-09-08,21757623967
2000-09-11,20360174407
2000-09-12,20138063407
2000-09-13,20397194092
2000-09-14,20989489500
2000-09-15,21674332342
2000-09-18,20628559125
2000-09-19,21720604282
2000-09-20,22683085875
2000-09-21,24765376500
2000-09-22,25237362375
2000-09-25,24913449907
2000-09-26,25209598500
2000-09-27,25459473375
2000-09-28,25996241032
2000-09-29,25966164093
2000-10-02,7755171802
2000-10-03,7857051052
2000-10-04,7955843250
2000-10-05,7965105000
2000-10-06,7958930302
2000-10-09,8137991197
2000-10-10,8347923802
2000-10-11,8114064614
2000-10-12,7897185697
2000-10-13,8026850197
2000-10-16,8280004500
2000-10-17,8993159250
2000-10-18,9280273500
2000-10-19,9317320500
2000-10-20,9397589197
2000-10-23,9725609707
2000-10-24,9916246604
2000-10-25,9237051802
2000-10-26,9394501552
2000-10-27,9132085500
2000-10-30,9125910802
2000-10-31,9687790500
2000-11-01,10181750895
2000-11-02,10771415250
2000-11-03,10558395000
2000-11-06,10326851250
2000-11-07,10379334104
2000-11-08,10879468604
2000-11-09,10345374750
2000-11-10,9863763750
2000-11-13,8372622000
2000-11-14,8440541302
2000-11-15,8980810447
2000-11-16,8665910947
2000-11-17,8422017802
2000-11-20,7529802750
2000-11-21,7974366750
2000-11-22,8307789750
2000-11-24,8372622000
2000-11-27,9610608854
2000-11-28,9317320500
2000-11-29,9175307197
2000-11-30,8597991052
2000-12-01,8841884197
2000-12-04,8564031697
2000-12-05,9329669302
2000-12-06,9805105604
2000-12-07,10030475250
2000-12-08,10536783854
2000-12-11,10768327604
2000-12-12,10249669604
2000-12-13,10045911104
2000-12-14,10283630145
2000-12-15,10345374750
2000-12-18,11126449395
2000-12-19,9897723104
2000-12-20,9091951447
2000-12-21,9246313552
2000-12-22,9678528750
2000-12-26,9996515895
2000-12-27,9876113145
2000-12-28,9718663395
2000-12-29,9363629250
2001-01-02,8780139000
2001-01-03,9203092447
2001-01-04,8199735802
2001-01-05,7659467250
2001-01-08,7369265947
2001-01-09,7088325802
2001-01-10,7810742302
2001-01-11,8150340000
2001-01-12,8329400302
2001-01-16,8496111802
2001-01-17,8066984250
2001-01-18,8428192500
2001-01-19,8430507937
2001-01-22,8909803500
2001-01-23,9354367500
2001-01-24,9493293750
2001-01-25,9152924437
2001-01-26,9382152750
2001-01-29,9900810750
2001-01-30,9280273500
2001-01-31,8715306750
2001-02-01,8455977750
2001-02-02,8481447562
2001-02-05,8520810000
2001-02-06,8743092000
2001-02-07,8613427500
2001-02-08,8817186000
2001-02-09,8789400750
2001-02-12,9150609000
2001-02-13,8835709500
2001-02-14,8956112250
2001-02-15,8817186000
2001-02-16,8150340000
2001-02-20,8224434000
2001-02-21,7891011000
2001-02-22,7789131750
2001-02-23,8002152000
2001-02-26,8594904000
2001-02-27,8066984250
2001-02-28,8354098500
2001-03-01,8083192312
2001-03-02,8048460750
2001-03-05,8141078250
2001-03-06,8446716000
2001-03-07,8307789750
2001-03-08,8242957500
2001-03-09,7576111500
2001-03-12,6770339250
2001-03-13,7113024000
2001-03-14,7576111500
2001-03-15,7548326250
2001-03-16,7131547500
2001-03-19,7779870000
2001-03-20,7279735500
2001-03-21,6233157750
2001-03-22,5714499750
2001-03-23,5881211250
2001-03-26,5788593750
2001-03-27,5695976250
2001-03-28,5834902500
2001-03-29,6075708000
2001-03-30,5927520000
2001-04-02,5749039875
2001-04-03,5303233875
2001-04-04,5312521500
2001-04-05,6259859250
2001-04-06,6148407750
2001-04-09,6447840631
2001-04-10,7030360768
2001-04-11,6742072591
2001-04-12,7315676460
2001-04-16,7248805411
2001-04-17,7505886722
2001-04-18,8121099597
2001-04-19,7748108131
2001-04-20,7173018540
2001-04-23,6669257908
2001-04-24,6403260180
2001-04-25,6844608268
2001-04-26,6701949902
2001-04-27,7137353911
2001-04-30,7311218548
2001-05-01,7060080722
2001-05-02,6915937228
2001-05-03,6701949902
2001-05-04,7718387731
2001-05-07,7869961771
2001-05-08,8176082040
2001-05-09,8052742231
2001-05-10,7847671768
2001-05-11,7727304000
2001-05-14,7525205131
2001-05-15,7401865768
2001-05-16,7902654360
2001-05-17,8187969902
2001-05-18,8477743951
2001-05-21,9280195048
2001-05-22,8945840548
2001-05-23,8495576042
2001-05-24,8978532542
2001-05-25,8994878911
2001-05-29,8978532542
2001-05-30,8893829402
2001-05-31,9153882902
2001-06-01,9717084631
2001-06-04,10247593771
2001-06-05,11081251139
2001-06-06,10544797771
2001-06-07,10842001771
2001-06-08,10648819914
2001-06-11,10244622177
2001-06-12,10100478088
2001-06-13,10179237000
2001-06-14,10454150402
2001-06-15,10847946000
2001-06-18,10620585088
2001-06-19,10402140000
2001-06-20,10526965085
2001-06-21,10195583368
2001-06-22,9916211905
2001-06-25,9672503585
2001-06-26,9338149680
2001-06-27,9566996314
2001-06-28,9656158405
2001-06-29,10058869677
2001-07-02,9758089000
2001-07-03,10096468211
2001-07-05,9439002903
2001-07-06,9167409240
2001-07-09,9465717211
2001-07-10,9097655451
2001-07-11,9124369760
2001-07-12,7741169919
2001-07-13,8128525240
2001-07-16,7419116176
2001-07-17,7739686096
2001-07-18,7831701240
2001-07-19,7658058903
2001-07-20,7862867760
2001-07-23,8168596628
2001-07-24,8008311371
2001-07-25,7855447160
2001-07-26,8180469291
2001-07-27,8444643096
2001-07-30,8279905628
2001-07-31,8011279760
2001-08-01,7576432451
2001-08-02,7374592131
2001-08-03,7481448919
2001-08-06,7322648080
2001-08-07,7117839371
2001-08-08,6996141531
2001-08-09,7166815628
2001-08-10,7215791291
2001-08-13,7534877240
2001-08-14,7753043176
2001-08-15,7542297840
2001-08-16,7647670211
2001-08-17,7466607868
2001-08-20,7410211160
2001-08-21,7436925468
2001-08-22,7849510531
2001-08-23,8514396291
2001-08-24,9041258743
2001-08-27,8955180080
2001-08-28,8891362920
2001-08-29,8910656628
2001-08-30,8967052743
2001-08-31,8796379240
2001-09-04,8796379240
2001-09-05,8691006868
2001-09-06,8414960548
2001-09-07,8550015468
2001-09-10,8333334096
2001-09-17,8005343131
2001-09-18,7466607868
2001-09-19,7392401868
2001-09-20,7433957080
2001-09-21,6913031256
2001-09-24,6729000080
2001-09-25,6835856868
2001-09-26,6880380468
2001-09-27,7609083240
2001-09-28,7356782840
2001-10-01,7670855702
2001-10-02,7673829051
2001-10-03,7988988697
2001-10-04,7651530348
2001-10-05,7525169051
2001-10-08,7257581200
2001-10-09,7482058097
2001-10-10,7443406200
2001-10-11,7874520348
2001-10-12,7868573800
2001-10-15,7951823697
2001-10-16,8018720251
2001-10-17,7716940599
2001-10-18,7936957251
2001-10-19,8176300000
2001-10-22,8507811800
2001-10-23,8491459051
2001-10-24,8481052851
2001-10-25,8898787748
2001-10-26,9001362851
2001-10-29,8457267251
2001-10-30,8802158451
2001-10-31,8916626800
2001-11-01,9097992148
2001-11-02,9097992148
2001-11-05,9502346902
2001-11-06,9738716897
2001-11-07,9637628097
2001-11-08,9381932748
2001-11-09,9322468451
2001-11-12,9551405000
2001-11-13,10049415702
2001-11-14,9986978800
2001-11-15,10009278097
2001-11-16,10050902748
2001-11-19,10486476548
2001-11-20,10030090348
2001-11-21,9955760348
2001-11-23,9960220000
2001-11-26,10452284302
2001-11-27,10357141902
2001-11-28,9994412245
2001-11-29,10288758451
2001-11-30,10450798445
2001-12-03,10296191897
2001-12-04,10321463800
2001-12-05,10519181897
2001-12-06,10577159297
2001-12-07,10220375000
2001-12-10,9634654302
2001-12-11,10071715000
2001-12-12,10003331548
2001-12-13,10021171194
2001-12-14,10064281554
2001-12-17,10553373102
2001-12-18,10578646194
2001-12-19,10397280697
2001-12-20,10049415702
2001-12-21,10150504651
2001-12-24,10342276199
2001-12-26,10470123800
2001-12-27,10443365000
2001-12-28,10737712245
2001-12-31,10247133800
2002-01-02,10131179297
2002-01-03,9505320251
2002-01-04,9628707754
2002-01-07,9263004748
2002-01-08,9552891897
2002-01-09,9396798451
2002-01-10,9651006902
2002-01-11,9795207251
2002-01-14,9521673445
2002-01-15,9454775702
2002-01-16,9277870600
2002-01-17,9227326200
2002-01-18,9013255948
2002-01-22,9178268697
2002-01-23,9671819302
2002-01-24,9548432245
2002-01-25,9438423697
2002-01-28,9151509748
2002-01-29,8846756302
2002-01-30,8599980702
2002-01-31,8839323451
2002-02-01,8762020251
2002-02-04,8249143697
2002-02-05,8235764297
2002-02-06,7923577851
2002-02-07,7722887148
2002-02-08,8531597251
2002-02-11,8411183097
