,WTW
2021-01-06,26386100000
2021-01-08,26397800000
2021-01-11,26473200000
2021-01-14,26553800000
2021-01-21,27354600000
2021-02-03,27450800000
2021-02-09,29516500000
2021-02-10,29749200000
2021-02-12,29819400000
2021-02-16,29708900000
2021-02-25,29565900000
2021-03-02,29473600000
2021-03-04,28848300000
2021-03-08,29811600000
2021-03-11,29149900000
2021-03-16,28549300000
2021-03-19,28467400000
2021-03-22,28720900000
2021-03-31,29985800000
2021-04-07,30786600000
2021-04-14,31415800000
2021-04-20,31015400000
2021-04-21,30839900000
2021-04-22,30394000000
2021-04-27,30694300000
2021-04-28,31743400000
2021-04-29,31853900000
2021-05-06,34424000000
2021-05-10,35145500000
2021-05-11,34652800000
2021-05-12,34499400000
2021-05-17,34546200000
2021-05-18,34832200000
2021-05-19,33724600000
2021-05-20,34580000000
2021-05-26,33151300000
2021-05-27,33880600000
2021-06-01,33965099999
2021-06-03,33688200000
2021-06-07,33490600000
2021-06-09,32938100000
2021-06-10,32991400000
2021-06-11,33537400000
2021-06-15,33321600000
2021-06-17,30212000000
2021-06-18,29820700000
2021-06-21,29276000000
2021-06-22,30148300000
2021-06-25,30314700000
2021-06-28,30378400000
2021-07-01,29768040000
2021-07-02,30069900000
2021-07-07,29663550000
2021-07-08,29388780000
2021-07-12,28969530000
2021-07-14,28763130000
2021-07-15,28832790000
2021-07-19,28066530000
2021-07-20,28459980000
2021-07-21,29534550000
2021-07-26,27239640000
2021-07-27,26252790000
2021-07-28,26795880000
2021-07-29,26229570000
2021-08-03,27399600000
2021-08-04,27477000000
2021-08-10,27953010000
2021-08-11,28590270000
2021-08-12,28644450000
2021-08-13,28487070000
2021-08-17,27778860000
2021-08-20,28020090000
2021-08-31,28529640000
2021-09-01,28879230000
2021-09-07,29294610000
2021-09-09,30315000000
2021-09-10,30692970000
2021-09-16,30315000000
2021-09-17,29979600000
2021-09-20,29154000000
2021-09-23,30176970000
2021-09-27,30164070000
2021-09-30,30183420000
2021-10-01,29246348781
2021-10-05,30570247236
2021-10-06,30003759377
2021-10-07,30370532004
2021-10-08,30396909488
2021-10-12,30521260481
2021-10-13,30203474609
2021-10-14,31135479024
2021-10-15,30978470194
2021-10-18,30827741717
2021-10-20,30768706397
2021-10-21,30437103748
2021-10-22,31139247236
2021-10-25,31186977920
2021-10-27,30665708604
2021-10-28,30846582777
2021-11-08,29158423836
2021-11-09,29343066221
2021-11-10,29560366441
2021-11-11,28826821188
2021-11-12,28949916110
2021-11-15,28938611474
2021-11-16,28939867545
2021-11-18,29034072843
2021-11-22,29674668870
2021-11-23,29310408384
2021-11-24,29642011033
2021-11-26,28804211916
2021-11-29,29032816772
2021-12-01,28663532004
2021-12-13,29399589399
2021-12-14,28977549664
2021-12-20,29251373064
2021-12-21,29760081673
2021-12-22,29511379686
2021-12-30,29850518759
2021-12-31,29788971298
2022-01-04,27751240000
2022-01-07,27429100000
2022-01-11,27473940000
2022-01-14,26548820000
2022-01-24,26473300000
2022-01-25,27047960000
2022-01-31,27268620000
2022-02-01,27607280000
2022-02-02,27912900000
2022-02-08,26748240000
2022-02-09,27033800000
2022-02-11,26220780000
2022-03-02,25833740000
2022-03-03,26754140000
2022-03-08,25629600000
2022-03-10,26579500000
2022-03-15,26708120000
2022-03-21,27848000000
2022-03-24,27830300000
2022-03-25,27889300000
2022-03-28,28258640000
2022-04-01,26321120000
2022-04-04,26452160000
2022-04-11,26800480000
2022-04-13,25867520000
2022-04-20,26629120000
2022-04-21,27284320000
2022-04-22,27056960000
2022-04-25,26358080000
2022-05-03,24119200000
2022-05-10,23458400000
2022-05-13,22839040000
2022-05-20,22839040000
2022-05-27,23537920000
2022-05-31,23684640000
2022-06-13,21736960000
2022-06-14,21876960000
2022-06-17,21876960000
2022-06-24,21876960000
2022-07-08,22147400000
2022-07-19,21422500000
2022-07-20,22102300000
2022-07-22,22374000000
2022-07-27,22138600000
2022-07-29,22587400000
2022-08-03,22842600000
2022-08-08,23071400000
2022-08-11,23071400000
2022-08-19,23071400000
2022-08-23,23257300000
2022-08-31,22751300000
2022-09-07,22855800000
2022-09-08,23161600000
2022-09-09,23479500000
2022-09-14,22770000000
2022-09-16,22528000000
2022-09-20,22727100000
2022-09-21,23405800000
2022-09-22,22348700000
2022-09-23,22348700000
2022-09-26,22000000000
2022-09-27,22387200000
2022-09-29,22490600000
2022-10-03,22242600000
2022-10-04,22857120000
2022-10-05,22939200000
2022-10-06,22867920000
2022-10-07,22746960000
2022-10-10,22255560000
2022-10-11,22255560000
2022-10-12,21824640000
2022-10-13,21790080000
2022-10-14,22437000000
2022-10-18,22740480000
2022-10-19,22701600000
2022-10-20,22378680000
2022-10-21,22459680000
2022-10-24,22980240000
2022-10-26,23016960000
2022-10-27,23283720000
2022-10-28,23545080000
2022-10-31,23545080000
2022-11-01,23566680000
2022-11-02,24176880000
2022-11-03,23774040000
2022-11-04,23774040000
