,IPGP
2006-12-13,692531200
2006-12-14,680357800
2006-12-15,665479200
2006-12-18,643567080
2006-12-19,624901200
2006-12-20,676300000
2006-12-21,665479200
2006-12-22,649789040
2006-12-26,654928920
2006-12-27,651412160
2006-12-28,649245294
2006-12-29,649248000
2007-01-03,1033677810
2007-01-04,1033677810
2007-01-05,1065001380
2007-01-08,1058135940
2007-01-09,1102761300
2007-01-10,1168841160
2007-01-11,1149961200
2007-01-12,1129793970
2007-01-16,1077874080
2007-01-17,1116492180
2007-01-18,1078303170
2007-01-19,1076586810
2007-01-22,1106623110
2007-01-23,1088601330
2007-01-24,1098470400
2007-01-25,1091604960
2007-01-26,1133655780
2007-01-29,1160259360
2007-01-30,1178710230
2007-01-31,1133226690
2007-02-01,1117350360
2007-02-02,1133226690
2007-02-05,1119495810
2007-02-06,1110484920
2007-02-07,1128506700
2007-02-08,1128506700
2007-02-09,1123786710
2007-02-12,1098470400
2007-02-13,1075299540
2007-02-14,1074441360
2007-02-15,1037539620
2007-02-16,1061997750
2007-02-20,1088601330
2007-02-21,1081735890
2007-02-22,1072725000
2007-02-23,1052128680
2007-02-26,1029816000
2007-02-27,989052450
2007-02-28,995059710
2007-03-01,963736140
2007-03-02,1022092380
2007-03-05,996776070
2007-03-06,920398050
2007-03-07,874485420
2007-03-08,871052700
2007-03-09,853889099
2007-03-12,852601830
2007-03-13,849598200
2007-03-14,819132810
2007-03-15,773220180
2007-03-16,782231070
2007-03-19,801969210
2007-03-20,815271000
2007-03-21,817416450
2007-03-22,832863690
2007-03-23,855605460
2007-03-26,859038180
2007-03-27,859038180
2007-03-28,850456380
2007-03-29,831576420
2007-03-30,823852800
2007-04-02,811778860
2007-04-03,816506000
2007-04-04,811349120
2007-04-05,801035360
2007-04-09,816506000
2007-04-10,825960280
2007-04-11,832406380
2007-04-12,833695599
2007-04-13,851744680
2007-04-16,882256220
2007-04-17,907610880
2007-04-18,890851020
2007-04-19,861198960
2007-04-20,848736500
2007-04-23,827249500
2007-04-24,843579620
2007-04-25,834555080
2007-04-26,780837580
2007-04-27,780837580
2007-04-30,781697060
2007-05-01,764507460
2007-05-02,773102259
2007-05-03,792870300
2007-05-04,844009360
2007-05-07,811349120
2007-05-08,839282220
2007-05-09,862058440
2007-05-10,829398200
2007-05-11,859050259
2007-05-14,860769220
2007-05-15,866785580
2007-05-16,871082980
2007-05-17,857331300
2007-05-18,871942460
2007-05-21,890851020
2007-05-22,904172960
2007-05-23,928668140
2007-05-24,914916460
2007-05-25,874520900
2007-05-29,868504540
2007-05-30,889132060
2007-05-31,963906820
2007-06-01,987542520
2007-06-04,1008170040
2007-06-05,992269660
2007-06-06,969063700
2007-06-07,959609419
2007-06-08,923081520
2007-06-11,880967000
2007-06-12,874091160
2007-06-13,892140240
2007-06-14,900735040
2007-06-15,904602700
2007-06-18,910619060
2007-06-19,908470360
2007-06-20,914916460
2007-06-21,918354380
2007-06-22,913197500
2007-06-25,892999720
2007-06-26,877099340
2007-06-27,873231680
2007-06-28,868504540
2007-06-29,856471820
2007-07-02,841222799
2007-07-03,833851260
2007-07-05,819108180
2007-07-06,838187459
2007-07-09,837753840
2007-07-10,839488320
2007-07-11,843824520
2007-07-12,867240000
2007-07-13,866806379
2007-07-16,868540860
2007-07-17,881549459
2007-07-18,866806379
2007-07-19,866806379
2007-07-20,867240000
2007-07-23,867240000
2007-07-24,841656420
2007-07-25,841222799
2007-07-26,848594340
2007-07-27,829081440
2007-07-30,834284879
2007-07-31,831249540
2007-08-01,827780580
2007-08-02,864638280
2007-08-03,828214200
2007-08-06,839054700
2007-08-07,781816860
2007-08-08,793090980
2007-08-09,842957280
2007-08-10,827346959
2007-08-13,797427180
2007-08-14,793090980
2007-08-15,783984959
2007-08-16,766206540
2007-08-17,816940080
2007-08-20,826046100
2007-08-21,808267680
2007-08-22,806966820
2007-08-23,825178860
2007-08-24,820842660
2007-08-27,829081440
2007-08-28,791790120
2007-08-29,806533200
2007-08-30,813904740
2007-08-31,800462520
2007-09-04,819541799
2007-09-05,811736640
2007-09-06,802197000
2007-09-07,774445320
2007-09-10,772710840
2007-09-11,800028900
2007-09-12,798728040
2007-09-13,824311620
2007-09-14,822143520
2007-09-17,806099580
2007-09-18,834718500
2007-09-19,833417640
2007-09-20,823010760
2007-09-21,823444379
2007-09-24,819975420
2007-09-25,829515060
2007-09-26,849461580
2007-09-27,856399500
2007-09-28,852496920
2007-10-01,848490720
2007-10-02,852873420
2007-10-03,851120340
2007-10-04,849805530
2007-10-05,851996880
2007-10-08,850243799
2007-10-09,854626500
2007-10-10,859885740
2007-10-11,875225190
2007-10-12,896262150
2007-10-15,923434890
2007-10-16,960249570
2007-10-17,966823620
2007-10-18,967700159
2007-10-19,939650880
2007-10-22,905027549
2007-10-23,903712740
2007-10-24,886181940
2007-10-25,852873420
2007-10-26,855064770
2007-10-29,869089409
2007-10-30,848052450
2007-10-31,834466080
2007-11-01,801595830
2007-11-02,834904350
2007-11-05,830521650
2007-11-06,876978270
2007-11-07,892317720
2007-11-08,911601600
2007-11-09,930885479
2007-11-12,917737380
2007-11-13,895823880
2007-11-14,881799240
2007-11-15,867336330
2007-11-16,851120340
2007-11-19,848928990
2007-11-20,857256120
2007-11-21,870404220
2007-11-23,867336330
2007-11-26,876540000
2007-11-27,880922700
2007-11-28,898453500
2007-11-29,880046159
2007-11-30,891879450
2007-12-03,889688100
2007-12-04,876978270
2007-12-05,889688100
2007-12-06,897138690
2007-12-07,897138690
2007-12-10,878731350
2007-12-11,865583250
2007-12-12,877416540
2007-12-13,877416540
2007-12-14,864706710
2007-12-17,816497010
2007-12-18,831398190
2007-12-19,831398190
2007-12-20,848052450
2007-12-21,909410250
2007-12-24,886181940
2007-12-26,904151010
2007-12-27,891441180
2007-12-28,888811560
