,DXC
2000-01-03,7781191745
2000-01-04,7729039075
2000-01-05,7186649993
2000-01-06,7290955670
2000-01-07,7275310104
2000-01-10,7676886236
2000-01-11,7525643190
2000-01-12,7525643190
2000-01-13,7671670768
2000-01-14,7781191745
2000-01-18,7619517930
2000-01-19,7577795357
2000-01-20,7301385767
2000-01-21,7452629485
2000-01-24,7436983248
2000-01-25,7405691444
2000-01-26,7337893040
2000-01-27,7473490352
2000-01-28,7447414017
2000-01-31,7666455467
2000-02-01,7442198548
2000-02-02,7171004428
2000-02-03,7353538606
2000-02-04,7682101033
2000-02-07,7509996952
2000-02-08,7483920617
2000-02-09,7301385767
2000-02-10,7264879335
2000-02-11,6993685046
2000-02-14,7040622584
2000-02-15,6993685046
2000-02-16,6821580462
2000-02-17,6691198618
2000-02-18,6685983821
2000-02-22,6738136491
2000-02-23,6753782225
2000-02-24,6670337583
2000-02-25,6529525474
2000-02-28,6315698821
2000-02-29,6576462844
2000-03-01,6258331186
2000-03-02,6320914289
2000-03-03,6414789029
2000-03-06,6399143463
2000-03-07,6466941867
2000-03-08,6440865364
2000-03-09,6659907318
2000-03-10,6732921191
2000-03-13,6654692017
2000-03-14,6597323710
2000-03-15,6409573560
2000-03-16,6305268723
2000-03-17,6112303104
2000-03-20,6023643665
2000-03-21,6305268723
2000-03-22,6592108410
2000-03-23,6576462844
2000-03-24,6732921191
2000-03-27,6675552884
2000-03-28,6503448971
2000-03-29,6393927994
2000-03-30,6357421393
2000-03-31,6602539179
2000-04-03,6611557702
2000-04-04,6668868396
2000-04-05,7033572537
2000-04-06,7033572537
2000-04-07,6809540343
2000-04-10,6502147063
2000-04-11,6392735754
2000-04-12,6377105854
2000-04-13,6460466269
2000-04-14,6340635138
2000-04-17,6293744769
2000-04-18,6496936817
2000-04-19,6460466269
2000-04-20,6741809157
2000-04-24,6533407533
2000-04-25,6939791127
2000-04-26,6819959996
2000-04-27,7012732392
2000-04-28,6799119851
2000-05-01,6788699526
2000-05-02,6814749750
2000-05-03,6580297232
2000-05-04,6580297232
2000-05-05,6616767948
2000-05-08,6710549358
2000-05-09,6882480937
2000-05-10,6767859381
2000-05-11,6939791127
2000-05-12,7205504116
2000-05-15,7377435694
2000-05-16,7262814810
2000-05-17,7236764586
2000-05-18,7335755571
2000-05-19,7184663970
2000-05-22,7163823825
2000-05-23,7382645940
2000-05-24,7919281493
2000-05-25,7700459545
2000-05-26,7492057250
2000-05-30,8049532948
2000-05-31,7987012008
2000-06-01,7674408650
2000-06-02,7596258313
2000-06-05,7716089444
2000-06-06,7919281493
2000-06-07,7908861168
