,EPAM
2012-02-08,422758000
2012-02-09,420040270
2012-02-10,421550120
2012-02-13,412189050
2012-02-14,405847680
2012-02-15,404639800
2012-02-16,408867380
2012-02-17,410075260
2012-02-21,414000870
2012-02-22,421550120
2012-02-23,420946180
2012-02-24,414000870
2012-02-27,412491020
2012-02-28,417624510
2012-02-29,426683610
2012-03-01,452955000
2012-03-02,457182580
2012-03-05,455672730
2012-03-06,452955000
2012-03-07,459900310
2012-03-08,459900310
2012-03-09,462618040
2012-03-12,457182580
2012-03-13,476508660
2012-03-14,489191400
2012-03-15,513349000
2012-03-16,507309600
2012-03-19,525729770
2012-03-20,525729770
2012-03-21,524823859
2012-03-22,501270200
2012-03-23,516368700
2012-03-26,512745060
2012-03-27,637458670
2012-03-28,603940000
2012-03-29,606959700
2012-03-30,619642440
2012-04-02,922132250
2012-04-03,942945000
2012-04-04,898346249
2012-04-05,890276000
2012-04-09,903443250
2012-04-10,925955000
2012-04-11,959510250
2012-04-12,987543750
2012-04-13,962058749
2012-04-16,900470000
2012-04-17,860543500
2012-04-18,857145500
2012-04-19,866065250
2012-04-20,851199000
2012-04-23,856720750
2012-04-24,840155500
2012-04-25,842704000
2012-04-26,851623750
2012-04-27,853322750
2012-04-30,876684000
2012-05-01,880506750
2012-05-02,930202499
2012-05-03,894098750
2012-05-04,869038500
2012-05-07,854597000
2012-05-08,767947999
2012-05-09,753931250
2012-05-10,748409500
2012-05-11,737366000
2012-05-14,680449500
2012-05-15,650292250
2012-05-16,664733750
2012-05-17,639673500
2012-05-18,635850750
2012-05-21,665583250
2012-05-22,666432750
2012-05-23,705085000
2012-05-24,719951250
2012-05-25,721650249
2012-05-29,730570000
2012-05-30,734817500
2012-05-31,743312500
2012-06-01,701687000
2012-06-04,697439500
2012-06-05,711456250
2012-06-06,705085000
2012-06-07,701262250
2012-06-08,712730500
2012-06-11,716978000
2012-06-12,737790750
2012-06-13,763275750
2012-06-14,755630250
2012-06-15,747984750
2012-06-18,748409500
2012-06-19,745861000
2012-06-20,759453000
2012-06-21,759028250
2012-06-22,764125249
2012-06-25,737790750
2012-06-26,719101750
2012-06-27,722075000
2012-06-28,705085000
2012-06-29,721650249
2012-07-02,738774400
2012-07-03,732761120
2012-07-05,729754479
2012-07-06,692386240
2012-07-09,673916880
2012-07-10,663608400
2012-07-11,654588480
2012-07-12,618508800
2012-07-13,661890320
2012-07-16,694533840
2012-07-17,677782560
2012-07-18,682077760
2012-07-19,671339760
2012-07-20,655447520
2012-07-23,633542000
2012-07-24,606482240
2012-07-25,606482240
2012-07-26,621515440
2012-07-27,658024640
2012-07-30,694533840
2012-07-31,688950080
2012-08-01,674775920
2012-08-02,674346400
2012-08-03,687232000
2012-08-06,713862240
2012-08-07,722452640
2012-08-08,723741200
2012-08-09,719016479
2012-08-10,755525680
2012-08-13,759820880
2012-08-14,750800960
2012-08-15,764975120
2012-08-16,752089520
2012-08-17,751660000
2012-08-20,713862240
2012-08-21,724170720
2012-08-22,760679920
2012-08-23,771847440
2012-08-24,773565520
2012-08-27,772706479
2012-08-28,771847440
2012-08-29,771847440
2012-08-30,767981760
2012-08-31,751660000
2012-09-04,763686560
2012-09-05,755955200
2012-09-06,756384720
2012-09-07,754666640
2012-09-10,754237120
2012-09-11,752089520
2012-09-12,769270320
2012-09-13,768840799
2012-09-14,813940400
2012-09-17,805350000
2012-09-18,801913840
2012-09-19,811363280
2012-09-20,811792799
2012-09-21,812651840
2012-09-24,810504240
2012-09-25,809645200
2012-09-26,793752960
2012-09-27,800625280
2012-09-28,813510880
2012-10-01,805701340
2012-10-02,819555420
2012-10-03,822586000
2012-10-04,824750700
2012-10-05,836007140
2012-10-08,839903599
2012-10-09,844233000
2012-10-10,842934180
2012-10-11,843800059
2012-10-12,836007140
2012-10-15,823451880
2012-10-16,814360140
2012-10-17,785786099
2012-10-18,776261420
2012-10-19,762407340
2012-10-22,763706160
2012-10-23,768901440
2012-10-24,771499080
2012-10-25,771066140
2012-10-26,777560240
2012-10-31,778426120
2012-11-01,779292000
2012-11-02,770633200
2012-11-05,784487280
2012-11-06,800506059
2012-11-07,779292000
2012-11-08,770200260
2012-11-09,842068300
2012-11-12,850727099
2012-11-13,860251780
2012-11-14,842501240
2012-11-15,841202420
2012-11-16,842501240
2012-11-19,869343519
2012-11-20,859818840
2012-11-21,865447059
2012-11-23,865880000
2012-11-26,866312940
2012-11-27,862416480
2012-11-28,870642340
2012-11-29,887527000
2012-11-30,890557580
2012-12-03,897051680
2012-12-04,896618740
2012-12-05,891856400
2012-12-06,897917559
2012-12-07,896185800
2012-12-10,882331720
2012-12-11,884496420
2012-12-12,885362300
2012-12-13,878002320
2012-12-14,896185800
2012-12-17,900515200
2012-12-18,896185800
2012-12-19,869776460
2012-12-20,863715300
2012-12-21,858087080
2012-12-24,858952960
2012-12-26,836007140
2012-12-27,819555420
2012-12-28,819988360
2012-12-31,811097200
2013-01-02,850531760
2013-01-03,850979879
2013-01-04,859942280
2013-01-07,852324240
2013-01-08,858597920
2013-01-09,878315200
2013-01-10,886829480
2013-01-11,904754280
2013-01-14,901617440
2013-01-15,906098640
2013-01-16,906098640
2013-01-17,904306160
2013-01-18,907891120
2013-01-22,912820440
2013-01-23,914612920
2013-01-24,936570799
2013-01-25,937467040
2013-01-28,940155760
2013-01-29,938811400
2013-01-30,939707640
2013-01-31,928504640
2013-02-01,978245959
2013-02-04,967939200
2013-02-05,976453480
2013-02-06,962113640
2013-02-07,964354240
2013-02-08,963009879
2013-02-11,893103160
2013-02-12,909683600
2013-02-13,909683600
2013-02-14,919542240
2013-02-15,943292600
2013-02-19,938363280
2013-02-20,932089600
2013-02-21,934330200
2013-02-22,943740720
2013-02-25,924023440
2013-02-26,924471560
2013-02-27,963906120
2013-02-28,940155760
2013-03-01,1006029400
2013-03-04,990345200
2013-03-05,1029779760
2013-03-06,1053978240
2013-03-07,1049048920
2013-03-08,1061148160
2013-03-11,1048152680
2013-03-12,1036949680
2013-03-13,1052633879
2013-03-14,1032020360
2013-03-15,1025746680
2013-03-18,1018576760
2013-03-19,1022609840
2013-03-20,1023057959
2013-03-21,1015888040
2013-03-22,1018128640
2013-03-25,1008718120
2013-03-26,1025746680
2013-03-27,1045912080
2013-03-28,1040982760
2013-04-01,1057549500
2013-04-02,1073014740
2013-04-03,1059368940
2013-04-04,1065282120
2013-04-05,1064372399
2013-04-08,1048907160
2013-04-09,1040264820
2013-04-10,1056639780
2013-04-11,1045723139
2013-04-12,1046178000
2013-04-15,1004785740
2013-04-16,1032532200
2013-04-17,972035820
2013-04-18,964758060
2013-04-19,953841420
2013-04-22,962028899
2013-04-23,991139940
2013-04-24,1003876020
2013-04-25,976129560
2013-04-26,970671240
2013-04-29,974764980
2013-04-30,977949000
2013-05-01,971580960
2013-05-02,982042740
2013-05-03,1018431540
2013-05-06,1047087720
2013-05-07,1046178000
2013-05-08,1049362020
2013-05-09,1045268280
2013-05-10,1050726600
2013-05-13,1032077340
2013-05-14,1037990520
2013-05-15,1034806500
2013-05-16,1030712760
2013-05-17,1046178000
2013-05-20,1047087720
2013-05-21,1088479980
2013-05-22,1070740440
2013-05-23,1047997440
2013-05-24,1059368940
2013-05-28,1062552960
2013-05-29,1055275200
2013-05-30,1059823800
2013-05-31,1053455760
2013-06-03,1056639780
2013-06-04,1105764660
2013-06-05,1108038960
2013-06-06,1142153460
2013-06-07,1162167300
2013-06-10,1162167300
2013-06-11,1170809640
2013-06-12,1164896460
2013-06-13,1160802720
2013-06-14,1135785420
2013-06-17,1189458900
2013-06-18,1205833860
2013-06-19,1212201900
2013-06-20,1202649840
2013-06-21,1225392840
2013-06-24,1182636000
2013-06-25,1219479660
2013-06-26,1223573400
2013-06-27,1251774720
2013-06-28,1236309480
2013-07-01,1189133120
2013-07-02,1170668320
2013-07-03,1190056360
2013-07-05,1206213060
2013-07-08,1281457120
2013-07-09,1290227900
2013-07-10,1311462420
2013-07-11,1319771580
2013-07-12,1325772640
2013-07-15,1343314200
2013-07-16,1330850460
2013-07-17,1335928280
2013-07-18,1349315260
2013-07-19,1340544480
2013-07-22,1345622300
2013-07-23,1338698000
2013-07-24,1332696940
2013-07-25,1348392020
2013-07-26,1348392020
2013-07-29,1342390960
2013-07-30,1344237440
2013-07-31,1336389900
2013-08-01,1339621240
2013-08-02,1322541300
2013-08-05,1371011400
2013-08-06,1356701180
2013-08-07,1359009280
2013-08-08,1371934640
2013-08-09,1455026240
2013-08-12,1439331160
2013-08-13,1460565680
2013-08-14,1471182940
2013-08-15,1406094520
