,PG
2000-01-03,139809600000
2000-01-04,137102760000
2000-01-05,134501040000
2000-01-06,140703120000
2000-01-07,151950960000
2000-01-10,151215120000
2000-01-11,153580320000
2000-01-12,152581680000
2000-01-13,149979960000
2000-01-14,152581680000
2000-01-18,152502840000
2000-01-19,150479280000
2000-01-20,146800080000
2000-01-21,133922880000
2000-01-24,134159400000
2000-01-25,127168920000
2000-01-26,131242320000
2000-01-27,135709920000
2000-01-28,130821840000
2000-01-31,131820479999
2000-02-01,129770640000
2000-02-02,128640600000
2000-02-03,127563120000
2000-02-04,123568560000
2000-02-07,121623840000
2000-02-08,124882560000
2000-02-09,122596200000
2000-02-10,119258640000
2000-02-11,122280840000
2000-02-14,119836800000
2000-02-15,124882560000
2000-02-16,122648760000
2000-02-17,122832720000
2000-02-18,120888000000
2000-02-22,121124520000
2000-02-23,118207439999
2000-02-24,115579439999
2000-02-25,111033000000
2000-02-28,115264080000
2000-02-29,114607080000
2000-03-01,115106400000
2000-03-02,113871240000
2000-03-03,115342920000
2000-03-06,114028920000
2000-03-07,78261840000
2000-03-08,75633840000
2000-03-09,75555000000
2000-03-10,69931080000
2000-03-13,74267280000
2000-03-14,72059760000
2000-03-15,76290840000
2000-03-16,78077880000
2000-03-17,75160800000
2000-03-20,75817800000
2000-03-21,74346120000
2000-03-22,74346120000
2000-03-23,73268640000
2000-03-24,73610280000
2000-03-27,72059760000
2000-03-28,74424960000
2000-03-29,76553640000
2000-03-30,75633840000
2000-03-31,73233021360
2000-04-03,77124505020
2000-04-04,82217386320
2000-04-05,79788473700
2000-04-06,81251044740
2000-04-07,82217386320
2000-04-10,85534288500
2000-04-11,86108869980
2000-04-12,89843649600
2000-04-13,90078705660
2000-04-14,81668922180
2000-04-17,89425772160
2000-04-18,85638757860
2000-04-19,85638757860
2000-04-20,89347420140
2000-04-24,91384572660
2000-04-25,83366549280
2000-04-26,78743780100
2000-04-27,78900484140
2000-04-28,77437913100
2000-05-01,77046153000
2000-05-02,77516265120
2000-05-03,78587076060
2000-05-04,78325902660
2000-05-05,78900484140
2000-05-08,79318361580
2000-05-09,81329396760
2000-05-10,83209845240
2000-05-11,84254538840
2000-05-12,83105375880
2000-05-15,84097834800
2000-05-16,83601605340
2000-05-17,84254538840
2000-05-18,83915013420
2000-05-19,84332890860
2000-05-22,84097834800
2000-05-23,83444901300
2000-05-24,85377584460
2000-05-25,85455936480
2000-05-26,85873813920
2000-05-30,85717109880
2000-05-31,86187222000
2000-06-01,85064176380
2000-06-02,82295738340
2000-06-05,82060682280
2000-06-06,81825626220
2000-06-07,81486100800
2000-06-08,73546429440
2000-06-09,73468077420
2000-06-12,73468077420
2000-06-13,73311373380
2000-06-14,74042658900
2000-06-15,73964306880
2000-06-16,71927154360
2000-06-19,72423383820
2000-06-20,71378690220
2000-06-21,70882460760
2000-06-22,70151175240
2000-06-23,71195868840
2000-06-26,72266679780
2000-06-27,72109975740
2000-06-28,71927154360
2000-06-29,69576593760
2000-06-30,74262418594
2000-07-03,72484930222
2000-07-05,72171255803
2000-07-06,71674604640
2000-07-07,71256372082
2000-07-10,71909860454
2000-07-11,71177953478
2000-07-12,71517767431
2000-07-13,70785860455
2000-07-14,72641767431
2000-07-17,72798604640
2000-07-18,75151162780
2000-07-19,76614976733
