,APTV
2011-11-17,6772745106
2011-11-18,6667962833
2011-11-21,6445697406
2011-11-22,6318688590
2011-11-23,6232957639
2011-11-25,6239308080
2011-11-28,6363141675
2011-11-29,6347265573
2011-11-30,6617159307
2011-12-01,6607633646
2011-12-02,6785445988
2011-12-05,6912454804
2011-12-06,7026762738
2011-12-07,6985484873
2011-12-08,6887053041
2011-12-09,6906104363
2011-12-12,6829899074
2011-12-13,6766394666
2011-12-14,6553654899
2011-12-15,6655261952
2011-12-16,6658437172
2011-12-19,6664787613
2011-12-20,6826723853
2011-12-21,6794971649
2011-12-22,6918805245
2011-12-23,6966433551
2011-12-27,6874352159
2011-12-28,6728292021
2011-12-29,6801322090
2011-12-30,6839424735
2012-01-03,5505770021
2012-01-04,5580038502
2012-01-05,5481013861
2012-01-06,5582514118
2012-01-09,5622123974
2012-01-10,5899392968
2012-01-11,5929100360
2012-01-12,6112295945
2012-01-13,6139527722
2012-01-17,6030600617
2012-01-18,6065259241
2012-01-19,6206369354
2012-01-20,6213796202
2012-01-23,6307869611
2012-01-24,6389564939
2012-01-25,6377186859
2012-01-26,6424223563
2012-01-27,6723773102
2012-01-30,6703968173
2012-01-31,6642077773
2012-02-01,7077786192
2012-02-02,7171859601
2012-02-03,7612519252
2012-02-06,7555580083
2012-02-07,7446652978
2012-02-08,7402091890
2012-02-09,7377335730
2012-02-10,7436750514
2012-02-13,7429323666
2012-02-14,7194140145
2012-02-15,7273359857
2012-02-16,7506067763
2012-02-17,7746202517
2012-02-21,7657080340
2012-02-22,7679360884
2012-02-23,7674409652
2012-02-24,7770958677
2012-02-27,7746202517
2012-02-28,7892263862
2012-02-29,7921971254
2012-03-01,7921971254
2012-03-02,8003666582
2012-03-05,7832849077
2012-03-06,7421896818
2012-03-07,7429323666
2012-03-08,7847702773
2012-03-09,7879885781
2012-03-12,7902166326
2012-03-13,7909593174
2012-03-14,7867507701
2012-03-15,7852654005
2012-03-16,7921971254
2012-03-19,7810568533
2012-03-20,7709068276
2012-03-21,7738775668
2012-03-22,7666982804
2012-03-23,7666982804
2012-03-26,7912068790
2012-03-27,7899690710
2012-03-28,7813044149
2012-03-29,7865032085
2012-03-30,7822946613
2012-04-02,7685815807
2012-04-03,7617605714
2012-04-04,7705304405
2012-04-05,7736973377
2012-04-09,7617605714
2012-04-10,7512854500
2012-04-11,7671199359
2012-04-12,7739409451
2012-04-13,7758898049
2012-04-16,7793003096
2012-04-17,7822235993
2012-04-18,7844160665
2012-04-19,7761334124
2012-04-20,7763770199
2012-04-23,7673635433
2012-04-24,7361817867
2012-04-25,7515290575
2012-04-26,7459260856
2012-04-27,7578628518
2012-04-30,7476313379
2012-05-01,7517726650
2012-05-02,7488493753
2012-05-03,7417847586
2012-05-04,7154751514
2012-05-07,7222961606
2012-05-08,6942813011
2012-05-09,6950121235
2012-05-10,7013459179
2012-05-11,6996406655
2012-05-14,6823445349
2012-05-15,6726002359
2012-05-16,6816137125
2012-05-17,6696769462
2012-05-18,6640739743
2012-05-21,6821009274
2012-05-22,6867294694
2012-05-23,6828317498
2012-05-24,6747927032
2012-05-25,6930632637
2012-05-29,7269247026
2012-05-30,7028075627
2012-05-31,7071924972
2012-06-01,6879475068
2012-06-04,6755235256
2012-06-05,6886783292
2012-06-06,7064616748
2012-06-07,6950121235
2012-06-08,7003714880
2012-06-11,6942813011
2012-06-12,7032947777
2012-06-13,6967173759
2012-06-14,6928196563
2012-06-15,6952557310
2012-06-18,7042692075
2012-06-19,7088977496
2012-06-20,6962301609
2012-06-21,6716258060
2012-06-22,6582273949
2012-06-25,6272892457
2012-06-26,6311869653
2012-06-27,6270456383
2012-06-28,6194938066
2012-06-29,6211990589
2012-07-02,6121402342
2012-07-03,6368291641
2012-07-05,6489315808
2012-07-06,6390075991
2012-07-09,6453008558
2012-07-10,6421542275
2012-07-11,6324722941
2012-07-12,6356189225
2012-07-13,6503838708
2012-07-16,6445747108
2012-07-17,6535304991
2012-07-18,6586135141
2012-07-19,6583714658
2012-07-20,6530464024
2012-07-23,6508679675
2012-07-24,6416701308
2012-07-25,6465110975
2012-07-26,6523202575
2012-07-27,6724102691
2012-07-30,6774932841
2012-07-31,6871752174
2012-08-01,6801558157
2012-08-02,6653908674
2012-08-03,6857229274
2012-08-06,7024242624
2012-08-07,7029083591
2012-08-08,6944366674
2012-08-09,7004878757
2012-08-10,6908059424
2012-08-13,6949207641
2012-08-14,6929843774
2012-08-15,6893536524
2012-08-16,7108959540
2012-08-17,7140425824
2012-08-20,7113800507
2012-08-21,7092016157
2012-08-22,7077493257
2012-08-23,7050867941
2012-08-24,7062970357
2012-08-27,7154948724
2012-08-28,7389735607
2012-08-29,7309859657
2012-08-30,7210619840
2012-08-31,7331644007
2012-09-04,7261449990
2012-09-05,7261449990
2012-09-06,7469611557
2012-09-07,7539805573
2012-09-10,7472032040
2012-09-11,7527703157
2012-09-12,7498657357
2012-09-13,7445406723
2012-09-14,7701977956
2012-09-17,7653568290
2012-09-18,7682614090
2012-09-19,7750387623
2012-09-20,7750387623
2012-09-21,7692296023
2012-09-24,7663250223
2012-09-25,7593056206
2012-09-26,7585794757
2012-09-27,7566430890
2012-09-28,7503498323
2012-10-01,7443187559
2012-10-02,7500259924
2012-10-03,7505015955
2012-10-04,7657208927
2012-10-05,7728549383
2012-10-08,7673855033
2012-10-09,7581112441
2012-10-10,7488369848
2012-10-11,7616782669
2012-10-12,7628672745
2012-10-15,7723793352
2012-10-16,7790377778
2012-10-17,7728549383
2012-10-18,7719037322
2012-10-19,7590624502
2012-10-22,7690501140
2012-10-23,7464589696
2012-10-24,7452699620
2012-10-25,7474101757
2012-10-26,7252946344
2012-10-31,7476479772
2012-11-01,7742817474
2012-11-02,7814157930
2012-11-05,7657208927
2012-11-06,7814157930
2012-11-07,7628672745
2012-11-08,7535930152
2012-11-09,7669099003
2012-11-12,7719037322
2012-11-13,7654830912
2012-11-14,7593002517
2012-11-15,7533552137
2012-11-16,7642940836
2012-11-19,7935436705
2012-11-20,7942570750
2012-11-21,7990131054
2012-11-23,8097141738
2012-11-26,7933058690
2012-11-27,7949704796
2012-11-28,7990131054
2012-11-29,8078117617
2012-11-30,8082873647
2012-12-03,7966350902
2012-12-04,8061471510
2012-12-05,8054337465
2012-12-06,8068605556
2012-12-07,8078117617
2012-12-10,8097141738
2012-12-11,8139946012
2012-12-12,8177994255
2012-12-13,8163726164
2012-12-14,8147080057
2012-12-17,8173238224
2012-12-18,8192262346
2012-12-19,8477624169
2012-12-20,8570366762
2012-12-21,8594146914
2012-12-24,8627439127
2012-12-26,8850972555
2012-12-27,9067371938
2012-12-28,8969873315
2012-12-31,9078045620
2013-01-02,9227566371
2013-01-03,9101779072
2013-01-04,9139752597
2013-01-07,9063805548
2013-01-08,9061432203
2013-01-09,9130259216
2013-01-10,9210952954
2013-01-11,9040072096
2013-01-14,8928524868
2013-01-15,9087539001
2013-01-16,9094659037
2013-01-17,9256046514
2013-01-18,9213326300
2013-01-22,9220446335
2013-01-23,9172979430
2013-01-24,9225193026
2013-01-25,9320126836
2013-01-28,9445914135
2013-01-29,9396073885
2013-01-30,9227566371
2013-01-31,9175352775
2013-02-01,9308260110
2013-02-04,9210952954
2013-02-05,9336740253
2013-02-06,9161112704
2013-02-07,9092285691
2013-02-08,9142125942
2013-02-11,9301140074
2013-02-12,9448287480
2013-02-13,9481514314
2013-02-14,9486261005
2013-02-15,9488634350
2013-02-19,9436420754
2013-02-20,9206206264
2013-02-21,8997351881
2013-02-22,9106525763
2013-02-25,9049565477
2013-02-26,9429300718
2013-02-27,9920583187
2013-02-28,9932449914
2013-03-01,10015516998
2013-03-04,10032130414
2013-03-05,10086717355
2013-03-06,10053490522
2013-03-07,10143677642
2013-03-08,10205384618
2013-03-11,10252851524
2013-03-12,10212504654
2013-03-13,10293198393
2013-03-14,10305111817
2013-03-15,10312259872
2013-03-18,10195508316
2013-03-19,10271754230
2013-03-20,10326555980
2013-03-21,10336086720
2013-03-22,10295581078
2013-03-25,10226483218
2013-03-26,10591033995
2013-03-27,10607712788
2013-03-28,10579120571
2013-04-01,10392194752
2013-04-02,10418175239
2013-04-03,10241035556
2013-04-04,10217416931
2013-04-05,10094600084
2013-04-08,10035553523
2013-04-09,10037915386
2013-04-10,10307167704
2013-04-11,10451241313
2013-04-12,10602400510
2013-04-15,9995401862
2013-04-16,10285910942
2013-04-17,9889118052
2013-04-18,9669464845
2013-04-19,9882032464
2013-04-22,9969421375
2013-04-23,10137113608
2013-04-24,10342595641
2013-04-25,10552801398
2013-04-26,10557525123
2013-04-29,10706322457
2013-04-30,10914166352
2013-05-01,10739388532
2013-05-02,10746474119
2013-05-03,10803158818
2013-05-06,10928337527
2013-05-07,10937784977
2013-05-08,10888185866
2013-05-09,10685065695
2013-05-10,10722855494
2013-05-13,10800796955
2013-05-14,10983338958
2013-05-15,11030752465
2013-05-16,11142174207
2013-05-17,11502516863
2013-05-20,11566525097
2013-05-21,11628162657
2013-05-22,11561783747
2013-05-23,11462215381
2013-05-24,11391095121
2013-05-28,11810704660
