,ILMN
2000-07-28,1034474482
2000-07-31,924301070
2000-08-01,937505371
2000-08-02,1006827951
2000-08-03,1168580638
2000-08-04,1081102144
2000-08-07,1115763434
2000-08-08,1082340074
2000-08-09,1130618273
2000-08-10,1188387090
2000-08-11,1105860208
2000-08-14,1056344080
2000-08-15,1056344080
2000-08-16,1125666660
2000-08-17,1105860208
2000-08-18,1161978488
2000-08-21,1193338702
2000-08-22,1112462359
2000-08-23,1086053757
2000-08-24,1056756740
2000-08-25,1102559133
2000-08-28,1099258058
2000-08-29,1122365585
2000-08-30,1056344080
2000-08-31,1181784939
2000-09-01,1231301068
2000-09-05,1208193541
2000-09-06,1109161284
2000-09-07,1188387090
2000-09-08,1133919348
2000-09-11,1086053757
2000-09-12,1076150531
2000-09-13,963913973
2000-09-14,977118274
2000-09-15,996924725
2000-09-18,897892468
2000-09-19,879736554
2000-09-20,897892468
2000-09-21,934204295
2000-09-22,1036537628
2000-09-25,1053043004
2000-09-26,1051392467
2000-09-27,1099258058
2000-09-28,1155376337
2000-09-29,1198290315
2000-10-02,1336975445
2000-10-03,1168940280
2000-10-04,1055699190
2000-10-05,1041087436
2000-10-06,878531679
2000-10-09,898622840
2000-10-10,949763977
2000-10-11,935152224
2000-10-12,942458100
2000-10-13,1026475683
2000-10-16,1037434498
2000-10-17,1057525659
2000-10-18,1015516868
2000-10-19,1011863929
2000-10-20,964375731
2000-10-23,993599238
2000-10-24,997252176
2000-10-25,1052046252
2000-10-26,1132410896
2000-10-27,1066658005
2000-10-30,949763977
2000-10-31,949763977
2000-11-01,980813953
2000-11-02,1041087436
2000-11-03,1066658005
2000-11-06,1187204971
2000-11-07,1198163787
2000-11-08,1187204971
2000-11-09,1136063834
2000-11-10,1110493266
2000-11-13,1081269759
2000-11-14,991772768
2000-11-15,927846347
2000-11-16,741546490
2000-11-17,668487722
2000-11-20,624652462
2000-11-21,622825992
2000-11-22,467576112
2000-11-24,569858386
2000-11-27,560726040
2000-11-28,518717249
2000-11-29,527849595
2000-11-30,535155471
2000-12-01,562552509
2000-12-04,573511324
2000-12-05,705017106
2000-12-06,683099476
2000-12-07,679446537
2000-12-08,664834784
2000-12-11,613693647
2000-12-12,639264215
2000-12-13,659355376
2000-12-14,631958338
2000-12-15,672140661
2000-12-18,690405352
2000-12-19,635611277
2000-12-20,522370187
2000-12-21,526023126
2000-12-22,555246633
2000-12-26,522370187
2000-12-27,511411372
2000-12-28,496799619
2000-12-29,469402581
2001-01-02,445658481
2001-01-03,403649690
2001-01-04,412782036
2001-01-05,348855614
2001-01-08,259358624
2001-01-09,252052747
2001-01-10,306846823
2001-01-11,390864406
2001-01-12,379905591
2001-01-16,394517344
2001-01-17,440179074
2001-01-18,427393789
2001-01-19,438352605
2001-01-22,421914382
2001-01-23,504105495
2001-01-24,546114287
2001-01-25,547940756
2001-01-26,586296609
2001-01-29,635611277
2001-01-30,622825992
2001-01-31,613693647
2001-02-01,597255424
2001-02-02,533329002
2001-02-05,474881988
2001-02-06,467576112
2001-02-07,476708457
2001-02-08,476708457
2001-02-09,476708457
2001-02-12,478534927
2001-02-13,474881988
2001-02-14,478534927
2001-02-15,467576112
2001-02-16,491320211
2001-02-20,467576112
2001-02-21,484014334
2001-02-22,462096704
2001-02-23,449311420
2001-02-26,456617296
2001-02-27,460270235
2001-02-28,438352605
2001-03-01,423740851
2001-03-02,361640899
2001-03-05,381732060
2001-03-06,361640899
2001-03-07,321458577
2001-03-08,328764453
2001-03-09,292235070
2001-03-12,237440994
2001-03-13,237440994
2001-03-14,263011563
2001-03-15,263924797
2001-03-16,261185093
2001-03-19,280363020
2001-03-20,261185093
2001-03-21,259358624
2001-03-22,235614525
2001-03-23,235614525
2001-03-26,244746871
2001-03-27,228308648
2001-03-28,222829240
2001-03-29,211870425
2001-03-30,206391018
2001-04-02,202029258
2001-04-03,174227067
2001-04-04,174227067
2001-04-05,189054902
2001-04-06,181640984
2001-04-09,185644500
2001-04-10,207589697
2001-04-11,207589697
2001-04-12,210258707
2001-04-16,210258707
2001-04-17,208775923
2001-04-18,237245368
2001-04-19,279652977
2001-04-20,306936194
2001-04-23,274611513
2001-04-24,268383822
2001-04-25,268680379
2001-04-26,246142069
2001-04-27,234279800
2001-04-30,247624852
2001-05-01,252073203
2001-05-02,266901039
2001-05-03,266901039
2001-05-04,266307925
2001-05-07,259783677
2001-05-08,265418255
2001-05-09,268383822
2001-05-10,268383822
2001-05-11,270163162
2001-05-14,270756276
2001-05-15,280246090
2001-05-16,271942503
2001-05-17,277280523
2001-05-18,277280523
2001-05-21,303970627
2001-05-22,309901761
2001-05-23,306936194
2001-05-24,305453411
2001-05-25,309901761
2001-05-29,346971350
2001-05-30,335109082
2001-05-31,338074649
2001-06-01,330364174
2001-06-04,318798463
2001-06-05,326212381
2001-06-06,325322710
2001-06-07,317315679
2001-06-08,305453411
2001-06-11,341336773
2001-06-12,357350835
2001-06-13,357350835
2001-06-14,311384545
2001-06-15,329177948
2001-06-18,338964319
2001-06-19,322950257
2001-06-20,302487844
2001-06-21,283211658
2001-06-22,283508214
2001-06-25,298632606
2001-06-26,288253122
2001-06-27,281432317
2001-06-28,263935471
2001-06-29,349343804
2001-07-02,346013920
2001-07-03,342721400
2001-07-05,381633000
2001-07-06,381633000
2001-07-09,393905120
2001-07-10,381633000
2001-07-11,378639800
2001-07-12,382830280
2001-07-13,363973120
2001-07-16,348707800
2001-07-17,362177200
2001-07-18,348408480
2001-07-19,358585360
2001-07-20,362177200
2001-07-23,358286040
2001-07-24,353197600
2001-07-25,342422080
2001-07-26,347211200
2001-07-27,348109160
2001-07-30,341524120
2001-07-31,342721400
2001-08-01,369660200
2001-08-02,368163600
2001-08-03,368462920
2001-08-06,345714600
2001-08-07,348707800
2001-08-08,338231600
2001-08-09,332245200
2001-08-10,359483320
2001-08-13,371755440
2001-08-14,370857480
2001-08-15,372054760
2001-08-16,365170400
2001-08-17,356190800
2001-08-20,345714600
2001-08-21,327755400
2001-08-22,322666960
2001-08-23,323265600
2001-08-24,331347240
2001-08-27,336735000
2001-08-28,301115920
2001-08-29,281360800
2001-08-30,266095480
2001-08-31,263102279
2001-09-04,267292760
2001-09-05,270585280
2001-09-06,260109080
2001-09-07,254422000
2001-09-10,252326760
2001-09-17,225986600
2001-09-18,227782520
2001-09-19,199047800
2001-09-20,181687240
2001-09-21,179592000
2001-09-24,194558000
2001-09-25,203537600
2001-09-26,176598800
2001-09-27,179292680
2001-09-28,194558000
2001-10-01,190096200
2001-10-02,195527520
2001-10-03,179535300
2001-10-04,193717080
2001-10-05,187078800
2001-10-08,181345740
2001-10-09,181044000
2001-10-10,196131000
2001-10-11,203071020
2001-10-12,211218000
2001-10-15,239581560
2001-10-16,256479000
2001-10-17,255573780
2001-10-18,264022500
2001-10-19,272772960
2001-10-22,298722600
2001-10-23,288161700
2001-10-24,294196500
2001-10-25,302645220
2001-10-26,304455660
2001-10-29,324370500
2001-10-30,301740000
2001-10-31,302041740
2001-11-01,304757400
2001-11-02,340664460
2001-11-05,319844400
2001-11-06,319542660
2001-11-07,309283500
2001-11-08,304757400
2001-11-09,274583400
2001-11-12,271566000
2001-11-13,269755560
2001-11-14,277600800
2001-11-15,276393840
2001-11-16,270057300
2001-11-19,278506020
2001-11-20,297213900
2001-11-21,293291280
2001-11-23,293593020
2001-11-26,283635600
2001-11-27,315016560
2001-11-28,304757400
2001-11-29,318637440
2001-11-30,300533040
2001-12-03,284842560
2001-12-04,298722600
2001-12-05,296308680
2001-12-06,301740000
2001-12-07,309283500
2001-12-10,300231300
2001-12-11,299929560
2001-12-12,295705200
2001-12-13,306869580
2001-12-14,316223520
2001-12-17,318637440
2001-12-18,301740000
2001-12-19,309585240
2001-12-20,331612260
2001-12-21,361786260
2001-12-24,361484520
2001-12-26,340060980
2001-12-27,348207960
2001-12-28,344888820
2001-12-31,358150800
2002-01-02,342618750
2002-01-03,344141500
2002-01-04,363632700
2002-01-07,367287300
2002-01-08,370028250
2002-01-09,375814700
2002-01-10,346273350
