,CSCO
2000-01-03,373401330000
2000-01-04,352461000000
2000-01-05,351355240000
2000-01-06,345550000000
2000-01-07,365868340000
2000-01-10,379483010000
2000-01-11,368010750000
2000-01-12,358750010000
2000-01-13,366904990000
2000-01-14,371673580000
2000-01-18,387016000000
2000-01-19,388121760000
2000-01-20,388329090000
2000-01-21,398280930000
2000-01-24,376856830000
2000-01-25,387430660000
2000-01-26,370360490000
2000-01-27,368425410000
2000-01-28,358957340000
2000-01-31,385221000000
2000-02-01,414490760000
2000-02-02,400629840000
2000-02-03,414490760000
2000-02-04,426100160000
2000-02-07,440383240000
2000-02-08,442634760000
2000-02-09,453188760000
2000-02-10,478236920000
2000-02-11,460646920000
2000-02-14,459099000000
2000-02-15,450304000000
2000-02-16,447419240000
2000-02-17,459099000000
2000-02-18,442634760000
2000-02-22,436020920000
2000-02-23,487665160000
2000-02-24,482880679999
2000-02-25,467049679999
2000-02-28,459310080000
2000-02-29,465009240000
2000-03-01,463250240000
2000-03-02,467049679999
2000-03-03,483513920000
2000-03-06,478870160000
2000-03-07,464587080000
2000-03-08,465712840000
2000-03-09,490127760000
2000-03-10,479784840000
2000-03-13,479081240000
2000-03-14,463531679999
2000-03-15,452485160000
2000-03-16,463250240000
2000-03-17,474930000000
2000-03-20,471834160000
2000-03-21,495545480000
2000-03-22,507928840000
2000-03-23,547471160000
2000-03-24,558517680000
2000-03-27,563302160000
2000-03-28,547963679999
2000-03-29,535158160000
2000-03-30,518060679999
2000-03-31,543953160000
2000-04-03,513205840000
2000-04-04,514542679999
2000-04-05,507506679999
2000-04-06,505255160000
2000-04-07,527277840000
2000-04-10,510532160000
2000-04-11,492520000000
2000-04-12,457340000000
2000-04-13,430110680000
2000-04-14,401052000000
2000-04-17,467894000000
2000-04-18,487243000000
2000-04-19,465290679999
2000-04-20,458254679999
2000-04-24,446363840000
2000-04-25,464376000000
2000-04-26,469653000000
2000-04-27,485484000000
2000-04-28,487805880000
2000-05-01,492007280000
2000-05-02,468316000000
2000-05-03,454955220000
2000-05-04,438219810000
2000-05-05,466594250000
2000-05-08,432159250000
2000-05-09,432159250000
2000-05-10,402889500000
2000-05-11,414941750000
2000-05-12,412806780000
2000-05-15,413220000000
2000-05-16,417076720000
2000-05-17,399446000000
2000-05-18,381402060000
2000-05-19,368041280000
2000-05-22,380506750000
2000-05-23,348137850000
2000-05-24,379680310000
2000-05-25,375341500000
2000-05-26,378371780000
2000-05-30,412393560000
2000-05-31,392145780000
2000-06-01,419693780000
2000-06-02,443385059999
2000-06-05,435602750000
2000-06-06,422241970000
2000-06-07,433054560000
2000-06-08,438633030000
2000-06-09,443385059999
2000-06-12,427889310000
2000-06-13,447655000000
2000-06-14,448963530000
2000-06-15,457985500000
2000-06-16,467007470000
2000-06-19,474789780000
2000-06-20,462324309999
2000-06-21,464459280000
2000-06-22,444624720000
2000-06-23,431332810000
2000-06-26,432572470000
2000-06-27,428715750000
2000-06-28,437737720000
2000-06-29,421415530000
2000-06-30,437737720000
2000-07-03,445106809999
2000-07-05,426167560000
2000-07-06,445933250000
2000-07-07,450272059999
2000-07-10,434776310000
2000-07-11,427889310000
2000-07-12,439941560000
2000-07-13,449376750000
2000-07-14,470037750000
2000-07-17,479541809999
2000-07-18,463150750000
2000-07-19,460120470000
2000-07-20,478646500000
2000-07-21,469211309999
2000-07-24,454955220000
2000-07-25,469211309999
2000-07-26,472172720000
2000-07-27,468316000000
2000-07-28,432572470000
2000-07-31,464165920000
2000-08-01,448206670000
2000-08-02,432247420000
2000-08-03,456647339999
2000-08-04,465017080000
2000-08-07,469911250000
2000-08-08,464591500000
2000-08-09,480976330000
2000-08-10,449554340000
2000-08-11,456150830000
2000-08-14,457498500000
2000-08-15,448206670000
2000-08-16,447284580000
2000-08-17,449979920000
2000-08-18,450405500000
2000-08-21,464591500000
2000-08-22,459697330000
2000-08-23,476578670000
2000-08-24,471684500000
2000-08-25,464591500000
2000-08-28,468563580000
2000-08-29,472110080000
2000-08-30,472110080000
2000-08-31,486792589999
2000-09-01,486296080000
2000-09-05,468138000000
2000-09-06,455725250000
2000-09-07,469911250000
2000-09-08,453100840000
2000-09-11,434020670000
2000-09-12,417635840000
2000-09-13,434871830000
2000-09-14,434446250000
2000-09-15,445085750000
2000-09-18,426005580000
2000-09-19,439766000000
2000-09-20,447781090000
2000-09-21,433595090000
2000-09-22,427778830000
2000-09-25,405648670000
2000-09-26,391462670000
2000-09-27,406499830000
2000-09-28,421607920000
2000-09-29,391888250000
2000-10-02,393661500000
2000-10-03,398981250000
2000-10-04,415366080000
2000-10-05,408273080000
2000-10-06,398555670000
2000-10-09,380823170000
2000-10-10,362665090000
2000-10-11,363090670000
2000-10-12,353302330000
2000-10-13,397633580000
2000-10-16,386568500000
2000-10-17,386994080000
2000-10-18,370609250000
2000-10-19,413167250000
2000-10-20,406499830000
2000-10-23,396356840000
2000-10-24,389263840000
2000-10-25,359118590000
2000-10-26,379901080000
2000-10-27,359544170000
2000-10-30,343340640000
2000-10-31,384918720000
2000-11-01,372416720000
2000-11-02,398278000000
2000-11-03,405422000000
2000-11-06,393848720000
2000-11-07,405422000000
2000-11-08,372416720000
2000-11-09,380418000000
2000-11-10,357628640000
2000-11-13,359914720000
2000-11-14,379560720000
2000-11-15,382632640000
2000-11-16,364772640000
2000-11-17,376846000000
2000-11-20,366130000000
2000-11-21,383561360000
2000-11-22,361200640000
2000-11-24,376417360000
2000-11-27,366130000000
2000-11-28,364344000000
2000-11-29,369273360000
2000-11-30,342054720000
2000-12-01,346484000000
2000-12-04,327266640000
2000-12-05,372416720000
2000-12-06,367487360000
2000-12-07,356771360000
2000-12-08,374202720000
2000-12-11,391562640000
2000-12-12,388490720000
2000-12-13,365272720000
2000-12-14,363915360000
2000-12-15,344126480000
2000-12-18,306763360000
2000-12-19,298262000000
2000-12-20,260756000000
2000-12-21,277758720000
2000-12-22,296476000000
2000-12-26,291118000000
2000-12-27,291118000000
2000-12-28,282616640000
2000-12-29,273258000000
2001-01-02,237966640000
2001-01-03,295118640000
2001-01-04,299190720000
2001-01-05,261684720000
2001-01-08,261113199999
2001-01-09,265256720000
2001-01-10,258970000000
2001-01-11,279544720000
2001-01-12,271900640000
2001-01-16,275044000000
2001-01-17,278616000000
2001-01-18,299190720000
2001-01-19,288474720000
2001-01-22,296047360000
2001-01-23,304548720000
2001-01-24,304048640000
2001-01-25,280830640000
2001-01-26,274186720000
2001-01-29,270099750000
2001-01-30,275538000000
2001-01-31,271477439999
2001-02-01,277350750000
2001-02-02,257410500000
2001-02-05,250594560000
2001-02-06,259223250000
2001-02-07,225216060000
2001-02-08,217530000000
2001-02-09,204405690000
2001-02-12,214339560000
2001-02-13,206653500000
2001-02-14,213034380000
2001-02-15,223403310000
2001-02-16,204840750000
2001-02-20,188961060000
2001-02-21,182217630000
2001-02-22,191716440000
2001-02-23,195777000000
2001-02-26,188961060000
2001-02-27,174024000000
2001-02-28,171776190000
2001-03-01,177649500000
2001-03-02,160899690000
2001-03-05,167353080000
2001-03-06,174024000000
2001-03-07,174024000000
2001-03-08,165395310000
2001-03-09,149588130000
2001-03-12,136391309999
2001-03-13,155026380000
2001-03-14,146832750000
2001-03-15,147267810000
2001-03-16,144584940000
2001-03-19,150893310000
2001-03-20,138204060000
2001-03-21,140016810000
2001-03-22,143207250000
2001-03-23,135521190000
2001-03-26,129647880000
2001-03-27,131460630000
2001-03-28,114203250000
2001-03-29,110577750000
2001-03-30,114638310000
2001-04-02,109200060000
2001-04-03,99701250000
2001-04-04,99266190000
2001-04-05,108329940000
2001-04-06,98831130000
2001-04-09,105066990000
2001-04-10,115000860000
2001-04-11,126167399999
2001-04-12,130372980000
2001-04-16,124717200000
2001-04-17,120801660000
2001-04-18,130010430000
2001-04-19,137116410000
2001-04-20,138856650000
2001-04-23,125659829999
2001-04-24,117901260000
2001-04-25,114058230000
2001-04-26,110287710000
2001-04-27,113115600000
2001-04-30,123512520000
2001-05-01,129477200000
2001-05-02,145480000000
2001-05-03,135732840000
2001-05-04,142861360000
2001-05-07,140024500000
2001-05-08,148244120000
2001-05-09,139151620000
2001-05-10,136969419999
2001-05-11,138569700000
2001-05-14,135078180000
2001-05-15,136314759999
2001-05-16,145480000000
2001-05-17,144461640000
2001-05-18,146934800000
2001-05-21,166356380000
2001-05-22,170793520000
2001-05-23,162646640000
2001-05-24,166647340000
2001-05-25,160391700000
2001-05-29,148826040000
2001-05-30,138206000000
2001-05-31,140097240000
2001-06-01,137114900000
2001-06-04,143516020000
2001-06-05,156681960000
2001-06-06,151008240000
2001-06-07,158718680000
2001-06-08,149044260000
2001-06-11,148244120000
2001-06-12,148171380000
2001-06-13,138351480000
2001-06-14,129040759999
2001-06-15,121112099999
2001-06-18,120021000000
2001-06-19,121039360000
2001-06-20,119293599999
2001-06-21,128604320000
2001-06-22,127440480000
2001-06-25,134641740000
2001-06-26,131077480000
2001-06-27,130422820000
2001-06-28,135150919999
2001-06-29,132386800000
2001-07-02,139806280000
