,LIFE
2015-05-07,222776827
2015-05-08,287151134
2015-05-11,309205295
2015-05-12,321424492
2015-05-13,291919601
2015-05-14,306672046
2015-05-15,299966389
2015-05-18,296539054
2015-05-19,299519346
2015-05-20,340945404
2015-05-21,357635040
2015-05-22,368215076
2015-05-26,377602996
2015-05-27,367917047
2015-05-28,357337010
2015-05-29,341094419
2015-06-01,349886280
2015-06-02,376112850
2015-06-03,415452704
2015-06-04,407256901
2015-06-05,385500770
2015-06-08,371493397
2015-06-09,329918324
2015-06-10,335878908
2015-06-11,322765623
2015-06-12,331259455
2015-06-15,337518069
2015-06-16,327087047
2015-06-17,334090733
2015-06-18,329173251
2015-06-19,325149857
2015-06-22,340498361
2015-06-23,326938032
2015-06-24,326789017
2015-06-25,292068616
2015-06-26,292962703
2015-06-29,280892521
2015-06-30,436719823
2015-07-01,400876728
2015-07-02,388850426
2015-07-06,382955180
2015-07-07,381068701
2015-07-08,352771520
2015-07-09,361496484
2015-07-10,432946866
2015-07-13,458650138
2015-07-14,423514472
2015-07-15,412431410
2015-07-16,421392184
2015-07-17,400405108
2015-07-20,377059934
2015-07-21,372579547
2015-07-22,393802432
2015-07-23,393095003
2015-07-24,417619226
2015-07-27,413138839
2015-07-28,445916407
2015-07-29,415968557
2015-07-30,427759049
2015-07-31,442143450
2015-08-03,459593378
2015-08-04,468789961
2015-08-05,491663516
2015-08-06,442143450
2015-08-07,436719823
2015-08-10,427523239
2015-08-11,402291587
2015-08-12,401584157
2015-08-13,348055323
2015-08-14,337915500
2015-08-17,379653842
2015-08-18,356308668
2015-08-19,344753986
2015-08-20,341688458
2015-08-21,331077015
2015-08-24,323531100
2015-08-25,323766910
2015-08-26,337208071
2015-08-27,366684301
2015-08-28,348762753
2015-08-31,341452648
2015-09-01,332020254
2015-09-02,342160077
2015-09-03,347583704
2015-09-04,339801979
2015-09-08,370457258
2015-09-09,363854583
2015-09-10,434597535
2015-09-11,399933488
2015-09-14,441671830
2015-09-15,452519082
2015-09-16,442850879
2015-09-17,436248204
2015-09-18,421392184
2015-09-21,390265285
2015-09-22,366684301
2015-09-23,361496484
2015-09-24,358195146
2015-09-25,312919657
2015-09-28,254203007
2015-09-29,232744312
2015-09-30,242173305
2015-10-01,241701232
2015-10-02,261764323
2015-10-05,266957123
2015-10-06,251378723
2015-10-07,265540905
2015-10-08,272621995
2015-10-09,273566141
2015-10-12,262236395
2015-10-13,261764323
2015-10-14,262708468
2015-10-15,272149923
2015-10-16,269553523
2015-10-19,259167923
2015-10-20,233675996
2015-10-21,226594905
2015-10-22,230371487
2015-10-23,255391341
2015-10-26,270497668
2015-10-27,270969741
2015-10-28,294809413
2015-10-29,290560759
2015-10-30,294101304
2015-11-02,302126540
2015-11-03,288672468
2015-11-04,286784177
2015-11-05,288908504
2015-11-06,286312104
2015-11-09,281119304
2015-11-10,270969741
2015-11-11,231787705
2015-11-12,232731850
2015-11-13,241465196
2015-11-16,234856178
2015-11-17,234148069
2015-11-18,228719232
2015-11-19,205587669
2015-11-20,206059742
2015-11-23,199922796
2015-11-24,198506578
2015-11-25,200630906
2015-11-27,206295778
2015-11-30,200866942
2015-12-01,199450724
2015-12-02,205351633
2015-12-03,207948033
2015-12-04,206531815
2015-12-07,187884942
2015-12-08,190717378
2015-12-09,181275924
2015-12-10,181511960
2015-12-11,179623669
2015-12-14,196618287
2015-12-15,205587669
2015-12-16,202047124
2015-12-17,240048978
2015-12-18,237688614
2015-12-21,254447196
2015-12-22,238868796
2015-12-23,239812941
2015-12-24,242645378
2015-12-28,240048978
2015-12-29,231315632
2015-12-30,236744469
2015-12-31,232293752
2016-01-04,215751979
2016-01-05,221187133
2016-01-06,205354293
2016-01-07,182432122
2016-01-08,175579102
2016-01-11,175815413
2016-01-12,168962393
2016-01-13,154547420
2016-01-14,149584888
2016-01-15,140368757
2016-01-19,142022935
2016-01-20,141786624
2016-01-21,131388938
2016-01-22,135406225
2016-01-25,147930711
2016-01-26,146512844
2016-01-27,145094978
2016-01-28,134224670
2016-01-29,124772229
2016-02-01,129498449
2016-02-02,112247744
2016-02-03,105631034
2016-02-04,109175700
2016-02-05,101377436
2016-02-08,96178593
2016-02-09,92633927
2016-02-10,90034506
2016-02-11,89798195
2016-02-12,97123837
2016-02-16,102322680
2016-02-17,106812590
2016-02-18,102795302
2016-02-19,102558991
2016-02-22,103504235
2016-02-23,98069081
2016-02-24,108466767
2016-02-25,101850058
2016-02-26,108230456
2016-02-29,105631034
2016-03-01,116737653
2016-03-02,124063296
2016-03-03,121463874
2016-03-04,133043115
2016-03-07,147694400
2016-03-08,129262138
2016-03-09,125244851
2016-03-10,120046008
2016-03-11,120518630
2016-03-14,132097871
2016-03-15,129971072
2016-03-16,126899028
2016-03-17,127135339
2016-03-18,125244851
2016-03-21,134933603
2016-03-22,129025827
2016-03-23,118155520
2016-03-24,118391831
2016-03-28,116973964
2016-03-29,119337075
2016-03-30,114847165
2016-03-31,93269657
2016-04-01,90192232
2016-04-04,85221007
2016-04-05,82143581
2016-04-06,75515281
2016-04-07,75752006
2016-04-08,75752006
2016-04-11,85694457
2016-04-12,91612582
2016-04-13,94453282
2016-04-14,99897958
2016-04-15,99187783
2016-04-18,94453282
2016-04-19,90428957
2016-04-20,92559482
2016-04-21,94926733
2016-04-22,98951058
2016-04-25,93743107
2016-04-26,91612582
2016-04-27,90428957
2016-04-28,89008607
2016-04-29,84274107
2016-05-02,86878082
2016-05-03,82380306
2016-05-04,79066156
2016-05-05,76225456
2016-05-06,73384756
2016-05-09,76462181
2016-05-10,74331656
2016-05-11,71254231
2016-05-12,67703355
2016-05-13,68886980
2016-05-16,72437856
