,ORLY
2000-01-03,1092802000
2000-01-04,1013383250
2000-01-05,1019736750
2000-01-06,962555250
2000-01-07,845015500
2000-01-10,854545750
2000-01-11,841838750
2000-01-12,825955000
2000-01-13,832308500
2000-01-14,725887375
2000-01-18,717945500
2000-01-19,676647750
2000-01-20,676647750
2000-01-21,689354750
2000-01-24,686178000
2000-01-25,698885000
2000-01-26,641703500
2000-01-27,676647750
2000-01-28,660764000
2000-01-31,667117500
2000-02-01,679824500
2000-02-02,648057000
2000-02-03,689354750
2000-02-04,673471000
2000-02-07,660764000
2000-02-08,673471000
2000-02-09,613112750
2000-02-10,663940750
2000-02-11,619466250
2000-02-14,644880250
2000-02-15,619466250
2000-02-16,584522000
2000-02-17,546401000
2000-02-18,546401000
2000-02-22,571815000
2000-02-23,586110375
2000-02-24,663940750
2000-02-25,654410500
2000-02-28,665529125
2000-02-29,711592000
2000-03-01,613112750
2000-03-02,562284750
2000-03-03,616289500
2000-03-06,555931250
2000-03-07,489219500
2000-03-08,470159000
2000-03-09,555931250
2000-03-10,508280000
2000-03-13,536870750
2000-03-14,574991750
2000-03-15,628996500
2000-03-16,756066500
2000-03-17,730652500
2000-03-20,740182750
2000-03-21,765596750
2000-03-22,756066500
2000-03-23,749713000
2000-03-24,825955000
2000-03-27,832308500
2000-03-28,781480500
2000-03-29,733829250
2000-03-30,762420000
2000-03-31,725137312
2000-04-03,753887250
2000-04-04,753887250
2000-04-05,757081687
2000-04-06,737915062
2000-04-07,712359562
2000-04-10,699581812
2000-04-11,667637437
2000-04-12,658054125
2000-04-13,686804062
2000-04-14,661248562
2000-04-17,664443000
2000-04-18,667637437
2000-04-19,622915312
2000-04-20,651665250
2000-04-24,635693062
2000-04-25,680415187
2000-04-26,731526187
2000-04-27,696387375
2000-04-28,689998500
2000-05-01,712359562
2000-05-02,686804062
2000-05-03,664443000
2000-05-04,664443000
2000-05-05,709165125
2000-05-08,702776250
2000-05-09,702776250
2000-05-10,709165125
2000-05-11,725137312
2000-05-12,702776250
2000-05-15,776248312
2000-05-16,779442750
2000-05-17,753887250
2000-05-18,766665000
2000-05-19,753887250
2000-05-22,747498375
2000-05-23,747498375
2000-05-24,757081687
2000-05-25,744303937
2000-05-26,709165125
2000-05-30,705970687
2000-05-31,696387375
2000-06-01,696387375
2000-06-02,712359562
2000-06-05,715554000
2000-06-06,686804062
2000-06-07,696387375
2000-06-08,718748437
2000-06-09,696387375
2000-06-12,712359562
2000-06-13,718748437
2000-06-14,689998500
2000-06-15,718748437
2000-06-16,712359562
2000-06-19,710762343
2000-06-20,693192937
2000-06-21,712359562
2000-06-22,699581812
2000-06-23,632498625
2000-06-26,635693062
2000-06-27,648470812
2000-06-28,715554000
2000-06-29,702776250
2000-06-30,711801375
2000-07-03,689357187
2000-07-05,686150875
2000-07-06,740658187
2000-07-07,740658187
2000-07-10,737451875
2000-07-11,759896062
2000-07-12,743864500
2000-07-13,743864500
2000-07-14,737451875
2000-07-17,747070812
2000-07-18,737451875
2000-07-19,731039250
2000-07-20,734245562
2000-07-21,692563500
2000-07-24,698976125
2000-07-25,715007687
2000-07-26,743864500
2000-07-27,734245562
2000-07-28,705388750
2000-07-31,740658187
2000-08-01,747070812
2000-08-02,753483437
2000-08-03,791959187
2000-08-04,824022312
2000-08-07,824022312
2000-08-08,811197062
2000-08-09,801578125
2000-08-10,785546562
2000-08-11,814403375
2000-08-14,824022312
2000-08-15,807990750
2000-08-16,814403375
2000-08-17,811197062
2000-08-18,795165500
2000-08-21,788752875
2000-08-22,756689750
2000-08-23,807990750
2000-08-24,801578125
2000-08-25,795165500
2000-08-28,791959187
