,CCL
2000-01-03,28713783468
2000-01-04,28369218067
2000-01-05,29326344182
2000-01-06,29747479673
2000-01-07,29402914272
2000-01-10,30704605789
2000-01-11,30934316057
2000-01-12,29517769405
2000-01-13,30628035700
2000-01-14,30972601101
2000-01-18,30628035700
2000-01-19,30781175878
2000-01-20,30130330119
2000-01-21,28560643290
2000-01-24,26416680791
2000-01-25,25880690166
2000-01-26,26914386371
2000-01-27,26186970523
2000-01-28,27258951773
2000-01-31,27603517174
2000-02-01,27603517174
2000-02-02,27565232130
2000-02-03,28943493736
2000-02-04,28560643290
2000-02-07,26378395746
2000-02-08,26186970523
2000-02-09,26301825657
2000-02-10,25765835032
2000-02-11,24732138827
2000-02-14,21745905347
2000-02-15,20827064276
2000-02-16,19525372758
2000-02-17,19104237267
2000-02-18,19027667178
2000-02-22,18644816732
2000-02-23,18147111152
2000-02-24,17151699992
2000-02-25,16921989724
2000-02-28,18376821420
2000-02-29,17283771316
2000-03-01,16121522052
2000-03-02,15521651464
2000-03-03,15671619111
2000-03-06,14546861759
2000-03-07,14696829406
2000-03-08,14359402200
2000-03-09,13909499259
2000-03-10,13834515435
2000-03-13,13722039700
2000-03-14,13309628671
2000-03-15,13647055877
2000-03-16,15896570582
2000-03-17,13122169112
2000-03-20,14246926465
2000-03-21,14396894112
2000-03-22,14884288964
2000-03-23,14359402200
2000-03-24,14771813229
2000-03-27,14846797053
2000-03-28,14584353670
2000-03-29,14584353670
2000-03-30,14434386023
2000-03-31,14884288964
2000-04-03,14359402200
2000-04-04,14546861759
2000-04-05,14434386023
2000-04-06,14471877935
2000-04-07,14696829406
2000-04-10,14921780876
2000-04-11,14884288964
2000-04-12,14359402200
2000-04-13,14359402200
2000-04-14,13197152936
2000-04-17,13347120583
2000-04-18,14284418376
2000-04-19,14246926465
2000-04-20,14359402200
2000-04-24,14209434553
2000-04-25,14471877935
2000-04-26,14771813229
2000-04-27,14696829406
2000-04-28,14921780876
2000-05-01,14546861759
2000-05-02,15146732347
2000-05-03,14921780876
2000-05-04,14659337494
2000-05-05,15071748523
2000-05-08,15484159552
2000-05-09,15221716170
2000-05-10,15746602935
2000-05-11,15896570582
2000-05-12,15634127199
2000-05-15,15859078670
2000-05-16,16421457346
2000-05-17,16196505876
2000-05-18,17283771316
2000-05-19,16383965434
2000-05-22,15709111023
2000-05-23,15484159552
2000-05-24,16159013964
2000-05-25,15409175729
2000-05-26,14959272788
2000-05-30,16308981611
2000-05-31,16031743000
2000-06-01,15699287500
2000-06-02,16142561500
2000-06-05,15773166500
2000-06-06,15477650500
2000-06-07,14886618500
2000-06-08,14775800000
2000-06-09,14738860500
2000-06-12,14369465500
2000-06-13,14369465500
2000-06-14,14295586500
2000-06-15,14037010000
2000-06-16,13926191500
2000-06-19,13815373000
2000-06-20,11525124000
2000-06-21,11303487000
2000-06-22,11635942500
2000-06-23,11044910500
2000-06-26,11229608000
2000-06-27,11340426500
2000-06-28,11460479875
2000-06-29,11266547500
2000-06-30,11525124000
2000-07-03,11525124000
2000-07-05,11672882000
2000-07-06,11857579500
2000-07-07,12300853500
2000-07-10,11968398000
2000-07-11,12190035000
2000-07-12,12300853500
2000-07-13,11968398000
2000-07-14,11894519000
2000-07-17,11635942500
2000-07-18,11820640000
2000-07-19,12116156000
2000-07-20,11562063500
2000-07-21,11377366000
2000-07-24,11155729000
2000-07-25,11303487000
2000-07-26,11174198750
2000-07-27,11377366000
2000-07-28,11414305500
2000-07-31,11007971000
2000-08-01,11192668500
2000-08-02,11303487000
2000-08-03,11377366000
2000-08-04,11599003000
2000-08-07,11857579500
2000-08-08,12005337500
2000-08-09,12300853500
2000-08-10,12854946000
2000-08-11,13335159500
2000-08-14,13630675500
2000-08-15,12928825000
2000-08-16,12891885500
2000-08-17,12818006500
2000-08-18,13002704000
2000-08-21,13556796500
2000-08-22,13335159500
2000-08-23,13076583000
2000-08-24,12707188000
2000-08-25,12633309000
2000-08-28,12374732500
2000-08-29,12374732500
2000-08-30,11820640000
2000-08-31,11959481754
2000-09-01,12137422360
2000-09-05,12661878882
2000-09-06,12624417702
2000-09-07,11800271739
2000-09-08,12212344720
2000-09-11,12212344720
2000-09-12,12099961180
2000-09-13,11875194099
2000-09-14,11987577640
2000-09-15,13710791925
2000-09-18,13710791925
2000-09-19,13261257764
2000-09-20,13223796584
2000-09-21,15096855590
2000-09-22,15434006211
2000-09-25,15321622671
2000-09-26,14947010869
2000-09-27,14684782609
2000-09-28,14984472050
2000-09-29,14759704969
2000-10-02,14684782609
2000-10-03,14947010869
2000-10-04,14609860248
2000-10-05,14647321428
2000-10-06,14572399068
2000-10-09,14609860248
2000-10-10,14385093168
2000-10-11,13673330745
2000-10-12,13036490683
2000-10-13,13635869565
2000-10-16,13186335404
2000-10-17,12174883540
2000-10-18,12774262422
2000-10-19,13111413043
2000-10-20,13261257764
2000-10-23,13411102484
2000-10-24,13486024845
2000-10-25,13298718944
2000-10-26,13598408385
2000-10-27,13710791925
2000-10-30,14010481366
2000-10-31,14872088509
2000-11-01,14085403727
2000-11-02,14310170807
2000-11-03,14460015528
2000-11-06,14572399068
2000-11-07,14647321428
2000-11-08,14572399068
2000-11-09,13635869565
2000-11-10,13186335404
2000-11-13,12849184782
2000-11-14,13635869565
2000-11-15,13448563664
2000-11-16,13523486025
2000-11-17,13560947205
2000-11-20,13223796584
2000-11-21,13635869565
2000-11-22,13298718944
2000-11-24,13336180124
2000-11-27,13898097826
2000-11-28,13598408385
2000-11-29,13673330745
2000-11-30,13263294000
2000-12-01,13409446000
2000-12-04,13226756000
2000-12-05,13190218000
2000-12-06,14286358000
2000-12-07,14286358000
2000-12-08,16149796000
2000-12-11,15857492000
2000-12-12,15711340000
2000-12-13,16003644000
2000-12-14,15674802000
2000-12-15,15090194000
2000-12-18,15272884000
2000-12-19,15492112000
2000-12-20,14249820000
2000-12-21,14980580000
2000-12-22,15711340000
2000-12-26,15163270000
2000-12-27,16442100000
2000-12-28,17830544000
2000-12-29,18013234000
2001-01-02,16551714000
2001-01-03,17684392000
2001-01-04,17684392000
2001-01-05,17538240000
2001-01-08,17392088000
2001-01-09,17392088000
2001-01-10,17099784000
2001-01-11,17136322000
2001-01-12,17428626000
2001-01-16,18634380000
2001-01-17,19365140000
2001-01-18,19218988000
2001-01-19,18122848000
2001-01-22,19292064000
2001-01-23,19767058000
2001-01-24,19730520000
2001-01-25,19145912000
2001-01-26,19328602000
2001-01-29,19496675630
2001-01-30,19058219630
2001-01-31,18859452910
2001-02-01,18508689280
2001-02-02,17976696000
2001-02-05,19116682184
2001-02-06,19075759624
