,GIS
2000-12-01,11588068000
2000-12-04,11622184000
2000-12-05,11462976000
2000-12-06,11229850000
2000-12-07,11372000000
2000-12-08,11588068000
2000-12-11,11138874000
2000-12-12,11178676000
2000-12-13,11281024000
2000-12-14,11354942000
2000-12-15,11263966000
2000-12-18,11690416000
2000-12-19,11622184000
2000-12-20,11849624000
2000-12-21,11849624000
2000-12-22,12082750000
2000-12-26,12440968000
2000-12-27,12543316000
2000-12-28,12600176000
2000-12-29,12668408000
2001-01-02,12509200000
2001-01-03,12276074000
2001-01-04,11906484000
2001-01-05,12173726000
2001-01-08,12241958000
2001-01-09,12241958000
2001-01-10,12133924000
2001-01-11,11798450000
2001-01-12,11656300000
2001-01-16,11940600000
2001-01-17,11730218000
2001-01-18,11690416000
2001-01-19,11531208000
2001-01-22,11565324000
2001-01-23,11588068000
2001-01-24,11480034000
2001-01-25,11514150000
2001-01-26,11531208000
2001-01-29,11462976000
2001-01-30,11582382000
2001-01-31,11912170000
2001-02-01,11929228000
2001-02-02,11798450000
2001-02-05,11980402000
2001-02-06,12327248000
2001-02-07,12583118000
2001-02-08,12571746000
2001-02-09,12281760000
2001-02-12,12361364000
2001-02-13,12600176000
2001-02-14,12435282000
2001-02-15,12497828000
2001-02-16,12577432000
2001-02-20,12685466000
2001-02-21,12588804000
2001-02-22,12338620000
2001-02-23,12361364000
2001-02-26,12531688000
2001-02-27,12571616000
2001-02-28,12794072000
2001-03-01,12851112000
2001-03-02,13016528000
2001-03-05,13159128000
2001-03-06,12896744000
2001-03-07,12862520000
2001-03-08,12776960000
2001-03-09,12719920000
2001-03-12,12685696000
2001-03-13,12588728000
2001-03-14,12349160000
2001-03-15,12314936000
2001-03-16,12263600000
2001-03-19,12166631999
2001-03-20,12195152000
2001-03-21,12263600000
2001-03-22,11961288000
2001-03-23,11927064000
2001-03-26,11909952000
2001-03-27,12178040000
2001-03-28,12223672000
2001-03-29,12223672000
2001-03-30,12263600000
2001-04-02,12206560000
2001-04-03,12121000000
2001-04-04,12121000000
2001-04-05,11858616000
2001-04-06,11607640000
2001-04-09,11653272000
2001-04-10,11550600000
2001-04-11,11447928000
2001-04-12,11550600000
2001-04-16,11499264000
2001-04-17,11522080000
2001-04-18,11373776000
2001-04-19,11328144000
2001-04-20,10877528000
2001-04-23,10831896000
2001-04-24,10706408000
2001-04-25,10734928000
2001-04-26,11065760000
2001-04-27,11122800000
2001-04-30,11236880000
2001-05-01,11345256000
2001-05-02,11522080000
2001-05-03,11402296000
2001-05-04,11601936000
2001-05-07,11562008000
2001-05-08,11681792000
2001-05-09,11579120000
2001-05-10,11408000000
2001-05-11,11362368000
2001-05-14,11425112000
2001-05-15,11402296000
2001-05-16,11579120000
2001-05-17,11396592000
2001-05-18,11447928000
2001-05-21,11664680000
2001-05-22,11830096000
2001-05-23,11909952000
2001-05-24,12103888000
2001-05-25,12035440000
2001-05-29,12116832000
2001-05-30,12071280000
2001-05-31,12059892000
2001-06-01,12139608000
2001-06-04,12185160000
2001-06-05,12230712000
2001-06-06,12219324000
2001-06-07,12276264000
2001-06-08,12219324000
2001-06-11,12185160000
2001-06-12,12196548000
2001-06-13,12162384000
2001-06-14,12190854000
2001-06-15,12196548000
2001-06-18,12156690000
2001-06-19,12207936000
2001-06-20,12242100000
2001-06-21,12242100000
2001-06-22,12270570000
2001-06-25,12111138000
2001-06-26,12042810000
2001-06-27,12185160000
2001-06-28,12316122000
2001-06-29,12464166000
2001-07-02,12458472000
2001-07-03,12464166000
2001-07-05,12452778000
2001-07-06,12401532000
2001-07-09,12384450000
2001-07-10,12407226000
2001-07-11,12549576000
2001-07-12,12441390000
2001-07-13,12373062000
2001-07-16,12384450000
2001-07-17,12526800000
2001-07-18,12555270000
2001-07-19,12521106000
2001-07-20,12600822000
2001-07-23,12595128000
2001-07-24,12612210000
2001-07-25,12868440000
2001-07-26,12657762000
2001-07-27,12441390000
2001-07-30,12355980000
2001-07-31,12521106000
2001-08-01,12424308000
2001-08-02,12538188000
2001-08-03,12361674000
2001-08-06,12225018000
2001-08-07,12293346000
2001-08-08,12219324000
2001-08-09,12566658000
2001-08-10,12669150000
2001-08-13,12469860000
2001-08-14,12492636000
2001-08-15,12583740000
2001-08-16,12555270000
2001-08-17,12612210000
2001-08-20,12657762000
2001-08-21,12811500000
2001-08-22,12834276000
2001-08-23,12828582000
2001-08-24,12771642000
2001-08-27,13740780000
2001-08-28,13691596000
2001-08-29,13544044000
2001-08-30,13531748000
2001-08-31,13630116000
2001-09-04,13753076000
2001-09-05,13808408000
2001-09-06,13869888000
2001-09-07,13912924000
2001-09-10,14060476000
2001-09-17,13845296000
2001-09-18,14263360000
2001-09-19,14152696000
2001-09-20,14048180000
2001-09-21,13341160000
2001-09-24,13722336000
2001-09-25,13771520000
2001-09-26,13716188000
2001-09-27,13900628000
2001-09-28,13986700000
2001-10-01,13710040000
2001-10-02,13556340000
2001-10-03,13347308000
2001-10-04,13273532000
2001-10-05,13365751999
2001-10-08,13205904000
2001-10-09,13193608000
2001-10-10,13341160000
2001-10-11,13279680000
2001-10-12,13144424000
2001-10-15,13205904000
2001-10-16,13212051999
2001-10-17,13218200000
2001-10-18,13212051999
2001-10-19,13218200000
2001-10-22,13261236000
2001-10-23,13279680000
2001-10-24,13482564000
2001-10-25,13648560000
2001-10-26,13783816000
2001-10-29,13808408000
2001-10-30,13833000000
2001-10-31,14115808000
2001-11-01,14447800000
2001-11-02,15050304000
2001-11-05,15431480000
2001-11-06,15443776000
2001-11-07,15609772000
2001-11-08,15253188000
2001-11-09,14988824000
2001-11-12,15105636000
2001-11-13,15204004000
2001-11-14,15370000000
2001-11-15,15216300000
2001-11-16,14902751999
2001-11-19,14755200000
2001-11-20,14755200000
2001-11-21,14828976000
2001-11-23,14939640000
2001-11-26,17753536000
2001-11-27,17512240000
2001-11-28,17738912000
2001-11-29,17863216000
2001-11-30,18046016000
2001-12-03,18418928000
2001-12-04,18433552000
2001-12-05,18287312000
2001-12-06,17936336000
2001-12-07,17950960000
2001-12-10,17870528000
2001-12-11,17826656000
2001-12-12,17673104000
2001-12-13,17980208000
2001-12-14,18119136000
2001-12-17,18097200000
2001-12-18,18426240000
2001-12-19,18777216000
2001-12-20,18747968000
2001-12-21,18974640000
2001-12-24,18916144000
2001-12-26,19150128000
2001-12-27,19325616000
2001-12-28,19142816000
2001-12-31,19011200000
2002-01-02,18630976000
2002-01-03,18638288000
2002-01-04,18323872000
2002-01-07,18046016000
2002-01-08,18038704000
2002-01-09,17760848000
2002-01-10,17724288000
2002-01-11,17724288000
2002-01-14,17885152000
2002-01-15,18097200000
2002-01-16,17980208000
2002-01-17,18053328000
2002-01-18,18265376000
2002-01-22,18250752000
2002-01-23,18082576000
2002-01-24,17797408000
2002-01-25,17716976000
2002-01-28,17651168000
2002-01-29,17570736000
2002-01-30,18053328000
2002-01-31,18119136000
2002-02-01,17855904000
2002-02-04,17797408000
2002-02-05,17812032000
2002-02-06,15925536000
2002-02-07,16415440000
2002-02-08,16817600000
2002-02-11,16898032000
2002-02-12,17051584000
2002-02-13,16810287999
2002-02-14,17132016000
2002-02-15,17139328000
2002-02-19,17036960000
2002-02-20,17366000000
2002-02-21,16919968000
2002-02-22,17285568000
