,WRK
2015-06-24,8045390000
2015-06-25,7857993000
2015-06-26,7857993000
2015-06-29,7718502000
2015-06-30,7731183000
2015-07-01,14448540000
2015-07-02,15047350000
2015-07-06,14762080000
2015-07-07,14463960000
2015-07-08,13826600000
2015-07-09,13780340000
2015-07-10,14217240000
2015-07-13,14384290000
2015-07-14,14399710000
2015-07-15,14268640000
2015-07-16,14430550000
2015-07-17,14299480000
2015-07-20,14253220000
2015-07-21,13857440000
2015-07-22,13926830000
2015-07-23,13857440000
2015-07-24,13641560000
2015-07-27,13474510000
2015-07-28,13739220000
2015-07-29,13752070000
2015-07-30,14548770000
2015-07-31,14602740000
2015-08-03,14628440000
2015-08-04,14487090000
2015-08-05,14530780000
2015-08-06,14296910000
2015-08-07,14487090000
2015-08-10,14582180000
2015-08-11,14679840000
2015-08-12,14659280000
2015-08-13,14618160000
2015-08-14,14641290000
2015-08-17,14666990000
2015-08-18,14625870000
2015-08-19,14371440000
2015-08-20,14050190000
2015-08-21,13664690000
2015-08-24,13073590000
2015-08-25,12850000000
2015-08-26,13071020000
2015-08-27,13713520000
2015-08-28,13952530000
2015-08-31,13741790000
2015-09-01,13528480000
2015-09-02,13469370000
2015-09-03,13597870000
2015-09-04,13279190000
2015-09-08,13569600000
2015-09-09,13487360000
2015-09-10,13600440000
2015-09-11,13603010000
2015-09-14,13795760000
2015-09-15,13818890000
2015-09-16,13613290000
2015-09-17,13366570000
2015-09-18,12896260000
2015-09-21,12934810000
2015-09-22,12490200000
2015-09-23,12222920000
2015-09-24,12112410000
2015-09-25,12030170000
2015-09-28,11570140000
2015-09-29,11708920000
2015-09-30,11911950000
2015-10-01,11946750000
2015-10-02,12178800000
2015-10-05,12428700000
2015-10-06,12477150000
2015-10-07,12421050000
2015-10-08,12449100000
2015-10-09,13226850000
2015-10-12,12941250000
2015-10-13,12760200000
2015-10-14,12811200000
2015-10-15,12867300000
2015-10-16,12818850000
2015-10-19,12469500000
2015-10-20,12352200000
2015-10-21,12076800000
2015-10-22,12061500000
2015-10-23,12262950000
2015-10-26,12237450000
2015-10-27,12194100000
2015-10-28,12500100000
2015-10-29,12421050000
2015-10-30,12352200000
2015-11-02,12428700000
2015-11-03,12227250000
2015-11-04,12234900000
2015-11-05,11803950000
2015-11-06,12329250000
2015-11-09,11923800000
2015-11-10,11793750000
2015-11-11,11844750000
2015-11-12,11319450000
2015-11-13,11153700000
2015-11-16,11010900000
2015-11-17,10970100000
2015-11-18,11388300000
2015-11-19,11528550000
2015-11-20,11513250000
2015-11-23,11579550000
2015-11-24,11602500000
2015-11-25,11551500000
2015-11-27,11582100000
2015-11-30,11633100000
2015-12-01,11722350000
2015-12-02,11571900000
2015-12-03,11610150000
2015-12-04,11584650000
2015-12-07,11248050000
2015-12-08,11028750000
2015-12-09,11038950000
2015-12-10,10778850000
2015-12-11,10513650000
2015-12-14,10143900000
2015-12-15,10011300000
2015-12-16,10319850000
2015-12-17,10309650000
2015-12-18,10128600000
2015-12-21,10220400000
2015-12-22,10118400000
2015-12-23,10455000000
2015-12-24,10455000000
2015-12-28,10483050000
2015-12-29,10539150000
2015-12-30,10513650000
2015-12-31,10480500000
2016-01-04,10350924000
2016-01-05,10345876000
2016-01-06,10058140000
2016-01-07,9957180000
2016-01-08,9535672000
2016-01-11,9040968000
2016-01-12,8720420000
2016-01-13,8632080000
2016-01-14,8755756000
2016-01-15,8425112000
2016-01-19,8291340000
2016-01-20,8197951999
2016-01-21,8278719999
2016-01-22,8581600000
2016-01-25,7301932000
2016-01-26,7294360000
2016-01-27,7412988000
2016-01-28,7198448000
2016-01-29,8023796000
2016-02-01,7960696000
2016-02-02,7587144000
2016-02-03,7574524000
2016-02-04,7829448000
2016-02-05,7594716000
2016-02-08,7319600000
2016-02-09,7433180000
2016-02-10,7130300000
2016-02-11,6809752000
2016-02-12,7057104000
2016-02-16,7165636000
2016-02-17,7438228000
2016-02-18,7443276000
2016-02-19,7175732000
2016-02-22,7357460000
2016-02-23,7407940000
2016-02-24,7347364000
2016-02-25,7372604000
2016-02-26,7632576000
2016-02-29,7680532000
2016-03-01,8049036000
2016-03-02,8392300000
2016-03-03,8568980000
2016-03-04,8359487999
2016-03-07,8240860000
2016-03-08,8041464000
2016-03-09,8094468000
2016-03-10,7968268000
2016-03-11,8404919999
2016-03-14,8647224000
2016-03-15,8417540000
2016-03-16,8639652000
2016-03-17,8957676000
2016-03-18,8967772000
2016-03-21,9121736000
2016-03-22,9139404000
2016-03-23,8914768000
2016-03-24,8760804000
2016-03-28,8745660000
2016-03-29,8859240000
2016-03-30,8697704000
2016-03-31,8876908000
2016-04-01,8882980000
2016-04-04,8573635000
2016-04-05,8264290000
2016-04-06,8462975000
2016-04-07,8385010000
2016-04-08,8427764999
2016-04-11,8435310000
2016-04-12,8596270000
2016-04-13,8862860000
2016-04-14,8681780000
2016-04-15,8752200000
2016-04-18,8840225000
2016-04-19,9016275000
2016-04-20,8960945000
2016-04-21,8930765000
2016-04-22,9232565000
2016-04-25,9006215000
2016-04-26,9245140000
2016-04-27,9433765000
2016-04-28,9461430000
2016-04-29,9484065000
2016-05-02,9363345000
2016-05-03,9048970000
2016-05-04,8827650000
2016-05-05,9106815000
2016-05-06,9267775000
2016-05-09,9418675000
2016-05-10,9614845000
2016-05-11,9692810000
2016-05-12,9632450000
2016-05-13,9645025000
2016-05-16,9966945000
2016-05-17,9549455000
2016-05-18,9406100000
2016-05-19,9305500000
2016-05-20,9531850000
2016-05-23,9569575000
2016-05-24,9730535000
2016-05-25,9909100000
2016-05-26,9888980000
2016-05-27,10004670000
2016-05-31,9961915000
2016-06-01,9956885000
2016-06-02,10027305000
2016-06-03,9994610000
2016-06-06,10120360000
2016-06-07,10100240000
2016-06-08,10178205000
2016-06-09,10135450000
2016-06-10,9808500000
2016-06-13,9549455000
2016-06-14,9516760000
2016-06-15,9650055000
2016-06-16,9793410000
2016-06-17,9992095000
2016-06-20,10248625000
2016-06-21,10286350000
2016-06-22,10175690000
2016-06-23,10439765000
2016-06-24,9705385000
2016-06-27,9021305000
2016-06-28,9373405000
2016-06-29,9551970000
2016-06-30,9775805000
2016-07-01,9801550000
2016-07-05,9297040000
2016-07-06,9392420000
2016-07-07,9327160000
2016-07-08,9676050000
2016-07-11,9756370000
2016-07-12,9974740000
2016-07-13,9942110000
2016-07-14,10092710000
2016-07-15,10670010000
