,ABBV
2012-12-10,55430518990
2012-12-11,55937312306
2012-12-12,52833203243
2012-12-13,53530044053
2012-12-14,52263060762
2012-12-17,52896552407
2012-12-18,54527793395
2012-12-19,54242722154
2012-12-20,54353583192
2012-12-21,55984824179
2012-12-24,55826451268
2012-12-26,55272146078
2012-12-27,55383007116
2012-12-28,54670329015
2012-12-31,54246079999
2013-01-02,55770559999
2013-01-03,55310040000
2013-01-04,54611320000
2013-01-07,54722480000
2013-01-08,53531480000
2013-01-09,53833200000
2013-01-10,53992000000
2013-01-11,53753800000
2013-01-14,54134920000
2013-01-15,54944800000
2013-01-16,56437520000
2013-01-17,57834960000
2013-01-18,59264160000
2013-01-22,57834960000
2013-01-23,60026399999
2013-01-24,59486480000
2013-01-25,59708800000
2013-01-28,58581320000
2013-01-29,59248280000
2013-01-30,58644840000
2013-01-31,58263720000
2013-02-01,59041840000
2013-02-04,59200640000
2013-02-05,59073600000
2013-02-06,58978320000
2013-02-07,57834960000
2013-02-08,57565000000
2013-02-11,56929800000
2013-02-12,56246960000
2013-02-13,56008760000
2013-02-14,58073160000
2013-02-15,59677040000
2013-02-19,60645720000
2013-02-20,61312680000
2013-02-21,61582640000
2013-02-22,61074480000
2013-02-25,59343559999
2013-02-26,58898920000
2013-02-27,58327239999
2013-02-28,58628960000
2013-03-01,60042280000
2013-03-04,60725120000
2013-03-05,59565880000
2013-03-06,59931120000
2013-03-07,59534120000
2013-03-08,59295920000
2013-03-11,59819960000
2013-03-12,59025960000
2013-03-13,59025960000
2013-03-14,59645280000
2013-03-15,61138000000
2013-03-18,60598079999
2013-03-19,60915680000
2013-03-20,62027280000
2013-03-21,61122120000
2013-03-22,61884360000
2013-03-25,62440160000
2013-03-26,63853480000
2013-03-27,63758200000
2013-03-28,64758640000
2013-04-01,65339679999
2013-04-02,64688190000
2013-04-03,64465730000
2013-04-04,66102400000
2013-04-05,65641590000
2013-04-08,66372530000
2013-04-09,67611949999
2013-04-10,69312180000
2013-04-11,68644800000
2013-04-12,68470010000
2013-04-15,65848160000
2013-04-16,67453050000
2013-04-17,67119360000
2013-04-18,67246480000
2013-04-19,67357710000
2013-04-22,70233800000
2013-04-23,71727460000
2013-04-24,70424480000
2013-04-25,70297360000
2013-04-26,72839760000
2013-04-29,71870470000
2013-04-30,73173450000
2013-05-01,72378950000
2013-05-02,69900110000
2013-05-03,70996520000
2013-05-06,70853510000
2013-05-07,71361990000
2013-05-08,69105610000
2013-05-09,70297360000
2013-05-10,71520890000
2013-05-13,70774060000
2013-05-14,72061150000
2013-05-15,73141670000
2013-05-16,73427690000
2013-05-17,74953130000
2013-05-20,73507140000
2013-05-21,73952060000
2013-05-22,74301640000
2013-05-23,74031510000
2013-05-24,72204160000
2013-05-28,72124710000
2013-05-29,69725320000
2013-05-30,70789950000
2013-05-31,67834410000
2013-06-03,68899040000
2013-06-04,69328070000
2013-06-05,68390560000
2013-06-06,69121500000
2013-06-07,69916000000
2013-06-10,69788880000
2013-06-11,69264510000
2013-06-12,67961530000
2013-06-13,68565350000
2013-06-14,68660690000
2013-06-17,68342890000
2013-06-18,69185060000
2013-06-19,68390560000
2013-06-20,65244340000
2013-06-21,67723179999
2013-06-24,66563210000
2013-06-25,67739070000
2013-06-26,68930820000
2013-06-27,68533570000
2013-06-28,65689260000
2013-07-01,66159900000
2013-07-02,67113900000
2013-07-03,67145699999
2013-07-05,67924800000
2013-07-08,69451200000
2013-07-09,68878800000
2013-07-10,69816900000
2013-07-11,69610200000
2013-07-12,71629500000
2013-07-15,70945800000
2013-07-16,69657900000
2013-07-17,69896400000
2013-07-18,70468800000
2013-07-19,70786800000
2013-07-22,71502300000
2013-07-23,70452900000
2013-07-24,69387600000
2013-07-25,70341600000
2013-07-26,71216100000
2013-07-29,71645400000
2013-07-30,71073000000
2013-07-31,72313200000
2013-08-01,71947500000
2013-08-02,72058800000
2013-08-05,71088900000
2013-08-06,71359200000
2013-08-07,70866300000
2013-08-08,71645400000
2013-08-09,71088900000
