,AMGN
2001-01-23,70534525000
2001-01-24,71898366000
2001-01-25,74959200000
2001-01-26,74636459000
2001-01-29,73918100000
2001-01-30,73918100000
2001-01-31,73199741000
2001-02-01,72158641000
2001-02-02,72814534000
2001-02-05,71117541000
2001-02-06,72752068000
2001-02-07,73532893000
2001-02-08,72679191000
2001-02-09,75542216000
2001-02-12,77239209000
2001-02-13,75281941000
2001-02-14,74959200000
2001-02-15,75021666000
2001-02-16,74178375000
2001-02-20,71252884000
2001-02-21,73532893000
2001-02-22,72939466000
2001-02-23,73335084000
2001-02-26,76395918000
2001-02-27,76978934000
2001-02-28,75021666000
2001-03-01,73938922000
2001-03-02,75417284000
2001-03-05,75802491000
2001-03-06,76718659000
2001-03-07,74115909000
2001-03-08,71377816000
2001-03-09,69368493000
2001-03-12,63829841000
2001-03-13,67733966000
2001-03-14,67671500000
2001-03-15,67806842999
2001-03-16,64943818000
2001-03-19,66567934000
2001-03-20,63829841000
2001-03-21,57718584000
2001-03-22,57198034000
2001-03-23,58499409000
2001-03-26,61299968000
2001-03-27,63246825000
2001-03-28,62007916000
2001-03-29,62143259000
2001-03-30,62663809000
2001-04-02,59553600000
2001-04-03,57140112000
2001-04-04,57464000000
2001-04-05,59355088000
2001-04-06,56878912000
2001-04-09,56387856000
2001-04-10,53817648000
2001-04-11,54193776000
2001-04-12,56565472000
2001-04-16,57025184000
2001-04-17,59658080000
2001-04-18,64307440000
2001-04-19,63816384000
2001-04-20,62228288000
2001-04-23,62635760000
2001-04-24,60023760000
2001-04-25,61016320000
2001-04-26,58393872000
2001-04-27,62562624000
2001-04-30,63879072000
2001-05-01,64140272000
2001-05-02,65028352000
2001-05-03,62102912000
2001-05-04,65185072000
2001-05-07,64871632000
2001-05-08,64965664000
2001-05-09,63691008000
2001-05-10,62876064000
2001-05-11,63314880000
2001-05-14,63680560000
2001-05-15,63283536000
2001-05-16,67912000000
2001-05-17,69803088000
2001-05-18,68392607999
2001-05-21,69886672000
2001-05-22,69207552000
2001-05-23,66982128000
2001-05-24,70147872000
2001-05-25,68820976000
2001-05-29,70315040000
2001-05-30,68768736000
2001-05-31,69353824000
2001-06-01,71652384000
2001-06-04,73021072000
2001-06-05,73156896000
2001-06-06,71255360000
2001-06-07,71903136000
2001-06-08,70471760000
2001-06-11,69740400000
2001-06-12,69918016000
2001-06-13,70785200000
2001-06-14,69949360000
2001-06-15,70064288000
2001-06-18,69980704000
2001-06-19,69970256000
2001-06-20,70461312000
2001-06-21,70315040000
2001-06-22,68058272000
2001-06-25,67128400000
2001-06-26,66000016000
2001-06-27,65937328000
2001-06-28,65477616000
2001-06-29,63398464000
2001-07-02,64648661000
2001-07-03,63652776000
2001-07-05,61032026000
2001-07-06,59920828000
2001-07-09,61556176000
2001-07-10,60308699000
2001-07-11,59763583000
2001-07-12,57761330000
2001-07-13,58327412000
2001-07-16,56618683000
2001-07-17,57719398000
2001-07-18,62950415000
2001-07-19,62363367000
2001-07-20,63642293000
2001-07-23,61419897000
2001-07-24,60560291000
2001-07-25,62038394000
2001-07-26,60507876000
2001-07-27,63757606000
2001-07-30,63390701000
2001-07-31,65738893000
2001-08-01,65088947000
2001-08-02,65246192000
2001-08-03,64900253000
2001-08-06,65371988000
2001-08-07,65675995000
2001-08-08,63830987000
2001-08-09,63946300000
2001-08-10,64051130000
2001-08-13,65990485000
2001-08-14,64910736000
2001-08-15,62992347000
2001-08-16,63946300000
2001-08-17,62845585000
2001-08-20,62824619000
2001-08-21,61231203000
2001-08-22,63820504000
2001-08-23,65959036000
2001-08-24,68066119000
2001-08-27,67594384000
2001-08-28,66042900000
2001-08-29,65623580000
2001-08-30,67688730999
2001-08-31,67405690000
2001-09-04,67237962000
2001-09-05,68349160000
2001-09-06,68831378000
2001-09-07,66986370000
2001-09-10,67227478999
2001-09-17,63789055000
2001-09-18,62248054000
2001-09-19,60748985000
2001-09-20,61849700000
2001-09-21,58725766000
2001-09-24,57929058000
2001-09-25,59228950000
2001-09-26,60057107000
2001-09-27,62321435000
2001-09-28,61608591000
2001-10-01,61061036000
2001-10-02,61801992000
2001-10-03,62449024000
2001-10-04,59954820000
2001-10-05,61301064000
2001-10-08,60236592000
2001-10-09,59923512000
2001-10-10,61551528000
2001-10-11,64337940000
2001-10-12,64296196000
2001-10-15,64922356000
2001-10-16,64233580000
2001-10-17,61582836000
2001-10-18,61676760000
2001-10-19,62532512000
2001-10-22,62449024000
2001-10-23,61624580000
2001-10-24,59568688000
2001-10-25,60789700000
2001-10-26,62042020000
2001-10-29,59620868000
2001-10-30,59359968000
2001-10-31,59297352000
2001-11-01,60528800000
2001-11-02,60153104000
2001-11-05,61092344000
2001-11-06,61843736000
2001-11-07,62553384000
2001-11-08,60090488000
2001-11-09,59370404000
2001-11-12,58723372000
2001-11-13,60518364000
2001-11-14,59829588000
2001-11-15,59526944000
2001-11-16,58984272000
2001-11-19,60894060000
2001-11-20,60434876000
2001-11-21,64682328000
2001-11-23,67228712000
2001-11-26,70328204000
2001-11-27,68721060000
2001-11-28,67333071999
2001-11-29,68658444000
2001-11-30,69326348000
2001-12-03,68334928000
2001-12-04,69566376000
2001-12-05,70693464000
2001-12-06,71476164000
2001-12-07,69712480000
2001-12-10,67698332000
2001-12-11,67103480000
2001-12-12,67197404000
2001-12-13,62814284000
2001-12-14,58472908000
2001-12-17,62083764000
2001-12-18,60935804000
2001-12-19,60873188000
2001-12-20,60320080000
2001-12-21,60497492000
2001-12-24,59506072000
2001-12-26,60831444000
2001-12-27,60946240000
2001-12-28,61635016000
2001-12-31,58900784000
2002-01-02,58859040000
2002-01-03,56709224000
2002-01-04,58045032000
2002-01-07,58118084000
2002-01-08,59005144000
2002-01-09,58201572000
2002-01-10,58952964000
2002-01-11,59589560000
2002-01-14,57919800000
2002-01-15,58712936000
2002-01-16,58118084000
2002-01-17,58232880000
2002-01-18,56698788000
2002-01-22,58504216000
2002-01-23,61008856000
2002-01-24,59704356000
2002-01-25,59547816000
2002-01-28,58754680000
2002-01-29,56876200000
2002-01-30,57439744000
2002-01-31,57919800000
2002-02-01,60403568000
2002-02-04,58827732000
2002-02-05,59151248000
2002-02-06,58900784000
2002-02-07,58452036000
2002-02-08,60424440000
2002-02-11,60153104000
2002-02-12,61572400000
2002-02-13,61488912000
2002-02-14,60528800000
2002-02-15,60727084000
2002-02-19,59380840000
2002-02-20,61520220000
2002-02-21,60100924000
2002-02-22,60059180000
2002-02-25,61541092000
2002-02-26,61175832000
2002-02-27,60393132000
2002-02-28,60507928000
2002-03-01,61081908000
2002-03-04,62490768000
2002-03-05,61509784000
2002-03-06,63231724000
2002-03-07,62407280000
2002-03-08,62323792000
2002-03-11,61989840000
2002-03-12,62188124000
2002-03-13,62469896000
