,RTX
2000-01-03,18607820000
2000-01-04,17841560000
2000-01-05,17491540000
2000-01-06,18324020000
2000-01-07,19052440000
2000-01-10,19241640000
2000-01-11,18787560000
2000-01-12,19222720000
2000-01-13,19421380000
2000-01-14,18995680000
2000-01-18,18683500000
2000-01-19,18068600000
2000-01-20,17652360000
2000-01-21,18049680000
2000-01-24,17860480000
2000-01-25,16933399999
2000-01-26,16971240000
2000-01-27,16432020000
2000-01-28,15552240000
2000-01-31,15760360000
2000-02-01,15977940000
2000-02-02,15996860000
2000-02-03,15760360000
2000-02-04,15296820000
2000-02-07,15240060000
2000-02-08,15183300000
2000-02-09,15069780000
2000-02-10,14918420000
2000-02-11,14398120000
2000-02-14,14975180000
2000-02-15,15609000000
2000-02-16,15514399999
2000-02-17,16110380000
2000-02-18,15590080000
2000-02-22,15921179999
2000-02-23,15703600000
2000-02-24,15145460000
2000-02-25,14899500000
2000-02-28,15202220000
2000-02-29,15164380000
2000-03-01,15126540000
2000-03-02,15126540000
2000-03-03,15419800000
2000-03-06,14880580000
2000-03-07,15031940000
2000-03-08,14663000000
2000-03-09,14303520000
2000-03-10,14549480000
2000-03-13,14587320000
2000-03-14,14861660000
2000-03-15,16034700000
2000-03-16,16971240000
2000-03-17,16261740000
2000-03-20,16706360000
2000-03-21,16895560000
2000-03-22,16611759999
2000-03-23,17378020000
2000-03-24,16990160000
2000-03-27,17094220000
2000-03-28,17207740000
2000-03-29,17150980000
2000-03-30,18267260000
2000-03-31,18687200000
2000-04-03,18301800000
2000-04-04,18687200000
2000-04-05,18038600000
2000-04-06,18189000000
2000-04-07,18019800000
2000-04-10,18931600000
2000-04-11,19006800000
2000-04-12,19006800000
2000-04-13,18010400000
2000-04-14,16638000000
2000-04-17,17615600000
2000-04-18,17173800000
2000-04-19,18076200000
2000-04-20,18950400000
2000-04-24,19185400000
2000-04-25,19100800000
2000-04-26,17935200000
2000-04-27,18339400000
2000-04-28,18395800000
2000-05-01,18339400000
2000-05-02,18565000000
2000-05-03,18132600000
2000-05-04,18264200000
2000-05-05,19317000000
2000-05-08,18414600000
2000-05-09,18489800000
2000-05-10,17672000000
