,ESS
2000-01-03,601834887
2000-01-04,595149840
2000-01-05,592801040
2000-01-06,598582702
2000-01-07,618818519
2000-01-10,615385657
2000-01-11,608700610
2000-01-12,607616549
2000-01-13,614301596
2000-01-14,612133472
2000-01-18,609784672
2000-01-19,616650396
2000-01-20,619902581
2000-01-21,615385657
2000-01-24,614301596
2000-01-25,617734457
2000-01-26,616650396
2000-01-27,621167319
2000-01-28,613217534
2000-01-31,614301596
2000-02-01,625684243
2000-02-02,624419504
2000-02-03,630201166
2000-02-04,633453351
2000-02-07,628936428
2000-02-08,621167319
2000-02-09,619902581
2000-02-10,621167319
2000-02-11,619902581
2000-02-14,624419504
2000-02-15,622251381
2000-02-16,618818519
2000-02-17,621167319
2000-02-18,622251381
2000-02-22,631285228
2000-02-23,630201166
2000-02-24,626768304
2000-02-25,621167319
2000-02-28,624419504
2000-02-29,636886213
2000-03-01,643751937
2000-03-02,643751937
2000-03-03,649352922
2000-03-06,651521045
2000-03-07,650436984
2000-03-08,650436984
2000-03-09,651521045
2000-03-10,649352922
2000-03-13,649352922
2000-03-14,649352922
2000-03-15,644835998
2000-03-16,649352922
2000-03-17,650436984
2000-03-20,648268860
2000-03-21,649352922
2000-03-22,650436984
2000-03-23,648268860
2000-03-24,642487198
2000-03-27,647004122
2000-03-28,645920060
2000-03-29,649352922
2000-03-30,649352922
2000-03-31,651947076
2000-04-03,658828739
2000-04-04,662088474
2000-04-05,664442728
2000-04-06,675670705
2000-04-07,675670705
2000-04-10,673497548
2000-04-11,674584127
2000-04-12,681465790
2000-04-13,682552369
2000-04-14,684725526
2000-04-17,688166358
2000-04-18,685993201
2000-04-19,681465790
2000-04-20,684725526
2000-04-24,680198115
2000-04-25,689252936
2000-04-26,684725526
2000-04-27,699575431
2000-04-28,699575431
2000-05-01,704102842
2000-05-02,710803409
2000-05-03,713157662
2000-05-04,722212483
2000-05-05,728913050
2000-05-08,725472218
2000-05-09,731267303
2000-05-10,728913050
2000-05-11,727826471
2000-05-12,731267303
2000-05-15,740322124
2000-05-16,749376944
2000-05-17,744849534
2000-05-18,736881292
2000-05-19,736881292
2000-05-22,734527038
2000-05-23,732353882
2000-05-24,728913050
2000-05-25,719858229
2000-05-26,720944808
2000-05-30,724385640
2000-05-31,720944808
2000-06-01,723299061
2000-06-02,723299061
2000-06-05,723299061
2000-06-06,727826471
2000-06-07,728913050
2000-06-08,729999628
2000-06-09,732353882
2000-06-12,733440460
2000-06-13,743581859
2000-06-14,750463523
2000-06-15,756077511
2000-06-16,759518343
2000-06-19,777627984
2000-06-20,776541406
2000-06-21,768573164
2000-06-22,760604922
2000-06-23,776541406
2000-06-26,785596226
2000-06-27,796824204
2000-06-28,785596226
2000-06-29,786682805
2000-06-30,769776042
2000-07-03,775457722
2000-07-05,787004362
2000-07-06,782422362
2000-07-07,780039722
2000-07-10,781322682
2000-07-11,788104043
2000-07-12,795068683
2000-07-13,811014044
2000-07-14,807531724
2000-07-17,806432044
2000-07-18,805332363
2000-07-19,816695724
2000-07-20,833924045
2000-07-21,820178044
2000-07-24,825859725
2000-07-25,836306685
2000-07-26,850052686
2000-07-27,877544687
2000-07-28,898072049
2000-07-31,902654049
2000-08-01,912917729
2000-08-02,934728051
2000-08-03,942792371
2000-08-04,940409731
2000-08-07,934728051
2000-08-08,927946690
2000-08-09,948474051
2000-08-10,933628370
2000-08-11,927946690
2000-08-14,932528690
2000-08-15,925564050
2000-08-16,930146050
2000-08-17,932528690
2000-08-18,926663730
2000-08-21,912917729
2000-08-22,923364690
2000-08-23,910718369
2000-08-24,911818049
2000-08-25,915300369
2000-08-28,909618689
2000-08-29,907236049
2000-08-30,902654049
2000-08-31,901554369
2000-09-01,901554369
2000-09-05,896972368
2000-09-06,895872688
2000-09-07,900454689
2000-09-08,920982050
2000-09-11,934728051
2000-09-12,940409731
2000-09-13,950856691
2000-09-14,956538372
2000-09-15,970284372
2000-09-18,967901732
2000-09-19,985130053
2000-09-20,996676694
2000-09-21,988612373
2000-09-22,1012622055
2000-09-25,995393734
2000-09-26,1002358374
2000-09-27,1008040055
2000-09-28,1034432376
2000-09-29,1015004695
2000-10-02,1011522375
2000-10-03,1012622055
2000-10-04,1013721735
2000-10-05,1001258694
2000-10-06,1004557734
2000-10-09,1010422695
2000-10-10,1009139735
2000-10-11,1003458054
2000-10-12,985130053
2000-10-13,987512693
2000-10-16,988612373
2000-10-17,989712054
2000-10-18,984030373
2000-10-19,990811734
2000-10-20,989712054
2000-10-23,994294054
2000-10-24,965702372
2000-10-25,960020692
2000-10-26,962220052
2000-10-27,965702372
2000-10-30,957638052
2000-10-31,953056052
2000-11-01,948474051
2000-11-02,948474051
2000-11-03,940409731
2000-11-06,935827731
2000-11-07,943892051
2000-11-08,940409731
