,POM
2010-04-20,3672500000
2010-04-21,3823920000
2010-04-22,3758380000
2010-04-23,3742559999
2010-04-26,3717700000
2010-04-27,3704140000
2010-04-28,3717700000
2010-04-29,3758380000
2010-04-30,3783239999
2010-05-03,3851040000
2010-05-04,3783239999
2010-05-05,3758380000
2010-05-06,3631820000
2010-05-07,3681540000
2010-05-10,3799059999
2010-05-11,3826180000
2010-05-12,3851040000
2010-05-13,3821660000
2010-05-14,3760640000
2010-05-17,3751600000
2010-05-18,3735780000
2010-05-19,3674760000
2010-05-20,3541420000
2010-05-21,3591140000
2010-05-24,3595660000
2010-05-25,3561760000
2010-05-26,3588880000
2010-05-27,3677020000
2010-05-28,3645380000
2010-06-01,3536900000
2010-06-02,3575320000
2010-06-03,3604700000
2010-06-04,3482660000
2010-06-07,3512040000
2010-06-08,3491700000
2010-06-09,3489440000
2010-06-10,3552720000
2010-06-11,3559500000
2010-06-14,3582100000
2010-06-15,3629559999
2010-06-16,3681540000
2010-06-17,3742559999
2010-06-18,3783239999
2010-06-21,3729000000
2010-06-22,3647640000
2010-06-23,3604700000
2010-06-24,3609220000
2010-06-25,3634079999
2010-06-28,3658940000
2010-06-29,3568540000
2010-06-30,3543680000
2010-07-01,3530120000
2010-07-02,3539160000
2010-07-06,3595660000
2010-07-07,3708660000
2010-07-08,3767420000
2010-07-09,3769680000
2010-07-12,3747079999
2010-07-13,3760640000
2010-07-14,3719960000
2010-07-15,3762899999
2010-07-16,3656680000
2010-07-19,3715440000
2010-07-20,3724480000
2010-07-21,3695100000
2010-07-22,3790020000
2010-07-23,3842000000
2010-07-26,3857820000
2010-07-27,3936920000
2010-07-28,3916579999
2010-07-29,3851040000
2010-07-30,3821660000
2010-08-02,3882680000
2010-08-03,3880420000
2010-08-04,3905280000
2010-08-05,3893980000
2010-08-06,3916579999
2010-08-09,3968559999
2010-08-10,4000200000
2010-08-11,3891719999
2010-08-12,3900760000
2010-08-13,3959520000
2010-08-16,3991160000
2010-08-17,4065739999
2010-08-18,4040880000
2010-08-19,4016020000
2010-08-20,4034100000
2010-08-23,4040880000
2010-08-24,4047660000
2010-08-25,4034100000
2010-08-26,4002460000
2010-08-27,4081559999
2010-08-30,4022800000
2010-08-31,4056700000
2010-09-01,4147100000
2010-09-02,4147100000
2010-09-03,4178739999
2010-09-07,4158399999
2010-09-08,4077040000
2010-09-09,4108680000
2010-09-10,4110940000
2010-09-13,4131280000
2010-09-14,4129020000
2010-09-15,4106420000
2010-09-16,4068000000
2010-09-17,4095120000
2010-09-20,4174219999
2010-09-21,4165180000
2010-09-22,4158399999
2010-09-23,4113200000
2010-09-24,4183260000
2010-09-27,4190040000
2010-09-28,4237500000
2010-09-29,4237500000
2010-09-30,4203600000
2010-10-01,4239760000
2010-10-04,4248800000
2010-10-05,4309820000
2010-10-06,4296260000
2010-10-07,4303040000
2010-10-08,4318860000
2010-10-11,4330160000
2010-10-12,4318860000
2010-10-13,4325640000
2010-10-14,4348240000
2010-10-15,4391180000
2010-10-18,4445420000
2010-10-19,4404740000
2010-10-20,4438640000
2010-10-21,4402480000
2010-10-22,4386660000
2010-10-25,4357280000
2010-10-26,4316600000
2010-10-27,4287219999
2010-10-28,4291739999
2010-10-29,4352760000
2010-11-01,4330160000
2010-11-02,4364060000
2010-11-03,4343720000
2010-11-04,4377620000
2010-11-05,4355020000
