,ADCT
2020-05-15,1863913626
2020-05-18,1885915980
2020-05-19,1957580787
2020-05-20,2035531981
2020-05-21,2158116519
2020-05-22,2219094469
2020-05-26,2288244722
2020-05-27,2271900117
2020-05-28,2385683714
2020-05-29,2322819848
2020-06-01,2277557865
2020-06-02,2314647546
2020-06-03,2253669596
2020-06-04,2199606671
2020-06-05,2197092116
2020-06-08,2215951276
2020-06-09,2303960688
2020-06-10,2361166806
2020-06-11,2425916588
2020-06-12,2534671077
2020-06-15,2493809564
2020-06-16,2491923648
2020-06-17,2457977160
2020-06-18,2533413799
2020-06-19,2608850439
2020-06-22,2645940119
2020-06-23,2717604927
2020-06-24,2700631683
2020-06-25,2684915716
2020-06-26,2712575817
2020-06-29,2887966004
2020-06-30,2942657567
2020-07-01,3458490411
2020-07-02,3620175015
2020-07-06,3469836699
2020-07-07,3369138393
2020-07-08,3164196066
2020-07-09,3142921776
2020-07-10,3077680620
2020-07-13,3071298333
2020-07-14,3004638891
2020-07-15,3200362359
2020-07-16,3367720107
2020-07-17,3474800700
2020-07-20,3452817267
2020-07-21,3430124691
2020-07-22,3332972100
2020-07-23,3462036126
2020-07-24,3449980695
2020-07-27,3452817267
2020-07-28,3446434980
2020-07-29,3427288119
2020-07-30,3418778403
2020-07-31,3297514950
2020-08-03,3320916669
2020-08-04,3471964128
2020-08-05,3618756729
2020-08-06,3314534382
2020-08-07,3413105259
2020-08-10,3530113854
2020-08-11,3067043475
2020-08-12,3049314900
2020-08-13,2999674890
2020-08-14,2803242279
2020-08-17,2738710266
2020-08-18,2765657700
2020-08-19,2815297710
2020-08-20,2853591432
2020-08-21,3015276036
2020-08-24,3128029773
2020-08-25,3242910939
2020-08-26,3125193201
2020-08-27,3117392628
2020-08-28,3251420655
2020-08-31,3132284631
2020-09-01,2920960017
2020-09-02,2825225712
2020-09-03,2839408572
2020-09-04,2619574242
2020-09-08,2559297087
2020-09-09,2694743400
2020-09-10,2700416544
2020-09-11,2742965124
2020-09-14,2902522299
2020-09-15,2886921153
2020-09-16,3013148607
2020-09-17,3193980072
2020-09-18,3226600650
2020-09-21,3208872075
2020-09-22,2546532512
2020-09-23,2422432487
2020-09-24,2375629050
2020-09-25,2381302194
2020-09-28,2340171900
2020-09-29,2330953041
2020-09-30,2339462757
2020-10-01,2466518743
2020-10-02,2474190652
2020-10-05,2557814460
2020-10-06,2570856705
2020-10-07,2559348842
2020-10-08,2734268367
2020-10-09,2596174005
2020-10-12,2641438268
2020-10-13,2538634688
2020-10-14,2363715162
2020-10-15,2091362393
2020-10-16,2127420365
2020-10-19,2198001928
2020-10-20,2151203283
2020-10-21,1937924213
2020-10-22,2125118793
2020-10-23,2110542165
2020-10-26,2049934084
2020-10-27,2078320148
2020-10-28,2211044173
2020-10-29,2224853610
2020-10-30,2201070692
2020-11-02,2225620800
2020-11-03,2244800573
2020-11-04,2368318308
2020-11-05,2465751552
2020-11-06,2493370425
2020-11-09,2550909742
2020-11-10,2506412670
2020-11-11,2659850850
2020-11-12,2605380296
2020-11-13,2585433333
2020-11-16,2620724114
2020-11-17,2623025687
2020-11-18,2570089515
2020-11-19,2586967714
2020-11-20,2750379376
2020-11-23,2774929485
2020-11-24,2741940276
2020-11-25,2738104322
2020-11-27,2646808605
2020-11-30,2862389247
2020-12-01,2916859801
2020-12-02,2913023847
2020-12-03,2731966794
2020-12-04,2750379376
2020-12-07,2659850850
2020-12-08,2733501176
2020-12-09,2634533550
2020-12-10,2598475578
2020-12-11,2639136696
2020-12-14,2626861641
2020-12-15,2461148407
2020-12-16,2415116953
2020-12-17,2517920533
2020-12-18,2570856705
2020-12-21,2585433333
2020-12-22,2761887240
2020-12-23,2800246785
2020-12-24,2837839139
2020-12-28,2708951067
2020-12-29,2497973570
2020-12-30,2451942116
2020-12-31,2455778070
2021-01-04,2471972110
2021-01-05,2290908976
2021-01-06,2329269810
2021-01-07,2424404677
2021-01-08,2507264077
2021-01-11,2462765510
2021-01-12,2385276627
2021-01-13,2438214577
2021-01-14,2531815011
2021-01-15,2496523044
2021-01-19,2462765510
2021-01-20,2424404677
2021-01-21,2435912927
2021-01-22,2559434811
2021-01-25,2612372761
2021-01-26,2596261211
2021-01-27,2492686960
2021-01-28,2309322176
2021-01-29,2191938026
2021-02-01,2112147492
2021-02-02,2168154309
2021-02-03,2109845842
2021-02-04,2234134943
2021-02-05,2324666510
2021-02-08,2352286310
2021-02-09,2326200943
2021-02-10,2323132076
2021-02-11,2343846926
2021-02-12,2337709193
2021-02-16,2411361993
2021-02-17,2422103027
2021-02-18,2378371677
2021-02-19,2373768376
2021-02-22,2353053526
2021-02-23,2247177626
2021-02-24,2193472459
2021-02-25,2185033076
2021-02-26,2040029125
2021-03-01,2096035942
2021-03-02,2077622742
2021-03-03,1950264775
2021-03-04,1822906807
2021-03-05,1745417924
2021-03-08,1799890307
2021-03-09,1980186225
2021-03-10,1906533424
2021-03-11,1932618791
2021-03-12,1939523741
2021-03-15,1918808891
2021-03-16,2244108759
2021-03-17,2255617009
2021-03-18,2238738243
2021-03-19,2153577192
2021-03-22,2201911842
2021-03-23,2138232859
2021-03-24,1919576108
2021-03-25,2026219225
2021-03-26,1926481058
2021-03-29,1904998991
2021-03-30,1860500424
2021-03-31,1872775891
2021-04-01,1958116781
2021-04-05,2074744426
2021-04-06,2067838842
2021-04-07,1940469177
2021-04-08,1981135395
2021-04-09,1840721848
2021-04-12,1746345530
2021-04-13,1744043669
2021-04-14,1867576898
2021-04-15,1811564937
2021-04-16,1787011749
2021-04-19,1680358836
2021-04-20,1762458560
2021-04-21,1832281690
2021-04-22,1872180621
2021-04-23,1783942600
2021-04-26,1969626088
2021-04-27,2048656663
2021-04-28,2017197891
2021-04-29,1948909335
2021-04-30,1882922641
2021-05-03,1831514403
2021-05-04,1730232500
2021-05-05,1688031708
2021-05-06,1734836223
2021-05-07,1810030363
2021-05-10,1724861490
2021-05-11,1657340222
2021-05-12,1664245806
2021-05-13,1602862835
2021-05-14,1628950598
2021-05-17,1643529053
2021-05-18,1614372142
2021-05-19,1563731191
2021-05-20,1571404062
2021-05-21,1606699271
2021-05-24,1603630122
2021-05-25,1589051666
