,NSC
2000-01-03,8052000000
2000-01-04,8100000000
2000-01-05,8052000000
2000-01-06,8523999999
2000-01-07,8276000000
2000-01-10,8523999999
2000-01-11,8552000000
2000-01-12,8476000000
2000-01-13,8700000000
2000-01-14,8576000000
2000-01-18,8152000000
2000-01-19,8023999999
2000-01-20,7900000000
2000-01-21,7876000000
2000-01-24,7576000000
2000-01-25,7523999999
2000-01-26,7100000000
2000-01-27,7000000000
2000-01-28,6900000000
2000-01-31,6800000000
2000-02-01,6700000000
2000-02-02,6523999999
2000-02-03,6423999999
2000-02-04,6300000000
2000-02-07,6500000000
2000-02-08,6152000000
2000-02-09,6124000000
2000-02-10,6000000000
2000-02-11,5852000000
2000-02-14,6052000000
2000-02-15,6076000000
2000-02-16,5952000000
2000-02-17,5924000000
2000-02-18,5924000000
2000-02-22,6052000000
2000-02-23,5900000000
2000-02-24,5500000000
2000-02-25,5500000000
2000-02-28,5576000000
2000-02-29,5424000000
2000-03-01,5552000000
2000-03-02,5376000000
2000-03-03,5576000000
2000-03-06,5352000000
2000-03-07,5176000000
2000-03-08,5176000000
2000-03-09,5276000000
2000-03-10,5276000000
2000-03-13,5176000000
2000-03-14,5100000000
2000-03-15,5452000000
2000-03-16,6052000000
2000-03-17,6352000000
2000-03-20,6000000000
2000-03-21,6000000000
2000-03-22,5976000000
2000-03-23,5752000000
2000-03-24,5700000000
2000-03-27,6000000000
2000-03-28,5552000000
2000-03-29,5600000000
2000-03-30,5652000000
2000-03-31,5460600000
2000-04-03,5510416000
2000-04-04,5675192000
2000-04-05,6108208000
2000-04-06,6181016000
2000-04-07,6276816000
2000-04-10,6249991999
2000-04-11,6755816000
2000-04-12,6778808000
2000-04-13,6683008000
2000-04-14,6537391999
2000-04-17,6468416000
2000-04-18,6610200000
2000-04-19,6706000000
2000-04-20,6564216000
2000-04-24,6683008000
2000-04-25,7066208000
2000-04-26,6947416000
2000-04-27,6778808000
2000-04-28,6755816000
2000-05-01,6755816000
2000-05-02,6660016000
2000-05-03,6468416000
2000-05-04,6249991999
2000-05-05,6610200000
2000-05-08,6874608000
2000-05-09,7207991999
2000-05-10,7139016000
2000-05-11,7280800000
2000-05-12,7399591999
2000-05-15,7280800000
2000-05-16,7545208000
2000-05-17,7376600000
2000-05-18,7399591999
2000-05-19,7185000000
2000-05-22,7112191999
2000-05-23,7043216000
2000-05-24,7066208000
2000-05-25,6706000000
2000-05-26,6610200000
2000-05-30,6755816000
2000-05-31,6824791999
2000-06-01,7162008000
2000-06-02,7495391999
2000-06-05,7185000000
2000-06-06,6851616000
2000-06-07,6824791999
2000-06-08,6683008000
2000-06-09,6874608000
2000-06-12,6920591999
2000-06-13,6851616000
2000-06-14,6587208000
2000-06-15,6395608000
2000-06-16,6276816000
2000-06-19,6181016000
2000-06-20,5939600000
2000-06-21,5989416000
2000-06-22,5770992000
2000-06-23,5820808000
2000-06-26,5989416000
2000-06-27,5962592000
2000-06-28,6108208000
2000-06-29,6035400000
2000-06-30,5665846157
2000-07-03,5951423080
2000-07-05,5974269234
2000-07-06,6187500003
2000-07-07,6259846157
2000-07-10,6259846157
2000-07-11,6282692311
2000-07-12,6259846157
2000-07-13,6210346157
2000-07-14,6282692311
2000-07-17,6427384619
2000-07-18,6210346157
2000-07-19,6019961542
2000-07-20,6092307696
2000-07-21,5951423080
2000-07-24,5901923080
2000-07-25,5951423080
2000-07-26,6686307696
2000-07-27,7116576927
2000-07-28,7139423081
2000-07-31,7093730773
2000-08-01,7162269235
2000-08-02,7257461542
2000-08-03,7352653850
2000-08-04,7352653850
2000-08-07,7379307696
2000-08-08,7520192312
2000-08-09,7139423081
2000-08-10,7067076927
2000-08-11,7234615389
2000-08-14,7093730773
2000-08-15,6949038465
2000-08-16,6831000004
2000-08-17,6735807696
2000-08-18,6831000004
2000-08-21,6712961542
2000-08-22,6758653850
2000-08-23,6495923080
2000-08-24,6427384619
2000-08-25,6427384619
2000-08-28,6282692311
2000-08-29,6187500003
2000-08-30,6164653849
2000-08-31,6115153849
2000-09-01,6092307696
2000-09-05,6115153849
2000-09-06,6115153849
2000-09-07,6046615388
2000-09-08,5997115388
2000-09-11,6019961542
2000-09-12,6046615388
2000-09-13,6069461542
2000-09-14,5997115388
2000-09-15,5997115388
2000-09-18,5974269234
2000-09-19,5856230772
2000-09-20,5829576926
2000-09-21,5829576926
2000-09-22,5829576926
2000-09-25,5761038465
2000-09-26,5570653849
2000-09-27,5544000003
2000-09-28,5498307695
2000-09-29,5570653849
2000-10-02,5257894734
